time_s,time_us,azimuth,elevation,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1656910663,157997,50.0,0.0,0,0,0,2022-07-04T07:57:43,1656910667.242208,2022-07-04T07:57:47
1656910669,440026,50.0,0.0,0,0,0,2022-07-04T07:57:49,1656910673.2763078,2022-07-04T07:57:53
1656910679,86680,-40.0,0.0,0,0,0,2022-07-04T07:57:59,1656910682.8364089,2022-07-04T07:58:02
1656910696,128079,-25.0,0.0,0,0,0,2022-07-04T07:58:16,1656910699.878165,2022-07-04T07:58:19
1656910706,57909,2.0,0.0,0,0,0,2022-07-04T07:58:26,1656910709.808229,2022-07-04T07:58:29
1656910716,565594,-1.0,0.0,0,0,0,2022-07-04T07:58:36,1656910720.3325799,2022-07-04T07:58:40
1656910723,580338,96.0,0.0,0,0,0,2022-07-04T07:58:43,1656910727.332057,2022-07-04T07:58:47
1656910769,472261,-180.0,0.0,0,0,0,2022-07-04T07:59:29,1656910773.232672,2022-07-04T07:59:33
1656910787,150466,0.0,45.0,0,0,0,2022-07-04T07:59:47,1656910790.903184,2022-07-04T07:59:50
1656910831,806192,30.0,0.0,0,0,0,2022-07-04T08:00:31,1656910835.560685,2022-07-04T08:00:35
1656910836,908038,-60.0,0.0,0,0,0,2022-07-04T08:00:36,1656910840.6606688,2022-07-04T08:00:40
1656910876,184910,10.0,0.0,0,0,0,2022-07-04T08:01:16,1656910879.938092,2022-07-04T08:01:19
1656910886,285986,-3.0,0.0,0,0,0,2022-07-04T08:01:26,1656910890.0396478,2022-07-04T08:01:30
1656911719,616404,3.0,0.0,0,0,0,2022-07-04T08:15:19,1656911723.390352,2022-07-04T08:15:23
1656911747,820810,-1.5,0.0,0,0,0,2022-07-04T08:15:47,1656911751.592128,2022-07-04T08:15:51
1656911912,927724,0.0,4.0,0,0,0,2022-07-04T08:18:32,1656911916.703233,2022-07-04T08:18:36
1656911920,142017,0.0,8.0,0,0,0,2022-07-04T08:18:40,1656911924.21464,2022-07-04T08:18:44
1656911926,739810,0.0,-3.0,0,0,0,2022-07-04T08:18:46,1656911930.515364,2022-07-04T08:18:50
1656911980,21558,0.0,1.0,0,0,0,2022-07-04T08:19:40,1656911983.7990959,2022-07-04T08:19:43
1656911990,685878,0.0,2.0,0,0,0,2022-07-04T08:19:50,1656911994.464576,2022-07-04T08:19:54
1656912020,317851,0.0,3.0,0,0,0,2022-07-04T08:20:20,1656912024.0984159,2022-07-04T08:20:24
1656912042,103924,0.0,-50.0,0,0,0,2022-07-04T08:20:42,1656912045.883368,2022-07-04T08:20:45
1656912050,165781,0.0,-50.0,0,0,0,2022-07-04T08:20:50,1656912053.945657,2022-07-04T08:20:53
1656912806,104970,40.0,0.0,0,0,0,2022-07-04T08:33:26,1656912809.925449,2022-07-04T08:33:29
1656912822,493319,-40.0,0.0,0,0,0,2022-07-04T08:33:42,1656912826.3494608,2022-07-04T08:33:46
