time_s,time_us,azimuth,elevation,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1656910087,120181,50.0,0.0,0,0,0,2022-07-04T07:48:07,1656910090.8606849,2022-07-04T07:48:10
1656910088,744255,-50.0,0.0,0,0,0,2022-07-04T07:48:08,1656910092.4841568,2022-07-04T07:48:12
1656910095,322054,-50.0,0.0,0,0,0,2022-07-04T07:48:15,1656910099.0759208,2022-07-04T07:48:19
1656910104,140142,-50.0,0.0,0,0,0,2022-07-04T07:48:24,1656910107.920064,2022-07-04T07:48:27
1656910122,496857,-50.0,0.0,0,0,0,2022-07-04T07:48:42,1656910126.245733,2022-07-04T07:48:46
1656910136,849211,-10.0,0.0,0,0,0,2022-07-04T07:48:56,1656910140.592484,2022-07-04T07:49:00
1656910138,374124,-10.0,0.0,0,0,0,2022-07-04T07:48:58,1656910142.116716,2022-07-04T07:49:02
1656910139,737385,-10.0,0.0,0,0,0,2022-07-04T07:48:59,1656910143.479964,2022-07-04T07:49:03
1656910141,180325,-10.0,0.0,0,0,0,2022-07-04T07:49:01,1656910144.922313,2022-07-04T07:49:04
1656910146,810781,-10.0,0.0,0,0,0,2022-07-04T07:49:06,1656910150.5538568,2022-07-04T07:49:10
1656910149,194396,-10.0,0.0,0,0,0,2022-07-04T07:49:09,1656910154.177892,2022-07-04T07:49:14
1656910149,885067,-10.0,0.0,0,0,0,2022-07-04T07:49:09,1656910154.717305,2022-07-04T07:49:14
1656910153,166256,10.0,0.0,0,0,0,2022-07-04T07:49:13,1656910156.9088888,2022-07-04T07:49:16
1656912835,12965,40.0,0.0,0,0,0,2022-07-04T08:33:55,1656912838.835937,2022-07-04T08:33:58
1656912861,30623,-40.0,0.0,0,0,0,2022-07-04T08:34:21,1656912864.858453,2022-07-04T08:34:24
1656912936,322464,-10.0,0.0,0,0,0,2022-07-04T08:35:36,1656912940.150112,2022-07-04T08:35:40
1656914694,512511,-10.0,0.0,0,0,0,2022-07-04T09:04:54,1656914694.550788,2022-07-04T09:04:54
1656914794,592077,-10.0,0.0,0,0,0,2022-07-04T09:06:34,1656914794.638525,2022-07-04T09:06:34
1656915761,335066,-10.0,0.0,0,0,0,2022-07-04T09:22:41,1656915761.412704,2022-07-04T09:22:41
1656915797,705387,10.0,0.0,0,0,0,2022-07-04T09:23:17,1656915797.783681,2022-07-04T09:23:17
1656915843,26618,10.0,0.0,0,0,0,2022-07-04T09:24:03,1656915843.106468,2022-07-04T09:24:03
1656915858,863351,10.0,0.0,0,0,0,2022-07-04T09:24:18,1656915858.9517798,2022-07-04T09:24:18
1656915887,451359,-10.0,0.0,0,0,0,2022-07-04T09:24:47,1656915887.5325038,2022-07-04T09:24:47
