time_s,time_us,time_steady,is_open[0],is_open[1],is_open[2],is_open[3],seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909135,649000,2469297,1,1,1,1,21,12,0,2022-07-04T07:32:15,-230,-3.8225166666666666,1656909145.225272,2022-07-04T07:32:25,-241676,-4.027933333333333,96.61775576732917
1656909142,175000,2476097,1,1,1,1,95,12,0,2022-07-04T07:32:22,-223,-3.7137499999999997,1656909155.7593398,2022-07-04T07:32:35,-234876,-3.9146,97.41528338068822
1656909170,866000,2504697,1,1,1,1,154,12,0,2022-07-04T07:32:50,-195,-3.2355666666666663,1656909180.398093,2022-07-04T07:33:00,-206276,-3.4379333333333335,97.11217237389606
1656909184,199000,2517597,1,1,1,1,40,12,0,2022-07-04T07:33:04,-181,-3.01335,1656909193.7476878,2022-07-04T07:33:13,-193376,-3.222933333333333,97.04593719546993
1656909191,322000,2524597,1,1,1,1,117,12,0,2022-07-04T07:33:11,-174,-2.894633333333333,1656909203.86862,2022-07-04T07:33:23,-186376,-3.106266666666667,96.33651166155684
1656909211,939000,2550197,1,1,1,1,142,12,0,2022-07-04T07:33:31,-154,-2.551016666666667,1656909227.7077599,2022-07-04T07:33:47,-160776,-2.6796,96.54415688779319
1656909231,2000,2562997,1,1,1,1,27,12,0,2022-07-04T07:33:51,-134,-2.2333,1656909238.7467718,2022-07-04T07:33:58,-147976,-2.466266666666667,96.4323154857191
1656909243,461000,2575597,1,1,1,1,166,12,0,2022-07-04T07:34:03,-122,-2.02565,1656909252.6419199,2022-07-04T07:34:12,-135376,-2.256266666666667,97.55256788104984
1656909255,359000,2587597,1,1,1,1,42,12,0,2022-07-04T07:34:15,-110,-1.82735,1656909263.2316768,2022-07-04T07:34:23,-123376,-2.0562666666666667,97.08646787113642
1656909279,150000,2611197,1,1,1,1,45,12,0,2022-07-04T07:34:39,-86,-1.4308333333333332,1656909287.096736,2022-07-04T07:34:47,-99776,-1.6629333333333334,97.1818618774414
1656909291,77000,2623297,1,1,1,1,179,12,0,2022-07-04T07:34:51,-74,-1.23205,1656909297.169889,2022-07-04T07:34:57,-87676,-1.4612666666666667,97.1818618774414
1656909313,825000,2645797,1,1,1,1,170,12,0,2022-07-04T07:35:13,-52,-0.8529166666666667,1656909321.081893,2022-07-04T07:35:21,-65176,-1.0862666666666667,97.76973099989289
1656909335,829000,2667797,1,1,1,1,156,12,0,2022-07-04T07:35:35,-30,-0.4861833333333333,1656909344.757556,2022-07-04T07:35:44,-43176,-0.7196,98.19188938333787
1656909358,727000,2690197,1,1,1,1,146,12,0,2022-07-04T07:35:58,-7,-0.10454999999999999,1656909368.5698168,2022-07-04T07:36:08,-20776,-0.34626666666666667,97.60189056396484
