time_s,time_us,time_steady,resets_count,reset_cause,active_oscillator,time_base,time_syncs_attempted,time_syncs_performed,last_time_sync_time_steady,last_time_sync_delta_s,last_time_sync_delta_us,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909117,166000,2451290,1,2,1,3,1642,257,2442189,0,405,181,12,0,2022-07-04T07:31:57,-248,-4.130566666666667,1656909128.334028,2022-07-04T07:32:08,-259683,-4.32805,96.66632591836058
1656909128,429000,2462290,1,2,1,3,1652,258,2455997,0,687,169,12,0,2022-07-04T07:32:08,-237,-3.94285,1656909139.1884239,2022-07-04T07:32:19,-248683,-4.144716666666667,96.99447576068063
1656909141,401000,2475290,1,2,1,3,1659,259,2467679,0,842,72,12,0,2022-07-04T07:32:21,-224,-3.72665,1656909152.690145,2022-07-04T07:32:32,-235683,-3.92805,97.42169514056022
1656909177,819000,2511290,1,2,1,3,1681,263,2508566,0,633,255,12,0,2022-07-04T07:32:57,-188,-3.1196833333333336,1656909187.565192,2022-07-04T07:33:07,-199683,-3.3280499999999997,97.25833502661186
1656909191,27000,2524290,1,2,1,3,1692,265,2522107,0,299,244,12,0,2022-07-04T07:33:11,-174,-2.89955,1656909197.9746609,2022-07-04T07:33:17,-186683,-3.1113833333333334,96.32216280534844
1656909200,624000,2534290,1,2,1,3,1696,265,2522107,0,299,222,12,0,2022-07-04T07:33:20,-165,-2.7396000000000003,1656909211.349988,2022-07-04T07:33:31,-176683,-2.9447166666666664,96.78896271393127
1656909209,180000,2543290,1,2,1,3,1700,266,2540610,-4,-269,9,12,0,2022-07-04T07:33:29,-156,-2.597,1656909221.6018999,2022-07-04T07:33:41,-167683,-2.7947166666666665,96.69752399265785
1656909225,5000,2557290,1,2,1,3,1709,268,2553106,6,259000,89,12,0,2022-07-04T07:33:45,-140,-2.33325,1656909235.302712,2022-07-04T07:33:55,-153683,-2.561383333333333,95.89253141201151
1656909238,2000,2570290,1,2,1,3,1719,269,2562267,0,414,0,12,0,2022-07-04T07:33:58,-127,-2.1166333333333336,1656909246.362273,2022-07-04T07:34:06,-140683,-2.3447166666666663,97.2889402761918
1656909249,884000,2582290,1,2,1,3,1724,270,2571330,0,309,173,12,0,2022-07-04T07:34:09,-116,-1.9186,1656909259.706276,2022-07-04T07:34:19,-128683,-2.1447166666666666,96.86160793032624
1656909292,990000,2625290,1,2,1,3,1757,275,2613069,0,320,193,12,0,2022-07-04T07:34:52,-73,-1.2001666666666668,1656909304.8798409,2022-07-04T07:35:04,-85683,-1.42805,97.22015913631937
1656909330,544000,2662290,1,2,1,3,1780,279,2658613,0,922,168,12,0,2022-07-04T07:35:30,-35,-0.5742666666666667,1656909338.6147768,2022-07-04T07:35:38,-48683,-0.8113833333333333,98.09072588979888
1656909341,702000,2673290,1,2,1,3,1787,280,2669984,0,552,10,12,0,2022-07-04T07:35:41,-24,-0.38830000000000003,1656909351.84198,2022-07-04T07:35:51,-37683,-0.62805,98.29005414291987
1656909353,584000,2685290,1,2,1,3,1797,281,2679942,0,404,118,12,0,2022-07-04T07:35:53,-12,-0.19026666666666667,1656909363.004065,2022-07-04T07:36:03,-25683,-0.42805,98.07427728767038
1656909365,535000,2697290,1,2,1,3,1802,282,2686709,0,345,29,12,0,2022-07-04T07:36:05,0,0.008916666666666666,1656909372.621852,2022-07-04T07:36:12,-13683,-0.22805,97.60189056396484
