time_s,time_us,time_steady,update_time_operator,update_time_radio,last_packet_time,last_packet_rssi,last_packet_snr,last_packet_signal_rssi,last_executed_cmd_seq,radio_error_bits,radio_state,count_packet_recieved,count_crc_errors,count_hdr_errors,count_mavlink_msgs_recieved,count_operator_cmds_recieved,count_operator_cmds_executed,count_operator_errors,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909119,927957,2466003,2466003,2465993,0,-21,-4,-21,0,0,4,0,0,0,0,0,0,0,230,10,0,2022-07-04T07:31:59,-246,-4.08453405,1656909128.9789128,2022-07-04T07:32:08,-244970,-4.082833333333333,96.79473598357862
1656909130,927977,2477003,2477003,2476973,0,-21,-4,-21,0,0,5,0,0,0,0,0,0,0,7,10,0,2022-07-04T07:32:10,-235,-3.9012003833333333,1656909142.994237,2022-07-04T07:32:22,-233970,-3.8995,96.8640859270483
1656909142,927966,2489003,2489003,2488993,0,-21,-4,-21,0,0,4,0,0,0,0,0,0,0,43,10,0,2022-07-04T07:32:22,-223,-3.7012005666666665,1656909153.269321,2022-07-04T07:32:33,-221970,-3.6995,97.39596820615392
1656909179,928175,2526003,2525983,2526003,0,-21,-4,-21,0,0,5,0,0,0,0,0,0,0,154,10,0,2022-07-04T07:32:59,-186,-3.0845304166666665,1656909188.0461009,2022-07-04T07:33:08,-184970,-3.0828333333333333,97.20192411749512
1656909191,938104,2538013,2538003,2538013,0,-21,-4,-21,0,0,4,0,0,0,0,0,0,0,190,10,0,2022-07-04T07:33:11,-174,-2.884364933333333,1656909201.504041,2022-07-04T07:33:21,-172960,-2.8826666666666667,96.36647907750739
1656909203,496156,2549003,2549003,2548763,0,-21,-4,-21,0,0,4,0,0,0,0,0,0,0,223,10,0,2022-07-04T07:33:23,-162,-2.691730733333333,1656909212.1245959,2022-07-04T07:33:32,-161970,-2.6995,96.82283110733142
1656909207,928495,2559003,2559003,2558983,0,-21,-4,-21,0,0,5,0,0,0,0,0,0,0,253,10,0,2022-07-04T07:33:27,-158,-2.6178584166666665,1656909222.193956,2022-07-04T07:33:42,-151970,-2.5328333333333335,96.76296378897976
1656909225,929182,2571003,2571003,2570863,0,-21,-4,-21,0,0,4,0,0,0,0,0,0,0,33,10,0,2022-07-04T07:33:45,-140,-2.3178469666666666,1656909236.345685,2022-07-04T07:33:56,-139970,-2.3328333333333333,95.97571612516928
1656909238,928762,2584003,2584003,2583993,0,-21,-4,-21,0,0,5,0,0,0,0,0,0,0,72,10,0,2022-07-04T07:33:58,-127,-2.1011873,1656909246.8639119,2022-07-04T07:34:06,-126970,-2.1161666666666665,97.41269160551306
1656909250,929172,2596003,2596003,2595865,0,-21,-4,-21,0,0,4,0,0,0,0,0,0,0,108,10,0,2022-07-04T07:34:10,-115,-1.9011804666666667,1656909260.785389,2022-07-04T07:34:20,-114970,-1.9161666666666666,96.90453346714021
1656909331,929198,2677003,2677003,2676994,0,-21,-4,-21,0,0,5,0,0,0,0,0,0,0,95,10,0,2022-07-04T07:35:31,-34,-0.5511800333333333,1656909339.209533,2022-07-04T07:35:39,-33970,-0.5661666666666666,98.11731694373367
1656909355,928750,2701003,2701003,2700993,0,-21,-4,-21,0,0,5,0,0,0,0,0,0,0,167,10,0,2022-07-04T07:35:55,-10,-0.15118749999999997,1656909363.3006358,2022-07-04T07:36:03,-9970,-0.16616666666666668,97.765779969709
