time_s,time_us,time_steady,updated_time_steady,updated_time_from_s,updated_time_from_us,updated_time_from_base,updated_time_to_s,updated_time_to_us,updated_time_to_base,count_of_time_updates,count_of_aggressive_time_updates,imi_time_sync_steady,imi_count_of_syncs,imi_time_s,imi_time_us,imi_time_base,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909131,928342,2478003,2415279,1656909063,204063,3,1656909069,204090,3,62,47,2477733,2164,1656909131,658116,3,11,10,0,2022-07-04T07:32:11,-234,-3.8845276333333336,1656909142.994237,2022-07-04T07:32:22,-232970,-3.882833333333333,96.81188959794179
1656909143,927922,2490003,2415279,1656909063,204063,3,1656909069,204090,3,62,47,2489163,2174,1656909143,88440,3,47,10,0,2022-07-04T07:32:23,-222,-3.6845346333333335,1656909153.269321,2022-07-04T07:32:33,-220970,-3.6828333333333334,97.3703172143872
1656909179,928175,2526003,2415279,1656909063,204063,3,1656909069,204090,3,62,47,2525773,2206,1656909179,698132,3,155,10,0,2022-07-04T07:32:59,-186,-3.0845304166666665,1656909188.613376,2022-07-04T07:33:08,-184970,-3.0828333333333333,97.20192411749512
1656909191,938104,2538013,2415279,1656909063,204063,3,1656909069,204090,3,62,47,2536013,2215,1656909189,938096,3,191,10,0,2022-07-04T07:33:11,-174,-2.884364933333333,1656909202.146113,2022-07-04T07:33:22,-172960,-2.8826666666666667,96.36647907750739
1656909203,496156,2549003,2543924,1656909197,848606,3,1656909198,416944,3,63,47,2547633,2225,1656909202,126392,3,224,10,0,2022-07-04T07:33:23,-162,-2.691730733333333,1656909212.652936,2022-07-04T07:33:32,-161970,-2.6995,96.82283110733142
1656909226,928786,2572003,2565291,1656909214,216620,3,1656909220,217396,3,65,49,2571723,2245,1656909226,648775,3,37,10,0,2022-07-04T07:33:46,-139,-2.3011869,1656909236.345685,2022-07-04T07:33:56,-138970,-2.3161666666666667,96.06568949839163
1656909239,929704,2585004,2565291,1656909214,216620,3,1656909220,217396,3,65,49,2583153,2255,1656909238,79186,3,76,10,0,2022-07-04T07:33:59,-126,-2.084504933333333,1656909247.3880248,2022-07-04T07:34:07,-125969,-2.099483333333333,97.5463482542249
1656909251,929168,2597003,2565291,1656909214,216620,3,1656909220,217396,3,65,49,2595953,2266,1656909250,879296,3,112,10,0,2022-07-04T07:34:11,-114,-1.8845138666666665,1656909260.785389,2022-07-04T07:34:20,-113970,-1.8995,96.94560361168276
1656909263,929355,2609004,2565291,1656909214,216620,3,1656909220,217396,3,65,49,2606143,2275,1656909261,68823,3,148,10,0,2022-07-04T07:34:23,-102,-1.68451075,1656909271.5286238,2022-07-04T07:34:31,-101969,-1.6994833333333332,97.1818618774414
1656909288,928742,2634003,2565291,1656909214,216620,3,1656909220,217396,3,65,49,2632073,2298,1656909286,999303,3,223,10,0,2022-07-04T07:34:48,-77,-1.2678543,1656909295.596308,2022-07-04T07:34:55,-76970,-1.2828333333333333,97.1818618774414
1656909309,938942,2655013,2565291,1656909214,216620,3,1656909220,217396,3,65,49,2653843,2316,1656909308,769319,3,30,10,0,2022-07-04T07:35:09,-56,-0.9176843,1656909319.02086,2022-07-04T07:35:19,-55960,-0.9326666666666666,97.6672271296258
1656909332,929183,2678003,2565291,1656909214,216620,3,1656909220,217396,3,65,49,2677714,2337,1656909332,639352,3,99,10,0,2022-07-04T07:35:32,-33,-0.5345136166666666,1656909342.7928529,2022-07-04T07:35:42,-32970,-0.5495,98.13651322835796
1656909355,928750,2701003,2565291,1656909214,216620,3,1656909220,217396,3,65,49,2700313,2357,1656909355,239218,3,168,10,0,2022-07-04T07:35:55,-10,-0.15118749999999997,1656909363.8501248,2022-07-04T07:36:03,-9970,-0.16616666666666668,97.765779969709
