time_s,time_us,time_steady,current,voltage,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909107,37953,2453113,0.00457763671875,7.955999851226807,23,10,1,2022-07-04T07:31:47,-258,-4.29936745,1656909118.873396,2022-07-04T07:31:58,-257860,-4.297666666666667,96.19544850216575
1656909123,291358,2469366,nan,nan,161,10,1,2022-07-04T07:32:03,-242,-4.0284773666666664,1656909134.758525,2022-07-04T07:32:14,-241607,-4.026783333333333,96.95110863592781
1656909138,568154,2484643,nan,nan,29,10,1,2022-07-04T07:32:18,-227,-3.7738641,1656909147.8414478,2022-07-04T07:32:27,-226330,-3.7721666666666667,96.72034137127318
1656909154,809431,2500884,nan,nan,163,10,1,2022-07-04T07:32:34,-211,-3.5031761500000003,1656909164.342192,2022-07-04T07:32:44,-210089,-3.5014833333333333,97.09118343473233
1656909171,68027,2517143,nan,nan,43,10,1,2022-07-04T07:32:51,-194,-3.23219955,1656909180.398093,2022-07-04T07:33:00,-193830,-3.2305,97.11641928921897
1656909187,588157,2533663,nan,nan,179,10,1,2022-07-04T07:33:07,-178,-2.95686405,1656909196.4105608,2022-07-04T07:33:16,-177310,-2.9551666666666665,96.60354344591263
1656909202,596333,2548103,nan,nan,45,10,1,2022-07-04T07:33:22,-163,-2.7067277833333336,1656909212.1245959,2022-07-04T07:33:32,-162870,-2.7145,96.83498495883086
1656909212,347501,2563422,nan,nan,171,10,1,2022-07-04T07:33:32,-153,-2.544208316666667,1656909228.229236,2022-07-04T07:33:48,-147551,-2.4591833333333333,96.52099305419276
1656909235,459014,2580533,0.00640869140625,7.776000022888184,57,10,1,2022-07-04T07:33:55,-130,-2.1590164333333335,1656909244.772837,2022-07-04T07:34:04,-130440,-2.174,96.94937316193233
1656909252,94340,2597169,0.00457763671875,7.947999954223633,199,10,1,2022-07-04T07:34:12,-113,-1.881761,1656909260.785389,2022-07-04T07:34:20,-113804,-1.8967333333333334,96.95238727673178
1656909282,728931,2627803,0.00457763671875,7.960000038146973,201,10,1,2022-07-04T07:34:42,-83,-1.3711844833333333,1656909289.7395039,2022-07-04T07:34:49,-83170,-1.3861666666666668,97.1818618774414
1656909313,642447,2658717,0.00457763671875,7.952000141143799,201,10,1,2022-07-04T07:35:13,-52,-0.8559592166666667,1656909321.081893,2022-07-04T07:35:21,-52256,-0.8709333333333333,97.76491573747815
1656909359,88971,2704163,nan,nan,73,10,1,2022-07-04T07:35:59,-6,-0.09851715,1656909368.5698168,2022-07-04T07:36:08,-6810,-0.11349999999999999,97.60189056396484
