time_s,time_us,time_steady,iTOW,fTOW,week,gpsFix,flags,ecefX,ecefY,ecefZ,pAcc,ecefVX,ecefVY,ecefVZ,sAcc,pDOP,reserved1,numSV,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,lat,lon,h,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909120,194000,2465011,102739000,-240976,2217,3,93,269234265,226322879,530302771,6947,-24,-8,84,272,215,0,4,232,11,0,2022-07-04T07:32:00,-245,-4.0801,1656909128.334028,2022-07-04T07:32:08,56.622722628304686,40.05097705979074,149.66201675709218,-245962,-4.099366666666667,96.8071049665066
1656909128,191000,2473008,102747000,-208854,2217,3,93,269234008,226322733,530302305,2804,-51,-19,7,204,215,0,4,205,11,0,2022-07-04T07:32:08,-237,-3.9468166666666664,1656909136.735312,2022-07-04T07:32:16,56.62272140351743,40.0509857932981,144.17147328217837,-237965,-3.966083333333333,97.00689395436729
1656909135,166000,2479984,102754000,-180894,2217,3,93,269234344,226323410,530302222,2568,0,3,113,226,215,0,4,149,11,0,2022-07-04T07:32:15,-230,-3.830566666666667,1656909145.225272,2022-07-04T07:32:25,56.622665347186704,40.051034992219336,147.28995831382355,-230989,-3.849816666666667,96.64295739569326
1656909143,118000,2487935,102762000,-148938,2217,0,92,269234017,226324312,530302240,5908,-76,140,1,1090,9999,0,0,121,11,0,2022-07-04T07:32:23,-222,-3.6980333333333335,1656909152.690145,2022-07-04T07:32:32,56.62264148188198,40.0511817438549,149.25632612011538,-223038,-3.7173000000000003,97.39109343109442
1656909176,120000,2520937,102795000,-16698,2217,0,92,269202512,226321507,530286929,26055,0,0,0,1769,9999,0,0,27,11,0,2022-07-04T07:32:56,-189,-3.148,1656909185.0949,2022-07-04T07:33:05,56.62382890164948,40.05413459257804,-121.20155057851836,-190036,-3.167266666666667,97.22261945822927
1656909185,150000,2529967,102804000,19002,2217,0,92,269202512,226321507,530286929,52789,0,0,0,2319,9999,0,0,29,11,0,2022-07-04T07:33:05,-180,-2.9975,1656909193.7476878,2022-07-04T07:33:13,56.62382890164948,40.05413459257804,-121.20155057851836,-181006,-3.016766666666667,97.00201491598762
1656909192,177000,2536994,102811000,45999,2217,3,93,269234329,226322274,530303490,4987,-40,-61,90,275,214,0,4,230,11,0,2022-07-04T07:33:12,-173,-2.8803833333333335,1656909201.504041,2022-07-04T07:33:21,56.62278367024829,40.05089491030236,153.7939419660226,-173979,-2.8996500000000003,96.3780990244659
1656909200,119000,2544936,102819000,77760,2217,0,92,269234108,226321434,530303449,6270,3,-178,59,1095,9999,0,0,202,11,0,2022-07-04T07:33:20,-165,-2.7480166666666666,1656909209.600229,2022-07-04T07:33:29,56.62283486437755,40.05081333106919,149.54725973282117,-166037,-2.7672833333333333,96.76439941771012
1656909213,152000,2557969,102832000,129428,2217,3,93,269234000,226322526,530303754,3385,0,-4,16,270,214,0,4,58,11,0,2022-07-04T07:33:33,-152,-2.5308,1656909222.193956,2022-07-04T07:33:42,56.62280343872779,40.05096081984801,155.5051090328469,-153004,-2.5500666666666665,96.4753743630079
1656909231,119000,2575936,102850000,201091,2217,0,92,269233838,226323476,530302840,13366,6,70,-39,1513,9999,0,0,51,11,0,2022-07-04T07:33:51,-134,-2.23135,1656909239.374552,2022-07-04T07:33:59,56.62272174062345,40.05109626172786,150.55342091367504,-135037,-2.2506166666666667,96.44284654068389
1656909239,116000,2583932,102858000,233324,2217,0,92,269234787,226323666,530301362,7376,143,-111,81,810,9999,0,0,24,11,0,2022-07-04T07:33:59,-126,-2.0980666666666665,1656909247.3880248,2022-07-04T07:34:07,56.62258507620298,40.05102047843969,142.88023566219704,-127041,-2.11735,97.4376936571719
1656909280,194000,2625010,102899000,400829,2217,3,93,269234339,226323104,530302768,3259,-57,18,14,192,214,0,4,160,11,0,2022-07-04T07:34:40,-85,-1.4134333333333333,1656909287.612597,2022-07-04T07:34:47,56.622707375022394,40.05099735952097,150.74510645929539,-85963,-1.4327166666666666,97.1818618774414
1656909283,145000,2627962,102902000,413157,2217,3,93,269234303,226323008,530302665,2669,-14,0,-2,175,214,0,4,245,11,0,2022-07-04T07:34:43,-82,-1.36425,1656909295.596308,2022-07-04T07:34:55,56.6227089852709,40.050989162314266,149.39353950389562,-83011,-1.3835166666666665,97.1818618774414
1656909332,187000,2677002,102951000,-384987,2217,3,93,269233991,226322962,530302577,2005,-17,-1,8,155,213,0,4,102,11,0,2022-07-04T07:35:32,-33,-0.5468833333333334,1656909342.7928529,2022-07-04T07:35:42,56.62272476721901,40.05101613056605,147.1819319641831,-33971,-0.5661833333333333,98.1222658585361
1656909357,184000,2701999,102976000,-282086,2217,3,93,269234264,226323089,530302488,2249,21,-6,9,214,213,0,4,46,11,0,2022-07-04T07:35:57,-8,-0.13026666666666667,1656909363.8501248,2022-07-04T07:36:03,56.62269857076619,40.05100335068179,148.0379779540499,-8974,-0.14956666666666668,97.60189056396484
1656909358,152000,2702968,102977000,-277978,2217,3,93,269234300,226323099,530302544,2256,-25,12,40,157,213,0,4,74,11,0,2022-07-04T07:35:58,-7,-0.11413333333333334,1656909371.4175398,2022-07-04T07:36:11,56.62269878836649,40.05100082407176,148.69262007684603,-8005,-0.13341666666666668,97.60189056396484
