time_s,time_us,time_steady,rx_packet_start_cnt,rx_packet_done_cnt,rx_cmds_start_cnt,rx_cmds_done_cnt,rx_drops_start_cnt,rx_drops_done_cnt,tx_psize_start_cnt,tx_psize_done_cnt,tx_packet_start_cnt,tx_packet_done_cnt,tx_zeroes_start_cnt,tx_zeroes_done_cnt,tx_empty_buffer_cnt,tx_overruns_cnt,cmds_get_size_cnt,cmds_get_packet_cnt,cmds_set_packet_cnt,cmds_invalid_cnt,restarts_cnt,berr_cnt,arlo_cnt,ovf_cnt,af_cnt,btf_cnt,tx_wrong_size_cnt,rx_wrong_size_cnt,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909118,126000,2452290,1699,1699,24480,24479,0,0,38417,38406,38369,38366,1,1,11487,46941,49904,38369,1699,43,15,15,0,0,11487,0,0,43,228,12,0,2022-07-04T07:31:58,-247,-4.114566666666667,1656909128.9789128,2022-07-04T07:32:08,-258683,-4.311383333333334,96.71095864168296
1656909128,429000,2462290,1708,1708,24927,24926,0,0,38610,38599,38562,38559,1,1,11539,50896,50149,38562,1708,43,15,15,0,0,11539,0,0,43,170,12,0,2022-07-04T07:32:08,-237,-3.94285,1656909139.1884239,2022-07-04T07:32:19,-248683,-4.144716666666667,96.99447576068063
1656909141,401000,2475290,1715,1715,25366,25365,0,0,38802,38791,38754,38751,1,1,11587,30271,50389,38754,1715,43,15,15,0,0,11587,0,0,43,73,12,0,2022-07-04T07:32:21,-224,-3.72665,1656909152.690145,2022-07-04T07:32:32,-235683,-3.92805,97.42169514056022
1656909179,739000,2513290,1740,1740,26806,26805,0,0,39428,39417,39380,39377,1,1,11750,29508,51178,39380,1740,43,15,15,0,0,11750,0,0,43,31,12,0,2022-07-04T07:32:59,-186,-3.087683333333333,1656909188.0461009,2022-07-04T07:33:08,-197683,-3.2947166666666665,97.2088335146196
1656909191,27000,2524290,1749,1749,27300,27299,0,0,39641,39630,39593,39590,1,1,11809,30911,51450,39593,1749,43,15,15,0,0,11809,0,0,43,245,12,0,2022-07-04T07:33:11,-174,-2.89955,1656909201.504041,2022-07-04T07:33:21,-186683,-3.1113833333333334,96.32216280534844
1656909200,625000,2534290,1753,1753,27520,27519,0,0,39738,39727,39690,39686,1,1,11831,30902,51569,39690,1753,43,15,15,0,0,11831,0,0,43,223,12,0,2022-07-04T07:33:20,-165,-2.7395833333333335,1656909212.1245959,2022-07-04T07:33:32,-176683,-2.9447166666666664,96.7890113541218
1656909211,100000,2545290,1759,1759,27760,27759,0,0,39841,39829,39792,39789,1,1,11860,28290,51701,39792,1759,43,16,16,0,0,11860,0,0,43,152,12,0,2022-07-04T07:33:31,-154,-2.565,1656909221.6018999,2022-07-04T07:33:41,-165683,-2.7613833333333333,96.59173193997361
1656909225,965000,2558290,1768,1768,28309,28308,0,0,40079,40067,40030,40027,1,1,11924,37591,52003,40030,1768,43,16,16,0,0,11924,0,0,43,77,12,0,2022-07-04T07:33:45,-140,-2.31725,1656909235.8181438,2022-07-04T07:33:55,-152683,-2.5447166666666665,95.97894006813279
1656909238,962000,2571290,1777,1777,28872,28871,0,0,40323,40311,40274,40271,1,1,11989,44591,52312,40274,1777,44,16,16,0,0,11989,0,0,44,9,12,0,2022-07-04T07:33:58,-127,-2.100633333333333,1656909246.8639119,2022-07-04T07:34:06,-139683,-2.3280499999999997,97.41712990432546
1656909250,844000,2583290,1783,1783,29195,29194,0,0,40464,40452,40415,40412,1,1,12024,40146,52488,40415,1783,44,16,16,0,0,12024,0,0,44,182,12,0,2022-07-04T07:34:10,-115,-1.9026,1656909260.220813,2022-07-04T07:34:20,-127683,-2.12805,96.90103542679707
1656909292,990000,2625290,1815,1815,30848,30847,0,0,41177,41164,41125,41122,1,1,12220,51430,53397,41125,1815,46,17,17,0,0,12220,0,0,46,194,12,0,2022-07-04T07:34:52,-73,-1.2001666666666668,1656909304.8798409,2022-07-04T07:35:04,-85683,-1.42805,97.22015913631937
1656909330,544000,2662290,1838,1838,32095,32094,0,0,41719,41706,41667,41663,1,1,12360,43078,54079,41667,1838,46,18,18,0,0,12360,0,0,46,169,12,0,2022-07-04T07:35:30,-35,-0.5742666666666667,1656909339.209533,2022-07-04T07:35:39,-48683,-0.8113833333333333,98.09072588979888
1656909342,661000,2674290,1846,1846,32634,32633,0,0,41952,41939,41898,41894,1,1,12425,43089,54377,41898,1846,48,18,18,0,0,12425,0,0,48,21,12,0,2022-07-04T07:35:42,-23,-0.37231666666666663,1656909352.923205,2022-07-04T07:35:52,-36683,-0.6113833333333333,98.30608343024136
1656909354,543000,2686290,1857,1857,33167,33166,0,0,42181,42168,42127,42123,1,1,12489,43097,54670,42127,1857,48,18,18,0,0,12489,0,0,48,129,12,0,2022-07-04T07:35:54,-11,-0.17428333333333335,1656909363.3006358,2022-07-04T07:36:03,-24683,-0.4113833333333333,97.94810224643999
