time_s,time_us,time_steady,state,pump_on,pump_on_time_steady,pump_off,pump_off_time_steady,valve_open,valve_open_time_steady,valve_close,valve_close_time_steady,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909109,649600,2455985,0,2,1122784,2,1132839,2,1122784,2,1132791,128,13,0,2022-07-04T07:31:49,-256,-4.25584,1656909121.10712,2022-07-04T07:32:01,-254988,-4.2498,96.31687029171441
1656909125,181600,2471517,0,2,1122784,2,1132839,2,1122784,2,1132791,216,13,0,2022-07-04T07:32:05,-240,-3.9969733333333335,1656909135.293505,2022-07-04T07:32:15,-239456,-3.990933333333333,97.03899056113441
1656909136,473800,2482810,0,2,1122784,2,1132839,2,1122784,2,1132791,23,13,0,2022-07-04T07:32:16,-229,-3.80877,1656909146.273557,2022-07-04T07:32:26,-228163,-3.802716666666667,96.57471994315794
1656909159,757100,2506093,0,2,1122784,2,1132839,2,1122784,2,1132791,156,13,0,2022-07-04T07:32:39,-206,-3.420715,1656909170.826833,2022-07-04T07:32:50,-204880,-3.4146666666666667,96.96426523354798
1656909197,781300,2544530,0,2,1122784,2,1132839,2,1122784,2,1132791,125,13,0,2022-07-04T07:33:17,-168,-2.7869783333333333,1656909205.0093448,2022-07-04T07:33:25,-166443,-2.7740500000000003,96.65069324429196
1656909200,119200,2545885,0,2,1122784,2,1132839,2,1122784,2,1132791,133,13,0,2022-07-04T07:33:20,-165,-2.748013333333333,1656909218.1194239,2022-07-04T07:33:38,-165088,-2.7514666666666665,96.76440914574823
1656909213,378200,2564712,0,2,1122784,2,1132839,2,1122784,2,1132791,249,13,0,2022-07-04T07:33:33,-152,-2.5270300000000003,1656909229.290925,2022-07-04T07:33:49,-146261,-2.437683333333333,96.46254781139501
1656909230,913300,2576246,0,2,1122784,2,1132839,2,1122784,2,1132791,81,13,0,2022-07-04T07:33:50,-135,-2.2347783333333333,1656909243.071889,2022-07-04T07:34:03,-134727,-2.24545,96.42433168592957
1656909242,121700,2587640,0,2,1122784,2,1132839,2,1122784,2,1132791,159,13,0,2022-07-04T07:34:02,-123,-2.0479716666666667,1656909253.300561,2022-07-04T07:34:13,-123333,-2.0555499999999998,97.70930673431118
1656909255,748700,2601081,0,2,1122784,2,1132839,2,1122784,2,1132791,230,13,0,2022-07-04T07:34:15,-110,-1.8208550000000001,1656909263.786413,2022-07-04T07:34:23,-109892,-1.8315333333333332,97.10247297048505
1656909280,305100,2625638,0,2,1122784,2,1132839,2,1122784,2,1132791,116,13,0,2022-07-04T07:34:40,-85,-1.4115816666666667,1656909288.142793,2022-07-04T07:34:48,-85335,-1.4222499999999998,97.1818618774414
1656909301,503000,2647099,0,2,1122784,2,1132839,2,1122784,2,1132791,240,13,0,2022-07-04T07:35:01,-64,-1.0582833333333332,1656909312.00992,2022-07-04T07:35:12,-63874,-1.0645666666666667,97.4447094254771
1656909338,243000,2683574,0,2,1122784,2,1132839,2,1122784,2,1132791,189,13,0,2022-07-04T07:35:38,-27,-0.44595,1656909345.842756,2022-07-04T07:35:45,-27399,-0.45665,98.23223839229938
1656909357,423400,2702754,0,2,1122784,2,1132839,2,1122784,2,1132791,47,13,0,2022-07-04T07:35:57,-8,-0.12627666666666668,1656909369.8492248,2022-07-04T07:36:09,-8219,-0.13698333333333332,97.60189056396484
