time_s,time_us,time_steady,count_tick,delta_time,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909134,763700,2481424,0,1042,17,13,0,2022-07-04T07:32:14,-231,-3.8372716666666666,1656909145.225272,2022-07-04T07:32:25,-229549,-3.825816666666667,96.66394831720646
1656909147,75200,2493411,0,1016,89,13,0,2022-07-04T07:32:27,-218,-3.63208,1656909155.7593398,2022-07-04T07:32:35,-217562,-3.6260333333333334,97.28958286001
1656909171,71900,2517684,0,1012,222,13,0,2022-07-04T07:32:51,-194,-3.232135,1656909180.398093,2022-07-04T07:33:00,-193289,-3.221483333333333,97.11650070557938
1656909182,305600,2528641,0,1018,40,13,0,2022-07-04T07:33:02,-183,-3.044906666666667,1656909193.7476878,2022-07-04T07:33:13,-182332,-3.0388666666666664,97.11509143104796
1656909189,876700,2536212,0,1015,84,13,0,2022-07-04T07:33:09,-176,-2.918721666666667,1656909204.480504,2022-07-04T07:33:24,-174761,-2.9126833333333333,96.26621199417383
1656909210,234200,2561569,1,1014,234,13,0,2022-07-04T07:33:30,-155,-2.5794300000000003,1656909228.229236,2022-07-04T07:33:48,-149404,-2.4900666666666664,96.63947059583836
1656909230,837300,2576171,0,1015,86,13,0,2022-07-04T07:33:50,-135,-2.236045,1656909239.374552,2022-07-04T07:33:59,-134802,-2.2466999999999997,96.4174910006533
1656909242,505100,2588024,0,1100,164,13,0,2022-07-04T07:34:02,-123,-2.0415816666666666,1656909252.6419199,2022-07-04T07:34:12,-122949,-2.04915,97.66443726791799
1656909277,380100,2622847,0,1221,103,13,0,2022-07-04T07:34:37,-88,-1.4603316666666666,1656909287.612597,2022-07-04T07:34:47,-88126,-1.4687666666666668,97.1818618774414
1656909325,473800,2670806,0,1083,121,13,0,2022-07-04T07:35:25,-40,-0.6587700000000001,1656909334.576473,2022-07-04T07:35:34,-40167,-0.66945,97.99339542753991
1656909337,460000,2682792,0,1366,184,13,0,2022-07-04T07:35:37,-28,-0.45899999999999996,1656909345.2844439,2022-07-04T07:35:45,-28181,-0.46968333333333334,98.21915087199413
1656909347,310100,2692642,0,1016,246,13,0,2022-07-04T07:35:47,-18,-0.2948316666666667,1656909355.9122329,2022-07-04T07:35:55,-18331,-0.30551666666666666,98.38379120885071
1656909358,73100,2703404,0,1073,51,13,0,2022-07-04T07:35:58,-7,-0.11544833333333333,1656909369.1593928,2022-07-04T07:36:09,-7569,-0.12615,97.60189056396484
