time_s,time_us,time_steady,red_sensor_raw[0],red_sensor_raw[1],red_sensor_raw[2],red_rb,co_conc,ox_sensor_raw[0],ox_sensor_raw[1],ox_sensor_raw[2],ox_rb,no2_conc,nh3_sensor_raw[0],nh3_sensor_raw[1],nh3_sensor_raw[2],nh3_rb,nh3_conc,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909107,571600,2454292,4056,3544,3026,3,0.11904919147491455,3743,166,70,1,0.15617644786834717,4023,2261,1628,2,0.03518455848097801,120,13,0,2022-07-04T07:31:47,-258,-4.290473333333334,1656909119.4059,2022-07-04T07:31:59,-256681,-4.278016666666667,96.2202590426895
1656909109,846800,2456183,4056,3543,3026,3,0.11904919147491455,3743,166,70,1,0.15617644786834717,4024,2261,1628,2,0.03518455848097801,129,13,0,2022-07-04T07:31:49,-256,-4.252553333333333,1656909126.5110679,2022-07-04T07:32:06,-254790,-4.2465,96.32603859696354
1656909123,826800,2470163,4057,3544,3027,3,0.1189212054014206,3742,165,70,1,0.1557045429944992,4023,2256,1625,2,0.03550649806857109,209,13,0,2022-07-04T07:32:03,-242,-4.0195533333333335,1656909134.758525,2022-07-04T07:32:14,-240810,-4.0135,96.9760026303457
1656909139,289000,2485625,4056,3542,3025,3,0.11917725205421448,3742,165,69,1,0.1557045429944992,4023,2256,1622,2,0.03550649806857109,41,13,0,2022-07-04T07:32:19,-226,-3.7618500000000004,1656909151.407577,2022-07-04T07:32:31,-225348,-3.7558000000000002,96.8988078530994
1656909148,664400,2495000,4055,3543,3025,3,0.11917725205421448,3741,166,69,1,0.15523526072502136,4022,2255,1621,2,0.03557121381163597,94,13,0,2022-07-04T07:32:28,-217,-3.605593333333333,1656909156.367588,2022-07-04T07:32:36,-215973,-3.5995500000000002,97.24881651017493
1656909155,437300,2501773,4056,3542,3024,3,0.11930535733699799,3743,166,70,1,0.15617644786834717,4023,2253,1619,2,0.03570098802447319,130,13,0,2022-07-04T07:32:35,-210,-3.4927116666666667,1656909164.9018168,2022-07-04T07:32:44,-209200,-3.4866666666666664,97.0750772635112
1656909163,490300,2509826,4055,3542,3024,3,0.11930535733699799,3742,165,69,1,0.1557045429944992,4023,2251,1617,2,0.03583121299743652,174,13,0,2022-07-04T07:32:43,-202,-3.358495,1656909173.177953,2022-07-04T07:32:53,-201147,-3.3524499999999997,96.9740581353327
1656909172,230600,2518566,4056,3541,3023,3,0.11943353712558746,3741,165,69,1,0.15523526072502136,4023,2249,1616,2,0.035961877554655075,227,13,0,2022-07-04T07:32:52,-193,-3.212823333333333,1656909181.029724,2022-07-04T07:33:01,-192407,-3.2067833333333335,97.1408583448289
1656909187,967900,2534303,4056,3541,3022,3,0.11956177651882172,3740,164,69,1,0.15476858615875244,4022,2247,1614,2,0.036093004047870636,63,13,0,2022-07-04T07:33:07,-178,-2.9505350000000004,1656909196.9213479,2022-07-04T07:33:16,-176670,-2.9444999999999997,96.54148150672631
1656909193,759500,2540509,4056,3539,3020,3,0.11981842666864395,3740,165,69,1,0.15476858615875244,4022,2246,1613,2,0.0361587293446064,99,13,0,2022-07-04T07:33:13,-172,-2.8540083333333333,1656909205.0093448,2022-07-04T07:33:25,-170464,-2.841066666666667,96.45507212599058
1656909200,583400,2546350,4056,3539,3020,3,0.11981842666864395,3739,164,69,1,0.15430450439453125,4022,2246,1612,2,0.0361587293446064,134,13,0,2022-07-04T07:33:20,-165,-2.7402766666666665,1656909213.2720559,2022-07-04T07:33:33,-164623,-2.7437166666666664,96.78698792219546
1656909204,760400,2556259,4056,3539,3019,3,0.11994683742523193,3740,164,69,1,0.15476858615875244,4022,2243,1610,2,0.0363566018640995,187,13,0,2022-07-04T07:33:24,-161,-2.67066,1656909221.075893,2022-07-04T07:33:41,-154714,-2.5785666666666667,96.80575504477795
1656909213,844400,2565179,4056,3537,3017,3,0.12020386010408401,3739,165,69,1,0.15430450439453125,4022,2240,1607,2,0.03655550256371498,250,13,0,2022-07-04T07:33:33,-152,-2.51926,1656909229.290925,2022-07-04T07:33:49,-145794,-2.4299000000000004,96.4361121864528
1656909229,821900,2575380,4056,3538,3018,3,0.12007532268762589,3739,164,69,1,0.15430450439453125,4022,2239,1606,2,0.03662203252315521,71,13,0,2022-07-04T07:33:49,-136,-2.2529683333333335,1656909238.1915479,2022-07-04T07:33:58,-135593,-2.2598833333333332,96.32609584500169
1656909236,700500,2582348,4056,3538,3018,3,0.12007532268762589,3739,164,69,1,0.15430450439453125,4021,2239,1605,2,0.03662203252315521,125,13,0,2022-07-04T07:33:56,-129,-2.138325,1656909245.79934,2022-07-04T07:34:05,-128625,-2.14375,97.11514985846685
1656909323,647800,2668980,4056,3537,3018,3,0.12007532268762589,3736,162,68,1,0.15292754769325256,4021,2223,1588,2,0.03770226985216141,110,13,0,2022-07-04T07:35:23,-42,-0.6892033333333334,1656909330.378872,2022-07-04T07:35:30,-41993,-0.6998833333333334,97.95834248602185
1656909329,947900,2675624,4058,3535,3013,3,0.12071862071752548,3736,162,68,1,0.15292754769325256,4021,2220,1586,2,0.0379081629216671,145,13,0,2022-07-04T07:35:29,-36,-0.5842016666666667,1656909338.0865319,2022-07-04T07:35:38,-35349,-0.58915,98.07928281288818
1656909338,440200,2683772,4056,3535,3012,3,0.12084744870662689,3735,162,69,1,0.152473583817482,4021,2219,1584,2,0.03797703608870506,190,13,0,2022-07-04T07:35:38,-27,-0.4426633333333333,1656909346.462832,2022-07-04T07:35:46,-27201,-0.45335000000000003,98.2355345085244
1656909346,366300,2691698,4056,3534,3012,3,0.12084744870662689,3736,162,68,1,0.15292754769325256,4021,2217,1584,2,0.03811512887477875,234,13,0,2022-07-04T07:35:46,-19,-0.3105616666666667,1656909354.727136,2022-07-04T07:35:54,-19275,-0.32125,98.36801598322607
1656909353,727700,2699383,4056,3533,3010,3,0.12110533565282822,3735,163,68,1,0.152473583817482,4021,2217,1583,2,0.03811512887477875,22,13,0,2022-07-04T07:35:53,-12,-0.18787166666666666,1656909363.004065,2022-07-04T07:36:03,-11590,-0.19316666666666665,98.05537076689373
1656909357,620600,2702952,4056,3536,3014,3,0.12058983743190765,3738,162,68,1,0.1538429856300354,4021,2217,1584,2,0.03811512887477875,48,13,0,2022-07-04T07:35:57,-8,-0.12299,1656909369.8492248,2022-07-04T07:36:09,-8021,-0.13368333333333335,97.60189056396484
