time_s,time_us,time_steady,temperature,pressure,altitude,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch
1656909104,765200,2451248,41.18000030517578,100176,96.08978271484375,99,13,2,2022-07-04T07:31:44,-261,-4.337246666666667,1656909114.198005,2022-07-04T07:31:54,-259725,-4.32875
1656909126,447700,2473130,40.9900016784668,100164,97.09785461425781,221,13,2,2022-07-04T07:32:06,-239,-3.975871666666667,1656909138.561028,2022-07-04T07:32:18,-237843,-3.96405
1656909137,717800,2484076,41.189998626708984,100171,96.50981140136719,29,13,2,2022-07-04T07:32:17,-228,-3.7880366666666663,1656909146.7959728,2022-07-04T07:32:26,-226897,-3.7816166666666664
1656909141,450200,2488182,40.939998626708984,100160,97.43387603759766,55,13,2,2022-07-04T07:32:21,-224,-3.72583,1656909155.177269,2022-07-04T07:32:35,-222791,-3.7131833333333333
1656909161,99100,2507457,41.150001525878906,100166,96.92984008789062,162,13,2,2022-07-04T07:32:41,-204,-3.3983483333333333,1656909171.3535159,2022-07-04T07:32:51,-203516,-3.3919333333333332
1656909170,184900,2516819,41.119998931884766,100164,97.09785461425781,215,13,2,2022-07-04T07:32:50,-195,-3.2469183333333334,1656909179.7533839,2022-07-04T07:32:59,-194154,-3.2359
1656909178,177400,2524535,41.06999969482422,100162,97.265869140625,2,13,2,2022-07-04T07:32:58,-187,-3.1137099999999998,1656909187.565192,2022-07-04T07:33:07,-186438,-3.1073
1656909185,77600,2531699,41.16999816894531,100165,97.01384735107422,50,13,2,2022-07-04T07:33:05,-180,-2.9987066666666666,1656909195.3251488,2022-07-04T07:33:15,-179274,-2.9879000000000002
1656909189,703700,2536061,41.400001525878906,100174,96.25779724121094,77,13,2,2022-07-04T07:33:09,-176,-2.921605,1656909203.86862,2022-07-04T07:33:23,-174912,-2.9152
1656909201,793200,2547582,41.22999954223633,100167,96.84583282470703,138,13,2,2022-07-04T07:33:21,-164,-2.720113333333333,1656909211.349988,2022-07-04T07:33:31,-163391,-2.723183333333333
1656909208,12200,2553801,41.25,100168,96.76183319091797,175,13,2,2022-07-04T07:33:28,-157,-2.6164633333333334,1656909219.318584,2022-07-04T07:33:39,-157172,-2.6195333333333335
1656909211,63200,2562420,41.369998931884766,100170,96.59381866455078,235,13,2,2022-07-04T07:33:31,-154,-2.5656133333333333,1656909227.7077599,2022-07-04T07:33:47,-148553,-2.4758833333333334
1656909224,396500,2569797,41.5099983215332,100179,95.83776092529297,32,13,2,2022-07-04T07:33:44,-141,-2.3433916666666668,1656909235.8181438,2022-07-04T07:33:55,-141176,-2.352933333333333
1656909232,796300,2578152,41.540000915527344,100170,96.59381866455078,97,13,2,2022-07-04T07:33:52,-133,-2.203395,1656909244.205072,2022-07-04T07:34:04,-132821,-2.2136833333333334
1656909241,603900,2587145,41.349998474121094,100156,97.76990509033203,155,13,2,2022-07-04T07:34:01,-124,-2.056601666666667,1656909252.0898728,2022-07-04T07:34:12,-123828,-2.0638
1656909249,499900,2595041,41.529998779296875,100167,96.84583282470703,200,13,2,2022-07-04T07:34:09,-116,-1.9250016666666667,1656909260.220813,2022-07-04T07:34:20,-115932,-1.9322000000000001
1656909257,681700,2603037,41.560001373291016,100163,97.1818618774414,245,13,2,2022-07-04T07:34:17,-108,-1.7886383333333333,1656909267.957057,2022-07-04T07:34:27,-107936,-1.7989333333333335
1656909291,538100,2636893,41.630001068115234,100163,97.1818618774414,184,13,2,2022-07-04T07:34:51,-74,-1.224365,1656909297.697757,2022-07-04T07:34:57,-74080,-1.2346666666666666
1656909313,831600,2659186,41.650001525878906,100156,97.76990509033203,53,13,2,2022-07-04T07:35:13,-52,-0.8528066666666666,1656909321.081893,2022-07-04T07:35:21,-51787,-0.8631166666666666
1656909335,712000,2681066,41.5099983215332,100151,98.18993377685547,175,13,2,2022-07-04T07:35:35,-30,-0.48813333333333336,1656909345.2844439,2022-07-04T07:35:45,-29907,-0.49845
1656909350,789500,2696467,41.540000915527344,100148,98.44194793701172,9,13,2,2022-07-04T07:35:50,-15,-0.23684166666666667,1656909361.224604,2022-07-04T07:36:01,-14506,-0.24176666666666666
1656909357,174400,2702528,41.779998779296875,100158,97.60189056396484,44,13,2,2022-07-04T07:35:57,-8,-0.13042666666666666,1656909369.1593928,2022-07-04T07:36:09,-8445,-0.14075000000000001
