time_s,time_us,time_steady,resets_count,reset_cause,active_oscillator,time_base,time_syncs_attempted,time_syncs_performed,last_time_sync_time_steady,last_time_sync_delta_s,last_time_sync_delta_us,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909122,504600,2468840,1,2,0,3,1695,583,2466626,0,364082,198,13,0,2022-07-04T07:32:02,-243,-4.04159,1656909136.082216,2022-07-04T07:32:16,-242133,-4.03555,96.91453035245316
1656909136,473800,2482809,1,2,0,3,1701,585,2481737,0,324190,22,13,0,2022-07-04T07:32:16,-229,-3.80877,1656909146.7959728,2022-07-04T07:32:26,-228164,-3.8027333333333333,96.57471994315794
1656909159,757100,2506092,1,2,0,3,1716,589,2497764,0,155474,155,13,0,2022-07-04T07:32:39,-206,-3.420715,1656909171.3535159,2022-07-04T07:32:51,-204881,-3.4146833333333335,96.96426523354798
1656909173,124400,2519459,1,2,0,3,1726,591,2518120,0,276582,234,13,0,2022-07-04T07:32:53,-192,-3.1979266666666666,1656909185.0949,2022-07-04T07:33:05,-191514,-3.1919,97.15964738251009
1656909182,255600,2528590,1,2,0,3,1733,593,2526158,0,154332,33,13,0,2022-07-04T07:33:02,-183,-3.0457400000000003,1656909195.3251488,2022-07-04T07:33:15,-182383,-3.0397166666666666,97.11691762296667
1656909202,405200,2548171,1,2,0,3,1745,597,2544681,0,982916,141,13,0,2022-07-04T07:33:22,-163,-2.709913333333333,1656909218.677064,2022-07-04T07:33:38,-162802,-2.7133666666666665,96.83756657999263
1656909209,978200,2561312,1,2,0,3,1752,601,2559491,0,294595,227,13,0,2022-07-04T07:33:29,-156,-2.583696666666667,1656909229.9334688,2022-07-04T07:33:49,-149661,-2.49435,96.6535681765496
1656909233,41300,2578374,1,2,0,3,1764,604,2575652,0,224610,101,13,0,2022-07-04T07:33:53,-132,-2.1993116666666666,1656909243.5952408,2022-07-04T07:34:03,-132599,-2.209983333333333,96.62653372589739
1656909256,839700,2602172,1,2,0,3,1779,608,2595242,0,185834,238,13,0,2022-07-04T07:34:16,-109,-1.8026716666666667,1656909267.957057,2022-07-04T07:34:27,-108801,-1.81335,97.14728067741179
1656909280,305100,2625637,1,2,0,3,1800,616,2625587,0,254126,115,13,0,2022-07-04T07:34:40,-85,-1.4115816666666667,1656909289.178664,2022-07-04T07:34:49,-85336,-1.4222666666666666,97.1818618774414
1656909289,462100,2634794,1,2,0,3,1803,616,2625587,0,254126,168,13,0,2022-07-04T07:34:49,-76,-1.258965,1656909301.8625998,2022-07-04T07:35:01,-76179,-1.26965,97.1818618774414
1656909303,249400,2648955,1,2,0,3,1808,618,2647767,-1,890210,248,13,0,2022-07-04T07:35:03,-62,-1.0291766666666666,1656909312.00992,2022-07-04T07:35:12,-62018,-1.0336333333333334,97.49077481076843
1656909336,220000,2681551,1,2,0,3,1830,624,2675896,0,344324,178,13,0,2022-07-04T07:35:36,-29,-0.4796666666666667,1656909346.462832,2022-07-04T07:35:46,-29422,-0.4903666666666667,98.19842478619782
1656909354,883500,2700538,1,2,0,3,1847,627,2695255,-1,676408,29,13,0,2022-07-04T07:35:54,-11,-0.16860833333333333,1656909370.341073,2022-07-04T07:36:10,-10435,-0.17391666666666666,97.90330287048697
