time_s,time_us,time_steady,gps_init_error,gps_config_error,lsm6ds3_error,lis3mdl_error,analog_sensor_init_error,gps_uart_init_error,mems_i2c_error,timers_error,rtc_error,mems_i2c_error_counter,lsm6ds3_error_counter,lis3mdl_error_counter,gps_reconfig_counter,osc_source,reset_counter,reset_cause,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909127,436000,2472253,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,186,11,0,2022-07-04T07:32:07,-238,-3.9594,1656909136.735312,2022-07-04T07:32:16,-238720,-3.978666666666667,97.04628780408756
1656909138,645000,2483462,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,249,11,0,2022-07-04T07:32:18,-227,-3.772583333333333,1656909147.3251119,2022-07-04T07:32:27,-227511,-3.7918499999999997,96.73936684309714
1656909163,85000,2507902,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,170,11,0,2022-07-04T07:32:43,-202,-3.36525,1656909171.996376,2022-07-04T07:32:51,-203071,-3.384516666666667,96.96656333162399
1656909176,337000,2521154,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,36,11,0,2022-07-04T07:32:56,-189,-3.1443833333333333,1656909185.651733,2022-07-04T07:33:05,-189819,-3.1636499999999996,97.22718112882316
1656909187,552000,2532369,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,99,11,0,2022-07-04T07:33:07,-178,-2.957466666666667,1656909195.872232,2022-07-04T07:33:15,-178604,-2.9767333333333337,96.6094526359047
1656909199,769000,2544585,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,191,11,0,2022-07-04T07:33:19,-166,-2.75385,1656909206.065656,2022-07-04T07:33:26,-166388,-2.7731333333333335,96.7473753510222
1656909209,947000,2554764,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,225,11,0,2022-07-04T07:33:29,-156,-2.584216666666667,1656909219.318584,2022-07-04T07:33:39,-156209,-2.6034833333333336,96.65528631919878
1656909222,167000,2566984,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,54,11,0,2022-07-04T07:33:42,-143,-2.38055,1656909230.4836528,2022-07-04T07:33:50,-143989,-2.3998166666666667,95.96418354607516
1656909234,389000,2579205,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,147,11,0,2022-07-04T07:33:54,-131,-2.17685,1656909244.205072,2022-07-04T07:34:04,-131768,-2.1961333333333335,96.80649326947628
1656909257,803000,2602619,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,46,11,0,2022-07-04T07:34:17,-108,-1.7866166666666667,1656909267.957057,2022-07-04T07:34:27,-108354,-1.8059,97.1818618774414
1656909339,270000,2684085,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,48,11,0,2022-07-04T07:35:39,-26,-0.42883333333333334,1656909347.041656,2022-07-04T07:35:47,-26888,-0.4481333333333334,98.2494042714226
1656909358,620000,2703435,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,88,11,0,2022-07-04T07:35:58,-7,-0.10633333333333334,1656909370.341073,2022-07-04T07:36:10,-7538,-0.12563333333333335,97.60189056396484
