time_s,time_us,time_steady,ofs_i,mag_i,ofs_q,mag_q,post_status,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909110,984000,2455802,-8,120,5,121,0,225,11,0,2022-07-04T07:31:50,-255,-4.2336,1656909120.5823488,2022-07-04T07:32:00,-255171,-4.25285,96.37890977713252
1656909134,966000,2479783,-13,102,7,100,0,144,11,0,2022-07-04T07:32:14,-231,-3.8339,1656909144.7200599,2022-07-04T07:32:24,-231190,-3.8531666666666666,96.65339285257281
1656909142,918000,2487735,-18,100,13,95,0,116,11,0,2022-07-04T07:32:22,-223,-3.7013666666666665,1656909155.177269,2022-07-04T07:32:35,-223238,-3.7206333333333332,97.39622385518643
1656909171,946000,2516763,-66,78,16,124,0,164,11,0,2022-07-04T07:32:51,-194,-3.217566666666667,1656909179.7533839,2022-07-04T07:32:59,-194210,-3.2368333333333337,97.13487561924815
1656909184,950000,2529767,-7,115,6,110,0,24,11,0,2022-07-04T07:33:04,-181,-3.0008333333333335,1656909193.7476878,2022-07-04T07:33:13,-181206,-3.0201,97.01850779285078
1656909191,977000,2536794,-9,152,3,149,0,225,11,0,2022-07-04T07:33:11,-174,-2.8837166666666665,1656909203.86862,2022-07-04T07:33:23,-174179,-2.9029833333333332,96.36837098635851
1656909201,954000,2546771,-10,131,6,127,0,255,11,0,2022-07-04T07:33:21,-164,-2.717433333333333,1656909213.930577,2022-07-04T07:33:33,-164202,-2.7367,96.84366090942913
1656909217,981000,2562798,-12,141,3,133,0,189,11,0,2022-07-04T07:33:37,-148,-2.4503166666666667,1656909227.7077599,2022-07-04T07:33:47,-148175,-2.4695833333333335,96.20154846672746
1656909229,951000,2574767,-9,115,2,110,0,18,11,0,2022-07-04T07:33:49,-136,-2.2508166666666667,1656909238.7467718,2022-07-04T07:33:58,-136206,-2.2701,96.33771600906967
1656909242,938000,2587754,-15,76,-3,80,0,134,11,0,2022-07-04T07:34:02,-123,-2.0343666666666667,1656909252.6419199,2022-07-04T07:34:12,-123219,-2.0536499999999998,97.61377479530033
1656909254,948000,2599764,-10,118,4,114,0,222,11,0,2022-07-04T07:34:14,-111,-1.8342,1656909262.715509,2022-07-04T07:34:22,-111209,-1.8534833333333334,97.06958797420985
1656909278,922000,2623738,-14,109,6,106,0,125,11,0,2022-07-04T07:34:38,-87,-1.4346333333333334,1656909287.096736,2022-07-04T07:34:47,-87235,-1.4539166666666667,97.1818618774414
1656909290,989000,2635805,-15,96,12,92,0,214,11,0,2022-07-04T07:34:50,-75,-1.2335166666666666,1656909297.169889,2022-07-04T07:34:57,-75168,-1.2528000000000001,97.1818618774414
1656909335,998000,2680813,-14,132,9,129,0,208,11,0,2022-07-04T07:35:35,-30,-0.48336666666666667,1656909344.757556,2022-07-04T07:35:44,-30160,-0.5026666666666667,98.19471414825688
