time_s,time_us,time_steady,num_vis,num_ch,satellites_total,satellites_with_ephs,satellites_with_alms,satellites_with_ephs_and_alms,sattelites_healthy,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909105,845000,2450663,15,71,71,3,26,3,71,81,11,0,2022-07-04T07:31:45,-260,-4.319249999999999,1656909113.661485,2022-07-04T07:31:53,-260310,-4.3385,96.13998523009741
1656909111,851000,2456669,15,71,71,3,26,3,71,249,11,0,2022-07-04T07:31:51,-254,-4.21915,1656909126.5110679,2022-07-04T07:32:06,-254304,-4.2384,96.41921870538305
1656909128,855000,2473672,16,71,71,4,26,3,70,224,11,0,2022-07-04T07:32:08,-237,-3.93575,1656909137.2431169,2022-07-04T07:32:17,-237301,-3.9550166666666664,96.97224823752721
1656909140,832000,2485649,16,71,71,4,26,3,70,55,11,0,2022-07-04T07:32:20,-225,-3.7361333333333335,1656909147.8414478,2022-07-04T07:32:27,-225324,-3.7554000000000003,97.28082257116381
1656909164,961000,2509778,16,71,71,4,26,3,70,218,11,0,2022-07-04T07:32:44,-201,-3.3339833333333333,1656909172.6279118,2022-07-04T07:32:52,-201195,-3.35325,97.0012543056125
1656909177,805000,2522622,16,71,71,4,26,3,70,75,11,0,2022-07-04T07:32:57,-188,-3.1199166666666667,1656909186.262384,2022-07-04T07:33:06,-188351,-3.1391833333333334,97.25804072528322
1656909189,840000,2534657,16,71,71,4,26,3,70,163,11,0,2022-07-04T07:33:09,-176,-2.9193333333333333,1656909196.4105608,2022-07-04T07:33:16,-176316,-2.9386,96.26442689918112
1656909200,836000,2545653,16,71,71,4,26,3,70,222,11,0,2022-07-04T07:33:20,-165,-2.7360666666666664,1656909209.600229,2022-07-04T07:33:29,-165320,-2.755333333333333,96.79927443432508
1656909210,853000,2555670,16,71,71,4,26,3,70,247,11,0,2022-07-04T07:33:30,-155,-2.5691166666666665,1656909219.975853,2022-07-04T07:33:39,-155303,-2.5883833333333333,96.60539409996291
1656909223,890000,2568707,16,71,71,4,26,3,70,99,11,0,2022-07-04T07:33:43,-142,-2.3518333333333334,1656909231.1492648,2022-07-04T07:33:51,-142266,-2.3710999999999998,95.86648174046506
1656909235,958000,2580775,16,71,71,4,26,3,70,188,11,0,2022-07-04T07:33:55,-130,-2.1507,1656909245.372568,2022-07-04T07:34:05,-130198,-2.169966666666667,97.01600319295723
1656909243,805000,2588622,16,71,71,4,26,3,70,158,11,0,2022-07-04T07:34:03,-122,-2.0199166666666666,1656909255.536633,2022-07-04T07:34:15,-122351,-2.0391833333333333,97.51230941355047
1656909283,863000,2628679,16,71,71,4,26,3,70,9,11,0,2022-07-04T07:34:43,-82,-1.3522833333333333,1656909293.2467358,2022-07-04T07:34:53,-82294,-1.3715666666666666,97.1818618774414
1656909341,857000,2686673,16,71,71,4,26,3,70,119,11,0,2022-07-04T07:35:41,-24,-0.38571666666666665,1656909351.349176,2022-07-04T07:35:51,-24300,-0.405,98.2926449036444
1656909352,860000,2697675,16,71,71,4,26,3,70,178,11,0,2022-07-04T07:35:52,-13,-0.20233333333333334,1656909363.0025558,2022-07-04T07:36:03,-13298,-0.22163333333333332,98.16953352317697
1656909364,877000,2709692,16,71,71,4,26,3,70,10,11,0,2022-07-04T07:36:04,-1,-0.00205,1656909372.05582,2022-07-04T07:36:12,-1281,-0.021349999999999997,97.60189056396484
