time_s,time_us,time_steady,temperature,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909111,818467,2458005,30.8125,59,10,1,2022-07-04T07:31:51,-254,-4.219692216666667,1656909121.68786,2022-07-04T07:32:01,-252968,-4.2161333333333335,96.41770616747904
1656909128,818454,2475037,30.875,197,10,1,2022-07-04T07:32:08,-237,-3.9363590999999998,1656909138.029744,2022-07-04T07:32:18,-235936,-3.9322666666666666,96.97415510856281
1656909158,978474,2505195,30.9375,193,10,1,2022-07-04T07:32:38,-207,-3.4336921,1656909170.256892,2022-07-04T07:32:50,-205778,-3.4296333333333333,96.98423864149329
1656909176,978466,2523195,31.0625,89,10,1,2022-07-04T07:32:56,-189,-3.1336922333333335,1656909186.262384,2022-07-04T07:33:06,-187778,-3.129633333333333,97.24066572140003
1656909193,981352,2540165,31.0625,231,10,1,2022-07-04T07:33:13,-172,-2.8503108000000004,1656909202.692489,2022-07-04T07:33:22,-170808,-2.8468,96.46586304954157
1656909206,556683,2552175,31.125,75,10,1,2022-07-04T07:33:26,-159,-2.64072195,1656909214.4723248,2022-07-04T07:33:34,-158798,-2.6466333333333334,96.78149276560421
1656909222,989538,2568239,31.0625,207,10,1,2022-07-04T07:33:42,-143,-2.366841033333333,1656909231.1492648,2022-07-04T07:33:51,-142734,-2.3789000000000002,95.91754196291619
1656909240,999334,2586191,31.0625,103,10,1,2022-07-04T07:34:00,-125,-2.0666777666666665,1656909248.0110679,2022-07-04T07:34:08,-124782,-2.0797,97.68917687082968
1656909288,19308,2633210,31.125,237,10,1,2022-07-04T07:34:48,-77,-1.2830115333333334,1656909295.069536,2022-07-04T07:34:55,-77763,-1.2960500000000001,97.1818618774414
1656909318,19310,2663205,31.0625,233,10,1,2022-07-04T07:35:18,-47,-0.7830115000000001,1656909326.215057,2022-07-04T07:35:26,-47768,-0.7961333333333334,97.85029476926117
1656909362,49299,2707234,31.0,93,10,1,2022-07-04T07:36:02,-3,-0.04917835,1656909370.86424,2022-07-04T07:36:10,-3739,-0.062316666666666666,97.60189056396484
