time_s,time_us,time_steady,is_open[0],is_open[1],is_open[2],is_open[3],seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909123,829000,2457497,1,1,1,1,147,12,0,2022-07-04T07:32:03,-242,-4.019516666666666,1656909130.7857208,2022-07-04T07:32:10,-253476,-4.2246,96.62556425816076
1656909135,649000,2469297,1,1,1,1,21,12,0,2022-07-04T07:32:15,-230,-3.8225166666666666,1656909144.846108,2022-07-04T07:32:24,-241676,-4.027933333333333,97.30394252777735
1656909142,175000,2476097,1,1,1,1,95,12,0,2022-07-04T07:32:22,-223,-3.7137499999999997,1656909155.4123049,2022-07-04T07:32:35,-234876,-3.9146,97.42388002717853
1656909158,322000,2491997,1,1,1,1,14,12,0,2022-07-04T07:32:38,-207,-3.4446333333333334,1656909169.357545,2022-07-04T07:32:49,-218976,-3.6496,97.05481648804981
1656909170,866000,2504697,1,1,1,1,154,12,0,2022-07-04T07:32:50,-195,-3.2355666666666663,1656909180.0416489,2022-07-04T07:33:00,-206276,-3.4379333333333335,97.11217237389606
1656909184,199000,2517597,1,1,1,1,40,12,0,2022-07-04T07:33:04,-181,-3.01335,1656909193.404028,2022-07-04T07:33:13,-193376,-3.222933333333333,96.73922956422045
1656909191,322000,2524597,1,1,1,1,117,12,0,2022-07-04T07:33:11,-174,-2.894633333333333,1656909203.546737,2022-07-04T07:33:23,-186376,-3.106266666666667,96.33651166155684
1656909201,207000,2534897,1,1,1,1,230,12,0,2022-07-04T07:33:21,-164,-2.7298833333333334,1656909213.539461,2022-07-04T07:33:33,-176076,-2.9346,96.81731994501429
1656909211,939000,2550197,1,1,1,1,142,12,0,2022-07-04T07:33:31,-154,-2.551016666666667,1656909227.323225,2022-07-04T07:33:47,-160776,-2.6796,96.59381866455078
1656909231,2000,2562997,1,1,1,1,27,12,0,2022-07-04T07:33:51,-134,-2.2333,1656909238.4197369,2022-07-04T07:33:58,-147976,-2.466266666666667,96.59381866455078
1656909243,461000,2575597,1,1,1,1,166,12,0,2022-07-04T07:34:03,-122,-2.02565,1656909252.3100998,2022-07-04T07:34:12,-135376,-2.256266666666667,97.55256788104984
1656909268,29000,2599997,1,1,1,1,178,12,0,2022-07-04T07:34:28,-97,-1.6161833333333333,1656909276.7156088,2022-07-04T07:34:36,-110976,-1.8496,98.01726600537968
1656909300,675000,2633297,1,1,1,1,33,12,0,2022-07-04T07:35:00,-65,-1.0720833333333333,1656909310.4415798,2022-07-04T07:35:10,-77676,-1.2946,97.895901078508
1656909313,825000,2645797,1,1,1,1,170,12,0,2022-07-04T07:35:13,-52,-0.8529166666666667,1656909320.724452,2022-07-04T07:35:20,-65176,-1.0862666666666667,97.77009397002418
1656909324,648000,2656697,1,1,1,1,34,12,0,2022-07-04T07:35:24,-41,-0.6725333333333333,1656909330.5975769,2022-07-04T07:35:30,-54276,-0.9046000000000001,98.42723930406298
1656909335,829000,2667797,1,1,1,1,156,12,0,2022-07-04T07:35:35,-30,-0.4861833333333333,1656909344.368237,2022-07-04T07:35:44,-43176,-0.7196,98.19625194663
1656909347,275000,2679097,1,1,1,1,24,12,0,2022-07-04T07:35:47,-18,-0.2954166666666667,1656909354.919229,2022-07-04T07:35:54,-31876,-0.5312666666666667,98.52284322332531
1656909358,727000,2690197,1,1,1,1,146,12,0,2022-07-04T07:35:58,-7,-0.10454999999999999,1656909368.213605,2022-07-04T07:36:08,-20776,-0.34626666666666667,97.83355681162462
1656909381,240000,2712897,1,1,1,1,140,12,0,2022-07-04T07:36:21,16,0.27066666666666667,1656909388.8539488,2022-07-04T07:36:28,1924,0.03206666666666667,182.99171401236686
1656909393,540000,2724897,1,1,1,1,16,12,0,2022-07-04T07:36:33,28,0.4756666666666666,1656909402.3959439,2022-07-04T07:36:42,13924,0.23206666666666667,256.4450707895577
1656909405,56000,2736897,1,1,1,1,148,12,0,2022-07-04T07:36:45,40,0.6676,1656909412.948544,2022-07-04T07:36:52,25924,0.43206666666666665,330.81016713399
1656909411,29000,2742597,1,1,1,1,211,12,0,2022-07-04T07:36:51,46,0.7671500000000001,1656909428.1797159,2022-07-04T07:37:08,31624,0.5270666666666667,368.9597268074182
1656909429,578000,2760697,1,1,1,1,154,12,0,2022-07-04T07:37:09,64,1.0763,1656909438.8301718,2022-07-04T07:37:18,49724,0.8287333333333333,481.25853359991476
1656909442,760000,2773997,1,1,1,1,44,12,0,2022-07-04T07:37:22,77,1.296,1656909449.614177,2022-07-04T07:37:29,63024,1.0504,558.3253889211755
1656909456,94000,2787197,1,1,1,1,189,12,0,2022-07-04T07:37:36,91,1.5182333333333333,1656909463.325645,2022-07-04T07:37:43,76224,1.2704,645.395927964034
1656909467,182000,2797997,1,1,1,1,52,12,0,2022-07-04T07:37:47,102,1.7030333333333334,1656909473.8251798,2022-07-04T07:37:53,87024,1.4504,717.513163103656
1656909479,901000,2810897,1,1,1,1,194,12,0,2022-07-04T07:37:59,114,1.9150166666666666,1656909487.3856199,2022-07-04T07:38:07,99924,1.6654000000000002,794.4551964435229
1656909491,23000,2821897,1,1,1,1,59,12,0,2022-07-04T07:38:11,126,2.1003833333333333,1656909498.176512,2022-07-04T07:38:18,110924,1.8487333333333333,857.0204417701947
1656909503,61000,2833897,1,1,1,1,191,12,0,2022-07-04T07:38:23,138,2.301016666666667,1656909511.7383249,2022-07-04T07:38:31,122924,2.0487333333333333,926.4045647869275
1656909515,462000,2846297,1,1,1,1,72,12,0,2022-07-04T07:38:35,150,2.5077,1656909522.379484,2022-07-04T07:38:42,135324,2.2554000000000003,1001.607030001919
1656909526,857000,2857797,1,1,1,1,198,12,0,2022-07-04T07:38:46,161,2.6976166666666668,1656909536.380841,2022-07-04T07:38:56,146824,2.4470666666666667,1068.8764406961968
1656909539,852000,2870397,1,1,1,1,81,12,0,2022-07-04T07:38:59,174,2.9142,1656909547.0573769,2022-07-04T07:39:07,159424,2.6570666666666667,1147.8114363959505
