time_s,time_us,time_steady,resets_count,reset_cause,active_oscillator,time_base,time_syncs_attempted,time_syncs_performed,last_time_sync_time_steady,last_time_sync_delta_s,last_time_sync_delta_us,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909117,166000,2451290,1,2,1,3,1642,257,2442189,0,405,181,12,0,2022-07-04T07:31:57,-248,-4.130566666666667,1656909127.973737,2022-07-04T07:32:07,-259683,-4.32805,96.6077382946133
1656909141,401000,2475290,1,2,1,3,1659,259,2467679,0,842,72,12,0,2022-07-04T07:32:21,-224,-3.72665,1656909152.309188,2022-07-04T07:32:32,-235683,-3.92805,97.4327740709902
1656909153,294000,2487290,1,2,1,3,1665,260,2482576,0,696,89,12,0,2022-07-04T07:32:33,-212,-3.528433333333333,1656909163.404408,2022-07-04T07:32:43,-223683,-3.72805,97.27053339383106
1656909165,677000,2499290,1,2,1,3,1674,262,2497104,0,469,23,12,0,2022-07-04T07:32:45,-200,-3.32205,1656909177.018889,2022-07-04T07:32:57,-211683,-3.52805,97.01449457073818
1656909177,819000,2511290,1,2,1,3,1681,263,2508566,0,633,255,12,0,2022-07-04T07:32:57,-188,-3.1196833333333336,1656909187.132849,2022-07-04T07:33:07,-199683,-3.3280499999999997,97.25833502661186
1656909200,624000,2534290,1,2,1,3,1696,265,2522107,0,299,222,12,0,2022-07-04T07:33:20,-165,-2.7396000000000003,1656909211.019976,2022-07-04T07:33:31,-176683,-2.9447166666666664,96.78896271393127
1656909249,884000,2582290,1,2,1,3,1724,270,2571330,0,309,173,12,0,2022-07-04T07:34:09,-116,-1.9186,1656909259.332341,2022-07-04T07:34:19,-128683,-2.1447166666666666,96.86160793032624
1656909262,129000,2594290,1,2,1,3,1735,272,2590767,0,450,70,12,0,2022-07-04T07:34:22,-103,-1.7145166666666667,1656909269.965196,2022-07-04T07:34:29,-116683,-1.9447166666666669,97.6286490026855
1656909274,69000,2606290,1,2,1,3,1745,273,2597532,0,410,199,12,0,2022-07-04T07:34:34,-91,-1.5155166666666666,1656909280.7768278,2022-07-04T07:34:40,-104683,-1.7447166666666667,97.55128143342978
1656909283,393000,2615290,1,2,1,3,1754,275,2613069,0,320,4,12,0,2022-07-04T07:34:43,-82,-1.3601166666666666,1656909294.020377,2022-07-04T07:34:54,-95683,-1.5947166666666668,97.59682523213448
1656909292,990000,2625290,1,2,1,3,1757,275,2613069,0,320,193,12,0,2022-07-04T07:34:52,-73,-1.2001666666666668,1656909304.492637,2022-07-04T07:35:04,-85683,-1.42805,97.68203467924415
1656909307,42000,2639290,1,2,1,3,1763,276,2633743,0,948,39,12,0,2022-07-04T07:35:07,-58,-0.9659666666666666,1656909318.083804,2022-07-04T07:35:18,-71683,-1.1947166666666669,97.9642107809098
1656909316,579000,2648290,1,2,1,3,1771,278,2646118,0,353,181,12,0,2022-07-04T07:35:16,-49,-0.8070166666666666,1656909328.365017,2022-07-04T07:35:28,-62683,-1.0447166666666667,97.93687007117634
1656909330,544000,2662290,1,2,1,3,1780,279,2658613,0,922,168,12,0,2022-07-04T07:35:30,-35,-0.5742666666666667,1656909338.277308,2022-07-04T07:35:38,-48683,-0.8113833333333333,98.4593426671727
1656909341,702000,2673290,1,2,1,3,1787,280,2669984,0,552,10,12,0,2022-07-04T07:35:41,-24,-0.38830000000000003,1656909351.448628,2022-07-04T07:35:51,-37683,-0.62805,98.51340246873079
1656909365,535000,2697290,1,2,1,3,1802,282,2686709,0,345,29,12,0,2022-07-04T07:36:05,0,0.008916666666666666,1656909372.2527518,2022-07-04T07:36:12,-13683,-0.22805,98.84939077663026
1656909368,415000,2700290,1,2,1,3,1804,282,2686709,0,345,98,12,0,2022-07-04T07:36:08,3,0.056916666666666664,1656909384.804761,2022-07-04T07:36:24,-10683,-0.17804999999999999,110.52532751748257
1656909386,849000,2718290,1,2,1,3,1813,284,2715514,0,685,116,12,0,2022-07-04T07:36:26,21,0.36415000000000003,1656909395.3561518,2022-07-04T07:36:35,7317,0.12195,216.40455965247529
1656909398,716000,2730290,1,2,1,3,1819,285,2721069,0,317,14,12,0,2022-07-04T07:36:38,33,0.5619333333333334,1656909408.9272609,2022-07-04T07:36:48,19317,0.32195,287.8441939612872
1656909410,734000,2742290,1,2,1,3,1829,286,2738134,0,502,54,12,0,2022-07-04T07:36:50,45,0.7622333333333333,1656909419.3082929,2022-07-04T07:36:59,31317,0.52195,367.25197613467077
