time_s,time_us,time_steady,update_time_operator,update_time_radio,last_packet_time,last_packet_rssi,last_packet_snr,last_packet_signal_rssi,last_executed_cmd_seq,radio_error_bits,radio_state,count_packet_recieved,count_crc_errors,count_hdr_errors,count_mavlink_msgs_recieved,count_operator_cmds_recieved,count_operator_cmds_executed,count_operator_errors,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909106,929104,2453004,2452983,2453004,0,-21,-4,-21,0,0,5,0,0,0,0,0,0,0,191,10,0,2022-07-04T07:31:46,-259,-4.3011816000000005,1656909117.984652,2022-07-04T07:31:57,-257969,-4.299483333333333,96.3812655430404
1656909119,927957,2466003,2466003,2465993,0,-21,-4,-21,0,0,4,0,0,0,0,0,0,0,230,10,0,2022-07-04T07:31:59,-246,-4.08453405,1656909128.6075358,2022-07-04T07:32:08,-244970,-4.082833333333333,96.46342071258508
1656909142,927966,2489003,2489003,2488993,0,-21,-4,-21,0,0,4,0,0,0,0,0,0,0,43,10,0,2022-07-04T07:32:22,-223,-3.7012005666666665,1656909152.86184,2022-07-04T07:32:32,-221970,-3.6995,97.41349556804326
1656909153,928138,2500003,2499993,2500003,0,-21,-4,-21,0,0,4,0,0,0,0,0,0,0,76,10,0,2022-07-04T07:32:33,-212,-3.5178643666666667,1656909163.404408,2022-07-04T07:32:43,-210970,-3.5161666666666664,97.25255119531863
1656909166,928278,2513004,2513003,2512913,0,-21,-4,-21,0,0,4,0,0,0,0,0,0,0,115,10,0,2022-07-04T07:32:46,-199,-3.3011953666666667,1656909177.7000248,2022-07-04T07:32:57,-197969,-3.2994833333333333,97.03763319150066
1656909179,928175,2526003,2525983,2526003,0,-21,-4,-21,0,0,5,0,0,0,0,0,0,0,154,10,0,2022-07-04T07:32:59,-186,-3.0845304166666665,1656909187.684365,2022-07-04T07:33:07,-184970,-3.0828333333333333,97.11274913856913
1656909191,938104,2538013,2538003,2538013,0,-21,-4,-21,0,0,4,0,0,0,0,0,0,0,190,10,0,2022-07-04T07:33:11,-174,-2.884364933333333,1656909201.198741,2022-07-04T07:33:21,-172960,-2.8826666666666667,96.36647907750739
1656909203,496156,2549003,2549003,2548763,0,-21,-4,-21,0,0,4,0,0,0,0,0,0,0,223,10,0,2022-07-04T07:33:23,-162,-2.691730733333333,1656909211.749001,2022-07-04T07:33:31,-161970,-2.6995,96.82283110733142
1656909207,928495,2559003,2559003,2558983,0,-21,-4,-21,0,0,5,0,0,0,0,0,0,0,253,10,0,2022-07-04T07:33:27,-158,-2.6178584166666665,1656909221.802512,2022-07-04T07:33:41,-151970,-2.5328333333333335,96.76296378897976
1656909250,929172,2596003,2596003,2595865,0,-21,-4,-21,0,0,4,0,0,0,0,0,0,0,108,10,0,2022-07-04T07:34:10,-115,-1.9011804666666667,1656909260.462121,2022-07-04T07:34:20,-114970,-1.9161666666666666,96.90453346714021
