time_s,time_us,time_steady,sd_last_error,sd_error_count,sd_elapsed_time_from_msg,sd_last_state,imi_last_error,imi_error_count,imi_elapsed_time_from_msg,imi_last_state,sins_comm_last_error,sins_comm_error_count,sins_comm_elapsed_time_from_msg,sins_comm_last_state,wifi_last_error,wifi_error_count,wifi_elapsed_time_from_msg,wifi_last_state,network_last_error,network_error_count,network_elapsed_time_from_msg,network_last_state,sensors_last_error,sensors_error_count,sensors_elapsed_time_from_msg,sensors_last_state,time_sync_last_error,time_sync_error_count,time_sync_elapsed_time_from_msg,time_sync_last_state,radio_last_error,radio_error_count,radio_elapsed_time_from_msg,radio_last_state,shift_reg_last_error,shift_reg_error_count,shift_reg_elapsed_time_from_msg,shift_reg_last_state,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909120,927965,2467003,0,0,52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261414400,235,10,0,2022-07-04T07:32:00,-245,-4.06786725,1656909129.693812,2022-07-04T07:32:09,-243970,-4.066166666666667,96.4111683652209
1656909132,928227,2479003,0,0,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261414400,15,10,0,2022-07-04T07:32:12,-233,-3.8678628833333333,1656909143.182132,2022-07-04T07:32:23,-231970,-3.8661666666666665,97.24300348321513
1656909143,927922,2490003,0,0,699,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261414400,48,10,0,2022-07-04T07:32:23,-222,-3.6845346333333335,1656909153.6527328,2022-07-04T07:32:33,-220970,-3.6828333333333334,97.39970476976143
1656909154,930209,2501005,0,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261414400,81,10,0,2022-07-04T07:32:34,-211,-3.5011631833333334,1656909164.555521,2022-07-04T07:32:44,-209968,-3.4994666666666663,97.20745551050933
1656909167,928122,2514003,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261414400,120,10,0,2022-07-04T07:32:47,-198,-3.2845313,1656909178.229992,2022-07-04T07:32:58,-196970,-3.2828333333333335,97.05612229714914
1656909180,928352,2527003,0,0,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261414400,159,10,0,2022-07-04T07:33:00,-185,-3.0678608,1656909188.762537,2022-07-04T07:33:08,-183970,-3.0661666666666667,97.02527524598085
1656909192,938100,2539013,0,0,672,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261414400,195,10,0,2022-07-04T07:33:12,-173,-2.8676983333333337,1656909202.3792648,2022-07-04T07:33:22,-171960,-2.866,96.41511907348355
1656909204,496150,2550003,0,0,719,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261414400,228,10,0,2022-07-04T07:33:24,-161,-2.6750641666666666,1656909212.3445919,2022-07-04T07:33:32,-160970,-2.6828333333333334,96.80932425256519
1656909208,928473,2560003,0,0,94,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261414400,2,10,0,2022-07-04T07:33:28,-157,-2.6011921166666667,1656909226.032521,2022-07-04T07:33:46,-150970,-2.5161666666666664,96.71137525118738
1656909226,928786,2572003,0,0,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261414400,38,10,0,2022-07-04T07:33:46,-139,-2.3011869,1656909236.556104,2022-07-04T07:33:56,-138970,-2.3161666666666667,96.59381866455078
1656909251,929168,2597003,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261414400,113,10,0,2022-07-04T07:34:11,-114,-1.8845138666666665,1656909261.0016,2022-07-04T07:34:21,-113970,-1.8995,96.94560361168276
1656909263,929355,2609004,0,0,78,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261414400,149,10,0,2022-07-04T07:34:23,-102,-1.68451075,1656909271.803689,2022-07-04T07:34:31,-101969,-1.6994833333333332,97.80951726767074
1656909275,929167,2621003,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261414400,185,10,0,2022-07-04T07:34:35,-90,-1.4845138833333331,1656909285.6466799,2022-07-04T07:34:45,-89970,-1.4995,97.53055566005476
1656909297,928942,2643003,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261414400,251,10,0,2022-07-04T07:34:57,-68,-1.1178509666666665,1656909309.303612,2022-07-04T07:35:09,-67970,-1.1328333333333334,97.81635775950747
1656909332,929183,2678003,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261414400,100,10,0,2022-07-04T07:35:32,-33,-0.5345136166666666,1656909342.9683678,2022-07-04T07:35:42,-32970,-0.5495,98.33500259263062
1656909344,929185,2690003,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261414400,136,10,0,2022-07-04T07:35:44,-21,-0.3345135833333333,1656909353.790529,2022-07-04T07:35:53,-20970,-0.3495,98.57683820868988
1656909377,929172,2723003,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261414400,235,10,0,2022-07-04T07:36:17,12,0.2154862,1656909387.727236,2022-07-04T07:36:27,12030,0.20049999999999998,164.28420980448502
1656909390,929163,2736003,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261414400,18,10,0,2022-07-04T07:36:30,25,0.43215271666666666,1656909401.246369,2022-07-04T07:36:41,25030,0.4171666666666667,240.82050827059658
1656909402,683875,2748003,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261414416,54,10,0,2022-07-04T07:36:42,37,0.6280645833333334,1656909411.277693,2022-07-04T07:36:51,37030,0.6171666666666666,314.7343533938799
1656909414,693638,2760013,0,0,143,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261414416,90,10,0,2022-07-04T07:36:54,49,0.8282273,1656909421.553325,2022-07-04T07:37:01,49040,0.8173333333333334,390.17426243411506
1656909426,929742,2772003,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261414416,126,10,0,2022-07-04T07:37:06,61,1.0321623666666666,1656909438.1710799,2022-07-04T07:37:18,61030,1.0171666666666668,464.36710388779034
1656909441,929696,2787003,0,0,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261479952,171,10,0,2022-07-04T07:37:21,76,1.2821616,1656909449.061461,2022-07-04T07:37:29,76030,1.2671666666666668,552.918082480919
1656909453,930113,2799003,0,0,171,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261479952,207,10,0,2022-07-04T07:37:33,88,1.4821685500000001,1656909462.653796,2022-07-04T07:37:42,88030,1.4671666666666667,631.2194104471164
1656909464,929936,2810003,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,240,10,0,2022-07-04T07:37:44,99,1.6654989333333332,1656909473.245424,2022-07-04T07:37:53,99030,1.6505,703.4894198709962
1656909477,930110,2823003,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,23,10,0,2022-07-04T07:37:57,112,1.8821685,1656909486.796257,2022-07-04T07:38:06,112030,1.8671666666666666,782.8261922135631
1656909489,930105,2835003,0,0,74,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,59,10,0,2022-07-04T07:38:09,124,2.0821684166666667,1656909497.6068158,2022-07-04T07:38:17,124030,2.0671666666666666,851.0132081613957
1656909500,930117,2846003,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,92,10,0,2022-07-04T07:38:20,135,2.26550195,1656909511.1569839,2022-07-04T07:38:31,135030,2.2505,913.6968526884175
1656909513,929706,2859003,0,0,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,131,10,0,2022-07-04T07:38:33,148,2.4821617666666667,1656909521.8093529,2022-07-04T07:38:41,148030,2.4671666666666665,991.3349103560573
1656909524,930116,2870003,0,0,46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,164,10,0,2022-07-04T07:38:44,159,2.665501933333333,1656909532.719781,2022-07-04T07:38:52,159030,2.6505,1058.167291690497
1656909537,930132,2883003,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,203,10,0,2022-07-04T07:38:57,172,2.8821688666666665,1656909546.4500408,2022-07-04T07:39:06,172030,2.867166666666667,1136.009151443308
1656909549,933863,2895007,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,239,10,0,2022-07-04T07:39:09,184,3.08223105,1656909557.253069,2022-07-04T07:39:17,184034,3.0672333333333333,1210.840375070003
1656909561,930129,2907003,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,19,10,0,2022-07-04T07:39:21,196,3.2821688166666667,1656909570.9694998,2022-07-04T07:39:30,196030,3.2671666666666668,1278.9932487554781
1656909596,930914,2942003,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,124,10,0,2022-07-04T07:39:56,231,3.8655152333333334,1656909605.384368,2022-07-04T07:40:05,231030,3.8505,1495.2649369026185
1656909608,940365,2954013,0,0,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,160,10,0,2022-07-04T07:40:08,243,4.06567275,1656909616.0343928,2022-07-04T07:40:16,243040,4.050666666666666,1557.1754117752375
1656909619,930898,2965003,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,193,10,0,2022-07-04T07:40:19,254,4.248848300000001,1656909629.935752,2022-07-04T07:40:29,254030,4.233833333333333,1627.9086001452156
1656909632,930811,2978003,0,0,110,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,232,10,0,2022-07-04T07:40:32,267,4.465513516666666,1656909640.2761838,2022-07-04T07:40:40,267030,4.4505,1705.7415918623703
1656909643,930858,2989003,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,9,10,0,2022-07-04T07:40:43,278,4.648847633333333,1656909653.286293,2022-07-04T07:40:53,278030,4.633833333333333,1773.4150462783982
1656909655,930914,3001003,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,45,10,0,2022-07-04T07:40:55,290,4.848848566666666,1656909664.097508,2022-07-04T07:41:04,290030,4.833833333333333,1843.6967479556931
1656909680,930882,3026003,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,120,10,0,2022-07-04T07:41:20,315,5.2655147,1656909688.139425,2022-07-04T07:41:28,315030,5.2505,2007.0919136304956
1656909691,937123,3037010,0,0,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,153,10,0,2022-07-04T07:41:31,326,5.44895205,1656909698.439508,2022-07-04T07:41:38,326037,5.433949999999999,2080.387981696405
