time_s,time_us,time_steady,updated_time_steady,updated_time_from_s,updated_time_from_us,updated_time_from_base,updated_time_to_s,updated_time_to_us,updated_time_to_base,count_of_time_updates,count_of_aggressive_time_updates,imi_time_sync_steady,imi_count_of_syncs,imi_time_s,imi_time_us,imi_time_base,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909119,927957,2466003,2415279,1656909063,204063,3,1656909069,204090,3,62,47,2463973,2152,1656909117,898438,3,231,10,0,2022-07-04T07:31:59,-246,-4.08453405,1656909129.145504,2022-07-04T07:32:09,-244970,-4.082833333333333,96.46342071258508
1656909131,928342,2478003,2415279,1656909063,204063,3,1656909069,204090,3,62,47,2477733,2164,1656909131,658116,3,11,10,0,2022-07-04T07:32:11,-234,-3.8845276333333336,1656909142.6117449,2022-07-04T07:32:22,-232970,-3.882833333333333,97.22060836367665
1656909143,927922,2490003,2415279,1656909063,204063,3,1656909069,204090,3,62,47,2489163,2174,1656909143,88440,3,47,10,0,2022-07-04T07:32:23,-222,-3.6845346333333335,1656909152.86184,2022-07-04T07:32:32,-220970,-3.6828333333333334,97.39970476976143
1656909153,928138,2500003,2415279,1656909063,204063,3,1656909069,204090,3,62,47,2499593,2183,1656909153,518379,3,77,10,0,2022-07-04T07:32:33,-212,-3.5178643666666667,1656909163.944552,2022-07-04T07:32:43,-210970,-3.5161666666666664,97.25255119531863
1656909167,928122,2514003,2415279,1656909063,204063,3,1656909069,204090,3,62,47,2513193,2195,1656909167,118351,3,119,10,0,2022-07-04T07:32:47,-198,-3.2845313,1656909177.7000248,2022-07-04T07:32:57,-196970,-3.2828333333333335,97.05612229714914
1656909179,928175,2526003,2415279,1656909063,204063,3,1656909069,204090,3,62,47,2525773,2206,1656909179,698132,3,155,10,0,2022-07-04T07:32:59,-186,-3.0845304166666665,1656909188.223165,2022-07-04T07:33:08,-184970,-3.0828333333333333,97.11274913856913
1656909191,938104,2538013,2415279,1656909063,204063,3,1656909069,204090,3,62,47,2536013,2215,1656909189,938096,3,191,10,0,2022-07-04T07:33:11,-174,-2.884364933333333,1656909201.828564,2022-07-04T07:33:21,-172960,-2.8826666666666667,96.36647907750739
1656909203,496156,2549003,2543924,1656909197,848606,3,1656909198,416944,3,63,47,2547633,2225,1656909202,126392,3,224,10,0,2022-07-04T07:33:23,-162,-2.691730733333333,1656909212.3445919,2022-07-04T07:33:32,-161970,-2.6995,96.82283110733142
1656909208,928473,2560003,2553215,1656909207,708850,3,1656909202,141115,3,64,48,2559123,2234,1656909208,48295,3,1,10,0,2022-07-04T07:33:28,-157,-2.6011921166666667,1656909222.392201,2022-07-04T07:33:42,-150970,-2.5161666666666664,96.71137525118738
1656909226,928786,2572003,2565291,1656909214,216620,3,1656909220,217396,3,65,49,2571723,2245,1656909226,648775,3,37,10,0,2022-07-04T07:33:46,-139,-2.3011869,1656909235.9855318,2022-07-04T07:33:55,-138970,-2.3161666666666667,96.59381866455078
1656909251,929168,2597003,2565291,1656909214,216620,3,1656909220,217396,3,65,49,2595953,2266,1656909250,879296,3,112,10,0,2022-07-04T07:34:11,-114,-1.8845138666666665,1656909260.462121,2022-07-04T07:34:20,-113970,-1.8995,96.94560361168276
1656909263,929355,2609004,2565291,1656909214,216620,3,1656909220,217396,3,65,49,2606143,2275,1656909261,68823,3,148,10,0,2022-07-04T07:34:23,-102,-1.68451075,1656909271.16466,2022-07-04T07:34:31,-101969,-1.6994833333333332,97.80951726767074
1656909275,929167,2621003,2565291,1656909214,216620,3,1656909220,217396,3,65,49,2620754,2288,1656909275,679337,3,184,10,0,2022-07-04T07:34:35,-90,-1.4845138833333331,1656909284.9768438,2022-07-04T07:34:44,-89970,-1.4995,97.53055566005476
1656909288,928742,2634003,2565291,1656909214,216620,3,1656909220,217396,3,65,49,2632073,2298,1656909286,999303,3,223,10,0,2022-07-04T07:34:48,-77,-1.2678543,1656909295.218876,2022-07-04T07:34:55,-76970,-1.2828333333333333,97.64597574950051
1656909297,928942,2643003,2565291,1656909214,216620,3,1656909220,217396,3,65,49,2642343,2306,1656909297,268754,3,250,10,0,2022-07-04T07:34:57,-68,-1.1178509666666665,1656909305.671264,2022-07-04T07:35:05,-67970,-1.1328333333333334,97.81635775950747
1656909309,938942,2655013,2565291,1656909214,216620,3,1656909220,217396,3,65,49,2653843,2316,1656909308,769319,3,30,10,0,2022-07-04T07:35:09,-56,-0.9176843,1656909318.6533358,2022-07-04T07:35:18,-55960,-0.9326666666666666,97.8813057031624
1656909332,929183,2678003,2565291,1656909214,216620,3,1656909220,217396,3,65,49,2677714,2337,1656909332,639352,3,99,10,0,2022-07-04T07:35:32,-33,-0.5345136166666666,1656909342.418005,2022-07-04T07:35:42,-32970,-0.5495,98.33500259263062
