time_s,time_us,time_steady,current,voltage,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909108,757945,2454833,0.08514404296875,7.8480000495910645,40,10,2,2022-07-04T07:31:48,-257,-4.270700916666667,1656909119.653105,2022-07-04T07:31:59,-256140,-4.269,96.62761461721468
1656909125,171659,2471247,nan,nan,172,10,2,2022-07-04T07:32:05,-240,-3.9971390166666665,1656909135.7423809,2022-07-04T07:32:15,-239726,-3.995433333333333,96.86771681371387
1656909154,809431,2500884,0.0640869140625,7.935999870300293,164,10,2,2022-07-04T07:32:34,-211,-3.5031761500000003,1656909168.1996279,2022-07-04T07:32:48,-210089,-3.5014833333333333,97.21289082060203
1656909172,678134,2518753,nan,nan,60,10,2,2022-07-04T07:32:52,-193,-3.2053644333333335,1656909180.6901438,2022-07-04T07:33:00,-192220,-3.2036666666666664,97.15026619131538
1656909204,226291,2549733,nan,nan,62,10,2,2022-07-04T07:33:24,-161,-2.679561816666667,1656909212.900584,2022-07-04T07:33:32,-161240,-2.6873333333333336,96.81296922075536
1656909212,347501,2563422,0.05859375,7.748000144958496,172,10,2,2022-07-04T07:33:32,-153,-2.544208316666667,1656909227.894429,2022-07-04T07:33:47,-147551,-2.4591833333333333,96.59381866455078
1656909235,459014,2580533,nan,nan,58,10,2,2022-07-04T07:33:55,-130,-2.1590164333333335,1656909244.9477398,2022-07-04T07:34:04,-130440,-2.174,96.94937316193233
1656909252,94340,2597169,nan,nan,200,10,2,2022-07-04T07:34:12,-113,-1.881761,1656909261.0016,2022-07-04T07:34:21,-113804,-1.8967333333333334,96.95238727673178
1656909266,922798,2611997,0.0384521484375,7.760000228881836,70,10,2,2022-07-04T07:34:26,-99,-1.6346200333333334,1656909277.254957,2022-07-04T07:34:37,-98976,-1.6496,98.10260922813798
1656909282,728931,2627803,nan,nan,202,10,2,2022-07-04T07:34:42,-83,-1.3711844833333333,1656909292.867992,2022-07-04T07:34:52,-83170,-1.3861666666666668,97.59092912373261
1656909297,81470,2642156,nan,nan,62,10,2,2022-07-04T07:34:57,-68,-1.1319755,1656909305.671264,2022-07-04T07:35:05,-68817,-1.14695,97.7918095760241
1656909313,642447,2658717,nan,nan,202,10,2,2022-07-04T07:35:13,-52,-0.8559592166666667,1656909321.2534559,2022-07-04T07:35:21,-52256,-0.8709333333333333,97.77531829645461
1656909328,174764,2673249,nan,nan,68,10,2,2022-07-04T07:35:28,-37,-0.6137539333333333,1656909336.51048,2022-07-04T07:35:36,-37724,-0.6287333333333333,98.58285142136383
1656909344,351523,2689426,0.06591796875,7.927999973297119,204,10,2,2022-07-04T07:35:44,-21,-0.3441412833333333,1656909353.1504278,2022-07-04T07:35:53,-21547,-0.3591166666666667,98.59013459021854
1656909359,88971,2704163,nan,nan,74,10,2,2022-07-04T07:35:59,-6,-0.09851715,1656909368.7737958,2022-07-04T07:36:08,-6810,-0.11349999999999999,97.88756715770968
1656909372,528935,2717603,nan,nan,184,10,2,2022-07-04T07:36:12,7,0.12548225,1656909384.144629,2022-07-04T07:36:24,6630,0.1105,133.77070792487686
1656909388,801717,2733876,0.29754638671875,7.831999778747559,70,10,2,2022-07-04T07:36:28,23,0.3966952833333333,1656909396.9453318,2022-07-04T07:36:36,22903,0.38171666666666665,228.08910445009403
1656909404,853633,2750173,0.2178955078125,7.783999919891357,206,10,2,2022-07-04T07:36:44,39,0.6642272166666667,1656909412.948544,2022-07-04T07:36:52,39200,0.6533333333333334,329.4387325767281
1656909421,459715,2766533,0.2655029296875,7.763999938964844,86,10,2,2022-07-04T07:37:01,56,0.9409952500000001,1656909431.6780598,2022-07-04T07:37:11,55560,0.926,429.47753625732446
1656909440,59948,2785133,nan,nan,244,10,2,2022-07-04T07:37:20,75,1.2509991333333335,1656909448.4913368,2022-07-04T07:37:28,74160,1.236,541.6771350330064
1656909456,541653,2801615,0.2325439453125,7.4079999923706055,124,10,2,2022-07-04T07:37:36,91,1.5256942166666667,1656909464.4442449,2022-07-04T07:37:44,90642,1.5107,648.3286876672905
1656909471,514217,2816587,nan,nan,250,10,2,2022-07-04T07:37:51,106,1.77523695,1656909480.125241,2022-07-04T07:38:00,105614,1.7602333333333333,744.4901490313044
1656909502,918661,2847992,nan,nan,6,10,2,2022-07-04T07:38:22,137,2.2986443499999996,1656909511.7383249,2022-07-04T07:38:31,137019,2.28365,925.555713380074
1656909517,809920,2862883,nan,nan,132,10,2,2022-07-04T07:38:37,152,2.546832,1656909528.5102038,2022-07-04T07:38:48,151910,2.531833333333333,1017.3469044378381
1656909535,203808,2880277,nan,nan,18,10,2,2022-07-04T07:38:55,170,2.8367301333333335,1656909544.570737,2022-07-04T07:39:04,169304,2.8217333333333334,1119.2128758764134
1656909550,200375,2895274,0.3057861328125,7.559999942779541,144,10,2,2022-07-04T07:39:10,185,3.0866729166666667,1656909557.8420088,2022-07-04T07:39:17,184301,3.071683333333333,1212.528311031978
1656909565,845334,2910919,0.3021240234375,7.547999858856201,20,10,2,2022-07-04T07:39:25,200,3.3474222333333334,1656909573.9721599,2022-07-04T07:39:33,199946,3.3324333333333334,1300.3239966901008
