time_s,time_us,time_steady,iTOW,fTOW,week,gpsFix,flags,ecefX,ecefY,ecefZ,pAcc,ecefVX,ecefVY,ecefVZ,sAcc,pDOP,reserved1,numSV,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,lat,lon,h,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909112,152000,2456969,102731000,-273436,2217,0,92,269233738,226324013,530301488,22225646,0,0,0,17690,9999,0,0,2,11,0,2022-07-04T07:31:52,-253,-4.214133333333334,1656909120.19314,2022-07-04T07:32:00,56.622634773027386,40.05117370523658,140.74321997696632,-254004,-4.2334,96.86972946836785
1656909120,194000,2465011,102739000,-240976,2217,3,93,269234265,226322879,530302771,6947,-24,-8,84,272,215,0,4,232,11,0,2022-07-04T07:32:00,-245,-4.0801,1656909127.973737,2022-07-04T07:32:07,56.622722628304686,40.05097705979074,149.66201675709218,-245962,-4.099366666666667,96.44951945254535
1656909128,191000,2473008,102747000,-208854,2217,3,93,269234008,226322733,530302305,2804,-51,-19,7,204,215,0,4,205,11,0,2022-07-04T07:32:08,-237,-3.9468166666666664,1656909136.3462489,2022-07-04T07:32:16,56.62272140351743,40.0509857932981,144.17147328217837,-237965,-3.966083333333333,97.13690051642801
1656909135,166000,2479984,102754000,-180894,2217,3,93,269234344,226323410,530302222,2568,0,3,113,226,215,0,4,149,11,0,2022-07-04T07:32:15,-230,-3.830566666666667,1656909144.846108,2022-07-04T07:32:24,56.622665347186704,40.051034992219336,147.28995831382355,-230989,-3.849816666666667,97.29312444096028
1656909143,118000,2487935,102762000,-148938,2217,0,92,269234017,226324312,530302240,5908,-76,140,1,1090,9999,0,0,121,11,0,2022-07-04T07:32:23,-222,-3.6980333333333335,1656909152.309188,2022-07-04T07:32:32,56.62264148188198,40.0511817438549,149.25632612011538,-223038,-3.7173000000000003,97.4108747321658
1656909151,163000,2495980,102770000,-116942,2217,0,92,269232781,226322936,530302625,7741,-226,19,35,1059,9999,0,0,95,11,0,2022-07-04T07:32:31,-214,-3.5639499999999997,1656909160.4345489,2022-07-04T07:32:40,56.62279785138637,40.051139722679636,142.39513198521274,-214993,-3.5832166666666665,97.29992287810693
1656909158,142000,2502959,102777000,-88965,2217,0,92,269231200,226323068,530302868,21693,0,0,0,1704,9999,0,0,34,11,0,2022-07-04T07:32:38,-207,-3.4476333333333335,1656909169.357545,2022-07-04T07:32:49,56.62289424182857,40.05132190656515,138.23370405798192,-208014,-3.4669000000000003,97.06291693528925
1656909168,122000,2512939,102787000,-48548,2217,0,92,269205113,226321882,530288889,13355,-372,-54,-280,666,9999,0,0,54,11,0,2022-07-04T07:32:48,-197,-3.2813,1656909177.018889,2022-07-04T07:32:57,56.62375833109384,40.05390867858739,-92.55384958993037,-198034,-3.3005666666666666,97.05970748726372
1656909185,150000,2529967,102804000,19002,2217,0,92,269202512,226321507,530286929,52789,0,0,0,2319,9999,0,0,29,11,0,2022-07-04T07:33:05,-180,-2.9975,1656909193.404028,2022-07-04T07:33:13,56.62382890164948,40.05413459257804,-121.20155057851836,-181006,-3.016766666666667,96.65605661398119
1656909202,155000,2546971,102821000,85696,2217,3,93,269233948,226322006,530303729,5207,-69,-24,125,283,214,0,4,4,11,0,2022-07-04T07:33:22,-163,-2.7140833333333334,1656909213.539461,2022-07-04T07:33:33,56.622830280811186,40.05090142867819,153.23654271394432,-164002,-2.733366666666667,96.84094601533175
1656909222,154000,2566971,102841000,165258,2217,3,93,269233804,226322803,530303290,3126,1,9,-9,330,214,0,4,50,11,0,2022-07-04T07:33:42,-143,-2.3807666666666667,1656909230.174008,2022-07-04T07:33:50,56.62277839962778,40.05101590556289,151.7855873511519,-144002,-2.4000333333333335,96.59381866455078
1656909231,119000,2575936,102850000,201091,2217,0,92,269233838,226323476,530302840,13366,6,70,-39,1513,9999,0,0,51,11,0,2022-07-04T07:33:51,-134,-2.23135,1656909239.016077,2022-07-04T07:33:59,56.62272174062345,40.05109626172786,150.55342091367504,-135037,-2.2506166666666667,96.59381866455078
1656909243,138000,2587955,102862000,249395,2217,0,92,269235357,226323222,530301686,12012,143,-111,81,1370,9999,0,0,139,11,0,2022-07-04T07:34:03,-122,-2.0310333333333332,1656909254.659756,2022-07-04T07:34:14,56.62258978834577,40.05090536580168,146.4144792948924,-123018,-2.0503,97.59036870954489
1656909263,199000,2608015,102882000,330957,2217,3,93,269234338,226322779,530303236,3052,47,55,159,172,214,0,4,201,11,0,2022-07-04T07:34:23,-102,-1.6966833333333333,1656909271.16466,2022-07-04T07:34:31,56.6227462364561,40.0509569382774,153.4984913592591,-102958,-1.7159666666666666,97.73614393759235
1656909271,195000,2616011,102890000,363870,2217,3,93,269234233,226322774,530302906,2435,-8,65,9,181,214,0,4,166,11,0,2022-07-04T07:34:31,-94,-1.5634166666666667,1656909279.07544,2022-07-04T07:34:39,56.62273620154849,40.05096732102816,150.28289206663823,-94962,-1.5827,97.77300985392382
1656909283,145000,2627962,102902000,413157,2217,3,93,269234303,226323008,530302665,2669,-14,0,-2,175,214,0,4,245,11,0,2022-07-04T07:34:43,-82,-1.36425,1656909295.218876,2022-07-04T07:34:55,56.6227089852709,40.050989162314266,149.39353950389562,-83011,-1.3835166666666665,97.59462329998034
1656909293,176000,2637992,102912000,454235,2217,3,93,269234352,226322807,530302618,2138,30,19,3,190,213,0,4,20,11,0,2022-07-04T07:34:53,-72,-1.1970666666666667,1656909302.7319279,2022-07-04T07:35:02,56.6227135495926,40.050958962258775,148.49586087965184,-72981,-1.2163499999999998,97.68368612835975
1656909301,170000,2645986,102920000,487220,2217,3,93,269234247,226322938,530302657,2001,-18,5,6,158,213,0,4,249,11,0,2022-07-04T07:35:01,-64,-1.0638333333333334,1656909311.0217118,2022-07-04T07:35:11,56.622715182425374,40.050986303614025,148.84310156803153,-64987,-1.0831166666666665,97.91023942930222
1656909316,147000,2660962,102935000,-450955,2217,3,93,269233922,226323018,530302453,1850,35,-2,10,135,213,0,4,166,11,0,2022-07-04T07:35:16,-49,-0.8142166666666667,1656909326.434908,2022-07-04T07:35:26,56.62271989962393,40.05103034619557,146.05411698157675,-50011,-0.8335166666666667,97.91061656905624
