time_s,time_us,time_steady,rx_packet_start_cnt,rx_packet_done_cnt,rx_cmds_start_cnt,rx_cmds_done_cnt,rx_drops_start_cnt,rx_drops_done_cnt,tx_psize_start_cnt,tx_psize_done_cnt,tx_packet_start_cnt,tx_packet_done_cnt,tx_zeroes_start_cnt,tx_zeroes_done_cnt,tx_empty_buffer_cnt,tx_overruns_cnt,cmds_get_size_cnt,cmds_get_packet_cnt,cmds_set_packet_cnt,cmds_invalid_cnt,restarts_cnt,berr_cnt,arlo_cnt,ovf_cnt,af_cnt,btf_cnt,tx_wrong_size_cnt,rx_wrong_size_cnt,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909118,126000,2452290,1699,1699,24480,24479,0,0,38417,38406,38369,38366,1,1,11487,46941,49904,38369,1699,43,15,15,0,0,11487,0,0,43,228,12,0,2022-07-04T07:31:58,-247,-4.114566666666667,1656909128.6075358,2022-07-04T07:32:08,-258683,-4.311383333333334,96.55757644243852
1656909141,401000,2475290,1715,1715,25366,25365,0,0,38802,38791,38754,38751,1,1,11587,30271,50389,38754,1715,43,15,15,0,0,11587,0,0,43,73,12,0,2022-07-04T07:32:21,-224,-3.72665,1656909152.309188,2022-07-04T07:32:32,-235683,-3.92805,97.4327740709902
1656909153,294000,2487290,1721,1721,25676,25675,0,0,38938,38927,38890,38887,1,1,11619,23369,50557,38890,1721,43,15,15,0,0,11619,0,0,43,90,12,0,2022-07-04T07:32:33,-212,-3.528433333333333,1656909163.404408,2022-07-04T07:32:43,-223683,-3.72805,97.27053339383106
1656909166,637000,2500290,1731,1731,26256,26255,0,0,39189,39178,39141,39138,1,1,11687,24230,50876,39141,1731,43,15,15,0,0,11687,0,0,43,32,12,0,2022-07-04T07:32:46,-199,-3.30605,1656909177.018889,2022-07-04T07:32:57,-210683,-3.5113833333333333,97.03224688152122
1656909179,739000,2513290,1740,1740,26806,26805,0,0,39428,39417,39380,39377,1,1,11750,29508,51178,39380,1740,43,15,15,0,0,11750,0,0,43,31,12,0,2022-07-04T07:32:59,-186,-3.087683333333333,1656909187.684365,2022-07-04T07:33:07,-197683,-3.2947166666666665,97.12929408374421
1656909200,625000,2534290,1753,1753,27520,27519,0,0,39738,39727,39690,39686,1,1,11831,30902,51569,39690,1753,43,15,15,0,0,11831,0,0,43,223,12,0,2022-07-04T07:33:20,-165,-2.7395833333333335,1656909211.749001,2022-07-04T07:33:31,-176683,-2.9447166666666664,96.7890113541218
1656909250,844000,2583290,1783,1783,29195,29194,0,0,40464,40452,40415,40412,1,1,12024,40146,52488,40415,1783,44,16,16,0,0,12024,0,0,44,182,12,0,2022-07-04T07:34:10,-115,-1.9026,1656909259.8911848,2022-07-04T07:34:19,-127683,-2.12805,96.90103542679707
1656909263,89000,2595290,1793,1793,29732,29731,0,0,40695,40683,40646,40643,1,1,12089,45065,52784,40646,1793,44,16,16,0,0,12089,0,0,44,79,12,0,2022-07-04T07:34:23,-102,-1.6985166666666667,1656909270.622392,2022-07-04T07:34:30,-115683,-1.92805,97.72509305643369
1656909275,29000,2607290,1804,1804,30268,30267,0,0,40926,40914,40875,40871,1,1,12152,50985,53078,40875,1804,46,16,16,0,0,12152,0,0,46,208,12,0,2022-07-04T07:34:35,-90,-1.4995166666666668,1656909284.3981009,2022-07-04T07:34:44,-103683,-1.72805,97.52256329448464
1656909283,393000,2615290,1812,1812,30617,30616,0,0,41076,41063,41024,41021,1,1,12194,55328,53270,41024,1812,46,17,17,0,0,12194,0,0,46,5,12,0,2022-07-04T07:34:43,-82,-1.3601166666666666,1656909294.6893718,2022-07-04T07:34:54,-95683,-1.5947166666666668,97.59682523213448
1656909292,990000,2625290,1815,1815,30848,30847,0,0,41177,41164,41125,41122,1,1,12220,51430,53397,41125,1815,46,17,17,0,0,12220,0,0,46,194,12,0,2022-07-04T07:34:52,-73,-1.2001666666666668,1656909304.492637,2022-07-04T07:35:04,-85683,-1.42805,97.68203467924415
1656909308,539000,2640290,1822,1822,31341,31340,0,0,41393,41380,41341,41338,1,1,12274,39287,53667,41341,1822,46,17,17,0,0,12274,0,0,46,133,12,0,2022-07-04T07:35:08,-57,-0.9410166666666666,1656909318.083804,2022-07-04T07:35:18,-70683,-1.17805,97.92136943255424
1656909316,579000,2648290,1829,1829,31692,31691,0,0,41544,41531,41492,41489,1,1,12316,44137,53860,41492,1829,46,17,17,0,0,12316,0,0,46,182,12,0,2022-07-04T07:35:16,-49,-0.8070166666666666,1656909328.365017,2022-07-04T07:35:28,-62683,-1.0447166666666667,97.93687007117634
1656909330,544000,2662290,1838,1838,32095,32094,0,0,41719,41706,41667,41663,1,1,12360,43078,54079,41667,1838,46,18,18,0,0,12360,0,0,46,169,12,0,2022-07-04T07:35:30,-35,-0.5742666666666667,1656909338.8075008,2022-07-04T07:35:38,-48683,-0.8113833333333333,98.4593426671727
