time_s,time_us,time_steady,temperature,pressure,humidity,altitude,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909110,778700,2457115,40.17633697170104,100125.7624725405,33.51940178387339,100.31009674072266,131,13,2,2022-07-04T07:31:50,-255,-4.237021666666667,1656909120.742897,2022-07-04T07:32:00,-253858,-4.230966666666666,96.89981494703177
1656909120,795600,2467132,40.340845210909926,100148.05899301934,33.51722043124366,98.43669891357422,184,13,2,2022-07-04T07:32:00,-245,-4.070073333333333,1656909129.145504,2022-07-04T07:32:09,-243841,-4.064016666666666,96.41808469184915
1656909135,475800,2481812,40.363844445076055,100145.71169286454,33.478638912158246,98.63424682617188,16,13,2,2022-07-04T07:32:15,-230,-3.8254033333333335,1656909145.371917,2022-07-04T07:32:25,-229161,-3.81935,97.30006324695599
1656909140,964000,2487674,39.62819130617872,100026.34510954373,33.49929261943059,108.67091369628906,53,13,2,2022-07-04T07:32:20,-225,-3.7339333333333333,1656909153.6527328,2022-07-04T07:32:33,-223299,-3.72165,97.4229862781557
1656909150,926700,2497418,40.39962104327098,100148.78800986052,33.472689431991206,98.37566375732422,106,13,2,2022-07-04T07:32:30,-215,-3.5678883333333333,1656909161.674325,2022-07-04T07:32:41,-213555,-3.55925,97.30318178713293
1656909167,849900,2514462,40.42932840796648,100148.24616358364,33.47229158949174,98.42095184326172,203,13,2,2022-07-04T07:32:47,-198,-3.285835,1656909178.229992,2022-07-04T07:32:58,-196511,-3.275183333333333,97.05467581667617
1656909175,798400,2522134,39.74797809758313,100034.74418327182,33.486802562506504,107.96465301513672,248,13,2,2022-07-04T07:32:55,-190,-3.15336,1656909185.8949249,2022-07-04T07:33:05,-188839,-3.1473166666666668,97.21585893627999
1656909190,605700,2536941,40.47213258514093,100148.10008826789,33.47718741116722,98.43341827392578,83,13,2,2022-07-04T07:33:10,-175,-2.9065716666666663,1656909202.3792648,2022-07-04T07:33:22,-174032,-2.9005333333333336,96.30167069307524
1656909201,570700,2547337,39.732325947759456,100022.5037334556,33.48154703772283,108.99415588378906,136,13,2,2022-07-04T07:33:21,-164,-2.723821666666667,1656909209.8316798,2022-07-04T07:33:29,-163636,-2.7272666666666665,96.83501038231256
1656909205,167200,2550934,40.49513185294927,100146.64977398688,33.48234811004517,98.55548858642578,154,13,2,2022-07-04T07:33:25,-160,-2.66388,1656909218.341317,2022-07-04T07:33:38,-160039,-2.6673166666666663,96.80026042329132
1656909210,863200,2562198,40.52356151157967,100147.79138678912,33.46555763566426,98.45967102050781,232,13,2,2022-07-04T07:33:30,-155,-2.5689466666666667,1656909226.7230358,2022-07-04T07:33:46,-148775,-2.4795833333333333,96.60483239948144
1656909233,810300,2579458,40.56029647707801,100135.5601514342,33.470534057923736,99.48677825927734,106,13,2,2022-07-04T07:33:53,-132,-2.186495,1656909243.26,2022-07-04T07:34:03,-131515,-2.1919166666666663,96.72921895926696
1656909242,926900,2588446,40.06357712948177,100056.3030702809,33.460776888541,106.1513671875,163,13,2,2022-07-04T07:34:02,-123,-2.0345516666666668,1656909251.740229,2022-07-04T07:34:11,-122527,-2.042116666666667,97.61507383305975
1656909251,70700,2596404,40.600864673837734,100136.9688064909,33.48640050384846,99.36864471435547,206,13,2,2022-07-04T07:34:11,-114,-1.8988216666666666,1656909259.332341,2022-07-04T07:34:19,-114569,-1.9094833333333334,96.91034606580742
1656909256,367700,2601701,40.61044771511972,100138.35276460572,33.447973170382475,99.25247955322266,233,13,2,2022-07-04T07:34:16,-109,-1.8105383333333334,1656909263.962661,2022-07-04T07:34:23,-109272,-1.8212000000000002,97.12789549164697
1656909265,305700,2610639,40.623863974633444,100129.9670307826,33.42043361496431,99.9566879272461,30,13,2,2022-07-04T07:34:25,-100,-1.6615716666666667,1656909272.4064689,2022-07-04T07:34:32,-100334,-1.6722333333333335,97.94778840429163
1656909273,153900,2618487,40.64846045561717,100134.14478785312,33.45292967525248,99.6055679321289,75,13,2,2022-07-04T07:34:33,-92,-1.5307683333333335,1656909280.2058198,2022-07-04T07:34:40,-92486,-1.5414333333333334,97.62188118207074
1656909280,924100,2626257,40.66698767951029,100134.35723443828,33.45268133780542,99.58784484863281,120,13,2,2022-07-04T07:34:40,-85,-1.401265,1656909287.767017,2022-07-04T07:34:47,-84716,-1.4119333333333333,97.57490446481457
1656909293,202100,2638535,40.36895538680221,100084.50953112464,33.44028955724726,103.77964782714844,190,13,2,2022-07-04T07:34:53,-72,-1.1966316666666665,1656909303.94412,2022-07-04T07:35:03,-72438,-1.2073,97.68391786396145
1656909302,273400,2647980,40.05303584835637,100024.61223286556,33.44998786499263,108.81676483154297,243,13,2,2022-07-04T07:35:02,-63,-1.0454433333333333,1656909311.6920319,2022-07-04T07:35:11,-62993,-1.0498833333333333,97.94220091670897
1656909311,942600,2657429,40.03866137608968,100020.3556250037,33.461109443006876,109.17416381835938,40,13,2,2022-07-04T07:35:11,-54,-0.88429,1656909319.664124,2022-07-04T07:35:19,-53544,-0.8924,97.82396474767582
1656909315,827600,2661160,40.73662452075841,100136.50991109917,33.42984591275171,99.40736389160156,67,13,2,2022-07-04T07:35:15,-50,-0.81954,1656909326.9946399,2022-07-04T07:35:26,-49813,-0.8302166666666667,97.89120599364617
1656909325,623600,2670956,40.07890990423787,100021.0400337911,33.438711562284205,109.11701202392578,120,13,2,2022-07-04T07:35:25,-40,-0.6562733333333333,1656909335.359084,2022-07-04T07:35:35,-40017,-0.66695,98.48652846301752
1656909335,223000,2680555,40.77463731469436,100132.12550506278,33.43480080836784,99.77554321289062,173,13,2,2022-07-04T07:35:35,-30,-0.49628333333333335,1656909343.6787238,2022-07-04T07:35:43,-30418,-0.5069666666666667,98.21542544623726
1656909341,78000,2686410,40.78997021092257,100130.9612147261,33.440066917841776,99.87333679199219,210,13,2,2022-07-04T07:35:41,-24,-0.3987,1656909351.448628,2022-07-04T07:35:51,-24563,-0.4093833333333333,98.47970556326665
1656909349,113100,2694445,40.80178932021954,100133.07295549489,33.3851688643655,99.69613647460938,253,13,2,2022-07-04T07:35:49,-16,-0.2647816666666667,1656909359.049641,2022-07-04T07:35:59,-16528,-0.27546666666666664,98.48053460879323
1656909365,362400,2710694,40.82926076946323,100124.85765217208,33.412163249143106,100.38630676269531,87,13,2,2022-07-04T07:36:05,0,0.00604,1656909372.2527518,2022-07-04T07:36:12,-279,-0.0046500000000000005,98.82363681917434
1656909368,633400,2713965,40.60278128201228,99967.68878244223,33.39883508982754,113.60665130615234,103,13,2,2022-07-04T07:36:08,3,0.06055666666666667,1656909379.953729,2022-07-04T07:36:19,2992,0.04986666666666666,111.75937498808551
1656909380,338800,2725670,40.85226012878493,99159.6635936623,33.24761816414357,181.83316040039062,167,13,2,2022-07-04T07:36:20,15,0.25564666666666663,1656909388.8539488,2022-07-04T07:36:28,14697,0.24494999999999997,177.8995730759778
1656909397,113000,2742444,40.80849746402639,98060.04732008402,33.089483943710185,275.41107177734375,7,13,2,2022-07-04T07:36:37,32,0.5352166666666667,1656909404.7567408,2022-07-04T07:36:44,31471,0.5245166666666666,277.82770091171705
1656909404,487300,2750188,40.75036023435662,97449.63546967036,33.05747818604899,327.72564697265625,52,13,2,2022-07-04T07:36:44,39,0.6581216666666666,1656909412.948544,2022-07-04T07:36:52,39215,0.6535833333333334,326.95610578646375
1656909410,746000,2756322,40.00256548921325,96894.10672386216,33.040828016593096,375.5681457519531,87,13,2,2022-07-04T07:36:50,45,0.7624333333333334,1656909420.461061,2022-07-04T07:37:00,45349,0.7558166666666666,367.32144395864697
1656909421,8400,2766338,39.88213949375624,96192.96117865213,33.00975614658895,436.2707824707031,140,13,2,2022-07-04T07:37:01,56,0.9334733333333334,1656909431.0404599,2022-07-04T07:37:11,55365,0.9227500000000001,426.7303270230627
1656909428,358000,2773922,39.83582184622064,95669.12715498054,33.043190866346706,481.8573913574219,193,13,2,2022-07-04T07:37:08,63,1.0559666666666667,1656909439.440708,2022-07-04T07:37:19,62949,1.04915,473.4769865418895
1656909437,574100,2783198,40.40664859102073,95134.27769367394,33.05693889340924,528.6116333007812,246,13,2,2022-07-04T07:37:17,72,1.2095683333333334,1656909447.4112399,2022-07-04T07:37:27,72225,1.2037499999999999,527.4972191421497
