time_s,time_us,time_steady,state,pump_on,pump_on_time_steady,pump_off,pump_off_time_steady,valve_open,valve_open_time_steady,valve_close,valve_close_time_steady,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909109,649600,2455985,0,2,1122784,2,1132839,2,1122784,2,1132791,128,13,0,2022-07-04T07:31:49,-256,-4.25584,1656909120.742897,2022-07-04T07:32:00,-254988,-4.2498,96.74772258927614
1656909125,181600,2471517,0,2,1122784,2,1132839,2,1122784,2,1132791,216,13,0,2022-07-04T07:32:05,-240,-3.9969733333333335,1656909134.954041,2022-07-04T07:32:14,-239456,-3.990933333333333,96.86950970271603
1656909148,467200,2494802,0,2,1122784,2,1132839,2,1122784,2,1132791,93,13,0,2022-07-04T07:32:28,-217,-3.60888,1656909155.978628,2022-07-04T07:32:35,-216171,-3.6028499999999997,97.33710174798534
1656909173,124400,2519460,0,2,1122784,2,1132839,2,1122784,2,1132791,235,13,0,2022-07-04T07:32:53,-192,-3.1979266666666666,1656909180.6901438,2022-07-04T07:33:00,-191513,-3.1918833333333336,97.15964738251009
1656909197,781300,2544530,0,2,1122784,2,1132839,2,1122784,2,1132791,125,13,0,2022-07-04T07:33:17,-168,-2.7869783333333333,1656909204.6278598,2022-07-04T07:33:24,-166443,-2.7740500000000003,96.65069324429196
1656909200,119200,2545885,0,2,1122784,2,1132839,2,1122784,2,1132791,133,13,0,2022-07-04T07:33:20,-165,-2.748013333333333,1656909217.750665,2022-07-04T07:33:37,-165088,-2.7514666666666665,96.76440914574823
1656909230,913300,2576246,0,2,1122784,2,1132839,2,1122784,2,1132791,81,13,0,2022-07-04T07:33:50,-135,-2.2347783333333333,1656909242.7186449,2022-07-04T07:34:02,-134727,-2.24545,96.59381866455078
1656909242,121700,2587640,0,2,1122784,2,1132839,2,1122784,2,1132791,159,13,0,2022-07-04T07:34:02,-123,-2.0479716666666667,1656909252.9107249,2022-07-04T07:34:12,-123333,-2.0555499999999998,97.70930673431118
1656909255,748700,2601081,0,2,1122784,2,1132839,2,1122784,2,1132791,230,13,0,2022-07-04T07:34:15,-110,-1.8208550000000001,1656909263.4329119,2022-07-04T07:34:23,-109892,-1.8315333333333332,97.10247297048505
1656909267,394700,2612727,0,2,1122784,2,1132839,2,1122784,2,1132791,46,13,0,2022-07-04T07:34:27,-98,-1.626755,1656909277.254957,2022-07-04T07:34:37,-98246,-1.6374333333333333,98.06620210041078
1656909280,305100,2625638,0,2,1122784,2,1132839,2,1122784,2,1132791,116,13,0,2022-07-04T07:34:40,-85,-1.4115816666666667,1656909287.767017,2022-07-04T07:34:47,-85335,-1.4222499999999998,97.56940851318792
1656909292,53100,2637385,0,2,1122784,2,1132839,2,1122784,2,1132791,187,13,0,2022-07-04T07:34:52,-73,-1.2157816666666668,1656909300.8993719,2022-07-04T07:35:00,-73588,-1.2264666666666666,97.67371617023123
1656909301,503000,2647099,0,2,1122784,2,1132839,2,1122784,2,1132791,240,13,0,2022-07-04T07:35:01,-64,-1.0582833333333332,1656909311.6920319,2022-07-04T07:35:11,-63874,-1.0645666666666667,97.91988522892743
1656909326,125400,2671582,0,2,1122784,2,1132839,2,1122784,2,1132791,126,13,0,2022-07-04T07:35:26,-39,-0.64791,1656909334.7790408,2022-07-04T07:35:34,-39391,-0.6565166666666666,98.51702385043387
1656909338,243000,2683574,0,2,1122784,2,1132839,2,1122784,2,1132791,189,13,0,2022-07-04T07:35:38,-27,-0.44595,1656909345.5098689,2022-07-04T07:35:45,-27399,-0.45665,98.32661144949928
1656909348,494100,2693825,0,2,1122784,2,1132839,2,1122784,2,1132791,250,13,0,2022-07-04T07:35:48,-17,-0.27509833333333333,1656909359.049641,2022-07-04T07:35:59,-17148,-0.2858,98.49478249106043
1656909357,423400,2702754,0,2,1122784,2,1132839,2,1122784,2,1132791,47,13,0,2022-07-04T07:35:57,-8,-0.12627666666666668,1656909369.462688,2022-07-04T07:36:09,-8219,-0.13698333333333332,97.63904430328424
1656909367,492400,2712823,0,2,1122784,2,1132839,2,1122784,2,1132791,100,13,0,2022-07-04T07:36:07,2,0.04154,1656909379.953729,2022-07-04T07:36:19,1850,0.030833333333333334,105.31226801025603
1656909381,938800,2727269,0,2,1122784,2,1132839,2,1122784,2,1132791,180,13,0,2022-07-04T07:36:21,16,0.28231333333333336,1656909392.485384,2022-07-04T07:36:32,16296,0.2716,187.02321465201302
1656909392,333000,2737664,0,2,1122784,2,1132839,2,1122784,2,1132791,243,13,0,2022-07-04T07:36:32,27,0.45554999999999995,1656909402.989044,2022-07-04T07:36:42,26691,0.44484999999999997,249.2217753634602
1656909417,738000,2763313,0,2,1122784,2,1132839,2,1122784,2,1132791,129,13,0,2022-07-04T07:36:57,52,0.8789666666666667,1656909429.8994489,2022-07-04T07:37:09,52340,0.8723333333333334,407.7980293954254
1656909432,791600,2778120,0,2,1122784,2,1132839,2,1122784,2,1132791,217,13,0,2022-07-04T07:37:12,67,1.12986,1656909440.621204,2022-07-04T07:37:20,67147,1.1191166666666668,500.21660997054204
1656909445,613700,2790942,0,2,1122784,2,1132839,2,1122784,2,1132791,41,13,0,2022-07-04T07:37:25,80,1.3435616666666665,1656909454.3722088,2022-07-04T07:37:34,79969,1.3328166666666665,576.9099439619318
1656909458,359000,2803687,0,2,1122784,2,1132839,2,1122784,2,1132791,112,13,0,2022-07-04T07:37:38,93,1.5559833333333333,1656909464.993185,2022-07-04T07:37:44,92714,1.5452333333333332,660.2545508659308
1656909470,50000,2815503,0,2,1122784,2,1132839,2,1122784,2,1132791,183,13,0,2022-07-04T07:37:50,105,1.7508333333333332,1656909478.494664,2022-07-04T07:37:58,104530,1.7421666666666666,735.3723782908213
1656909482,851300,2828179,0,2,1122784,2,1132839,2,1122784,2,1132791,253,13,0,2022-07-04T07:38:02,117,1.9641883333333332,1656909489.075233,2022-07-04T07:38:09,117206,1.9534333333333334,811.4230704422263
1656909492,786500,2838115,0,2,1122784,2,1132839,2,1122784,2,1132791,60,13,0,2022-07-04T07:38:12,127,2.129775,1656909503.0164049,2022-07-04T07:38:23,127142,2.1190333333333333,866.7137393597318
1656909516,806800,2862135,0,2,1122784,2,1132839,2,1122784,2,1132791,193,13,0,2022-07-04T07:38:36,151,2.5301133333333334,1656909524.182061,2022-07-04T07:38:44,151162,2.519366666666667,1010.6222362872371
1656909527,311500,2872903,0,2,1122784,2,1132839,2,1122784,2,1132791,255,13,0,2022-07-04T07:38:47,162,2.7051916666666664,1656909538.012028,2022-07-04T07:38:58,161930,2.6988333333333334,1071.402440301306
1656909541,534300,2886861,0,2,1122784,2,1132839,2,1122784,2,1132791,79,13,0,2022-07-04T07:39:01,176,2.9422383333333335,1656909548.160552,2022-07-04T07:39:08,175888,2.9314666666666667,1158.1425225974122
1656909553,340100,2898822,0,2,1122784,2,1132839,2,1122784,2,1132791,150,13,0,2022-07-04T07:39:13,188,3.1390016666666667,1656909562.616324,2022-07-04T07:39:22,187849,3.1308166666666666,1232.1932106093025
1656909564,471000,2909962,0,2,1122784,2,1132839,2,1122784,2,1132791,212,13,0,2022-07-04T07:39:24,199,3.324516666666667,1656909572.8271768,2022-07-04T07:39:32,198989,3.3164833333333332,1292.8363754462625
1656909576,95900,2921423,0,2,1122784,2,1132839,2,1122784,2,1132791,27,13,0,2022-07-04T07:39:36,211,3.518265,1656909586.502128,2022-07-04T07:39:46,210450,3.5075,1360.4266406061818
1656909600,837900,2946163,0,2,1122784,2,1132839,2,1122784,2,1132791,169,13,0,2022-07-04T07:40:00,235,3.9306316666666663,1656909607.814605,2022-07-04T07:40:07,235190,3.9198333333333335,1509.2305238187362
1656909611,271200,2956596,0,2,1122784,2,1132839,2,1122784,2,1132791,230,13,0,2022-07-04T07:40:11,246,4.10452,1656909620.9448879,2022-07-04T07:40:20,245623,4.0937166666666664,1573.2664782306801
1656909635,452400,2980778,0,2,1122784,2,1132839,2,1122784,2,1132791,116,13,0,2022-07-04T07:40:35,270,4.5075400000000005,1656909645.676432,2022-07-04T07:40:45,269805,4.4967500000000005,1720.6150331322426
1656909648,760600,2994339,0,2,1122784,2,1132839,2,1122784,2,1132791,187,13,0,2022-07-04T07:40:48,283,4.7293433333333335,1656909655.597308,2022-07-04T07:40:55,283366,4.722766666666667,1803.1834365927605
1656909659,336700,3004662,0,2,1122784,2,1132839,2,1122784,2,1132791,249,13,0,2022-07-04T07:40:59,294,4.905611666666667,1656909666.3278759,2022-07-04T07:41:06,293689,4.894816666666667,1866.8698709090495
