time_s,time_us,time_steady,count_tick,delta_time,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909109,85600,2455422,10,75827,127,13,1,2022-07-04T07:31:49,-256,-4.26524,1656909120.742897,2022-07-04T07:32:00,-255551,-4.2591833333333335,96.67175049665886
1656909124,222800,2470559,9,75739,215,13,1,2022-07-04T07:32:04,-241,-4.012953333333333,1656909134.393056,2022-07-04T07:32:14,-240414,-4.0069,96.69658726279323
1656909136,323000,2482659,7,75635,21,13,1,2022-07-04T07:32:16,-229,-3.8112833333333334,1656909145.371917,2022-07-04T07:32:25,-228314,-3.8052333333333332,97.31903857439166
1656909148,84200,2494420,6,75577,92,13,1,2022-07-04T07:32:28,-217,-3.615263333333333,1656909155.978628,2022-07-04T07:32:35,-216553,-3.6092166666666667,97.34238385614005
1656909156,562100,2502898,8,75808,145,13,1,2022-07-04T07:32:36,-209,-3.473965,1656909169.357545,2022-07-04T07:32:49,-208075,-3.4679166666666665,97.13401636080923
1656909171,71900,2517684,7,75182,225,13,1,2022-07-04T07:32:51,-194,-3.232135,1656909180.0416489,2022-07-04T07:33:00,-193289,-3.221483333333333,97.11650070557938
1656909195,830300,2542580,5,75177,113,13,1,2022-07-04T07:33:15,-170,-2.8194950000000003,1656909204.097424,2022-07-04T07:33:24,-168393,-2.80655,96.55579623255443
1656909199,845200,2545612,5,75053,132,13,1,2022-07-04T07:33:19,-166,-2.75258,1656909214.1396918,2022-07-04T07:33:34,-165361,-2.7560166666666666,96.75108173354111
1656909212,618400,2563953,7,75793,248,13,1,2022-07-04T07:33:32,-153,-2.539693333333333,1656909227.894429,2022-07-04T07:33:47,-147020,-2.4503333333333335,96.59381866455078
1656909230,837300,2576171,7,75330,80,13,1,2022-07-04T07:33:50,-135,-2.236045,1656909239.016077,2022-07-04T07:33:59,-134802,-2.2466999999999997,96.59381866455078
1656909241,590700,2586924,7,75939,157,13,1,2022-07-04T07:34:01,-124,-2.0568216666666665,1656909252.9107249,2022-07-04T07:34:12,-124049,-2.0674833333333336,97.7681424829452
1656909267,243900,2612577,11,75174,45,13,1,2022-07-04T07:34:27,-98,-1.6292683333333333,1656909276.7156088,2022-07-04T07:34:36,-98396,-1.6399333333333332,98.07783628475681
1656909291,413100,2636746,10,75177,186,13,1,2022-07-04T07:34:51,-74,-1.2264483333333334,1656909297.329473,2022-07-04T07:34:57,-74227,-1.2371166666666666,97.66803376467217
1656909300,965200,2646562,8,76134,239,13,1,2022-07-04T07:35:00,-65,-1.0672466666666667,1656909311.0217118,2022-07-04T07:35:11,-64411,-1.0735166666666667,97.9043071177009
1656909315,32600,2660365,11,75525,63,13,1,2022-07-04T07:35:15,-50,-0.8327899999999999,1656909321.2534559,2022-07-04T07:35:21,-50608,-0.8434666666666666,97.84289225710572
1656909325,473800,2670806,11,75639,124,13,1,2022-07-04T07:35:25,-40,-0.6587700000000001,1656909334.7790408,2022-07-04T07:35:34,-40167,-0.66945,98.4774248180694
1656909336,94200,2681426,10,75368,177,13,1,2022-07-04T07:35:36,-29,-0.4817633333333333,1656909345.5098689,2022-07-04T07:35:45,-29547,-0.49245,98.21057313145225
1656909346,294300,2691626,8,75439,241,13,1,2022-07-04T07:35:46,-19,-0.31176166666666666,1656909359.049641,2022-07-04T07:35:59,-19347,-0.32245,98.54541656442298
1656909356,999600,2702331,8,75158,46,13,1,2022-07-04T07:35:56,-9,-0.13334,1656909368.7737958,2022-07-04T07:36:08,-8642,-0.14403333333333332,97.62488889264792
1656909381,78800,2726410,7,75359,179,13,1,2022-07-04T07:36:21,16,0.26798,1656909392.485384,2022-07-04T07:36:32,15437,0.2572833333333333,182.08086945073137
1656909391,503100,2736834,7,75451,241,13,1,2022-07-04T07:36:31,26,0.4417183333333333,1656909402.989044,2022-07-04T07:36:42,25861,0.43101666666666666,244.25523611398359
1656909417,537900,2763113,5,76263,128,13,1,2022-07-04T07:36:57,52,0.8756316666666667,1656909429.8994489,2022-07-04T07:37:09,52140,0.869,406.63965343062284
1656909431,460700,2777184,4,75869,216,13,1,2022-07-04T07:37:11,66,1.1076783333333333,1656909440.621204,2022-07-04T07:37:20,66211,1.1035166666666667,492.6248143100104
1656909445,264800,2790594,5,75069,40,13,1,2022-07-04T07:37:25,80,1.3377466666666666,1656909454.3722088,2022-07-04T07:37:34,79621,1.3270166666666665,574.6377530330606
1656909458,333000,2803662,5,75227,111,13,1,2022-07-04T07:37:38,93,1.55555,1656909464.993185,2022-07-04T07:37:44,92689,1.5448166666666665,660.0821599850066
1656909467,660100,2812989,4,75005,173,13,1,2022-07-04T07:37:47,102,1.7110016666666668,1656909478.494664,2022-07-04T07:37:58,102016,1.7002666666666668,720.4903216744314
1656909481,85500,2826414,4,75398,244,13,1,2022-07-04T07:38:01,116,1.9347583333333334,1656909488.5455399,2022-07-04T07:38:08,115441,1.9240166666666667,801.4441991328599
1656909492,362700,2837691,5,75650,58,13,1,2022-07-04T07:38:12,127,2.1227116666666666,1656909499.4268959,2022-07-04T07:38:19,126718,2.1119666666666665,864.3842698284327
