time_s,time_us,time_steady,o2_conc,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909106,225500,2452562,19.59531593322754,108,13,0,2022-07-04T07:31:46,-259,-4.312908333333334,1656909114.4358718,2022-07-04T07:31:54,-258411,-4.30685,96.28648847166826
1656909109,645800,2455982,19.59531593322754,126,13,0,2022-07-04T07:31:49,-256,-4.255903333333333,1656909122.515152,2022-07-04T07:32:02,-254991,-4.24985,96.74721072056701
1656909123,625800,2469962,19.59531593322754,206,13,0,2022-07-04T07:32:03,-242,-4.022903333333334,1656909130.7857208,2022-07-04T07:32:10,-241011,-4.01685,96.5889165320528
1656909141,695200,2488405,19.60936164855957,56,13,0,2022-07-04T07:32:21,-224,-3.7217466666666668,1656909154.791373,2022-07-04T07:32:34,-222568,-3.7094666666666667,97.43049714334727
1656909154,145300,2500481,19.59531593322754,118,13,0,2022-07-04T07:32:34,-211,-3.5142450000000003,1656909163.404408,2022-07-04T07:32:43,-210492,-3.5082,97.24277836574413
1656909161,571300,2507907,19.59531593322754,163,13,0,2022-07-04T07:32:41,-204,-3.3904783333333333,1656909171.017273,2022-07-04T07:32:51,-203066,-3.3844333333333334,96.93857200575702
1656909170,662100,2517274,19.60936164855957,216,13,0,2022-07-04T07:32:50,-195,-3.238965,1656909179.43958,2022-07-04T07:32:59,-193699,-3.2283166666666667,97.10788608525968
1656909178,422600,2524758,19.59531593322754,3,13,0,2022-07-04T07:32:58,-187,-3.1096233333333334,1656909187.684365,2022-07-04T07:33:07,-186215,-3.1035833333333334,97.24442433789244
1656909189,982900,2536318,19.59531593322754,78,13,0,2022-07-04T07:33:09,-176,-2.916951666666667,1656909203.546737,2022-07-04T07:33:23,-174655,-2.9109166666666666,96.27137758240885
1656909200,115400,2545882,19.60936164855957,131,13,0,2022-07-04T07:33:20,-165,-2.748076666666667,1656909211.019976,2022-07-04T07:33:31,-165091,-2.751516666666667,96.76422431302419
1656909202,954300,2554289,19.60936164855957,176,13,0,2022-07-04T07:33:22,-163,-2.7007616666666667,1656909218.981889,2022-07-04T07:33:38,-156684,-2.6114,96.83014992154052
1656909211,564400,2562899,19.60936164855957,237,13,0,2022-07-04T07:33:31,-154,-2.55726,1656909227.323225,2022-07-04T07:33:47,-148074,-2.4679,96.59381866455078
1656909234,510500,2580158,19.59531593322754,111,13,0,2022-07-04T07:33:54,-131,-2.174825,1656909243.8176968,2022-07-04T07:34:03,-130815,-2.18025,96.82271726928694
1656909242,117900,2587636,19.59531593322754,156,13,0,2022-07-04T07:34:02,-123,-2.048035,1656909252.3100998,2022-07-04T07:34:12,-123337,-2.055616666666667,97.70975144994054
1656909252,60900,2597394,19.59531593322754,210,13,0,2022-07-04T07:34:12,-113,-1.8823183333333333,1656909260.462121,2022-07-04T07:34:20,-113579,-1.8929833333333332,96.95101388560472
1656909257,926900,2603260,19.59531593322754,246,13,0,2022-07-04T07:34:17,-108,-1.7845516666666665,1656909268.193745,2022-07-04T07:34:28,-107713,-1.7952166666666665,97.20649529616959
1656909267,390900,2612724,19.59531593322754,44,13,0,2022-07-04T07:34:27,-98,-1.6268183333333333,1656909276.7156088,2022-07-04T07:34:36,-98249,-1.6374833333333332,98.06649526951234
1656909275,140100,2620473,19.59531593322754,87,13,0,2022-07-04T07:34:35,-90,-1.497665,1656909284.9768438,2022-07-04T07:34:44,-90500,-1.5083333333333333,97.52354972457466
1656909298,566300,2643899,19.60936164855957,220,13,0,2022-07-04T07:34:58,-67,-1.1072283333333333,1656909305.671264,2022-07-04T07:35:05,-67074,-1.1179,97.83481970412464
1656909306,504700,2651837,19.60936164855957,9,13,0,2022-07-04T07:35:06,-59,-0.9749216666666667,1656909313.361948,2022-07-04T07:35:13,-59136,-0.9856,97.97958730493882
1656909315,204800,2660537,19.59531593322754,62,13,0,2022-07-04T07:35:15,-50,-0.82992,1656909321.2534559,2022-07-04T07:35:21,-50436,-0.8406,97.85335719475636
1656909327,899900,2673576,19.623411178588867,133,13,0,2022-07-04T07:35:27,-38,-0.618335,1656909337.057704,2022-07-04T07:35:37,-37397,-0.6232833333333333,98.59718013754575
1656909336,216200,2681548,19.623411178588867,176,13,0,2022-07-04T07:35:36,-29,-0.47973,1656909344.8978798,2022-07-04T07:35:44,-29425,-0.49041666666666667,98.2171613084821
1656909343,995300,2689327,19.623411178588867,221,13,0,2022-07-04T07:35:43,-22,-0.3500783333333333,1656909353.1504278,2022-07-04T07:35:53,-21646,-0.3607666666666667,98.59833398176114
1656909353,266700,2698922,19.60936164855957,19,13,0,2022-07-04T07:35:53,-12,-0.195555,1656909361.351541,2022-07-04T07:36:01,-12051,-0.20085,98.11602425386684
1656909357,419600,2702751,19.60936164855957,45,13,0,2022-07-04T07:35:57,-8,-0.12634,1656909368.7737958,2022-07-04T07:36:08,-8222,-0.1370333333333333,97.63847729842715
1656909367,488600,2712820,19.53913116455078,98,13,0,2022-07-04T07:36:07,2,0.04147666666666667,1656909376.4324079,2022-07-04T07:36:16,1847,0.030783333333333333,105.29079648833162
1656909372,783600,2718115,19.047489166259766,125,13,0,2022-07-04T07:36:12,7,0.12972666666666666,1656909385.953817,2022-07-04T07:36:25,7142,0.11903333333333334,135.20966716984526
1656909383,201000,2728532,18.078258514404297,186,13,0,2022-07-04T07:36:23,18,0.30335,1656909393.6346729,2022-07-04T07:36:33,17559,0.29265,194.57588738623636
1656909392,329200,2737660,17.46019744873047,240,13,0,2022-07-04T07:36:32,27,0.45548666666666665,1656909401.826148,2022-07-04T07:36:41,26687,0.44478333333333336,249.19903425109968
1656909400,26000,2745602,17.137121200561523,29,13,0,2022-07-04T07:36:40,35,0.5837666666666668,1656909409.4881759,2022-07-04T07:36:49,34629,0.5771499999999999,296.7220212256785
1656909409,590200,2755166,16.715717315673828,82,13,0,2022-07-04T07:36:49,44,0.74317,1656909428.1797159,2022-07-04T07:37:08,44193,0.7365499999999999,360.6305347126761
1656909423,838600,2769168,16.406686782836914,162,13,0,2022-07-04T07:37:03,58,0.9806433333333333,1656909432.829588,2022-07-04T07:37:12,58195,0.9699166666666666,444.6508195139886
1656909433,878800,2779208,16.266220092773438,223,13,0,2022-07-04T07:37:13,68,1.14798,1656909441.2505999,2022-07-04T07:37:21,68235,1.13725,506.4182781966522
1656909442,553900,2787883,16.195985794067383,20,13,0,2022-07-04T07:37:22,77,1.292565,1656909449.614177,2022-07-04T07:37:29,76910,1.2818333333333334,556.9831746751441
1656909451,435000,2796764,16.05551528930664,73,13,0,2022-07-04T07:37:31,86,1.4405833333333333,1656909457.2733128,2022-07-04T07:37:37,85791,1.4298499999999998,614.8728945933823
1656909459,626200,2804955,15.957191467285156,118,13,0,2022-07-04T07:37:39,94,1.5771033333333333,1656909465.555364,2022-07-04T07:37:45,93982,1.5663666666666667,668.656617185439
1656909467,137300,2812466,15.901001930236816,163,13,0,2022-07-04T07:37:47,102,1.7022883333333332,1656909473.8251798,2022-07-04T07:37:53,101493,1.6915499999999999,717.2348134108853
1656909474,885500,2820214,15.872909545898438,206,13,0,2022-07-04T07:37:54,109,1.8314249999999999,1656909481.356865,2022-07-04T07:38:01,109241,1.8206833333333334,764.861829631898
1656909482,847500,2828176,15.915047645568848,251,13,0,2022-07-04T07:38:02,117,1.964125,1656909489.075233,2022-07-04T07:38:09,117203,1.9533833333333335,811.4016999575513
1656909490,286300,2835929,15.971235275268555,40,13,0,2022-07-04T07:38:10,125,2.088105,1656909498.176512,2022-07-04T07:38:18,124956,2.0826000000000002,852.971078382493
1656909503,986800,2849315,16.027423858642578,120,13,0,2022-07-04T07:38:23,138,2.3164466666666663,1656909514.012097,2022-07-04T07:38:34,138342,2.3057000000000003,931.9256562127825
1656909514,282100,2859610,15.957191467285156,173,13,0,2022-07-04T07:38:34,149,2.4880350000000004,1656909522.379484,2022-07-04T07:38:42,148637,2.4772833333333333,993.6972724944485
1656909522,86100,2867414,15.929095268249512,216,13,0,2022-07-04T07:38:42,157,2.6181016666666665,1656909530.38942,2022-07-04T07:38:50,156441,2.60735,1042.3609478116775
1656909529,452300,2874780,15.985283851623535,5,13,0,2022-07-04T07:38:49,164,2.7408716666666666,1656909538.012028,2022-07-04T07:38:58,163807,2.7301166666666665,1083.6238107868905
1656909538,682000,2884164,15.957191467285156,59,13,0,2022-07-04T07:38:58,173,2.8947,1656909547.0573769,2022-07-04T07:39:07,173191,2.8865166666666666,1140.6264094354142
1656909545,988100,2891510,15.929095268249512,104,13,0,2022-07-04T07:39:05,180,3.0164683333333335,1656909554.840736,2022-07-04T07:39:14,180537,3.00895,1185.8501484943483
1656909553,336300,2898818,15.886955261230469,147,13,0,2022-07-04T07:39:13,188,3.1389383333333334,1656909563.152897,2022-07-04T07:39:23,187845,3.13075,1232.1725075191318
1656909562,658200,2908150,15.985283851623535,200,13,0,2022-07-04T07:39:22,197,3.294303333333333,1656909571.50292,2022-07-04T07:39:31,197177,3.286283333333333,1282.9599117985395
1656909570,124800,2915452,15.985283851623535,245,13,0,2022-07-04T07:39:30,205,3.4187466666666664,1656909579.5227928,2022-07-04T07:39:39,204479,3.4079833333333336,1324.5395831445012
1656909577,449100,2922776,16.013378143310547,34,13,0,2022-07-04T07:39:37,212,3.540818333333333,1656909587.833061,2022-07-04T07:39:47,211803,3.53005,1373.1519247110543
1656909580,531900,2932172,15.957191467285156,87,13,0,2022-07-04T07:39:40,215,3.5921983333333336,1656909595.445468,2022-07-04T07:39:55,221199,3.68665,1402.142100471106
1656909588,305200,2939795,15.971235275268555,130,13,0,2022-07-04T07:39:48,223,3.7217533333333335,1656909603.593329,2022-07-04T07:40:03,228822,3.8137,1465.750844417719
1656909601,913700,2947434,15.985283851623535,175,13,0,2022-07-04T07:40:01,236,3.948561666666667,1656909611.394173,2022-07-04T07:40:11,236461,3.941016666666667,1515.4920851608906
1656909609,551400,2954877,15.985283851623535,220,13,0,2022-07-04T07:40:09,244,4.075856666666667,1656909619.56446,2022-07-04T07:40:19,243904,4.065066666666667,1561.39373044284
1656909614,566300,2960076,15.943142890930176,247,13,0,2022-07-04T07:40:14,249,4.159438333333333,1656909624.466317,2022-07-04T07:40:24,249103,4.151716666666667,1595.789715064995
1656909625,286500,2970612,15.929095268249512,52,13,0,2022-07-04T07:40:25,260,4.3381083333333335,1656909632.685545,2022-07-04T07:40:32,259639,4.3273166666666665,1659.9736244347148
1656909634,89600,2979415,15.929095268249512,105,13,0,2022-07-04T07:40:34,269,4.484826666666667,1656909640.896385,2022-07-04T07:40:40,268442,4.474033333333334,1712.645358941986
1656909641,7600,2986333,15.971235275268555,140,13,0,2022-07-04T07:40:41,276,4.600126666666667,1656909648.426025,2022-07-04T07:40:48,275360,4.589333333333333,1754.2388830201521
1656909651,192900,2996518,15.985283851623535,203,13,0,2022-07-04T07:40:51,286,4.769881666666667,1656909656.787297,2022-07-04T07:40:56,285545,4.759083333333334,1816.9262834510796
1656909658,241900,3003567,15.971235275268555,238,13,0,2022-07-04T07:40:58,293,4.887365,1656909665.207336,2022-07-04T07:41:05,292594,4.876566666666666,1859.183395770574
1656909666,156100,3011481,15.901001930236816,27,13,0,2022-07-04T07:41:06,301,5.019268333333333,1656909673.477728,2022-07-04T07:41:13,300508,5.008466666666666,1912.0289701503552
1656909675,78300,3020403,15.872909545898438,80,13,0,2022-07-04T07:41:15,310,5.167971666666667,1656909681.097693,2022-07-04T07:41:21,309430,5.157166666666667,1969.1253454874798
1656909683,116400,3028441,15.830767631530762,123,13,0,2022-07-04T07:41:23,318,5.30194,1656909689.259785,2022-07-04T07:41:29,317468,5.291133333333334,2022.0690041485477
1656909690,905600,3036230,15.816722869873047,168,13,0,2022-07-04T07:41:30,325,5.43176,1656909697.1185808,2022-07-04T07:41:37,325257,5.42095,2073.7602433669363
1656909705,630600,3051407,15.830767631530762,0,13,0,2022-07-04T07:41:45,340,5.677176666666667,1656909714.284396,2022-07-04T07:41:54,340434,5.673900000000001,2169.048541778465
1656909721,433500,3066826,15.816722869873047,90,13,0,2022-07-04T07:42:01,356,5.940558333333333,1656909730.1909518,2022-07-04T07:42:10,355853,5.930883333333333,2269.5339651236072
1656909736,348500,3082045,15.872909545898438,178,13,0,2022-07-04T07:42:16,371,6.189141666666667,1656909745.4706118,2022-07-04T07:42:25,371072,6.184533333333333,2361.7467815916098
1656909760,699100,3106091,15.957191467285156,64,13,0,2022-07-04T07:42:40,395,6.594984999999999,1656909769.822433,2022-07-04T07:42:49,395118,6.5853,2507.321111811748
1656909771,797700,3117571,16.04146957397461,127,13,0,2022-07-04T07:42:51,406,6.779961666666667,1656909782.862808,2022-07-04T07:43:02,406598,6.776633333333334,2572.944857178176
1656909783,488400,3128880,16.0836124420166,188,13,0,2022-07-04T07:43:03,418,6.974806666666667,1656909790.4711719,2022-07-04T07:43:10,417907,6.965116666666666,2638.850016740701
1656909787,903400,3133295,16.09765625,215,13,0,2022-07-04T07:43:07,422,7.0483899999999995,1656909798.632997,2022-07-04T07:43:18,422322,7.0387,2664.448608215179
1656909799,243400,3144635,16.0836124420166,20,13,0,2022-07-04T07:43:19,434,7.23739,1656909806.525169,2022-07-04T07:43:26,433662,7.2277,2732.189185990141
1656909806,927200,3152540,16.069562911987305,65,13,0,2022-07-04T07:43:26,441,7.365453333333334,1656909814.8963408,2022-07-04T07:43:34,441567,7.35945,2779.2736411437727
1656909814,134500,3160012,16.0836124420166,110,13,0,2022-07-04T07:43:34,449,7.485575,1656909822.292708,2022-07-04T07:43:42,449039,7.483983333333333,2823.4382203401033
1656909822,331400,3167944,16.069562911987305,153,13,0,2022-07-04T07:43:42,457,7.62219,1656909830.652237,2022-07-04T07:43:50,456971,7.616183333333334,2872.3009237310357
1656909829,204200,3175201,16.0836124420166,198,13,0,2022-07-04T07:43:49,464,7.736736666666667,1656909838.232041,2022-07-04T07:43:58,464228,7.737133333333333,2908.9198004503824
1656909837,3200,3183000,16.069562911987305,243,13,0,2022-07-04T07:43:57,472,7.86672,1656909846.542397,2022-07-04T07:44:06,472027,7.867116666666666,2987.0859965106847
1656909839,255700,3190577,16.04146957397461,30,13,0,2022-07-04T07:43:59,474,7.904261666666667,1656909855.073701,2022-07-04T07:44:15,479604,7.993399999999999,3007.994722207905
1656909854,389300,3199950,16.04146957397461,84,13,0,2022-07-04T07:44:14,489,8.156488333333334,1656909863.2927918,2022-07-04T07:44:23,488977,8.149616666666667,3061.7894171006546
1656909862,408000,3207729,16.125751495361328,129,13,0,2022-07-04T07:44:22,497,8.290133333333333,1656909871.175657,2022-07-04T07:44:31,496756,8.279266666666667,3105.561937148801
1656909872,56000,3217377,16.13979721069336,182,13,0,2022-07-04T07:44:32,507,8.450933333333333,1656909886.925777,2022-07-04T07:44:46,506404,8.440066666666667,3162.0344978072785
1656909891,258500,3236579,16.0836124420166,32,13,0,2022-07-04T07:44:51,526,8.770975,1656909902.72394,2022-07-04T07:45:02,525606,8.7601,3281.350048718802
1656909901,572500,3246893,16.04146957397461,94,13,0,2022-07-04T07:45:01,536,8.942874999999999,1656909907.353188,2022-07-04T07:45:07,535920,8.931999999999999,3346.494266638586
1656909924,947700,3270612,16.0836124420166,227,13,0,2022-07-04T07:45:24,559,9.332461666666667,1656909931.333725,2022-07-04T07:45:31,559639,9.327316666666666,3483.063668463565
1656909928,307100,3273627,16.09765625,245,13,0,2022-07-04T07:45:28,563,9.388451666666667,1656909938.863776,2022-07-04T07:45:38,562654,9.377566666666667,3502.6109671794557
1656909938,530100,3283850,16.125751495361328,42,13,0,2022-07-04T07:45:38,573,9.558834999999998,1656909947.276437,2022-07-04T07:45:47,572877,9.547949999999998,3560.675044714031
1656909947,823000,3293297,16.0836124420166,95,13,0,2022-07-04T07:45:47,582,9.713716666666667,1656909955.285472,2022-07-04T07:45:55,582324,9.7054,3619.211746965596
1656909962,854600,3308518,16.013378143310547,183,13,0,2022-07-04T07:46:02,597,9.964243333333334,1656909971.4564168,2022-07-04T07:46:11,597545,9.959083333333332,3713.2092872256267
1656909969,955300,3315409,16.013378143310547,228,13,0,2022-07-04T07:46:09,604,10.082588333333332,1656909979.6443439,2022-07-04T07:46:19,604436,10.073933333333335,3757.226313906549
1656909977,395000,3322991,16.013378143310547,17,13,0,2022-07-04T07:46:17,612,10.206583333333333,1656909987.2450478,2022-07-04T07:46:27,612018,10.2003,3802.5476428649054
1656909984,861800,3330181,16.013378143310547,60,13,0,2022-07-04T07:46:24,619,10.33103,1656909994.644357,2022-07-04T07:46:34,619208,10.320133333333333,3846.924934682665
1656909994,838800,3340158,16.05551528930664,114,13,0,2022-07-04T07:46:34,629,10.497313333333333,1656910003.7561078,2022-07-04T07:46:43,629185,10.486416666666665,3902.947808062902
1656910001,819000,3347138,16.09765625,159,13,0,2022-07-04T07:46:41,636,10.61365,1656910011.354629,2022-07-04T07:46:51,636165,10.602749999999999,3943.8437112859315
1656910011,277100,3356596,16.069562911987305,212,13,0,2022-07-04T07:46:51,646,10.771285,1656910019.7349,2022-07-04T07:46:59,645623,10.760383333333333,4000.6570426827416
1656910018,430400,3363749,16.069562911987305,1,13,0,2022-07-04T07:46:58,653,10.890506666666665,1656910027.784932,2022-07-04T07:47:07,652776,10.8796,4042.3777733383367
1656910026,459400,3371778,16.0836124420166,44,13,0,2022-07-04T07:47:06,661,11.024323333333333,1656910035.4767408,2022-07-04T07:47:15,660805,11.013416666666666,4092.7449285715493
