time_s,time_us,time_steady,red_sensor_raw[0],red_sensor_raw[1],red_sensor_raw[2],red_rb,co_conc,ox_sensor_raw[0],ox_sensor_raw[1],ox_sensor_raw[2],ox_rb,no2_conc,nh3_sensor_raw[0],nh3_sensor_raw[1],nh3_sensor_raw[2],nh3_rb,nh3_conc,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909109,846800,2456183,4056,3543,3026,3,0.11904919147491455,3743,166,70,1,0.15617644786834717,4024,2261,1628,2,0.03518455848097801,129,13,0,2022-07-04T07:31:49,-256,-4.252553333333333,1656909126.143504,2022-07-04T07:32:06,-254790,-4.2465,96.77428588123382
1656909123,826800,2470163,4057,3544,3027,3,0.1189212054014206,3742,165,70,1,0.1557045429944992,4023,2256,1625,2,0.03550649806857109,209,13,0,2022-07-04T07:32:03,-242,-4.0195533333333335,1656909134.393056,2022-07-04T07:32:14,-240810,-4.0135,96.62516748159857
1656909127,459900,2474120,4059,3547,3028,3,0.11879327148199081,3746,166,70,1,0.15760818123817444,4023,2261,1627,2,0.03518455848097801,226,13,0,2022-07-04T07:32:07,-238,-3.9590016666666665,1656909143.742292,2022-07-04T07:32:23,-236853,-3.94755,97.12052556141359
1656909148,664400,2495000,4055,3543,3025,3,0.11917725205421448,3741,166,69,1,0.15523526072502136,4022,2255,1621,2,0.03557121381163597,94,13,0,2022-07-04T07:32:28,-217,-3.605593333333333,1656909155.978628,2022-07-04T07:32:35,-215973,-3.5995500000000002,97.33438208289891
1656909155,437300,2501773,4056,3542,3024,3,0.11930535733699799,3743,166,70,1,0.15617644786834717,4023,2253,1619,2,0.03570098802447319,130,13,0,2022-07-04T07:32:35,-210,-3.4927116666666667,1656909164.555521,2022-07-04T07:32:44,-209200,-3.4866666666666664,97.1846351555588
1656909163,490300,2509826,4055,3542,3024,3,0.11930535733699799,3742,165,69,1,0.1557045429944992,4023,2251,1617,2,0.03583121299743652,174,13,0,2022-07-04T07:32:43,-202,-3.358495,1656909172.827481,2022-07-04T07:32:52,-201147,-3.3524499999999997,96.9740581353327
1656909172,230600,2518566,4056,3541,3023,3,0.11943353712558746,3741,165,69,1,0.15523526072502136,4023,2249,1616,2,0.035961877554655075,227,13,0,2022-07-04T07:32:52,-193,-3.212823333333333,1656909180.6901438,2022-07-04T07:33:00,-192407,-3.2067833333333335,97.1408583448289
1656909181,384800,2527720,4056,3542,3023,3,0.11943353712558746,3740,164,69,1,0.15476858615875244,4022,2248,1615,2,0.03602737933397293,24,13,0,2022-07-04T07:33:01,-184,-3.0602533333333333,1656909188.762537,2022-07-04T07:33:08,-183253,-3.0542166666666666,96.9853550285352
1656909193,759500,2540509,4056,3539,3020,3,0.11981842666864395,3740,165,69,1,0.15476858615875244,4022,2246,1613,2,0.0361587293446064,99,13,0,2022-07-04T07:33:13,-172,-2.8540083333333333,1656909204.6278598,2022-07-04T07:33:24,-170464,-2.841066666666667,96.45507212599058
1656909200,583400,2546350,4056,3539,3020,3,0.11981842666864395,3739,164,69,1,0.15430450439453125,4022,2246,1612,2,0.0361587293446064,134,13,0,2022-07-04T07:33:20,-165,-2.7402766666666665,1656909212.900584,2022-07-04T07:33:32,-164623,-2.7437166666666664,96.78698792219546
1656909204,760400,2556259,4056,3539,3019,3,0.11994683742523193,3740,164,69,1,0.15476858615875244,4022,2243,1610,2,0.0363566018640995,187,13,0,2022-07-04T07:33:24,-161,-2.67066,1656909220.721848,2022-07-04T07:33:40,-154714,-2.5785666666666667,96.80575504477795
1656909229,821900,2575380,4056,3538,3018,3,0.12007532268762589,3739,164,69,1,0.15430450439453125,4022,2239,1606,2,0.03662203252315521,71,13,0,2022-07-04T07:33:49,-136,-2.2529683333333335,1656909237.848316,2022-07-04T07:33:57,-135593,-2.2598833333333332,96.59381866455078
1656909242,318100,2587837,4056,3539,3018,3,0.12007532268762589,3738,164,68,1,0.1538429856300354,4022,2240,1606,2,0.03655550256371498,160,13,0,2022-07-04T07:34:02,-123,-2.0446983333333333,1656909254.070361,2022-07-04T07:34:14,-123136,-2.0522666666666667,97.68632195809933
1656909252,523900,2597857,4056,3541,3022,3,0.11956177651882172,3742,164,69,1,0.1557045429944992,4023,2242,1608,2,0.036422792822122574,214,13,0,2022-07-04T07:34:12,-113,-1.8746016666666667,1656909262.342644,2022-07-04T07:34:22,-113116,-1.8852666666666666,96.97002943859013
1656909261,789400,2607437,4055,3537,3015,3,0.1204611137509346,3738,164,69,1,0.1538429856300354,4022,2232,1599,2,0.0370909608900547,11,13,0,2022-07-04T07:34:21,-104,-1.7201766666666667,1656909269.965196,2022-07-04T07:34:29,-103536,-1.7256,97.59453191867209
1656909267,855900,2613189,4056,3537,3015,3,0.1204611137509346,3741,163,69,1,0.15523526072502136,4022,2233,1600,2,0.037023626267910004,47,13,0,2022-07-04T07:34:27,-98,-1.6190683333333333,1656909277.885469,2022-07-04T07:34:37,-97784,-1.6297333333333335,98.03062062945328
1656909276,911100,2622378,4056,3536,3015,3,0.1204611137509346,3738,163,69,1,0.1538429856300354,4021,2222,1588,2,0.03777077794075012,100,13,0,2022-07-04T07:34:36,-89,-1.4681483333333332,1656909286.176929,2022-07-04T07:34:46,-88595,-1.4765833333333334,97.53927400620759
1656909282,684300,2628017,4056,3541,3020,3,0.11981842666864395,3740,163,68,1,0.15476858615875244,4022,2228,1592,2,0.03736148029565811,135,13,0,2022-07-04T07:34:42,-83,-1.3719283333333334,1656909293.418573,2022-07-04T07:34:53,-82956,-1.3826,97.5905328558537
1656909292,511300,2637844,4056,3537,3017,3,0.12020386010408401,3740,163,69,1,0.15476858615875244,4022,2227,1594,2,0.03742939978837967,188,13,0,2022-07-04T07:34:52,-73,-1.2081449999999998,1656909300.8993719,2022-07-04T07:35:00,-73129,-1.2188166666666667,97.67778441746115
1656909298,767300,2644100,4056,3538,3018,3,0.12007532268762589,3737,163,68,1,0.1533840000629425,4022,2226,1592,2,0.037497442215681076,224,13,0,2022-07-04T07:34:58,-67,-1.1038783333333333,1656909309.303612,2022-07-04T07:35:09,-66873,-1.1145500000000002,97.84064194353806
1656909323,647800,2668980,4056,3537,3018,3,0.12007532268762589,3736,162,68,1,0.15292754769325256,4021,2223,1588,2,0.03770226985216141,110,13,0,2022-07-04T07:35:23,-42,-0.6892033333333334,1656909330.0018408,2022-07-04T07:35:30,-41993,-0.6998833333333334,98.36645515401548
1656909329,947900,2675624,4058,3535,3013,3,0.12071862071752548,3736,162,68,1,0.15292754769325256,4021,2220,1586,2,0.0379081629216671,145,13,0,2022-07-04T07:35:29,-36,-0.5842016666666667,1656909337.7466118,2022-07-04T07:35:37,-35349,-0.58915,98.49041748132095
