time_s,time_us,time_steady,temperature,pressure,altitude,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch
1656909104,765200,2451248,41.18000030517578,100176,96.08978271484375,99,13,2,2022-07-04T07:31:44,-261,-4.337246666666667,1656909113.8533769,2022-07-04T07:31:53,-259725,-4.32875
1656909111,1600,2457360,41.04999923706055,100166,96.92984008789062,133,13,2,2022-07-04T07:31:51,-254,-4.2333066666666666,1656909121.9542248,2022-07-04T07:32:01,-253613,-4.226883333333333
1656909122,255600,2468614,41.189998626708984,100173,96.341796875,195,13,2,2022-07-04T07:32:02,-243,-4.04574,1656909130.2428038,2022-07-04T07:32:10,-242359,-4.039316666666667
1656909126,447700,2473130,40.9900016784668,100164,97.09785461425781,221,13,2,2022-07-04T07:32:06,-239,-3.975871666666667,1656909138.244897,2022-07-04T07:32:18,-237843,-3.96405
1656909141,450200,2488182,40.939998626708984,100160,97.43387603759766,55,13,2,2022-07-04T07:32:21,-224,-3.72583,1656909154.791373,2022-07-04T07:32:34,-222791,-3.7131833333333333
1656909153,632200,2499990,41.04999923706055,100162,97.265869140625,117,13,2,2022-07-04T07:32:33,-212,-3.5227966666666664,1656909162.835408,2022-07-04T07:32:42,-210983,-3.516383333333333
1656909161,99100,2507457,41.150001525878906,100166,96.92984008789062,162,13,2,2022-07-04T07:32:41,-204,-3.3983483333333333,1656909171.017273,2022-07-04T07:32:51,-203516,-3.3919333333333332
1656909170,184900,2516819,41.119998931884766,100164,97.09785461425781,215,13,2,2022-07-04T07:32:50,-195,-3.2469183333333334,1656909179.43958,2022-07-04T07:32:59,-194154,-3.2359
1656909178,177400,2524535,41.06999969482422,100162,97.265869140625,2,13,2,2022-07-04T07:32:58,-187,-3.1137099999999998,1656909187.132849,2022-07-04T07:33:07,-186438,-3.1073
1656909189,703700,2536061,41.400001525878906,100174,96.25779724121094,77,13,2,2022-07-04T07:33:09,-176,-2.921605,1656909203.546737,2022-07-04T07:33:23,-174912,-2.9152
1656909201,793200,2547582,41.22999954223633,100167,96.84583282470703,138,13,2,2022-07-04T07:33:21,-164,-2.720113333333333,1656909211.019976,2022-07-04T07:33:31,-163391,-2.723183333333333
1656909208,12200,2553801,41.25,100168,96.76183319091797,175,13,2,2022-07-04T07:33:28,-157,-2.6164633333333334,1656909218.981889,2022-07-04T07:33:38,-157172,-2.6195333333333335
1656909211,63200,2562420,41.369998931884766,100170,96.59381866455078,235,13,2,2022-07-04T07:33:31,-154,-2.5656133333333333,1656909227.323225,2022-07-04T07:33:47,-148553,-2.4758833333333334
1656909232,796300,2578152,41.540000915527344,100170,96.59381866455078,97,13,2,2022-07-04T07:33:52,-133,-2.203395,1656909243.8176968,2022-07-04T07:34:03,-132821,-2.2136833333333334
1656909241,603900,2587145,41.349998474121094,100156,97.76990509033203,155,13,2,2022-07-04T07:34:01,-124,-2.056601666666667,1656909251.740229,2022-07-04T07:34:11,-123828,-2.0638
1656909249,499900,2595041,41.529998779296875,100167,96.84583282470703,200,13,2,2022-07-04T07:34:09,-116,-1.9250016666666667,1656909259.8911848,2022-07-04T07:34:19,-115932,-1.9322000000000001
1656909257,681700,2603037,41.560001373291016,100163,97.1818618774414,245,13,2,2022-07-04T07:34:17,-108,-1.7886383333333333,1656909267.642688,2022-07-04T07:34:27,-107936,-1.7989333333333335
1656909266,879800,2612235,41.43000030517578,100152,98.10592651367188,43,13,2,2022-07-04T07:34:26,-99,-1.6353366666666667,1656909276.057077,2022-07-04T07:34:36,-98738,-1.6456333333333333
1656909274,501900,2619857,41.599998474121094,100159,97.51788330078125,86,13,2,2022-07-04T07:34:34,-91,-1.5083016666666667,1656909284.3981009,2022-07-04T07:34:44,-91116,-1.5186
1656909293,425100,2638780,41.529998779296875,100157,97.68589782714844,192,13,2,2022-07-04T07:34:53,-72,-1.192915,1656909305.041652,2022-07-04T07:35:05,-72193,-1.2032166666666666
1656909305,25500,2650380,41.52000045776367,100153,98.02191925048828,255,13,2,2022-07-04T07:35:05,-60,-0.999575,1656909312.79206,2022-07-04T07:35:12,-60593,-1.0098833333333335
1656909313,831600,2659186,41.650001525878906,100156,97.76990509033203,53,13,2,2022-07-04T07:35:13,-52,-0.8528066666666666,1656909320.724452,2022-07-04T07:35:20,-51787,-0.8631166666666666
1656909327,654700,2673353,41.41999816894531,100146,98.6099624633789,132,13,2,2022-07-04T07:35:27,-38,-0.6224216666666667,1656909336.51048,2022-07-04T07:35:36,-37620,-0.627
1656909335,712000,2681066,41.5099983215332,100151,98.18993377685547,175,13,2,2022-07-04T07:35:35,-30,-0.48813333333333336,1656909344.8978798,2022-07-04T07:35:44,-29907,-0.49845
1656909343,490100,2688844,41.459999084472656,100146,98.6099624633789,220,13,2,2022-07-04T07:35:43,-22,-0.35849833333333336,1656909352.5910249,2022-07-04T07:35:52,-22129,-0.3688166666666667
1656909350,789500,2696467,41.540000915527344,100148,98.44194793701172,9,13,2,2022-07-04T07:35:50,-15,-0.23684166666666667,1656909360.790825,2022-07-04T07:36:00,-14506,-0.24176666666666666
