time_s,time_us,time_steady,resets_count,reset_cause,active_oscillator,time_base,time_syncs_attempted,time_syncs_performed,last_time_sync_time_steady,last_time_sync_delta_s,last_time_sync_delta_us,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909107,374400,2454094,1,2,0,3,1687,580,2454069,-1,616129,118,13,0,2022-07-04T07:31:47,-258,-4.293760000000001,1656909121.9542248,2022-07-04T07:32:01,-256879,-4.281316666666667,96.441247934803
1656909122,504600,2468840,1,2,0,3,1695,583,2466626,0,364082,198,13,0,2022-07-04T07:32:02,-243,-4.04159,1656909135.7423809,2022-07-04T07:32:15,-242133,-4.03555,96.38670476772089
1656909150,31200,2496366,1,2,0,3,1708,587,2488434,0,374211,101,13,0,2022-07-04T07:32:30,-215,-3.582813333333333,1656909160.4345489,2022-07-04T07:32:40,-214607,-3.576783333333333,97.31553199040324
1656909159,757100,2506092,1,2,0,3,1716,589,2497764,0,155474,155,13,0,2022-07-04T07:32:39,-206,-3.420715,1656909171.017273,2022-07-04T07:32:51,-204881,-3.4146833333333335,96.99023342230913
1656909196,690300,2543439,1,2,0,3,1741,596,2537797,-1,585686,114,13,0,2022-07-04T07:33:16,-169,-2.8051616666666663,1656909205.169252,2022-07-04T07:33:25,-167534,-2.7922333333333333,96.59762679641618
1656909202,405200,2548171,1,2,0,3,1745,597,2544681,0,982916,141,13,0,2022-07-04T07:33:22,-163,-2.709913333333333,1656909218.341317,2022-07-04T07:33:38,-162802,-2.7133666666666665,96.83756657999263
1656909233,41300,2578374,1,2,0,3,1764,604,2575652,0,224610,101,13,0,2022-07-04T07:33:53,-132,-2.1993116666666666,1656909243.26,2022-07-04T07:34:03,-132599,-2.209983333333333,96.62653372589739
1656909242,121700,2587640,1,2,0,3,1771,607,2587098,-1,814499,158,13,0,2022-07-04T07:34:02,-123,-2.0479716666666667,1656909254.070361,2022-07-04T07:34:14,-123333,-2.0555499999999998,97.70930673431118
1656909256,839700,2602172,1,2,0,3,1779,608,2595242,0,185834,238,13,0,2022-07-04T07:34:16,-109,-1.8026716666666667,1656909267.642688,2022-07-04T07:34:27,-108801,-1.81335,97.14728067741179
1656909265,777700,2611110,1,2,0,3,1786,611,2608908,0,214084,35,13,0,2022-07-04T07:34:25,-100,-1.653705,1656909278.4657638,2022-07-04T07:34:38,-99863,-1.6643833333333333,97.99520673071783
1656909289,462100,2634794,1,2,0,3,1803,616,2625587,0,254126,168,13,0,2022-07-04T07:34:49,-76,-1.258965,1656909301.4902,2022-07-04T07:35:01,-76179,-1.26965,97.65071130647576
1656909303,249400,2648955,1,2,0,3,1808,618,2647767,-1,890210,248,13,0,2022-07-04T07:35:03,-62,-1.0291766666666666,1656909311.6920319,2022-07-04T07:35:11,-62018,-1.0336333333333334,97.97047208918403
1656909326,125400,2671581,1,2,0,3,1824,622,2671406,-1,875883,125,13,0,2022-07-04T07:35:26,-39,-0.64791,1656909335.359084,2022-07-04T07:35:35,-39392,-0.6565333333333334,98.51702385043387
1656909336,220000,2681551,1,2,0,3,1830,624,2675896,0,344324,178,13,0,2022-07-04T07:35:36,-29,-0.4796666666666667,1656909346.080312,2022-07-04T07:35:46,-29422,-0.4903666666666667,98.21736651399614
