time_s,time_us,time_steady,gps_init_error,gps_config_error,lsm6ds3_error,lis3mdl_error,analog_sensor_init_error,gps_uart_init_error,mems_i2c_error,timers_error,rtc_error,mems_i2c_error_counter,lsm6ds3_error_counter,lis3mdl_error_counter,gps_reconfig_counter,osc_source,reset_counter,reset_cause,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909112,164000,2456982,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,6,11,0,2022-07-04T07:31:52,-253,-4.213933333333333,1656909122.515152,2022-07-04T07:32:02,-253991,-4.233183333333334,96.86910244521566
1656909127,436000,2472253,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,186,11,0,2022-07-04T07:32:07,-238,-3.9594,1656909136.3462489,2022-07-04T07:32:16,-238720,-3.978666666666667,97.11999025649656
1656909151,880000,2496698,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,115,11,0,2022-07-04T07:32:31,-214,-3.552,1656909160.983644,2022-07-04T07:32:40,-214275,-3.57125,97.29003444064762
1656909163,85000,2507902,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,170,11,0,2022-07-04T07:32:43,-202,-3.36525,1656909171.6480958,2022-07-04T07:32:51,-203071,-3.384516666666667,96.96656333162399
1656909176,337000,2521154,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,36,11,0,2022-07-04T07:32:56,-189,-3.1443833333333333,1656909185.3223279,2022-07-04T07:33:05,-189819,-3.1636499999999996,97.22718112882316
1656909209,947000,2554764,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,225,11,0,2022-07-04T07:33:29,-156,-2.584216666666667,1656909218.981889,2022-07-04T07:33:38,-156209,-2.6034833333333336,96.65528631919878
1656909222,167000,2566984,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,54,11,0,2022-07-04T07:33:42,-143,-2.38055,1656909230.174008,2022-07-04T07:33:50,-143989,-2.3998166666666667,96.59381866455078
1656909234,389000,2579205,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,147,11,0,2022-07-04T07:33:54,-131,-2.17685,1656909243.8176968,2022-07-04T07:34:03,-131768,-2.1961333333333335,96.80649326947628
1656909243,555000,2588371,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,152,11,0,2022-07-04T07:34:03,-122,-2.024083333333333,1656909254.070361,2022-07-04T07:34:14,-122602,-2.0433666666666666,97.54156702074478
1656909257,803000,2602619,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,46,11,0,2022-07-04T07:34:17,-108,-1.7866166666666667,1656909267.642688,2022-07-04T07:34:27,-108354,-1.8059,97.19404798548271
1656909271,41000,2615857,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,162,11,0,2022-07-04T07:34:31,-94,-1.5659833333333333,1656909278.4657638,2022-07-04T07:34:38,-95116,-1.5852666666666666,97.78489091751328
1656909293,443000,2638259,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,30,11,0,2022-07-04T07:34:53,-72,-1.1926166666666667,1656909302.05282,2022-07-04T07:35:02,-72714,-1.2119,97.68641632508624
1656909304,642000,2649458,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,93,11,0,2022-07-04T07:35:04,-61,-1.0059666666666667,1656909312.79206,2022-07-04T07:35:12,-61515,-1.02525,98.01081064941842
1656909316,864000,2661680,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,186,11,0,2022-07-04T07:35:16,-49,-0.8022666666666667,1656909325.865417,2022-07-04T07:35:25,-49293,-0.82155,97.95419008993612
1656909328,63000,2672879,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,242,11,0,2022-07-04T07:35:28,-37,-0.6156166666666666,1656909335.9513888,2022-07-04T07:35:35,-38094,-0.6349,98.58867770139815
1656909339,270000,2684085,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,48,11,0,2022-07-04T07:35:39,-26,-0.42883333333333334,1656909346.709188,2022-07-04T07:35:46,-26888,-0.4481333333333334,98.38207093974235
1656909350,472000,2695288,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,112,11,0,2022-07-04T07:35:50,-15,-0.24213333333333334,1656909360.192968,2022-07-04T07:36:00,-15685,-0.2614166666666667,98.44925601878852
1656909358,620000,2703435,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,88,11,0,2022-07-04T07:35:58,-7,-0.10633333333333334,1656909370.004348,2022-07-04T07:36:10,-7538,-0.12563333333333335,97.8175911485436
1656909368,801000,2713616,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,122,11,0,2022-07-04T07:36:08,3,0.06335,1656909380.538908,2022-07-04T07:36:20,2643,0.04405,112.70638211296213
1656909384,96000,2728911,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,38,11,0,2022-07-04T07:36:24,19,0.31826666666666664,1656909394.195068,2022-07-04T07:36:34,17938,0.29896666666666666,199.93133192523962
1656909396,345000,2741160,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,131,11,0,2022-07-04T07:36:36,31,0.5224166666666666,1656909404.7567408,2022-07-04T07:36:44,30187,0.5031166666666667,273.23160241358704
1656909419,773000,2764588,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,31,11,0,2022-07-04T07:36:59,54,0.9128833333333334,1656909430.459388,2022-07-04T07:37:10,53615,0.8935833333333334,419.57861454471663
1656909434,60000,2778875,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,177,11,0,2022-07-04T07:37:14,69,1.151,1656909441.2505999,2022-07-04T07:37:21,67902,1.1317,507.45188956767055
1656909459,548000,2804363,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,134,11,0,2022-07-04T07:37:39,94,1.5758,1656909465.555364,2022-07-04T07:37:45,93390,1.5565,668.1381184589668
1656909470,750000,2815565,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,197,11,0,2022-07-04T07:37:50,105,1.7625,1656909479.044973,2022-07-04T07:37:59,104592,1.7432,739.731322025485
1656909481,960000,2826774,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,3,11,0,2022-07-04T07:38:01,116,1.9493333333333331,1656909489.7261329,2022-07-04T07:38:09,115801,1.9300166666666667,806.4105670235823
1656909494,195000,2839010,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,90,11,0,2022-07-04T07:38:14,129,2.15325,1656909503.6274688,2022-07-04T07:38:23,128037,2.13395,874.4557351946412
1656909505,411000,2850225,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,154,11,0,2022-07-04T07:38:25,140,2.3401833333333335,1656909514.012097,2022-07-04T07:38:34,139252,2.320866666666667,940.4190007890442
1656909517,643000,2862457,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,246,11,0,2022-07-04T07:38:37,152,2.54405,1656909527.909149,2022-07-04T07:38:47,151484,2.5247333333333333,1016.227914080056
1656909529,881000,2874695,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,83,11,0,2022-07-04T07:38:49,164,2.7480166666666666,1656909538.5599089,2022-07-04T07:38:58,163722,2.7287000000000003,1086.276511992188
1656909542,125000,2886939,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,167,11,0,2022-07-04T07:39:02,177,2.9520833333333334,1656909548.875592,2022-07-04T07:39:08,175966,2.9327666666666667,1161.7700400551803
1656909554,365000,2899179,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,4,11,0,2022-07-04T07:39:14,189,3.1560833333333336,1656909562.616324,2022-07-04T07:39:22,188206,3.1367666666666665,1237.7770519555909
1656909566,601000,2911415,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,97,11,0,2022-07-04T07:39:26,201,3.3600166666666667,1656909573.392268,2022-07-04T07:39:33,200442,3.3407,1304.4410023050723
1656909577,816000,2922630,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,160,11,0,2022-07-04T07:39:37,212,3.5469333333333335,1656909587.103097,2022-07-04T07:39:47,211657,3.527616666666667,1376.602195726483
1656909591,69000,2935882,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,20,11,0,2022-07-04T07:39:51,226,3.7678166666666666,1656909597.724856,2022-07-04T07:39:57,224909,3.748483333333333,1475.2075744704155
1656909601,262000,2946076,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,53,11,0,2022-07-04T07:40:01,236,3.9377,1656909611.394173,2022-07-04T07:40:11,235103,3.9183833333333333,1511.6989456120134
1656909613,493000,2958306,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,146,11,0,2022-07-04T07:40:13,248,4.14155,1656909622.135484,2022-07-04T07:40:22,247333,4.122216666666667,1588.6048146855142
1656909624,717000,2969530,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,209,11,0,2022-07-04T07:40:24,259,4.328616666666666,1656909632.685545,2022-07-04T07:40:32,258557,4.309283333333334,1656.563917863377
1656909650,201000,2995015,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,159,11,0,2022-07-04T07:40:50,285,4.75335,1656909656.787297,2022-07-04T07:40:56,284042,4.734033333333333,1811.3219049620911
1656909673,657000,3018471,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,59,11,0,2022-07-04T07:41:13,308,5.144283333333333,1656909680.537396,2022-07-04T07:41:20,307498,5.1249666666666664,1960.055019361703
1656909697,119000,3041932,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,207,11,0,2022-07-04T07:41:37,332,5.5353166666666676,1656909705.1890118,2022-07-04T07:41:45,330959,5.515983333333334,2113.863445416328
1656909710,380000,3055193,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,74,11,0,2022-07-04T07:41:50,345,5.756333333333333,1656909716.639485,2022-07-04T07:41:56,344220,5.737,2199.653048924092
1656909714,459000,3059272,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,190,11,0,2022-07-04T07:41:54,349,5.824316666666666,1656909728.991572,2022-07-04T07:42:08,348299,5.804983333333333,2226.4193552914235
1656909730,786000,3075598,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,142,11,0,2022-07-04T07:42:10,365,6.096433333333334,1656909739.509961,2022-07-04T07:42:19,364625,6.077083333333333,2329.0132957074684
1656909756,317000,3101129,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,93,11,0,2022-07-04T07:42:36,391,6.52195,1656909763.940461,2022-07-04T07:42:43,390156,6.5026,2480.305718926719
1656909779,799000,3124612,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,249,11,0,2022-07-04T07:42:59,414,6.913316666666666,1656909788.171336,2022-07-04T07:43:08,413639,6.893983333333334,2617.5596249677465
1656909787,958000,3132770,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,224,11,0,2022-07-04T07:43:07,422,7.049300000000001,1656909798.0234249,2022-07-04T07:43:18,421797,7.02995,2664.7729715966107
1656909803,251000,3148063,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,141,11,0,2022-07-04T07:43:23,438,7.304183333333333,1656909812.052088,2022-07-04T07:43:32,437090,7.284833333333333,2756.746782813808
1656909826,718000,3171530,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,41,11,0,2022-07-04T07:43:46,461,7.6953000000000005,1656909832.931937,2022-07-04T07:43:52,460557,7.67595,2896.925973276758
1656909829,781000,3174593,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,128,11,0,2022-07-04T07:43:49,464,7.7463500000000005,1656909845.9936159,2022-07-04T07:44:05,463620,7.727,2914.7008315938087
1656909848,132000,3192944,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,131,11,0,2022-07-04T07:44:08,483,8.052200000000001,1656909856.152704,2022-07-04T07:44:16,481971,8.03285,3036.6065450846527
1656909860,368000,3205180,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,225,11,0,2022-07-04T07:44:20,495,8.256133333333333,1656909870.092664,2022-07-04T07:44:30,494207,8.236783333333333,3094.7202668297937
1656909871,595000,3216406,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,32,11,0,2022-07-04T07:44:31,506,8.44325,1656909880.565953,2022-07-04T07:44:40,505433,8.423883333333333,3159.087576838157
1656909896,62000,3240874,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,211,11,0,2022-07-04T07:44:56,531,8.851033333333334,1656909904.3834078,2022-07-04T07:45:04,529901,8.831683333333332,3311.6894176132837
1656909908,335000,3253147,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,46,11,0,2022-07-04T07:45:08,543,9.055583333333335,1656909915.213532,2022-07-04T07:45:15,542174,9.036233333333334,3389.206868314225
1656909918,539000,3263351,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,81,11,0,2022-07-04T07:45:18,553,9.22565,1656909927.813905,2022-07-04T07:45:27,552378,9.2063,3445.6868222792227
1656909929,750000,3274561,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,144,11,0,2022-07-04T07:45:29,564,9.4125,1656909938.315008,2022-07-04T07:45:38,563588,9.393133333333333,3510.7590494897936
1656909941,992000,3286803,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,235,11,0,2022-07-04T07:45:41,576,9.616533333333333,1656909948.974093,2022-07-04T07:45:48,575830,9.597166666666668,3582.4816546846314
1656909971,583000,3316394,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,49,11,0,2022-07-04T07:46:11,606,10.109716666666666,1656909986.185037,2022-07-04T07:46:26,605421,10.09035,3767.457513543835
1656909984,836000,3329647,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,170,11,0,2022-07-04T07:46:24,619,10.3306,1656909995.8142638,2022-07-04T07:46:35,618674,10.311233333333332,3846.7808340267584
1656909999,143000,3343954,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,58,11,0,2022-07-04T07:46:39,634,10.56905,1656910006.667549,2022-07-04T07:46:46,632981,10.549683333333332,3927.5211846169473
1656910012,411000,3357222,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,181,11,0,2022-07-04T07:46:52,647,10.790183333333333,1656910020.294541,2022-07-04T07:47:00,646249,10.770816666666667,4007.080730562161
1656910018,534000,3363344,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,99,11,0,2022-07-04T07:46:58,653,10.892233333333333,1656910030.716073,2022-07-04T07:47:10,652371,10.87285,4043.042281634031
1656910045,44000,3389855,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,81,11,0,2022-07-04T07:47:25,680,11.334066666666667,1656910054.445448,2022-07-04T07:47:34,678882,11.314699999999998,4200.939213844755
