time_s,time_us,time_steady,ofs_i,mag_i,ofs_q,mag_q,post_status,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909110,984000,2455802,-8,120,5,121,0,225,11,0,2022-07-04T07:31:50,-255,-4.2336,1656909120.19314,2022-07-04T07:32:00,-255171,-4.25285,96.92746932755364
1656909124,981000,2469799,-14,91,10,88,0,114,11,0,2022-07-04T07:32:04,-241,-4.0003166666666665,1656909130.7857208,2022-07-04T07:32:10,-241174,-4.019566666666667,96.83333089436339
1656909134,966000,2479783,-13,102,7,100,0,144,11,0,2022-07-04T07:32:14,-231,-3.8339,1656909144.312424,2022-07-04T07:32:24,-231190,-3.8531666666666666,97.28864490190558
1656909142,918000,2487735,-18,100,13,95,0,116,11,0,2022-07-04T07:32:22,-223,-3.7013666666666665,1656909154.791373,2022-07-04T07:32:34,-223238,-3.7206333333333332,97.41363301318653
1656909157,929000,2502746,-15,96,9,91,0,26,11,0,2022-07-04T07:32:37,-208,-3.4511833333333333,1656909168.766284,2022-07-04T07:32:48,-208227,-3.47045,97.0725024645226
1656909171,946000,2516763,-66,78,16,124,0,164,11,0,2022-07-04T07:32:51,-194,-3.217566666666667,1656909179.43958,2022-07-04T07:32:59,-194210,-3.2368333333333337,97.13487561924815
1656909184,950000,2529767,-7,115,6,110,0,24,11,0,2022-07-04T07:33:04,-181,-3.0008333333333335,1656909193.404028,2022-07-04T07:33:13,-181206,-3.0201,96.67354829647105
1656909191,977000,2536794,-9,152,3,149,0,225,11,0,2022-07-04T07:33:11,-174,-2.8837166666666665,1656909203.546737,2022-07-04T07:33:23,-174179,-2.9029833333333332,96.36837098635851
1656909201,954000,2546771,-10,131,6,127,0,255,11,0,2022-07-04T07:33:21,-164,-2.717433333333333,1656909213.539461,2022-07-04T07:33:33,-164202,-2.7367,96.84366090942913
1656909217,981000,2562798,-12,141,3,133,0,189,11,0,2022-07-04T07:33:37,-148,-2.4503166666666667,1656909227.323225,2022-07-04T07:33:47,-148175,-2.4695833333333335,96.59381866455078
1656909229,951000,2574767,-9,115,2,110,0,18,11,0,2022-07-04T07:33:49,-136,-2.2508166666666667,1656909238.4197369,2022-07-04T07:33:58,-136206,-2.2701,96.59381866455078
1656909242,938000,2587754,-15,76,-3,80,0,134,11,0,2022-07-04T07:34:02,-123,-2.0343666666666667,1656909252.3100998,2022-07-04T07:34:12,-123219,-2.0536499999999998,97.61377479530033
1656909254,948000,2599764,-10,118,4,114,0,222,11,0,2022-07-04T07:34:14,-111,-1.8342,1656909262.342644,2022-07-04T07:34:22,-111209,-1.8534833333333334,97.06958797420985
1656909266,955000,2611772,-11,126,6,124,0,47,11,0,2022-07-04T07:34:26,-99,-1.6340833333333333,1656909276.7156088,2022-07-04T07:34:36,-99201,-1.6533499999999999,98.10012485145157
1656909300,1000,2644817,-16,96,12,88,0,216,11,0,2022-07-04T07:35:00,-65,-1.0833166666666665,1656909310.4415798,2022-07-04T07:35:10,-66156,-1.1026,97.87637774833568
1656909312,991000,2657807,-9,127,8,130,0,76,11,0,2022-07-04T07:35:12,-53,-0.8668166666666667,1656909320.724452,2022-07-04T07:35:20,-53166,-0.8861,97.79396149475934
1656909324,996000,2669811,-10,114,11,109,0,155,11,0,2022-07-04T07:35:24,-41,-0.6667333333333333,1656909330.5975769,2022-07-04T07:35:30,-41162,-0.6860333333333333,98.44838795854861
1656909335,998000,2680813,-14,132,9,129,0,208,11,0,2022-07-04T07:35:35,-30,-0.48336666666666667,1656909344.368237,2022-07-04T07:35:44,-30160,-0.5026666666666667,98.20537819185986
1656909347,0,2691815,-9,121,7,111,0,11,11,0,2022-07-04T07:35:47,-18,-0.3,1656909354.919229,2022-07-04T07:35:54,-19158,-0.31930000000000003,98.52917305793514
1656909358,2000,2702818,-16,91,12,86,0,70,11,0,2022-07-04T07:35:58,-7,-0.11663333333333334,1656909367.622844,2022-07-04T07:36:07,-8155,-0.13591666666666666,97.72537825336535
1656909380,975000,2725790,-8,122,4,114,0,206,11,0,2022-07-04T07:36:20,15,0.26625,1656909388.8539488,2022-07-04T07:36:28,14817,0.24695,181.49435787816458
1656909392,972000,2737787,-11,102,2,97,0,33,11,0,2022-07-04T07:36:32,27,0.4662,1656909402.3959439,2022-07-04T07:36:42,26814,0.4469,253.04587294198242
