time_s,time_us,time_steady,num_ch,svid_0,flags_0,quality_0,cno_0,svid_1,flags_1,quality_1,cno_1,svid_2,flags_2,quality_2,cno_2,svid_3,flags_3,quality_3,cno_3,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909112,368000,2457186,16,32,16,5,31,31,4,4,27,22,4,4,26,25,4,4,23,11,11,0,2022-07-04T07:31:52,-253,-4.210533333333333,1656909126.143504,2022-07-04T07:32:06,-253787,-4.229783333333334,96.85844305162851
1656909128,392000,2473209,16,2,4,4,30,3,4,4,33,12,13,4,30,11,4,4,27,210,11,0,2022-07-04T07:32:08,-237,-3.9434666666666667,1656909136.913312,2022-07-04T07:32:16,-237764,-3.9627333333333334,97.14140245317797
1656909152,335000,2497152,15,12,12,4,29,3,4,4,28,31,4,4,25,25,4,4,21,128,11,0,2022-07-04T07:32:32,-213,-3.5444166666666663,1656909161.674325,2022-07-04T07:32:41,-213821,-3.563683333333333,97.28375935132546
1656909163,340000,2508157,15,2,4,4,26,3,4,4,25,12,12,4,25,11,4,4,27,177,11,0,2022-07-04T07:32:43,-202,-3.3609999999999998,1656909171.6480958,2022-07-04T07:32:51,-202816,-3.3802666666666665,96.97127878917573
1656909177,342000,2522159,15,2,4,4,30,12,12,4,28,20,4,4,24,11,4,4,29,61,11,0,2022-07-04T07:32:57,-188,-3.1276333333333333,1656909185.8949249,2022-07-04T07:33:05,-188814,-3.1469,97.2483077599147
1656909200,373000,2545190,16,19,12,4,30,3,4,4,28,24,12,3,26,25,4,4,22,208,11,0,2022-07-04T07:33:20,-165,-2.7437833333333335,1656909209.232216,2022-07-04T07:33:29,-165783,-2.76305,96.7767540261065
1656909210,402000,2555219,16,19,13,4,26,3,4,4,27,6,4,4,23,25,4,4,20,237,11,0,2022-07-04T07:33:30,-155,-2.5766333333333336,1656909219.6013758,2022-07-04T07:33:39,-155754,-2.5959,96.63023007223154
1656909223,389000,2568206,16,19,13,4,26,3,4,4,26,20,4,3,22,24,13,4,22,88,11,0,2022-07-04T07:33:43,-142,-2.360183333333333,1656909230.7744079,2022-07-04T07:33:50,-142767,-2.37945,96.59381866455078
1656909235,457000,2580274,16,12,13,4,27,29,4,4,26,6,4,4,18,11,4,4,27,177,11,0,2022-07-04T07:33:55,-130,-2.15905,1656909244.398905,2022-07-04T07:34:04,-130699,-2.178316666666667,96.94910423077496
1656909243,342000,2588159,15,12,12,4,27,25,4,4,26,31,4,4,26,11,4,4,26,144,11,0,2022-07-04T07:34:03,-122,-2.027633333333333,1656909255.2001529,2022-07-04T07:34:15,-122814,-2.0469,97.56649450207433
1656909259,376000,2604193,16,12,13,4,29,22,4,4,28,31,4,4,28,32,13,4,27,91,11,0,2022-07-04T07:34:19,-106,-1.7604,1656909268.193745,2022-07-04T07:34:28,-106780,-1.7796666666666667,97.35207558605137
1656909271,346000,2616162,14,12,13,4,28,24,13,4,27,25,4,4,26,22,4,4,25,170,11,0,2022-07-04T07:34:31,-94,-1.5609,1656909279.6758199,2022-07-04T07:34:39,-94811,-1.5801833333333335,97.76136023962508
1656909293,380000,2638196,16,22,4,4,26,24,13,4,26,32,13,4,26,11,4,4,23,25,11,0,2022-07-04T07:34:53,-72,-1.1936666666666667,1656909302.7319279,2022-07-04T07:35:02,-72777,-1.21295,97.6854973951317
1656909305,397000,2650213,16,12,13,4,29,3,4,4,26,24,13,4,26,25,4,4,25,113,11,0,2022-07-04T07:35:05,-60,-0.9933833333333334,1656909313.361948,2022-07-04T07:35:13,-60760,-1.0126666666666666,98.01128761327112
1656909316,401000,2661217,16,12,13,4,29,3,4,4,27,24,13,4,27,25,4,4,27,172,11,0,2022-07-04T07:35:16,-49,-0.8099833333333333,1656909326.434908,2022-07-04T07:35:26,-49756,-0.8292666666666667,97.92605265595094
1656909329,386000,2674202,16,12,13,4,28,25,4,4,27,24,13,4,25,32,13,4,25,22,11,0,2022-07-04T07:35:29,-36,-0.5935666666666666,1656909336.51048,2022-07-04T07:35:36,-36771,-0.61285,98.51970944251856
1656909340,388000,2685204,16,12,13,4,29,25,4,4,28,32,13,4,26,29,4,4,25,80,11,0,2022-07-04T07:35:40,-25,-0.41019999999999995,1656909347.258029,2022-07-04T07:35:47,-25769,-0.42948333333333333,98.44244456203226
1656909352,397000,2697212,16,12,13,4,28,3,4,4,25,24,13,4,24,25,4,4,24,164,11,0,2022-07-04T07:35:52,-13,-0.21005,1656909360.790825,2022-07-04T07:36:00,-13761,-0.22935,98.23045014892219
1656909358,407000,2703222,16,12,13,4,29,25,4,4,28,22,4,4,25,24,13,4,25,80,11,0,2022-07-04T07:35:58,-7,-0.10988333333333333,1656909370.532445,2022-07-04T07:36:10,-7751,-0.12918333333333334,97.78580903418604
1656909368,387000,2713203,16,32,13,4,28,3,4,4,26,24,13,4,26,25,4,4,26,110,11,0,2022-07-04T07:36:08,3,0.05645,1656909384.144629,2022-07-04T07:36:24,2230,0.03716666666666667,110.36711630330271
1656909386,391000,2731206,16,12,13,4,29,25,4,4,27,31,4,4,25,11,4,4,27,103,11,0,2022-07-04T07:36:26,21,0.35651666666666665,1656909394.80524,2022-07-04T07:36:34,20233,0.33721666666666666,213.66400814536522
1656909398,370000,2743185,16,2,4,4,33,12,12,3,33,25,4,4,30,11,4,4,32,186,11,0,2022-07-04T07:36:38,33,0.5561666666666666,1656909405.3463879,2022-07-04T07:36:45,32212,0.5368666666666667,285.4993632487075
1656909410,398000,2755213,15,25,4,3,29,29,4,4,27,31,4,4,26,19,13,4,19,18,11,0,2022-07-04T07:36:50,45,0.7566333333333334,1656909418.772068,2022-07-04T07:36:58,44240,0.7373333333333334,365.30687706333816
1656909422,317000,2767132,14,31,4,4,30,20,4,4,29,25,13,4,29,22,4,4,27,104,11,0,2022-07-04T07:37:02,57,0.9552833333333334,1656909432.271324,2022-07-04T07:37:12,56159,0.9359833333333333,434.9455719701434
1656909437,370000,2782185,15,25,13,4,28,22,4,3,26,31,4,4,25,32,13,4,24,13,11,0,2022-07-04T07:37:17,72,1.2061666666666668,1656909446.251457,2022-07-04T07:37:26,71212,1.1868666666666667,526.3329802855004
1656909450,356000,2795171,15,25,13,4,32,29,4,4,30,120,16,3,29,11,4,4,23,125,11,0,2022-07-04T07:37:30,85,1.4225999999999999,1656909456.712357,2022-07-04T07:37:36,84198,1.4033,607.8039199192176
1656909462,392000,2807206,16,25,13,4,29,29,4,4,29,31,4,4,27,19,13,4,18,213,11,0,2022-07-04T07:37:42,97,1.6232,1656909470.618372,2022-07-04T07:37:50,96233,1.6038833333333333,686.9950286646812
1656909474,360000,2819175,16,32,13,4,30,25,13,4,27,29,4,4,25,31,4,4,25,44,11,0,2022-07-04T07:37:54,109,1.8226666666666667,1656909480.765256,2022-07-04T07:38:00,108202,1.8033666666666666,761.7611787975826
1656909485,377000,2830191,16,12,13,4,29,25,13,4,29,29,4,4,29,31,4,3,26,97,11,0,2022-07-04T07:38:05,120,2.006283333333333,1656909494.4668999,2022-07-04T07:38:14,119218,1.9869666666666668,825.6271317958323
1656909496,389000,2841204,17,12,13,4,27,22,4,4,24,6,4,4,24,24,13,4,21,152,11,0,2022-07-04T07:38:16,131,2.1898166666666667,1656909504.79724,2022-07-04T07:38:24,130231,2.1705166666666664,886.6154937204925
1656909505,348000,2850163,16,9,0,3,35,12,12,4,29,25,12,3,26,32,12,3,24,149,11,0,2022-07-04T07:38:25,140,2.3391333333333337,1656909514.6538,2022-07-04T07:38:34,139190,2.3198333333333334,940.0432946323917
1656909520,395000,2865209,17,28,16,3,31,25,13,4,29,29,4,4,28,8,0,3,30,67,11,0,2022-07-04T07:38:40,155,2.589916666666667,1656909528.5102038,2022-07-04T07:38:48,154236,2.5705999999999998,1032.962228488906
1656909531,357000,2876172,17,12,12,3,29,25,12,4,29,29,4,4,26,9,0,3,23,125,11,0,2022-07-04T07:38:51,166,2.7726166666666665,1656909539.10938,2022-07-04T07:38:59,165199,2.753316666666667,1095.4096749943321
1656909544,373000,2889188,17,28,16,3,30,31,4,4,26,6,4,4,25,8,0,3,29,231,11,0,2022-07-04T07:39:04,179,2.98955,1656909553.0903928,2022-07-04T07:39:13,178215,2.97025,1175.6210204543877
1656909556,389000,2901203,16,12,13,4,29,25,13,4,29,31,4,4,28,24,13,4,21,59,11,0,2022-07-04T07:39:16,191,3.1898166666666667,1656909563.713533,2022-07-04T07:39:23,190230,3.1704999999999997,1248.804171562272
1656909568,377000,2913191,16,124,16,3,31,20,4,4,26,6,4,4,28,11,4,3,28,146,11,0,2022-07-04T07:39:28,203,3.389616666666667,1656909574.5918598,2022-07-04T07:39:34,202218,3.3703,1314.293200756725
1656909579,394000,2924208,18,12,13,4,30,25,13,4,27,29,4,4,27,31,4,4,26,205,11,0,2022-07-04T07:39:39,214,3.5732333333333335,1656909588.419796,2022-07-04T07:39:48,213235,3.553916666666667,1391.4414643619316
1656909592,342000,2937156,16,25,12,4,33,29,4,4,32,6,4,3,25,32,12,3,25,55,11,0,2022-07-04T07:39:52,227,3.7890333333333337,1656909598.9135199,2022-07-04T07:39:58,226183,3.7697166666666666,1479.563322844785
1656909603,350000,2948163,16,2,4,4,29,25,12,4,29,32,12,3,26,11,4,4,28,113,11,0,2022-07-04T07:40:03,238,3.9724999999999997,1656909611.956369,2022-07-04T07:40:11,237190,3.9531666666666667,1523.8518923329823
1656909614,501000,2959314,15,12,13,4,29,25,13,4,26,6,4,4,25,11,4,4,26,171,11,0,2022-07-04T07:40:14,249,4.15835,1656909622.724552,2022-07-04T07:40:22,248341,4.139016666666667,1595.398751343997
1656909639,353000,2984166,15,12,13,4,29,25,13,4,26,32,13,4,26,11,4,4,25,110,11,0,2022-07-04T07:40:39,274,4.572550000000001,1656909646.767125,2022-07-04T07:40:46,273193,4.553216666666667,1743.425798575826
1656909651,326000,2996139,13,25,13,4,31,29,4,4,31,31,4,4,29,24,13,4,22,191,11,0,2022-07-04T07:40:51,286,4.7721,1656909657.347748,2022-07-04T07:40:57,285166,4.752766666666667,1817.6783177054242
1656909663,341000,3008154,14,29,4,4,27,25,13,4,26,31,4,4,26,32,13,4,20,19,11,0,2022-07-04T07:41:03,298,4.9723500000000005,1656909671.0993118,2022-07-04T07:41:11,297181,4.953016666666667,1893.9867168762692
1656909674,364000,3019177,16,32,13,4,31,29,4,4,29,6,4,4,25,31,4,4,24,78,11,0,2022-07-04T07:41:14,309,5.156066666666666,1656909681.6374369,2022-07-04T07:41:21,308204,5.136733333333334,1964.5668891787184
1656909686,358000,3031171,16,25,13,4,29,31,4,4,26,32,13,4,26,11,4,4,25,165,11,0,2022-07-04T07:41:26,321,5.355966666666666,1656909694.697929,2022-07-04T07:41:34,320198,5.336633333333333,2044.2832968806683
1656909710,368000,3055181,16,2,4,4,31,12,13,4,31,31,4,4,30,11,4,4,31,70,11,0,2022-07-04T07:41:50,345,5.7561333333333335,1656909716.639485,2022-07-04T07:41:56,344208,5.736800000000001,2199.5757225069137
1656909721,384000,3066197,16,25,13,4,31,29,4,4,27,31,4,4,24,32,13,4,21,129,11,0,2022-07-04T07:42:01,356,5.939733333333334,1656909730.1909518,2022-07-04T07:42:10,355224,5.9204,2269.2279685379467
1656909730,371000,3075183,16,12,13,4,28,25,13,4,26,6,4,4,28,11,4,3,25,130,11,0,2022-07-04T07:42:10,365,6.0895166666666665,1656909740.691592,2022-07-04T07:42:20,364210,6.070166666666666,2326.5711569853256
1656909745,344000,3090157,16,12,13,4,28,25,13,4,28,29,4,4,26,32,13,4,25,37,11,0,2022-07-04T07:42:25,380,6.339066666666667,1656909754.421484,2022-07-04T07:42:34,379184,6.319733333333334,2414.68234514591
1656909758,407000,3103219,16,12,13,4,32,32,13,4,31,6,4,4,31,11,4,4,32,153,11,0,2022-07-04T07:42:38,393,6.556783333333333,1656909765.152452,2022-07-04T07:42:45,392246,6.537433333333333,2492.9717028794817
