time_s,time_us,time_steady,num_vis,num_ch,satellites_total,satellites_with_ephs,satellites_with_alms,satellites_with_ephs_and_alms,sattelites_healthy,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909105,845000,2450663,15,71,71,3,26,3,71,81,11,0,2022-07-04T07:31:45,-260,-4.319249999999999,1656909113.28646,2022-07-04T07:31:53,-260310,-4.3385,96.23523424960997
1656909111,851000,2456669,15,71,71,3,26,3,71,249,11,0,2022-07-04T07:31:51,-254,-4.21915,1656909126.143504,2022-07-04T07:32:06,-254304,-4.2384,96.88545729910182
1656909128,855000,2473672,16,71,71,4,26,3,70,224,11,0,2022-07-04T07:32:08,-237,-3.93575,1656909136.913312,2022-07-04T07:32:16,-237301,-3.9550166666666664,97.15177258608958
1656909152,836000,2497653,16,71,71,4,26,3,70,139,11,0,2022-07-04T07:32:32,-213,-3.5360666666666662,1656909161.674325,2022-07-04T07:32:41,-213320,-3.555333333333333,97.27684985736853
1656909164,961000,2509778,16,71,71,4,26,3,70,218,11,0,2022-07-04T07:32:44,-201,-3.3339833333333333,1656909172.271653,2022-07-04T07:32:52,-201195,-3.35325,97.0012543056125
1656909177,805000,2522622,16,71,71,4,26,3,70,75,11,0,2022-07-04T07:32:57,-188,-3.1199166666666667,1656909185.8949249,2022-07-04T07:33:05,-188351,-3.1391833333333334,97.25804072528322
1656909200,836000,2545653,16,71,71,4,26,3,70,222,11,0,2022-07-04T07:33:20,-165,-2.7360666666666664,1656909209.232216,2022-07-04T07:33:29,-165320,-2.755333333333333,96.79927443432508
1656909210,853000,2555670,16,71,71,4,26,3,70,247,11,0,2022-07-04T07:33:30,-155,-2.5691166666666665,1656909219.6013758,2022-07-04T07:33:39,-155303,-2.5883833333333333,96.60539409996291
1656909223,890000,2568707,16,71,71,4,26,3,70,99,11,0,2022-07-04T07:33:43,-142,-2.3518333333333334,1656909230.7744079,2022-07-04T07:33:50,-142266,-2.3710999999999998,96.59381866455078
1656909235,958000,2580775,16,71,71,4,26,3,70,188,11,0,2022-07-04T07:33:55,-130,-2.1507,1656909244.9477398,2022-07-04T07:34:04,-130198,-2.169966666666667,97.01600319295723
1656909243,805000,2588622,16,71,71,4,26,3,70,158,11,0,2022-07-04T07:34:03,-122,-2.0199166666666666,1656909255.2001529,2022-07-04T07:34:15,-122351,-2.0391833333333333,97.51230941355047
1656909259,889000,2604706,16,71,71,4,26,3,70,106,11,0,2022-07-04T07:34:19,-106,-1.7518500000000001,1656909268.7332518,2022-07-04T07:34:28,-106267,-1.7711166666666667,97.40361287727306
1656909271,846000,2616663,16,71,71,4,26,3,70,181,11,0,2022-07-04T07:34:31,-94,-1.5525666666666667,1656909279.6758199,2022-07-04T07:34:39,-94310,-1.5718333333333334,97.72278535784115
1656909283,863000,2628679,16,71,71,4,26,3,70,9,11,0,2022-07-04T07:34:43,-82,-1.3522833333333333,1656909292.867992,2022-07-04T07:34:52,-82294,-1.3715666666666666,97.6009982487169
1656909292,875000,2637691,16,71,71,4,26,3,70,11,11,0,2022-07-04T07:34:52,-73,-1.2020833333333334,1656909303.394881,2022-07-04T07:35:03,-73282,-1.2213666666666667,97.68101362199526
1656909316,852000,2661668,16,71,71,4,26,3,70,182,11,0,2022-07-04T07:35:16,-49,-0.8024666666666668,1656909326.9946399,2022-07-04T07:35:26,-49305,-0.82175,97.95346082598834
1656909329,887000,2674703,16,71,71,4,26,3,70,33,11,0,2022-07-04T07:35:29,-36,-0.5852166666666666,1656909337.057704,2022-07-04T07:35:37,-36270,-0.6045,98.49359221069795
1656909341,857000,2686673,16,71,71,4,26,3,70,119,11,0,2022-07-04T07:35:41,-24,-0.38571666666666665,1656909350.9006639,2022-07-04T07:35:50,-24300,-0.405,98.52177269364576
1656909352,860000,2697675,16,71,71,4,26,3,70,178,11,0,2022-07-04T07:35:52,-13,-0.20233333333333334,1656909361.351541,2022-07-04T07:36:01,-13298,-0.22163333333333332,98.16953352317697
1656909364,877000,2709692,16,71,71,4,26,3,70,10,11,0,2022-07-04T07:36:04,-1,-0.00205,1656909371.682601,2022-07-04T07:36:11,-1281,-0.021349999999999997,98.75120940927219
1656909368,851000,2713666,16,71,71,4,26,3,70,124,11,0,2022-07-04T07:36:08,3,0.06418333333333333,1656909384.804761,2022-07-04T07:36:24,2693,0.04488333333333334,112.98890213828331
1656909385,873000,2730688,16,71,71,4,26,3,70,85,11,0,2022-07-04T07:36:25,20,0.3478833333333334,1656909394.80524,2022-07-04T07:36:34,19715,0.32858333333333334,210.56443242334996
1656909398,834000,2743649,16,71,71,4,26,3,70,200,11,0,2022-07-04T07:36:38,33,0.5639000000000001,1656909408.9272609,2022-07-04T07:36:48,32676,0.5446000000000001,288.6438761118202
1656909409,843000,2754658,16,71,71,4,26,3,70,3,11,0,2022-07-04T07:36:49,44,0.7473833333333334,1656909418.772068,2022-07-04T07:36:58,43685,0.7280833333333334,362.0939902044406
