time_s,time_us,time_steady,temperature,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909111,818467,2458005,30.8125,59,10,1,2022-07-04T07:31:51,-254,-4.219692216666667,1656909121.343353,2022-07-04T07:32:01,-252968,-4.2161333333333335,96.88715721111932
1656909144,978499,2491254,30.9375,73,10,1,2022-07-04T07:32:24,-221,-3.6670250166666665,1656909154.2322319,2022-07-04T07:32:34,-219719,-3.661983333333333,97.38521583676186
1656909176,978466,2523195,31.0625,89,10,1,2022-07-04T07:32:56,-189,-3.1336922333333335,1656909185.8949249,2022-07-04T07:33:05,-187778,-3.129633333333333,97.24066572140003
1656909193,981352,2540165,31.0625,231,10,1,2022-07-04T07:33:13,-172,-2.8503108000000004,1656909202.3792648,2022-07-04T07:33:22,-170808,-2.8468,96.46586304954157
1656909206,556683,2552175,31.125,75,10,1,2022-07-04T07:33:26,-159,-2.64072195,1656909214.1396918,2022-07-04T07:33:34,-158798,-2.6466333333333334,96.78149276560421
1656909222,989538,2568239,31.0625,207,10,1,2022-07-04T07:33:42,-143,-2.366841033333333,1656909230.7744079,2022-07-04T07:33:50,-142734,-2.3789000000000002,96.59381866455078
1656909270,999307,2616220,31.125,95,10,1,2022-07-04T07:34:30,-95,-1.5666782166666666,1656909279.07544,2022-07-04T07:34:39,-94753,-1.5792166666666667,97.78810752260571
1656909288,19308,2633210,31.125,237,10,1,2022-07-04T07:34:48,-77,-1.2830115333333334,1656909294.6893718,2022-07-04T07:34:54,-77763,-1.2960500000000001,97.63790110447366
1656909301,29323,2646221,31.0625,91,10,1,2022-07-04T07:35:01,-64,-1.06617795,1656909310.4415798,2022-07-04T07:35:10,-64752,-1.0792,97.90616452793924
1656909318,19310,2663205,31.0625,233,10,1,2022-07-04T07:35:18,-47,-0.7830115000000001,1656909325.865417,2022-07-04T07:35:25,-47768,-0.7961333333333334,98.02440058422863
1656909332,19291,2677222,30.9375,97,10,1,2022-07-04T07:35:32,-33,-0.5496784833333332,1656909338.8075008,2022-07-04T07:35:38,-33751,-0.5625166666666667,98.3824354475123
1656909347,39365,2692256,30.9375,223,10,1,2022-07-04T07:35:47,-18,-0.29934391666666665,1656909355.476708,2022-07-04T07:35:55,-18717,-0.31195,98.52826697088273
1656909362,49299,2707234,31.0,93,10,1,2022-07-04T07:36:02,-3,-0.04917835,1656909370.532445,2022-07-04T07:36:10,-3739,-0.062316666666666666,98.32928304048835
1656909373,49321,2718236,30.9375,187,10,1,2022-07-04T07:36:13,8,0.13415535,1656909384.804761,2022-07-04T07:36:24,7263,0.12105,136.71109724281268
1656909392,59295,2737348,30.6875,89,10,1,2022-07-04T07:36:32,27,0.45098825,1656909401.246369,2022-07-04T07:36:41,26375,0.4395833333333333,247.58378690065987
1656909423,80251,2768274,30.0625,95,10,1,2022-07-04T07:37:03,58,0.9680041833333333,1656909432.271324,2022-07-04T07:37:12,57301,0.9550166666666667,439.8138289976719
