time_s,time_us,checksum_valid,cookie,frame_no,rssi_pkt,snr_pkt,rssi_signal,time_gregorian,log_timestamp,log_timestamp_gregorian
1656908398,392134,True,1743,1907,-20,11,-21,2022-07-04T07:19:58,1656908398.393769,2022-07-04T07:19:58
1656908399,60764,True,1744,1908,-19,12,-20,2022-07-04T07:19:59,1656908399.062373,2022-07-04T07:19:59
1656908399,612802,True,1745,1909,-20,11,-21,2022-07-04T07:19:59,1656908399.614476,2022-07-04T07:19:59
1656908400,182992,True,1746,1910,-23,11,-23,2022-07-04T07:20:00,1656908400.184662,2022-07-04T07:20:00
1656908400,772383,True,1747,1911,-20,12,-20,2022-07-04T07:20:00,1656908400.775741,2022-07-04T07:20:00
1656908401,382140,True,1748,1912,-21,11,-22,2022-07-04T07:20:01,1656908401.386283,2022-07-04T07:20:01
1656908401,992296,True,1749,1913,-22,12,-22,2022-07-04T07:20:01,1656908401.993888,2022-07-04T07:20:01
1656908402,584571,True,1750,1914,-16,11,-17,2022-07-04T07:20:02,1656908402.586275,2022-07-04T07:20:02
1656908403,222071,True,1751,1915,-22,13,-22,2022-07-04T07:20:03,1656908403.223727,2022-07-04T07:20:03
1656908406,783245,True,1752,1916,-17,11,-17,2022-07-04T07:20:06,1656908406.784996,2022-07-04T07:20:06
1656908407,383075,True,1753,1917,-22,12,-23,2022-07-04T07:20:07,1656908407.384638,2022-07-04T07:20:07
1656908408,72298,True,1754,1918,-25,12,-25,2022-07-04T07:20:08,1656908408.073915,2022-07-04T07:20:08
1656908408,643736,True,1755,1919,-24,12,-24,2022-07-04T07:20:08,1656908408.645451,2022-07-04T07:20:08
1656908409,712353,True,1756,1921,-19,12,-19,2022-07-04T07:20:09,1656908409.714045,2022-07-04T07:20:09
1656908410,252134,True,1757,1922,-17,11,-18,2022-07-04T07:20:10,1656908410.253705,2022-07-04T07:20:10
1656908410,792412,True,1758,1923,-19,12,-19,2022-07-04T07:20:10,1656908410.793974,2022-07-04T07:20:10
1656908411,334410,True,1759,1924,-20,12,-20,2022-07-04T07:20:11,1656908411.336438,2022-07-04T07:20:11
1656908414,909056,True,1760,1925,-22,12,-23,2022-07-04T07:20:14,1656908414.910655,2022-07-04T07:20:14
1656908415,503319,True,1761,1926,-29,12,-30,2022-07-04T07:20:15,1656908415.50499,2022-07-04T07:20:15
1656908416,72142,True,1762,1927,-24,12,-25,2022-07-04T07:20:16,1656908416.073703,2022-07-04T07:20:16
1656908416,602111,True,1763,1928,-24,11,-25,2022-07-04T07:20:16,1656908416.60369,2022-07-04T07:20:16
1656908417,203249,True,1764,1929,-25,12,-25,2022-07-04T07:20:17,1656908417.206425,2022-07-04T07:20:17
1656908418,302984,True,1765,1931,-22,12,-23,2022-07-04T07:20:18,1656908418.304916,2022-07-04T07:20:18
1656908418,893823,True,1766,1932,-20,12,-21,2022-07-04T07:20:18,1656908418.895495,2022-07-04T07:20:18
1656908419,522994,True,1767,1933,-19,12,-19,2022-07-04T07:20:19,1656908419.524546,2022-07-04T07:20:19
1656908423,102136,True,1768,1934,-22,12,-22,2022-07-04T07:20:23,1656908423.10385,2022-07-04T07:20:23
1656908423,712941,True,1769,1935,-20,12,-21,2022-07-04T07:20:23,1656908423.714494,2022-07-04T07:20:23
1656908424,243265,True,1770,1936,-19,12,-20,2022-07-04T07:20:24,1656908424.244897,2022-07-04T07:20:24
1656908424,792183,True,1771,1937,-19,12,-19,2022-07-04T07:20:24,1656908424.793841,2022-07-04T07:20:24
1656908425,352151,True,1772,1938,-18,12,-18,2022-07-04T07:20:25,1656908425.354603,2022-07-04T07:20:25
1656908426,23401,True,1773,1939,-18,11,-18,2022-07-04T07:20:26,1656908426.025084,2022-07-04T07:20:26
1656908426,623275,True,1774,1940,-17,12,-18,2022-07-04T07:20:26,1656908426.625108,2022-07-04T07:20:26
1656908427,182944,True,1775,1941,-18,11,-19,2022-07-04T07:20:27,1656908427.184585,2022-07-04T07:20:27
1656908431,232139,True,1776,1943,-19,12,-19,2022-07-04T07:20:31,1656908431.233986,2022-07-04T07:20:31
1656908431,772332,True,1777,1944,-15,11,-15,2022-07-04T07:20:31,1656908431.773952,2022-07-04T07:20:31
1656908432,352481,True,1778,1945,-16,12,-16,2022-07-04T07:20:32,1656908432.353999,2022-07-04T07:20:32
1656908433,2410,True,1779,1946,-17,11,-18,2022-07-04T07:20:33,1656908433.003985,2022-07-04T07:20:33
1656908433,644823,True,1780,1947,-17,11,-18,2022-07-04T07:20:33,1656908433.646428,2022-07-04T07:20:33
1656908434,182754,True,1781,1948,-18,11,-19,2022-07-04T07:20:34,1656908434.184522,2022-07-04T07:20:34
1656908434,752246,True,1782,1949,-18,12,-18,2022-07-04T07:20:34,1656908434.75391,2022-07-04T07:20:34
1656908435,347400,True,1783,1950,-18,11,-18,2022-07-04T07:20:35,1656908435.349091,2022-07-04T07:20:35
1656908435,913648,True,1784,1951,-17,12,-18,2022-07-04T07:20:35,1656908435.915307,2022-07-04T07:20:35
1656908440,152765,True,1785,1953,-23,11,-24,2022-07-04T07:20:40,1656908440.154346,2022-07-04T07:20:40
1656908441,212093,True,1786,1955,-21,11,-21,2022-07-04T07:20:41,1656908441.213955,2022-07-04T07:20:41
1656908443,332275,True,1787,1959,-27,12,-28,2022-07-04T07:20:43,1656908443.333776,2022-07-04T07:20:43
1656908443,903546,True,1788,1960,-36,11,-36,2022-07-04T07:20:43,1656908443.905149,2022-07-04T07:20:43
1656908444,452620,True,1789,1961,-32,11,-33,2022-07-04T07:20:44,1656908444.454176,2022-07-04T07:20:44
1656908448,693475,True,1790,1963,-32,11,-33,2022-07-04T07:20:48,1656908448.69525,2022-07-04T07:20:48
1656908449,233376,True,1791,1964,-29,12,-30,2022-07-04T07:20:49,1656908449.235594,2022-07-04T07:20:49
1656908449,962098,True,1792,1965,-28,12,-29,2022-07-04T07:20:49,1656908449.963694,2022-07-04T07:20:49
1656908450,512574,True,1793,1966,-29,12,-30,2022-07-04T07:20:50,1656908450.517155,2022-07-04T07:20:50
1656908451,52680,True,1794,1967,-25,12,-25,2022-07-04T07:20:51,1656908451.058069,2022-07-04T07:20:51
1656908451,674454,True,1795,1968,-24,12,-24,2022-07-04T07:20:51,1656908451.678259,2022-07-04T07:20:51
1656908452,242449,True,1796,1969,-29,12,-29,2022-07-04T07:20:52,1656908452.244153,2022-07-04T07:20:52
1656908452,893336,True,1797,1970,-22,13,-22,2022-07-04T07:20:52,1656908452.894898,2022-07-04T07:20:52
1656908456,511940,True,1798,1971,-31,12,-32,2022-07-04T07:20:56,1656908456.51341,2022-07-04T07:20:56
1656908457,123146,True,1799,1972,-35,12,-35,2022-07-04T07:20:57,1656908457.124895,2022-07-04T07:20:57
1656908457,692299,True,1800,1973,-30,12,-30,2022-07-04T07:20:57,1656908457.693835,2022-07-04T07:20:57
1656908458,252280,True,1801,1974,-49,12,-49,2022-07-04T07:20:58,1656908458.253812,2022-07-04T07:20:58
1656908458,792092,True,1802,1975,-28,12,-29,2022-07-04T07:20:58,1656908458.794135,2022-07-04T07:20:58
1656908459,372089,True,1803,1976,-32,12,-32,2022-07-04T07:20:59,1656908459.373618,2022-07-04T07:20:59
1656908459,962562,True,1804,1977,-40,12,-40,2022-07-04T07:20:59,1656908459.964445,2022-07-04T07:20:59
1656908460,512212,True,1805,1978,-42,12,-43,2022-07-04T07:21:00,1656908460.513773,2022-07-04T07:21:00
1656908461,72232,True,1806,1979,-35,12,-36,2022-07-04T07:21:01,1656908461.074186,2022-07-04T07:21:01
1656908464,653071,True,1807,1980,-32,12,-33,2022-07-04T07:21:04,1656908464.654667,2022-07-04T07:21:04
1656908465,182372,True,1808,1981,-34,12,-34,2022-07-04T07:21:05,1656908465.184004,2022-07-04T07:21:05
1656908465,742082,True,1809,1982,-29,12,-30,2022-07-04T07:21:05,1656908465.745494,2022-07-04T07:21:05
1656908466,293372,True,1810,1983,-33,11,-34,2022-07-04T07:21:06,1656908466.2954,2022-07-04T07:21:06
1656908466,873507,True,1811,1984,-36,11,-36,2022-07-04T07:21:06,1656908466.875154,2022-07-04T07:21:06
1656908467,462031,True,1812,1985,-35,11,-36,2022-07-04T07:21:07,1656908467.464825,2022-07-04T07:21:07
