time_s,time_us,cookie,rssi_pkt,snr_pkt,rssi_signal,time_gregorian,log_timestamp,log_timestamp_gregorian
1656908398,392215,1743,-20,11,-21,2022-07-04T07:19:58,1656908398.397306,2022-07-04T07:19:58
1656908399,60842,1744,-19,12,-20,2022-07-04T07:19:59,1656908399.064524,2022-07-04T07:19:59
1656908399,612881,1745,-20,11,-21,2022-07-04T07:19:59,1656908399.61621,2022-07-04T07:19:59
1656908400,183068,1746,-23,11,-23,2022-07-04T07:20:00,1656908400.18665,2022-07-04T07:20:00
1656908400,772463,1747,-20,12,-20,2022-07-04T07:20:00,1656908400.778131,2022-07-04T07:20:00
1656908401,382219,1748,-21,11,-22,2022-07-04T07:20:01,1656908401.390318,2022-07-04T07:20:01
1656908401,992372,1749,-22,12,-22,2022-07-04T07:20:01,1656908401.995379,2022-07-04T07:20:01
1656908402,584647,1750,-16,11,-17,2022-07-04T07:20:02,1656908402.588363,2022-07-04T07:20:02
1656908403,222143,1751,-22,13,-22,2022-07-04T07:20:03,1656908403.225285,2022-07-04T07:20:03
1656908406,783326,1752,-17,11,-17,2022-07-04T07:20:06,1656908406.786912,2022-07-04T07:20:06
1656908407,383376,1753,-22,12,-23,2022-07-04T07:20:07,1656908407.386061,2022-07-04T07:20:07
1656908408,72375,1754,-25,12,-25,2022-07-04T07:20:08,1656908408.075453,2022-07-04T07:20:08
1656908408,644092,1755,-24,12,-24,2022-07-04T07:20:08,1656908408.646848,2022-07-04T07:20:08
1656908409,712430,1756,-19,12,-19,2022-07-04T07:20:09,1656908409.715782,2022-07-04T07:20:09
1656908410,252209,1757,-17,11,-18,2022-07-04T07:20:10,1656908410.25546,2022-07-04T07:20:10
1656908410,792490,1758,-19,12,-19,2022-07-04T07:20:10,1656908410.795802,2022-07-04T07:20:10
1656908411,334488,1759,-20,12,-20,2022-07-04T07:20:11,1656908411.338002,2022-07-04T07:20:11
1656908414,909136,1760,-22,12,-23,2022-07-04T07:20:14,1656908414.913087,2022-07-04T07:20:14
1656908415,503791,1761,-29,12,-30,2022-07-04T07:20:15,1656908415.506859,2022-07-04T07:20:15
1656908416,72217,1762,-24,12,-25,2022-07-04T07:20:16,1656908416.0757,2022-07-04T07:20:16
1656908416,602585,1763,-24,11,-25,2022-07-04T07:20:16,1656908416.605809,2022-07-04T07:20:16
1656908417,203563,1764,-25,12,-25,2022-07-04T07:20:17,1656908417.208828,2022-07-04T07:20:17
1656908418,303060,1765,-22,12,-23,2022-07-04T07:20:18,1656908418.306449,2022-07-04T07:20:18
1656908418,893898,1766,-20,12,-21,2022-07-04T07:20:18,1656908418.89733,2022-07-04T07:20:18
1656908419,523072,1767,-19,12,-19,2022-07-04T07:20:19,1656908419.52619,2022-07-04T07:20:19
1656908423,102449,1768,-22,12,-22,2022-07-04T07:20:23,1656908423.106004,2022-07-04T07:20:23
1656908423,713016,1769,-20,12,-21,2022-07-04T07:20:23,1656908423.716515,2022-07-04T07:20:23
1656908424,243341,1770,-19,12,-20,2022-07-04T07:20:24,1656908424.24638,2022-07-04T07:20:24
1656908424,792261,1771,-19,12,-19,2022-07-04T07:20:24,1656908424.796309,2022-07-04T07:20:24
1656908425,352225,1772,-18,12,-18,2022-07-04T07:20:25,1656908425.356555,2022-07-04T07:20:25
