time_s,time_us,pkt_received,crc_errors,hdr_errors,error_rc64k_calib,error_rc13m_calib,error_pll_calib,error_adc_calib,error_img_calib,error_xosc_start,error_pll_lock,error_pa_ramp,srv_rx_done,srv_rx_frames,srv_tx_frames,current_pa_power,requested_pa_power,time_gregorian,log_timestamp,log_timestamp_gregorian
1656908398,611382,1744,0,0,False,False,False,False,False,False,False,False,13837,1744,0,22,22,2022-07-04T07:19:58,1656908398.612975,2022-07-04T07:19:58
1656908400,615662,1747,0,0,False,False,False,False,False,False,False,False,13844,1747,0,22,22,2022-07-04T07:20:00,1656908400.619011,2022-07-04T07:20:00
1656908402,618078,1751,0,0,False,False,False,False,False,False,False,False,13851,1751,0,22,22,2022-07-04T07:20:02,1656908402.619681,2022-07-04T07:20:02
1656908404,621551,1752,0,0,False,False,False,False,False,False,False,False,13858,1752,0,22,22,2022-07-04T07:20:04,1656908404.623073,2022-07-04T07:20:04
1656908406,624165,1752,0,0,False,False,False,False,False,False,False,False,13865,1752,0,22,22,2022-07-04T07:20:06,1656908406.625824,2022-07-04T07:20:06
1656908408,627107,1755,0,0,False,False,False,False,False,False,False,False,13871,1755,0,22,22,2022-07-04T07:20:08,1656908408.628648,2022-07-04T07:20:08
1656908410,630843,1758,0,0,False,False,False,False,False,False,False,False,13880,1758,0,22,22,2022-07-04T07:20:10,1656908410.632399,2022-07-04T07:20:10
1656908412,633335,1760,0,0,False,False,False,False,False,False,False,False,13887,1760,0,22,22,2022-07-04T07:20:12,1656908412.635085,2022-07-04T07:20:12
1656908414,635439,1760,0,0,False,False,False,False,False,False,False,False,13895,1760,0,22,22,2022-07-04T07:20:14,1656908414.637796,2022-07-04T07:20:14
1656908416,637754,1764,0,0,False,False,False,False,False,False,False,False,13902,1764,0,22,22,2022-07-04T07:20:16,1656908416.639338,2022-07-04T07:20:16
1656908418,640518,1766,0,0,False,False,False,False,False,False,False,False,13913,1766,0,22,22,2022-07-04T07:20:18,1656908418.641994,2022-07-04T07:20:18
1656908420,646889,1768,0,0,False,False,False,False,False,False,False,False,13920,1768,0,22,22,2022-07-04T07:20:20,1656908420.649095,2022-07-04T07:20:20
1656908422,650082,1768,0,0,False,False,False,False,False,False,False,False,13927,1768,0,22,22,2022-07-04T07:20:22,1656908422.651645,2022-07-04T07:20:22
1656908424,653158,1771,0,0,False,False,False,False,False,False,False,False,13934,1771,0,22,22,2022-07-04T07:20:24,1656908424.654893,2022-07-04T07:20:24
1656908426,655319,1775,0,0,False,False,False,False,False,False,False,False,13941,1775,0,22,22,2022-07-04T07:20:26,1656908426.657571,2022-07-04T07:20:26
1656908428,658192,1776,0,0,False,False,False,False,False,False,False,False,13950,1776,0,22,22,2022-07-04T07:20:28,1656908428.660929,2022-07-04T07:20:28
1656908430,660173,1776,0,0,False,False,False,False,False,False,False,False,13958,1776,0,22,22,2022-07-04T07:20:30,1656908430.661707,2022-07-04T07:20:30
1656908432,662254,1779,0,0,False,False,False,False,False,False,False,False,13965,1779,0,22,22,2022-07-04T07:20:32,1656908432.663882,2022-07-04T07:20:32
1656908434,665390,1782,0,0,False,False,False,False,False,False,False,False,13971,1782,0,22,22,2022-07-04T07:20:34,1656908434.667022,2022-07-04T07:20:34
1656908436,668036,1785,0,0,False,False,False,False,False,False,False,False,13978,1785,0,22,22,2022-07-04T07:20:36,1656908436.671957,2022-07-04T07:20:36
1656908438,672114,1785,0,0,False,False,False,False,False,False,False,False,13986,1785,0,22,22,2022-07-04T07:20:38,1656908438.673647,2022-07-04T07:20:38
1656908440,676207,1786,0,0,False,False,False,False,False,False,False,False,13995,1786,0,22,22,2022-07-04T07:20:40,1656908440.677717,2022-07-04T07:20:40
1656908442,679725,1787,0,0,False,False,False,False,False,False,False,False,14008,1787,0,22,22,2022-07-04T07:20:42,1656908442.681218,2022-07-04T07:20:42
1656908444,683029,1790,0,0,False,False,False,False,False,False,False,False,14015,1790,0,22,22,2022-07-04T07:20:44,1656908444.684534,2022-07-04T07:20:44
1656908446,688391,1790,0,0,False,False,False,False,False,False,False,False,14023,1790,0,22,22,2022-07-04T07:20:46,1656908446.68989,2022-07-04T07:20:46
1656908448,700484,1791,0,0,False,False,False,False,False,False,False,False,14033,1791,0,22,22,2022-07-04T07:20:48,1656908448.703465,2022-07-04T07:20:48
1656908450,703712,1794,0,0,False,False,False,False,False,False,False,False,14039,1794,0,22,22,2022-07-04T07:20:50,1656908450.706755,2022-07-04T07:20:50
1656908452,705937,1797,0,0,False,False,False,False,False,False,False,False,14046,1797,0,22,22,2022-07-04T07:20:52,1656908452.707372,2022-07-04T07:20:52
1656908454,710729,1798,0,0,False,False,False,False,False,False,False,False,14053,1798,0,22,22,2022-07-04T07:20:54,1656908454.713483,2022-07-04T07:20:54
1656908456,712832,1799,0,0,False,False,False,False,False,False,False,False,14060,1799,0,22,22,2022-07-04T07:20:56,1656908456.717,2022-07-04T07:20:56
1656908458,715846,1802,0,0,False,False,False,False,False,False,False,False,14067,1802,0,22,22,2022-07-04T07:20:58,1656908458.717421,2022-07-04T07:20:58
1656908460,719750,1806,0,0,False,False,False,False,False,False,False,False,14074,1806,0,22,22,2022-07-04T07:21:00,1656908460.721261,2022-07-04T07:21:00
1656908462,721878,1807,0,0,False,False,False,False,False,False,False,False,14082,1807,0,22,22,2022-07-04T07:21:02,1656908462.723402,2022-07-04T07:21:02
1656908464,726728,1808,0,0,False,False,False,False,False,False,False,False,14089,1808,0,22,22,2022-07-04T07:21:04,1656908464.728329,2022-07-04T07:21:04
1656908466,730108,1811,0,0,False,False,False,False,False,False,False,False,14096,1811,0,22,22,2022-07-04T07:21:06,1656908466.731699,2022-07-04T07:21:06
1656908468,733764,1815,0,0,False,False,False,False,False,False,False,False,14103,1815,0,22,22,2022-07-04T07:21:08,1656908468.735572,2022-07-04T07:21:08
1656908470,737763,1816,0,0,False,False,False,False,False,False,False,False,14110,1816,0,22,22,2022-07-04T07:21:10,1656908470.73934,2022-07-04T07:21:10
1656908472,740949,1816,0,0,False,False,False,False,False,False,False,False,14117,1816,0,22,22,2022-07-04T07:21:12,1656908472.742599,2022-07-04T07:21:12
1656908474,743775,1820,0,0,False,False,False,False,False,False,False,False,14124,1820,0,22,22,2022-07-04T07:21:14,1656908474.745322,2022-07-04T07:21:14
1656908476,747423,1823,0,0,False,False,False,False,False,False,False,False,14131,1823,0,22,22,2022-07-04T07:21:16,1656908476.749214,2022-07-04T07:21:16
1656908478,751042,1825,0,0,False,False,False,False,False,False,False,False,14139,1825,0,22,22,2022-07-04T07:21:18,1656908478.752506,2022-07-04T07:21:18
1656908480,753087,1825,0,0,False,False,False,False,False,False,False,False,14146,1825,0,22,22,2022-07-04T07:21:20,1656908480.755774,2022-07-04T07:21:20
1656908482,755893,1829,0,0,False,False,False,False,False,False,False,False,14153,1829,0,22,22,2022-07-04T07:21:22,1656908482.757437,2022-07-04T07:21:22
1656908484,758980,1832,0,0,False,False,False,False,False,False,False,False,14159,1832,0,22,22,2022-07-04T07:21:24,1656908484.760519,2022-07-04T07:21:24
1656908486,760661,1834,0,0,False,False,False,False,False,False,False,False,14166,1834,0,22,22,2022-07-04T07:21:26,1656908486.763153,2022-07-04T07:21:26
1656908488,765331,1834,0,0,False,False,False,False,False,False,False,False,14174,1834,0,22,22,2022-07-04T07:21:28,1656908488.766807,2022-07-04T07:21:28
1656908490,768015,1837,0,0,False,False,False,False,False,False,False,False,14181,1837,0,22,22,2022-07-04T07:21:30,1656908490.769515,2022-07-04T07:21:30
1656908492,770311,1840,0,0,False,False,False,False,False,False,False,False,14187,1840,0,22,22,2022-07-04T07:21:32,1656908492.771884,2022-07-04T07:21:32
1656908494,774631,1843,0,0,False,False,False,False,False,False,False,False,14194,1843,0,22,22,2022-07-04T07:21:34,1656908494.777205,2022-07-04T07:21:34
1656908496,777123,1843,0,0,False,False,False,False,False,False,False,False,14202,1843,0,22,22,2022-07-04T07:21:36,1656908496.778587,2022-07-04T07:21:36
1656908498,781075,1845,0,0,False,False,False,False,False,False,False,False,14208,1845,0,22,22,2022-07-04T07:21:38,1656908498.782724,2022-07-04T07:21:38
1656908500,786975,1849,0,0,False,False,False,False,False,False,False,False,14215,1849,0,22,22,2022-07-04T07:21:40,1656908500.789069,2022-07-04T07:21:40
1656908502,790142,1852,0,0,False,False,False,False,False,False,False,False,14222,1852,0,22,22,2022-07-04T07:21:42,1656908502.791692,2022-07-04T07:21:42
1656908504,793226,1852,0,0,False,False,False,False,False,False,False,False,14229,1852,0,22,22,2022-07-04T07:21:44,1656908504.79467,2022-07-04T07:21:44
1656908506,797321,1854,0,0,False,False,False,False,False,False,False,False,14236,1854,0,22,22,2022-07-04T07:21:46,1656908506.798905,2022-07-04T07:21:46
1656908508,801483,1857,0,0,False,False,False,False,False,False,False,False,14243,1857,0,22,22,2022-07-04T07:21:48,1656908508.803067,2022-07-04T07:21:48
1656908510,804664,1861,0,0,False,False,False,False,False,False,False,False,14250,1861,0,22,22,2022-07-04T07:21:50,1656908510.806294,2022-07-04T07:21:50
1656908512,809028,1861,0,0,False,False,False,False,False,False,False,False,14257,1861,0,22,22,2022-07-04T07:21:52,1656908512.810572,2022-07-04T07:21:52
1656908514,811205,1862,0,0,False,False,False,False,False,False,False,False,14264,1862,0,22,22,2022-07-04T07:21:54,1656908514.814803,2022-07-04T07:21:54
1656908516,813251,1866,0,0,False,False,False,False,False,False,False,False,14271,1866,0,22,22,2022-07-04T07:21:56,1656908516.816953,2022-07-04T07:21:56
1656908518,815495,1869,0,0,False,False,False,False,False,False,False,False,14278,1869,0,22,22,2022-07-04T07:21:58,1656908518.817019,2022-07-04T07:21:58
1656908520,817737,1870,0,0,False,False,False,False,False,False,False,False,14286,1870,0,22,22,2022-07-04T07:22:00,1656908520.819393,2022-07-04T07:22:00
1656908522,820388,1871,0,0,False,False,False,False,False,False,False,False,14293,1871,0,22,22,2022-07-04T07:22:02,1656908522.822016,2022-07-04T07:22:02
1656908524,822686,1875,0,0,False,False,False,False,False,False,False,False,14300,1875,0,22,22,2022-07-04T07:22:04,1656908524.824993,2022-07-04T07:22:04
1656908526,834520,1878,0,0,False,False,False,False,False,False,False,False,14307,1878,0,22,22,2022-07-04T07:22:06,1656908526.836159,2022-07-04T07:22:06
1656908528,837354,1879,0,0,False,False,False,False,False,False,False,False,14314,1879,0,22,22,2022-07-04T07:22:08,1656908528.83978,2022-07-04T07:22:08
1656908530,842101,1880,0,0,False,False,False,False,False,False,False,False,14321,1880,0,22,22,2022-07-04T07:22:10,1656908530.844284,2022-07-04T07:22:10
1656908532,844575,1883,0,0,False,False,False,False,False,False,False,False,14328,1883,0,22,22,2022-07-04T07:22:12,1656908532.846138,2022-07-04T07:22:12
1656908534,847807,1886,0,0,False,False,False,False,False,False,False,False,14334,1886,0,22,22,2022-07-04T07:22:14,1656908534.849296,2022-07-04T07:22:14
1656908536,852297,1887,0,0,False,False,False,False,False,False,False,False,14342,1887,0,22,22,2022-07-04T07:22:16,1656908536.853965,2022-07-04T07:22:16
1656908538,854788,1888,0,0,False,False,False,False,False,False,False,False,14349,1888,0,22,22,2022-07-04T07:22:18,1656908538.856791,2022-07-04T07:22:18
1656908540,856542,1889,0,0,False,False,False,False,False,False,False,False,14358,1889,0,22,22,2022-07-04T07:22:20,1656908540.858049,2022-07-04T07:22:20
1656908542,860441,1893,0,0,False,False,False,False,False,False,False,False,14365,1893,0,22,22,2022-07-04T07:22:22,1656908542.865062,2022-07-04T07:22:22
1656908544,862438,1894,0,0,False,False,False,False,False,False,False,False,14372,1894,0,22,22,2022-07-04T07:22:24,1656908544.863931,2022-07-04T07:22:24
1656908546,865055,1894,0,0,False,False,False,False,False,False,False,False,14379,1894,0,22,22,2022-07-04T07:22:26,1656908546.867531,2022-07-04T07:22:26
1656908548,867842,1898,0,0,False,False,False,False,False,False,False,False,14386,1898,0,22,22,2022-07-04T07:22:28,1656908548.869358,2022-07-04T07:22:28
1656908550,881579,1902,0,0,False,False,False,False,False,False,False,False,14394,1902,0,22,22,2022-07-04T07:22:30,1656908550.885199,2022-07-04T07:22:30
1656908552,884134,1902,0,0,False,False,False,False,False,False,False,False,14403,1902,0,22,22,2022-07-04T07:22:32,1656908552.885605,2022-07-04T07:22:32
1656908554,887515,1902,0,0,False,False,False,False,False,False,False,False,14410,1902,0,22,22,2022-07-04T07:22:34,1656908554.889076,2022-07-04T07:22:34
1656908556,889062,1905,0,0,False,False,False,False,False,False,False,False,14419,1905,0,22,22,2022-07-04T07:22:36,1656908556.89049,2022-07-04T07:22:36
1656908558,894077,1908,0,0,False,False,False,False,False,False,False,False,14426,1908,0,22,22,2022-07-04T07:22:38,1656908558.895624,2022-07-04T07:22:38
1656908560,898457,1910,0,0,False,False,False,False,False,False,False,False,14433,1910,0,22,22,2022-07-04T07:22:40,1656908560.900352,2022-07-04T07:22:40
1656908562,901557,1910,0,0,False,False,False,False,False,False,False,False,14441,1910,0,22,22,2022-07-04T07:22:42,1656908562.903948,2022-07-04T07:22:42
1656908564,904785,1913,0,0,False,False,False,False,False,False,False,False,14448,1913,0,22,22,2022-07-04T07:22:44,1656908564.906943,2022-07-04T07:22:44
1656908566,907661,1917,0,0,False,False,False,False,False,False,False,False,14455,1917,0,22,22,2022-07-04T07:22:46,1656908566.910069,2022-07-04T07:22:46
1656908568,912333,1919,0,0,False,False,False,False,False,False,False,False,14461,1919,0,22,22,2022-07-04T07:22:48,1656908568.914611,2022-07-04T07:22:48
