time_s,time_us,cookie,snr,frame_no,tap_bytes,rssi_bytes,crc_bytes,time_gregorian,log_timestamp,log_timestamp_gregorian
1656908423,4526088,35,30,1934,00000000000000000000000000,1e00c890e0,a2f5,2022-07-04T07:20:27,1656908423.45478,2022-07-04T07:20:23
1656908424,6180298,36,37,1936,00000000000000000000000000,2500c890e0,0231,2022-07-04T07:20:30,1656908424.620168,2022-07-04T07:20:24
1656908425,1497318,37,38,1937,00000000000000000000000000,2600c890e0,6681,2022-07-04T07:20:26,1656908425.15209,2022-07-04T07:20:25
1656908425,6973226,38,38,1938,00000000000000000000000000,2600c890e0,cf94,2022-07-04T07:20:31,1656908425.699361,2022-07-04T07:20:25
1656908426,3756768,39,38,1939,00000000000000000000000000,2600c890e0,f668,2022-07-04T07:20:29,1656908426.377857,2022-07-04T07:20:26
1656908426,9791386,40,32,1940,00000000000000000000000000,2000c890e0,71fa,2022-07-04T07:20:35,1656908426.981583,2022-07-04T07:20:26
1656908427,5250949,41,28,1941,00000000000000000000000000,1c00c890e0,d093,2022-07-04T07:20:32,1656908427.527085,2022-07-04T07:20:27
1656908428,387415,42,38,1942,00000000000000000000000000,2600c890e0,bec3,2022-07-04T07:20:28,1656908428.040755,2022-07-04T07:20:28
1656908432,7514934,43,33,1945,00000000000000000000000000,2100c890e0,ef33,2022-07-04T07:20:39,1656908432.753581,2022-07-04T07:20:32
1656908433,3864777,44,38,1946,00000000000000000000000000,2600c890e0,1e57,2022-07-04T07:20:36,1656908433.388572,2022-07-04T07:20:33
1656908433,9800148,45,38,1947,00000000000000000000000000,2600c890e0,b87f,2022-07-04T07:20:42,1656908433.981986,2022-07-04T07:20:33
1656908434,5903937,46,35,1948,00000000000000000000000000,2300c890e0,eb65,2022-07-04T07:20:39,1656908434.592223,2022-07-04T07:20:34
1656908435,1088061,47,36,1949,00000000000000000000000000,2400c890e0,36a8,2022-07-04T07:20:36,1656908435.110721,2022-07-04T07:20:35
1656908435,6790523,48,37,1950,00000000000000000000000000,2500c890e0,d84a,2022-07-04T07:20:41,1656908435.681122,2022-07-04T07:20:35
