time_s,time_us,time_steady,resets_count,reset_cause,active_oscillator,time_base,time_syncs_attempted,time_syncs_performed,last_time_sync_time_steady,last_time_sync_delta_s,last_time_sync_delta_us,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude,baro_pressure
1656909117,166000,2451290,1,2,1,3,1642,257,2442189,0,405,181,12,0,2022-07-04T07:31:57,-248,-4.130566666666667,-259683,-4.32805,97.14953271943021,100163.38484264612
1656909118,125000,2452290,1,2,1,3,1643,257,2442189,0,405,227,12,0,2022-07-04T07:31:58,-247,-4.114583333333333,-258683,-4.311383333333334,94.33250482355508,100196.91844660194
1656909119,85000,2453290,1,2,1,3,1644,257,2442189,0,405,117,12,0,2022-07-04T07:31:59,-246,-4.098583333333333,-257683,-4.294716666666667,92.69756803057625,100216.38055805581
1656909120,45000,2454290,1,2,1,3,1645,257,2442189,0,405,125,12,0,2022-07-04T07:32:00,-245,-4.082583333333334,-256683,-4.2780499999999995,94.54857478652525,100194.34635463546
1656909121,5000,2455290,1,2,1,3,1646,257,2442189,0,405,58,12,0,2022-07-04T07:32:01,-244,-4.066583333333333,-255683,-4.261383333333333,96.39958154247432,100172.31215121513
1656909122,671000,2456290,1,2,1,3,1647,258,2455997,0,687,66,12,0,2022-07-04T07:32:02,-243,-4.0388166666666665,-254683,-4.244716666666666,96.24874204644097,100174.10773333334
1656909123,630000,2457290,1,2,1,3,1648,258,2455997,0,687,185,12,0,2022-07-04T07:32:03,-242,-4.022833333333334,-253683,-4.22805,96.22477647053827,100174.39304123711
1656909124,590000,2458290,1,2,1,3,1649,258,2455997,0,687,193,12,0,2022-07-04T07:32:04,-241,-4.006833333333334,-252683,-4.211383333333333,96.74439958788685,100168.2074742268
1656909125,550000,2459290,1,2,1,3,1649,258,2455997,0,687,17,12,0,2022-07-04T07:32:05,-240,-3.9908333333333332,-251683,-4.194716666666666,96.99830564698185,100165.18500429015
1656909126,510000,2460290,1,2,1,3,1650,258,2455997,0,687,25,12,0,2022-07-04T07:32:06,-239,-3.9748333333333337,-250683,-4.17805,97.10527450186544,100163.91167296786
1656909127,469000,2461290,1,2,1,3,1651,258,2455997,0,687,161,12,0,2022-07-04T07:32:07,-238,-3.95885,-249683,-4.161383333333333,97.21949074930865,100162.55203213611
1656909128,429000,2462290,1,2,1,3,1652,258,2455997,0,687,169,12,0,2022-07-04T07:32:08,-237,-3.94285,-248683,-4.144716666666667,97.3338260960714,100161.19097353498
1656909133,227000,2467290,1,2,1,3,1652,258,2455997,0,687,171,12,0,2022-07-04T07:32:13,-232,-3.8628833333333334,-243683,-4.061383333333334,96.55685240020046,100170.44005287508
1656909134,683000,2468290,1,2,1,3,1653,259,2467679,0,842,179,12,0,2022-07-04T07:32:14,-231,-3.838616666666667,-242683,-4.044716666666667,96.71281327700507,100168.58351994882
1656909135,643000,2469290,1,2,1,3,1654,259,2467679,0,842,117,12,0,2022-07-04T07:32:15,-230,-3.8226166666666668,-241683,-4.0280499999999995,96.74967035513507,100168.1447831452
1656909136,602000,2470290,1,2,1,3,1655,259,2467679,0,842,125,12,0,2022-07-04T07:32:16,-229,-3.806633333333333,-240683,-4.011383333333333,96.6697692584666,100169.09590443686
1656909137,562000,2471290,1,2,1,3,1656,259,2467679,0,842,96,12,0,2022-07-04T07:32:17,-228,-3.790633333333333,-239683,-3.9947166666666667,96.5321464382341,100170.73412969284
1656909138,522000,2472290,1,2,1,3,1657,259,2467679,0,842,104,12,0,2022-07-04T07:32:18,-227,-3.7746333333333335,-238683,-3.97805,96.14950410291884,100175.28906666666
1656909139,481000,2473290,1,2,1,3,1657,259,2467679,0,842,54,12,0,2022-07-04T07:32:19,-226,-3.7586500000000003,-237683,-3.961383333333333,96.00577545166016,100177.0
1656909140,441000,2474290,1,2,1,3,1658,259,2467679,0,842,62,12,0,2022-07-04T07:32:20,-225,-3.74265,-236683,-3.9447166666666664,96.48344138227709,100171.31390134529
1656909141,401000,2475290,1,2,1,3,1659,259,2467679,0,842,72,12,0,2022-07-04T07:32:21,-224,-3.72665,-235683,-3.92805,97.38754093549524,100160.55156950673
1656909147,159000,2481290,1,2,1,3,1660,259,2467679,0,842,230,12,0,2022-07-04T07:32:27,-218,-3.6306833333333333,-229683,-3.8280499999999997,96.41730005121049,100172.1012303776
1656909148,119000,2482290,1,2,1,3,1660,259,2467679,0,842,129,12,0,2022-07-04T07:32:28,-217,-3.6146833333333332,-228683,-3.811383333333333,96.34886816944872,100172.91582520153
1656909149,455000,2483290,1,2,1,3,1661,260,2482576,0,696,92,12,0,2022-07-04T07:32:29,-216,-3.5924166666666664,-227683,-3.7947166666666665,97.27183759840555,100161.92890025575
1656909150,415000,2484290,1,2,1,3,1662,260,2482576,0,696,100,12,0,2022-07-04T07:32:30,-215,-3.576416666666667,-226683,-3.77805,97.09027957002685,100164.09016453382
1656909151,374000,2485290,1,2,1,3,1663,260,2482576,0,696,223,12,0,2022-07-04T07:32:31,-214,-3.5604333333333336,-225683,-3.7613833333333333,96.65454008319466,100169.27718026184
1656909152,334000,2486290,1,2,1,3,1664,260,2482576,0,696,231,12,0,2022-07-04T07:32:32,-213,-3.544433333333333,-224683,-3.7447166666666667,96.91442667212971,100166.18352467271
1656909153,294000,2487290,1,2,1,3,1665,260,2482576,0,696,89,12,0,2022-07-04T07:32:33,-212,-3.528433333333333,-223683,-3.72805,97.17431326106475,100163.08986908359
1656909154,764000,2488290,1,2,1,3,1666,261,2488097,0,571,97,12,0,2022-07-04T07:32:34,-211,-3.5039333333333333,-222683,-3.711383333333333,96.35629875558706,100172.82743395393
1656909155,724000,2489290,1,2,1,3,1667,261,2488097,0,571,123,12,0,2022-07-04T07:32:35,-210,-3.4879333333333333,-221683,-3.6947166666666664,96.11735650122876,100175.67176901925
1656909156,683000,2490290,1,2,1,3,1667,261,2488097,0,571,131,12,0,2022-07-04T07:32:36,-209,-3.47195,-220683,-3.67805,96.13605215979977,100175.44922089826
1656909157,643000,2491290,1,2,1,3,1668,261,2488097,0,571,141,12,0,2022-07-04T07:32:37,-208,-3.45595,-219683,-3.661383333333333,96.36494879623302,100172.72445520581
1656909158,603000,2492290,1,2,1,3,1669,261,2488097,0,571,149,12,0,2022-07-04T07:32:38,-207,-3.43995,-218683,-3.6447166666666666,96.75548394302479,100168.07554479419
1656909159,563000,2493290,1,2,1,3,1669,261,2488097,0,571,159,12,0,2022-07-04T07:32:39,-206,-3.42395,-217683,-3.62805,96.9991810642347,100165.17458355722
1656909160,522000,2494290,1,2,1,3,1670,261,2488097,0,571,167,12,0,2022-07-04T07:32:40,-205,-3.407966666666667,-216683,-3.6113833333333334,96.95589091625347,100165.68989790435
1656909161,482000,2495290,1,2,1,3,1671,261,2488097,0,571,177,12,0,2022-07-04T07:32:41,-204,-3.391966666666667,-215683,-3.5947166666666663,96.84058981926142,100167.06243063264
1656909162,442000,2496290,1,2,1,3,1672,261,2488097,0,571,185,12,0,2022-07-04T07:32:42,-203,-3.3759666666666663,-214683,-3.5780499999999997,96.61682314941542,100169.72613762486
1656909163,758000,2497290,1,2,1,3,1673,262,2497104,0,469,241,12,0,2022-07-04T07:32:43,-202,-3.354033333333333,-213683,-3.561383333333333,96.28273193949028,100173.70315457413
1656909164,717000,2498290,1,2,1,3,1674,262,2497104,0,469,249,12,0,2022-07-04T07:32:44,-201,-3.33805,-212683,-3.5447166666666665,96.2159784101981,100174.49780018332
1656909165,677000,2499290,1,2,1,3,1674,262,2497104,0,469,23,12,0,2022-07-04T07:32:45,-200,-3.32205,-211683,-3.52805,96.3642673500163,100172.73256992298
1656909166,637000,2500290,1,2,1,3,1674,262,2497104,0,469,31,12,0,2022-07-04T07:32:46,-199,-3.30605,-210683,-3.5113833333333333,96.6766219587913,100169.01429893568
1656909167,596000,2501290,1,2,1,3,1674,262,2497104,0,469,139,12,0,2022-07-04T07:32:47,-198,-3.2900666666666667,-209683,-3.4947166666666667,97.08669969416613,100164.13276260991
1656909168,556000,2502290,1,2,1,3,1675,262,2497104,0,469,147,12,0,2022-07-04T07:32:48,-197,-3.2740666666666667,-208683,-3.47805,97.40587110073967,100160.33337084975
1656909169,515000,2503290,1,2,1,3,1676,262,2497104,0,469,206,12,0,2022-07-04T07:32:49,-196,-3.2580833333333334,-207683,-3.461383333333333,97.22452920710833,100162.49206527857
1656909170,475000,2504290,1,2,1,3,1677,262,2497104,0,469,214,12,0,2022-07-04T07:32:50,-195,-3.2420833333333334,-206683,-3.4447166666666664,96.93026824830979,100165.99493623406
1656909171,435000,2505290,1,2,1,3,1678,262,2497104,0,469,224,12,0,2022-07-04T07:32:51,-194,-3.2260833333333334,-205683,-3.42805,96.37569082221499,100172.59658664666
1656909172,395000,2506290,1,2,1,3,1678,262,2497104,0,469,232,12,0,2022-07-04T07:32:52,-193,-3.210083333333333,-204683,-3.411383333333333,96.17378997802734,100175.0
1656909173,354000,2507290,1,2,1,3,1678,262,2497104,0,469,219,12,0,2022-07-04T07:32:53,-192,-3.1940999999999997,-203683,-3.3947166666666666,96.26891141103269,100173.86766561514
1656909174,314000,2508290,1,2,1,3,1678,262,2497104,0,469,227,12,0,2022-07-04T07:32:54,-191,-3.1781,-202683,-3.37805,96.51917734380453,100170.88849590468
1656909175,900000,2509290,1,2,1,3,1679,263,2508566,0,633,237,12,0,2022-07-04T07:32:55,-190,-3.1516666666666664,-201683,-3.3613833333333334,97.38723070907308,100160.55528667163
1656909176,859000,2510290,1,2,1,3,1680,263,2508566,0,633,245,12,0,2022-07-04T07:32:56,-189,-3.135683333333333,-200683,-3.3447166666666663,97.50086311714274,100159.20263102058
1656909177,819000,2511290,1,2,1,3,1681,263,2508566,0,633,255,12,0,2022-07-04T07:32:57,-188,-3.1196833333333336,-199683,-3.3280499999999997,97.32975099831914,100161.23955018035
1656909179,738000,2513290,1,2,1,3,1683,263,2508566,0,633,30,12,0,2022-07-04T07:32:59,-186,-3.0877,-197683,-3.2947166666666665,96.40243531369747,100172.27817027901
1656909180,698000,2514290,1,2,1,3,1684,263,2508566,0,633,38,12,0,2022-07-04T07:33:00,-185,-3.0717,-196683,-3.27805,96.27632181672848,100173.77946837763
1656909181,658000,2515290,1,2,1,3,1684,263,2508566,0,633,48,12,0,2022-07-04T07:33:01,-184,-3.0557000000000003,-195683,-3.2613833333333333,96.08803649645174,100176.02078651685
1656909182,618000,2516290,1,2,1,3,1685,263,2508566,0,633,56,12,0,2022-07-04T07:33:02,-183,-3.0397000000000003,-194683,-3.2447166666666667,96.34202067348649,100172.99738134207
1656909183,904000,2517290,1,2,1,3,1686,264,2516508,0,471,159,12,0,2022-07-04T07:33:03,-182,-3.018266666666667,-193683,-3.22805,96.80056733894244,100167.53888588426
1656909184,864000,2518290,1,2,1,3,1687,264,2516508,0,471,167,12,0,2022-07-04T07:33:04,-181,-3.0022666666666664,-192683,-3.211383333333333,96.97502951655535,100165.46208761493
1656909185,823000,2519290,1,2,1,3,1688,264,2516508,0,471,179,12,0,2022-07-04T07:33:05,-180,-2.986283333333333,-191683,-3.1947166666666664,97.04257166941231,100164.6580733945
1656909186,783000,2520290,1,2,1,3,1689,264,2516508,0,471,187,12,0,2022-07-04T07:33:06,-179,-2.9702833333333336,-190683,-3.17805,97.07956569356656,100164.21770642202
1656909187,743000,2521290,1,2,1,3,1690,264,2516508,0,471,218,12,0,2022-07-04T07:33:07,-178,-2.9542833333333336,-189683,-3.161383333333333,96.76685249306655,100167.9402258136
1656909189,108000,2522290,1,2,1,3,1691,265,2522107,0,299,226,12,0,2022-07-04T07:33:09,-176,-2.9315333333333333,-188683,-3.1447166666666666,96.21192819750932,100174.54601283226
1656909190,68000,2523290,1,2,1,3,1692,265,2522107,0,299,236,12,0,2022-07-04T07:33:10,-175,-2.9155333333333333,-187683,-3.12805,96.56523517571416,100170.34026980482
1656909191,27000,2524290,1,2,1,3,1692,265,2522107,0,299,244,12,0,2022-07-04T07:33:11,-174,-2.89955,-186683,-3.1113833333333334,97.37454887098887,100160.70622847302
1656909196,786000,2530290,1,2,1,3,1693,265,2522107,0,299,122,12,0,2022-07-04T07:33:16,-169,-2.8035666666666668,-180683,-3.0113833333333333,96.43995340451086,100171.83160941722
1656909197,745000,2531290,1,2,1,3,1693,265,2522107,0,299,243,12,0,2022-07-04T07:33:17,-168,-2.787583333333333,-179683,-2.9947166666666667,96.28843145322757,100173.6353137431
1656909198,705000,2532290,1,2,1,3,1694,265,2522107,0,299,51,12,0,2022-07-04T07:33:18,-167,-2.771583333333333,-178683,-2.97805,96.8058541903795,100167.4759399461
1656909199,665000,2533290,1,2,1,3,1695,265,2522107,0,299,59,12,0,2022-07-04T07:33:19,-166,-2.7555833333333335,-177683,-2.961383333333333,97.32327692753142,100161.31656614911
1656909200,624000,2534290,1,2,1,3,1696,265,2522107,0,299,222,12,0,2022-07-04T07:33:20,-165,-2.7396000000000003,-176683,-2.9447166666666664,97.20336799085977,100162.74394175767
1656909208,220000,2542290,1,2,1,3,1699,266,2540610,-4,-269,1,12,0,2022-07-04T07:33:28,-157,-2.613,-168683,-2.811383333333333,96.46956193247524,100171.47914764078
1656909209,180000,2543290,1,2,1,3,1700,266,2540610,-4,-269,9,12,0,2022-07-04T07:33:29,-156,-2.597,-167683,-2.7947166666666665,95.99908013594778,100177.07969924812
1656909211,100000,2545290,1,2,1,3,1702,266,2540610,-4,-269,151,12,0,2022-07-04T07:33:31,-154,-2.565,-165683,-2.7613833333333333,96.59381866455078,100170.0
1656909208,189000,2546290,1,2,1,3,1703,267,2546204,-3,-926,250,12,0,2022-07-04T07:33:28,-157,-2.613516666666667,-164683,-2.7447166666666667,96.5131635157848,100170.9601217656
1656909209,148000,2547290,1,2,1,3,1703,267,2546204,-3,-926,2,12,0,2022-07-04T07:33:29,-156,-2.5975333333333332,-163683,-2.72805,95.98897399902344,100177.2
1656909210,108000,2548290,1,2,1,3,1704,267,2546204,-3,-926,41,12,0,2022-07-04T07:33:30,-155,-2.5815333333333332,-162683,-2.711383333333333,96.2921559567559,100173.59097744361
1656909211,68000,2549290,1,2,1,3,1705,267,2546204,-3,-926,49,12,0,2022-07-04T07:33:31,-154,-2.565533333333333,-161683,-2.6947166666666664,96.59381866455078,100170.0
1656909212,28000,2550290,1,2,1,3,1706,267,2546204,-3,-926,132,12,0,2022-07-04T07:33:32,-153,-2.5495333333333337,-160683,-2.67805,96.59381866455078,100170.0
1656909212,988000,2551290,1,2,1,3,1706,267,2546204,-3,-926,140,12,0,2022-07-04T07:33:32,-153,-2.533533333333333,-159683,-2.661383333333333,96.62230145076536,100169.66094339623
1656909213,948000,2552290,1,2,1,3,1707,267,2546204,-3,-926,140,12,0,2022-07-04T07:33:33,-152,-2.517533333333333,-158683,-2.6447166666666666,96.85054414497232,100166.94396226415
1656909221,166000,2553290,1,2,1,3,1707,268,2553106,6,259000,148,12,0,2022-07-04T07:33:41,-144,-2.3972333333333333,-157683,-2.62805,96.24244115874085,100174.18276719366
1656909222,125000,2554290,1,2,1,3,1707,268,2553106,6,259000,10,12,0,2022-07-04T07:33:42,-143,-2.38125,-156683,-2.6113833333333334,96.1096525440494,100175.76347128552
1656909223,85000,2555290,1,2,1,3,1707,268,2553106,6,259000,18,12,0,2022-07-04T07:33:43,-142,-2.36525,-155683,-2.5947166666666663,96.08978271484375,100176.0
1656909224,45000,2556290,1,2,1,3,1708,268,2553106,6,259000,81,12,0,2022-07-04T07:33:44,-141,-2.34925,-154683,-2.5780499999999997,95.92101812362671,100178.00892857143
1656909225,5000,2557290,1,2,1,3,1709,268,2553106,6,259000,89,12,0,2022-07-04T07:33:45,-140,-2.33325,-153683,-2.561383333333333,96.35362039621415,100172.85926098432
1656909225,965000,2558290,1,2,1,3,1710,268,2553106,6,259000,76,12,0,2022-07-04T07:33:45,-140,-2.31725,-152683,-2.5447166666666665,96.94304661389756,100165.84279304543
1656909226,924000,2559290,1,2,1,3,1711,268,2553106,6,259000,84,12,0,2022-07-04T07:33:46,-139,-2.3012666666666663,-151683,-2.52805,96.98823055410679,100165.30493550196
1656909227,884000,2560290,1,2,1,3,1712,268,2553106,6,259000,20,12,0,2022-07-04T07:33:47,-138,-2.285266666666667,-150683,-2.5113833333333333,97.03514590385335,100164.74646772229
1656909228,844000,2561290,1,2,1,3,1713,268,2553106,6,259000,28,12,0,2022-07-04T07:33:48,-137,-2.2692666666666668,-149683,-2.4947166666666667,97.08426099073291,100164.16181485992
1656909230,324000,2562290,1,2,1,3,1714,269,2562267,0,414,116,12,0,2022-07-04T07:33:50,-135,-2.2445999999999997,-148683,-2.47805,96.63971213163681,100169.45367637623
1656909231,283000,2563290,1,2,1,3,1714,269,2562267,0,414,124,12,0,2022-07-04T07:33:51,-134,-2.228616666666667,-147683,-2.461383333333333,96.65541083185296,100169.26682330827
1656909232,243000,2564290,1,2,1,3,1714,269,2562267,0,414,139,12,0,2022-07-04T07:33:52,-133,-2.212616666666667,-146683,-2.4447166666666664,96.68118937642951,100168.95996240602
1656909233,203000,2565290,1,2,1,3,1715,269,2562267,0,414,233,12,0,2022-07-04T07:33:53,-132,-2.1966166666666664,-145683,-2.42805,96.94173244623934,100165.85845213849
1656909234,163000,2566290,1,2,1,3,1716,269,2562267,0,414,244,12,0,2022-07-04T07:33:54,-131,-2.1806166666666664,-144683,-2.411383333333333,97.76296979667215,100156.08248472505
1656909235,122000,2567290,1,2,1,3,1717,269,2562267,0,414,252,12,0,2022-07-04T07:33:55,-130,-2.164633333333333,-143683,-2.3947166666666666,97.72896723902502,100156.48726744186
1656909236,82000,2568290,1,2,1,3,1718,269,2562267,0,414,201,12,0,2022-07-04T07:33:56,-129,-2.1486333333333336,-142683,-2.37805,97.60537926269127,100157.95847146313
1656909237,42000,2569290,1,2,1,3,1719,269,2562267,0,414,209,12,0,2022-07-04T07:33:57,-128,-2.132633333333333,-141683,-2.3613833333333334,97.64150818154094,100157.52840247289
1656909238,2000,2570290,1,2,1,3,1719,269,2562267,0,414,0,12,0,2022-07-04T07:33:58,-127,-2.1166333333333336,-140683,-2.3447166666666663,97.67763710039063,100157.09833348266
