time_s,time_us,time_steady,last_report_time,last_good_report_time,reports_counter,bad_reports_counter,last_mistake,ignorance_depth,punishments_counter,last_punishment_time,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909135,785100,2482121,2482099,2345608,1658,802,-4,87,249,2479358,18,13,1,2022-07-04T07:32:15,-230,-3.8202483333333332,-228852,-3.8142,96.7551259705541
1656909173,968600,2520304,2520282,2345608,1683,827,-4,112,257,2520156,241,13,1,2022-07-04T07:32:53,-192,-3.1838566666666663,-190669,-3.1778166666666667,96.39106275396016
1656909208,492400,2559827,2559804,2559804,1708,848,-4,0,264,2556893,212,13,1,2022-07-04T07:33:28,-157,-2.60846,-151146,-2.5191,96.08643060042614
1656909251,374900,2596708,2596686,2581225,1733,858,-4,10,267,2593275,208,13,1,2022-07-04T07:34:11,-114,-1.8937516666666667,-114265,-1.9044166666666666,97.3837297044855
1656909290,129300,2635462,2635440,2581225,1758,883,-4,35,275,2634446,175,13,1,2022-07-04T07:34:50,-75,-1.247845,-75511,-1.2585166666666665,97.28719182783038
1656909329,289900,2674966,2674684,2581225,1783,908,-4,60,282,2670179,140,13,1,2022-07-04T07:35:29,-36,-0.5951683333333333,-36007,-0.6001166666666666,98.15460357666015
1656909368,681600,2714013,2713991,2581225,1808,933,-4,85,290,2710951,105,13,1,2022-07-04T07:36:08,3,0.06136,3040,0.050666666666666665,109.880176111626
1656909407,22100,2752598,2752576,2581225,1833,958,-4,110,298,2751755,72,13,1,2022-07-04T07:36:47,42,0.7003683333333334,41625,0.69375,341.1824575575087
1656909444,925900,2790255,2790233,2581225,1858,983,-4,135,305,2788214,37,13,1,2022-07-04T07:37:24,79,1.3320983333333334,79282,1.3213666666666666,572.7098155181679
1656909483,518500,2828847,2828825,2581225,1883,1008,-4,160,312,2824017,2,13,1,2022-07-04T07:38:03,118,1.9753083333333334,117874,1.9645666666666666,814.1429383789063
1656909523,282100,2868610,2868588,2581225,1908,1033,-4,185,320,2865020,225,13,1,2022-07-04T07:38:43,158,2.6380350000000004,157637,2.627283333333333,1048.3507970972992
1656909560,454200,2905781,2905490,2581225,1933,1058,-4,210,327,2900609,190,13,1,2022-07-04T07:39:20,195,3.25757,194808,3.2468,1269.3415769736766
1656909599,180100,2944506,2944484,2581225,1958,1083,-4,235,335,2941408,155,13,1,2022-07-04T07:39:59,234,3.903001666666667,233533,3.8922166666666667,1500.0928337501298
1656909636,801600,2982127,2982105,2581225,1983,1108,-4,260,342,2977036,122,13,1,2022-07-04T07:40:36,271,4.530026666666667,271154,4.519233333333333,1728.2063705260493
1656909675,749300,3021074,3021052,2581225,2008,1133,-4,285,350,3018001,87,13,1,2022-07-04T07:41:15,310,5.179155,310101,5.16835,1972.2477953273587
1656909714,186900,3059878,3059856,2581225,2033,1158,-4,310,358,3058641,52,13,1,2022-07-04T07:41:54,349,5.819781666666667,348905,5.815083333333333,2224.6722597562766
1656909752,641600,3098308,3098286,2581225,2058,1183,-4,335,365,3094336,19,13,1,2022-07-04T07:42:32,387,6.460693333333333,387335,6.455583333333333,2458.2785717007264
1656909830,843200,3176840,3176818,2581225,2108,1233,-4,385,381,3175742,205,13,1,2022-07-04T07:43:50,465,7.764053333333334,465867,7.76445,2922.4214451085186
1656909869,184000,3214505,3214483,2581225,2133,1258,-4,410,388,3211153,172,13,1,2022-07-04T07:44:29,504,8.403066666666668,503532,8.392199999999999,3140.283173900463
1656909908,583600,3253904,3253882,2581225,2158,1283,-4,435,396,3252296,137,13,1,2022-07-04T07:45:08,543,9.059726666666668,542931,9.04885,3390.7015543097646
1656909948,494000,3293968,3293946,2581225,2183,1308,-4,460,404,3292900,102,13,1,2022-07-04T07:45:48,583,9.7249,582995,9.716583333333334,3623.6851406155724
1656909986,319800,3331639,3331617,2581225,2208,1333,-4,485,411,3328313,69,13,1,2022-07-04T07:46:26,621,10.35533,620666,10.344433333333335,3855.513191464838
1656910064,44700,3409737,3409715,2581225,2258,1383,-4,535,426,3405614,255,13,1,2022-07-04T07:47:44,699,11.650745,698764,11.646066666666666,4312.151135398321
1656910100,797300,3446429,3446407,2581225,2283,1408,-4,560,434,3446043,222,13,1,2022-07-04T07:48:20,735,12.263288333333332,735456,12.2576,4539.462315942674
1656910141,17500,3486334,3486312,2581225,2308,1433,-4,585,441,3481830,187,13,1,2022-07-04T07:49:01,776,12.933625000000001,775361,12.922683333333334,4772.782765775378
1656910180,357900,3525674,3525652,2581225,2333,1458,-4,610,449,3522340,152,13,1,2022-07-04T07:49:40,815,13.589298333333334,814701,13.57835,5021.4529948685495
1656910218,68500,3563508,3563486,2581225,2358,1483,-4,635,456,3559144,119,13,1,2022-07-04T07:50:18,853,14.217808333333332,852535,14.208916666666665,5256.416965500789
1656910256,416200,3602731,3602709,2581225,2383,1508,-4,660,464,3600067,84,13,1,2022-07-04T07:50:56,891,14.856936666666666,891758,14.862633333333333,5509.466655627005
1656910295,498600,3641813,3641526,2581225,2408,1533,-4,685,472,3640761,49,13,1,2022-07-04T07:51:35,930,15.50831,930840,15.514000000000001,5743.448999606536
1656910333,595800,3679910,3679888,2581225,2433,1558,-4,710,479,3676472,16,13,1,2022-07-04T07:52:13,968,16.143263333333334,968937,16.14895,5987.753356195495
1656910373,449500,3719763,3719741,2581225,2458,1583,-4,735,487,3717581,237,13,1,2022-07-04T07:52:53,1008,16.807491666666667,1008790,16.813166666666667,6227.350710491736
1656910412,766400,3759394,3759372,2581225,2483,1608,-4,760,495,3758308,202,13,1,2022-07-04T07:53:32,1047,17.462773333333335,1048421,17.473683333333334,6460.7490613146465
1656910450,10200,3796477,3796455,2581225,2508,1633,-4,785,502,3794888,169,13,1,2022-07-04T07:54:10,1085,18.083503333333333,1085504,18.09173333333333,6698.984897882909
1656910528,966900,3875279,3875257,2581225,2558,1683,-4,835,517,3872156,99,13,1,2022-07-04T07:55:28,1163,19.399448333333332,1164306,19.4051,7169.523419268878
1656910566,614300,3913140,3913118,2581225,2583,1708,-4,860,525,3912967,66,13,1,2022-07-04T07:56:06,1201,20.026905,1202167,20.036116666666665,7402.967220839995
1656910605,630900,3951942,3951920,2581225,2608,1733,-4,885,532,3948645,31,13,1,2022-07-04T07:56:45,1240,20.67718166666667,1240969,20.682816666666668,7676.034701669556
1656910644,229200,3990540,3990518,2581225,2633,1758,-4,910,540,3989363,252,13,1,2022-07-04T07:57:24,1279,21.320486666666667,1279567,21.326116666666667,7912.406732451592
1656910682,250600,4028561,4028539,2581225,2658,1783,-4,935,547,4025556,219,13,1,2022-07-04T07:58:02,1317,21.95417666666667,1317588,21.959799999999998,8164.419618422564
1656910722,279500,4067816,4067794,2581225,2683,1808,-4,960,555,4066725,184,13,1,2022-07-04T07:58:42,1357,22.621325000000002,1356843,22.614050000000002,8416.433582459804
1656910761,34500,4106945,4106923,2581225,2708,1833,-4,985,562,4102504,149,13,1,2022-07-04T07:59:21,1396,23.267241666666667,1395972,23.2662,8683.077271508599
1656910799,345500,4144881,4144859,2581225,2733,1858,-4,1010,570,4143022,116,13,1,2022-07-04T07:59:59,1434,23.90575833333333,1433908,23.898466666666664,8925.4973354434
1656910839,253800,4184647,4184625,2581225,2758,1883,-4,1035,578,4183634,81,13,1,2022-07-04T08:00:39,1474,24.570896666666666,1473674,24.561233333333334,9183.609708424223
1656910877,688900,4222999,4222977,2581225,2783,1908,-4,1060,585,4220073,46,13,1,2022-07-04T08:01:17,1512,25.211481666666668,1512026,25.200433333333333,9418.701836206043
1656910915,788100,4261252,4261230,2581225,2808,1933,-4,1085,593,4260760,13,13,1,2022-07-04T08:01:55,1550,25.846468333333334,1550279,25.837983333333334,9692.646784761839
1656910954,92900,4299402,4299380,2581225,2833,1958,-4,1110,600,4296376,234,13,1,2022-07-04T08:02:34,1589,26.48488166666667,1588429,26.473816666666668,9961.581006610106
1656910991,585100,4337128,4337106,2581225,2858,1983,-4,1135,607,4332269,199,13,1,2022-07-04T08:03:11,1626,27.109751666666668,1626155,27.10258333333333,10202.934242492689
1656911030,373100,4376016,4375994,2581225,2883,2008,-4,1160,615,4373020,166,13,1,2022-07-04T08:03:50,1665,27.756218333333333,1665043,27.750716666666666,10490.095207721333
1656911108,159500,4453468,4453446,2581225,2933,2058,-4,1210,630,4449504,96,13,1,2022-07-04T08:05:08,1743,29.052658333333333,1742495,29.04158333333333,10954.919170163554
1656911147,702600,4493011,4492989,2581225,2958,2083,-4,1235,638,4490052,63,13,1,2022-07-04T08:05:47,1782,29.71171,1782038,29.700633333333332,11221.108891451355
1656911184,410900,4529719,4529697,2581225,2983,2108,-4,1260,645,4525476,28,13,1,2022-07-04T08:06:24,1819,30.323515,1818746,30.312433333333335,11415.095001181542
1656911223,799300,4569252,4569230,2581225,3008,2133,-4,1285,653,4566153,249,13,1,2022-07-04T08:07:03,1858,30.97998833333333,1858279,30.971316666666667,11644.164002122003
1656911262,271100,4607974,4607952,2581225,3033,2158,-4,1310,661,4606910,216,13,1,2022-07-04T08:07:42,1897,31.621185,1897001,31.616683333333334,11891.531845914744
1656911300,834400,4646142,4646120,2581225,3058,2183,-4,1335,668,4642286,181,13,1,2022-07-04T08:08:20,1935,32.263906666666664,1935169,32.25281666666667,12119.904162023906
1656911338,697700,4684219,4684197,2581225,3083,2208,-4,1360,676,4682980,146,13,1,2022-07-04T08:08:58,1973,32.89496166666667,1973246,32.887433333333334,12352.342290839022
1656911376,809400,4722117,4722095,2581225,3108,2233,-4,1385,683,4719078,113,13,1,2022-07-04T08:09:36,2011,33.53015666666667,2011144,33.51906666666667,12585.056269871391
1656911414,207500,4759809,4759787,2581225,3133,2258,-4,1410,691,4759761,78,13,1,2022-07-04T08:10:14,2049,34.15345833333333,2048836,34.14726666666666,12818.572897070208
1656911453,39700,4798347,4798325,2581225,3158,2283,-4,1435,698,4795444,43,13,1,2022-07-04T08:10:53,2088,34.80066166666666,2087374,34.789566666666666,13065.08751234552
1656911492,246600,4837554,4837532,2581225,3183,2308,-4,1460,706,4836164,10,13,1,2022-07-04T08:11:32,2127,35.45411,2126581,35.44301666666667,13259.625089373363
1656911529,353900,4874661,4874639,2581225,3208,2333,-4,1485,713,4871668,231,13,1,2022-07-04T08:12:09,2164,36.072565000000004,2163688,36.06146666666667,13462.168988098649
1656911569,111700,4914419,4914397,2581225,3233,2358,-4,1510,721,4913297,196,13,1,2022-07-04T08:12:49,2204,36.735195,2203446,36.7241,13634.816261816879
1656911605,581700,4950889,4950867,2581225,3258,2383,-4,1535,728,4948937,163,13,1,2022-07-04T08:13:25,2240,37.343028333333336,2239916,37.33193333333334,13810.772975712614
