time_s,time_us,time_steady,last_report_time,last_good_report_time,reports_counter,bad_reports_counter,last_mistake,ignorance_depth,punishments_counter,last_punishment_time,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude,baro_pressure
1656909104,590400,2451051,2451051,2451051,65481,0,0,0,0,0,98,13,2,2022-07-04T07:31:44,-261,-4.34016,-259922,-4.332033333333333,96.28676272129421,100173.65516007869
1656909143,962900,2490298,2490298,2490298,66481,0,0,0,0,0,63,13,2,2022-07-04T07:32:23,-222,-3.6839516666666667,-220675,-3.677916666666667,97.19820950234474,100162.80539635281
1656909181,829800,2528165,2528165,2528165,67481,0,0,0,0,0,29,13,2,2022-07-04T07:33:01,-184,-3.0528366666666664,-182808,-3.0467999999999997,96.04749591270189,100176.50337078652
1656909222,91700,2567470,2567470,2567470,68481,0,0,0,0,0,11,13,2,2022-07-04T07:33:42,-143,-2.381805,-143503,-2.3917166666666665,96.11426345215078,100175.7085834375
1656909259,230900,2604564,2604564,2604564,69481,0,0,0,0,0,253,13,2,2022-07-04T07:34:19,-106,-1.7628183333333332,-106409,-1.7734833333333335,97.90414287363123,100154.40201816347
1656909337,558200,2682890,2682890,2682890,71481,0,0,0,0,0,185,13,2,2022-07-04T07:35:37,-28,-0.45736333333333334,-28083,-0.46804999999999997,98.46178423775382,100147.7638913234
1656909376,806600,2722138,2722138,2722138,72481,0,0,0,0,0,150,13,2,2022-07-04T07:36:16,11,0.19677666666666666,11165,0.18608333333333332,161.25412403229743,99402.84677419355
1656909452,373000,2797702,2797702,2797702,74481,0,0,0,0,0,82,13,2,2022-07-04T07:37:32,87,1.4562166666666667,86729,1.4454833333333332,621.3459605458612,94080.65098299095
1656909491,271700,2836600,2836600,2836600,75481,0,0,0,0,0,47,13,2,2022-07-04T07:38:11,126,2.104528333333333,125627,2.093783333333333,857.97603944947,91434.9601536929
1656909530,688300,2876016,2876016,2876016,76481,0,0,0,0,0,12,13,2,2022-07-04T07:38:50,165,2.7614716666666665,165043,2.750716666666667,1091.3899072042666,88884.78922374429
1656909567,776800,2913104,2913104,2913104,77481,0,0,0,0,0,235,13,2,2022-07-04T07:39:27,202,3.3796133333333334,202131,3.36885,1310.7687021564934,86540.89495875344
1656909606,545000,2952275,2952275,2952275,78481,0,0,0,0,0,200,13,2,2022-07-04T07:40:06,241,4.0257499999999995,241302,4.0217,1544.9941315197743,84094.06819476983
1656909644,442800,2990022,2990022,2990022,79481,0,0,0,0,0,165,13,2,2022-07-04T07:40:44,279,4.65738,279049,4.650816666666667,1777.4822606756125,81721.25317470926
1656909683,930400,3029255,3029255,3029255,80481,0,0,0,0,0,132,13,2,2022-07-04T07:41:23,318,5.315506666666667,318282,5.3046999999999995,2026.6622894138725,79238.75721231767
1656909722,630500,3068023,3068023,3068023,81481,0,0,0,0,0,97,13,2,2022-07-04T07:42:02,357,5.960508333333333,357050,5.950833333333334,2278.0570971875,76796.62784
1656909760,21100,3105413,3105413,3105413,82481,0,0,0,0,0,62,13,2,2022-07-04T07:42:40,395,6.583685,394440,6.574,2502.9332445684863,74664.25407882677
1656909799,727100,3145340,3145340,3145340,83481,0,0,0,0,0,29,13,2,2022-07-04T07:43:19,434,7.245451666666667,434367,7.239450000000001,2733.744131466687,72525.86477813433
1656909832,517600,3184093,3184093,3184093,84481,0,0,0,0,0,250,13,2,2022-07-04T07:43:52,467,7.79196,473120,7.8853333333333335,2944.9664850281674,70612.96003262642
1656909916,635600,3261956,3261956,3261956,86481,0,0,0,0,0,182,13,2,2022-07-04T07:45:16,551,9.193926666666666,550983,9.18305,3435.2106245255927,66330.20989917507
1656909956,215600,3301879,3301879,3301879,87481,0,0,0,0,0,147,13,2,2022-07-04T07:45:56,591,9.853593333333333,590906,9.848433333333332,3671.734297642458,64340.85945330296
1656909994,161800,3339481,3339481,3339481,88481,0,0,0,0,0,112,13,2,2022-07-04T07:46:34,629,10.48603,628508,10.475133333333334,3900.7116478329613,62461.409523809525
1656910032,579400,3377898,3377898,3377898,89481,0,0,0,0,0,79,13,2,2022-07-04T07:47:12,667,11.126323333333334,666925,11.115416666666667,4125.579278167249,60659.33143904675
1656910071,444400,3416907,3416907,3416907,90481,0,0,0,0,0,44,13,2,2022-07-04T07:47:51,706,11.774073333333332,705934,11.765566666666667,4353.982914686695,58872.38969072165
1656910108,877400,3454509,3454509,3454509,91481,0,0,0,0,0,9,13,2,2022-07-04T07:48:28,743,12.397956666666666,743536,12.392266666666666,4586.828457362823,57094.91333872272
1656910188,798900,3534115,3534115,3534115,93481,0,0,0,0,0,197,13,2,2022-07-04T07:49:48,823,13.729981666666667,823142,13.719033333333334,5073.095022222895,53523.30215331611
1656910225,796400,3571112,3571112,3571112,94481,0,0,0,0,0,162,13,2,2022-07-04T07:50:25,860,14.346606666666666,860139,14.33565,5303.851422174698,51893.10458851942
