time_s,time_us,time_steady,current,voltage,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909105,358214,2451433,0.00457763671875,7.955999851226807,7,10,1,2022-07-04T07:31:45,-260,-4.3273631,-259540,-4.325666666666667,96.08978271484375
1656909107,37953,2453113,0.00457763671875,7.955999851226807,23,10,1,2022-07-04T07:31:47,-258,-4.29936745,-257860,-4.297666666666667,96.01778066141756
1656909108,757945,2454833,nan,nan,39,10,1,2022-07-04T07:31:48,-257,-4.270700916666667,-256140,-4.269,96.61322080059922
1656909110,297946,2456373,0.00457763671875,7.952000141143799,55,10,1,2022-07-04T07:31:50,-255,-4.2450342333333335,-254600,-4.243333333333333,96.86648600156565
1656909112,189094,2458264,nan,nan,65,10,1,2022-07-04T07:31:52,-253,-4.2135150999999995,-252709,-4.2118166666666665,96.58837417735354
1656909113,760644,2459836,nan,nan,81,10,1,2022-07-04T07:31:53,-252,-4.1873226,-251137,-4.185616666666666,96.12187562733064
1656909115,356003,2461431,nan,nan,100,10,1,2022-07-04T07:31:55,-250,-4.160733283333333,-249542,-4.159033333333333,96.46593833843959
1656909118,504684,2464580,0.0054931640625,7.776000022888184,119,10,1,2022-07-04T07:31:58,-247,-4.108255266666666,-246393,-4.10655,93.09383378663298
1656909120,271925,2466347,nan,nan,129,10,1,2022-07-04T07:32:00,-245,-4.07880125,-244626,-4.0771,94.98611614912295
1656909121,817945,2467893,0.00457763671875,7.955999851226807,145,10,1,2022-07-04T07:32:01,-244,-4.05303425,-243080,-4.051333333333334,96.37151894352758
1656909123,291358,2469366,nan,nan,161,10,1,2022-07-04T07:32:03,-242,-4.0284773666666664,-241607,-4.026783333333333,96.10977404611545
1656909125,171659,2471247,0.0054931640625,7.791999816894531,171,10,1,2022-07-04T07:32:05,-240,-3.9971390166666665,-239726,-3.995433333333333,96.95635014310731
1656909126,940893,2473016,nan,nan,187,10,1,2022-07-04T07:32:06,-239,-3.9676517833333333,-237957,-3.96595,97.15659356496194
1656909128,648174,2474723,0.0054931640625,7.788000106811523,203,10,1,2022-07-04T07:32:08,-237,-3.9391971,-236250,-3.9375,97.25230277093455
1656909130,170639,2476246,nan,nan,213,10,1,2022-07-04T07:32:10,-235,-3.9138226833333336,-234727,-3.912116666666667,96.050055287383
1656909131,720632,2477796,nan,nan,229,10,1,2022-07-04T07:32:11,-234,-3.887989466666667,-233177,-3.886283333333333,96.2223000764916
1656909133,418297,2479493,nan,nan,245,10,1,2022-07-04T07:32:13,-232,-3.85969505,-231480,-3.8579999999999997,96.59933793883944
1656909135,283129,2481358,0.00457763671875,7.960000038146973,255,10,1,2022-07-04T07:32:15,-230,-3.8286145166666667,-229615,-3.826916666666667,96.7358539035062
1656909137,48039,2483123,0.00457763671875,7.932000160217285,15,10,1,2022-07-04T07:32:17,-228,-3.7991993500000003,-227850,-3.7975,96.60582639897318
1656909138,568154,2484643,nan,nan,29,10,1,2022-07-04T07:32:18,-227,-3.7738641,-226330,-3.7721666666666667,96.12882563605416
1656909140,362184,2486437,0.00457763671875,7.9679999351501465,41,10,1,2022-07-04T07:32:20,-225,-3.7439636,-224536,-3.7422666666666666,96.40921480895788
1656909142,71730,2488147,nan,nan,57,10,1,2022-07-04T07:32:22,-223,-3.7154711666666667,-222826,-3.7137666666666664,97.3755826393982
1656909143,654815,2489730,nan,nan,79,10,1,2022-07-04T07:32:23,-222,-3.6890864166666666,-221243,-3.6873833333333335,97.22710484381543
1656909146,377921,2492453,nan,nan,89,10,1,2022-07-04T07:32:26,-219,-3.6437013166666667,-218520,-3.6420000000000003,96.47297786972571
1656909147,929717,2494005,nan,nan,105,10,1,2022-07-04T07:32:27,-218,-3.61783805,-216968,-3.616133333333333,96.36236086931905
1656909149,453978,2495529,0.00457763671875,7.8520002365112305,119,10,1,2022-07-04T07:32:29,-216,-3.5924337,-215444,-3.590733333333333,97.27106908157232
1656909151,413973,2497489,0.00457763671875,7.932000160217285,131,10,1,2022-07-04T07:32:31,-214,-3.559767116666667,-213484,-3.558066666666667,96.66536138175665
1656909153,170120,2499245,nan,nan,147,10,1,2022-07-04T07:32:33,-212,-3.530498,-211728,-3.5288,97.14077706248426
1656909154,809431,2500884,nan,nan,163,10,1,2022-07-04T07:32:34,-211,-3.5031761500000003,-210089,-3.5014833333333333,96.31978815993179
1656909156,340704,2502416,0.00457763671875,7.955999851226807,173,10,1,2022-07-04T07:32:36,-209,-3.4776549333333335,-208557,-3.4759499999999997,96.10969528522719
1656909157,914967,2503990,nan,nan,189,10,1,2022-07-04T07:32:37,-208,-3.451417216666667,-206983,-3.4497166666666668,96.47558699651168
1656909159,439875,2505515,0.0054931640625,7.955999851226807,199,10,1,2022-07-04T07:32:39,-206,-3.426002083333333,-205458,-3.4243,97.00473904074167
1656909161,328453,2507403,0.00640869140625,7.78000020980835,215,10,1,2022-07-04T07:32:41,-204,-3.3945257833333335,-203570,-3.3928333333333334,96.87638013265189
1656909162,890739,2508966,0.00457763671875,7.952000141143799,231,10,1,2022-07-04T07:32:42,-203,-3.3684876833333335,-202007,-3.3667833333333332,96.51222644976956
1656909164,410656,2510486,nan,nan,241,10,1,2022-07-04T07:32:44,-201,-3.3431557333333335,-200487,-3.34145,96.19238984829826
1656909165,997967,2512073,nan,nan,1,10,1,2022-07-04T07:32:45,-200,-3.31670055,-198900,-3.315,96.44623758607516
1656909167,780608,2513856,0.00640869140625,7.78000020980835,17,10,1,2022-07-04T07:32:47,-198,-3.2869898666666666,-197117,-3.285283333333333,97.16563987203065
1656909169,407679,2515483,nan,nan,27,10,1,2022-07-04T07:32:49,-196,-3.259872016666667,-195490,-3.258166666666667,97.24482304794921
1656909171,68027,2517143,nan,nan,43,10,1,2022-07-04T07:32:51,-194,-3.23219955,-193830,-3.2305,96.58768555324237
1656909172,678134,2518753,0.00457763671875,7.952000141143799,59,10,1,2022-07-04T07:32:52,-193,-3.2053644333333335,-192220,-3.2036666666666664,96.17378997802734
1656909174,352468,2520427,0.00640869140625,7.78000020980835,69,10,1,2022-07-04T07:32:54,-191,-3.177458866666667,-190546,-3.1757666666666666,96.54023174283047
1656909176,108616,2522184,0.00640869140625,7.776000022888184,85,10,1,2022-07-04T07:32:56,-189,-3.148189733333333,-188789,-3.1464833333333333,97.5014109239841
1656909177,792103,2523867,nan,nan,101,10,1,2022-07-04T07:32:57,-188,-3.120131616666667,-187106,-3.1184333333333334,97.33454516775664
1656909179,488028,2525563,0.00457763671875,7.947999954223633,111,10,1,2022-07-04T07:32:59,-186,-3.0918661999999997,-185410,-3.0901666666666667,96.54073742864345
1656909181,102985,2527178,nan,nan,127,10,1,2022-07-04T07:33:01,-184,-3.0649502500000003,-183795,-3.0632499999999996,96.219006415485
1656909182,623204,2528698,0.00640869140625,7.776000022888184,140,10,1,2022-07-04T07:33:02,-183,-3.039613266666667,-182275,-3.037916666666667,96.34488266258427
1656909184,293939,2530369,0.0054931640625,7.955999851226807,153,10,1,2022-07-04T07:33:04,-181,-3.0117676833333333,-180604,-3.010066666666667,96.87143151298015
1656909185,969073,2532044,nan,nan,169,10,1,2022-07-04T07:33:05,-180,-2.9838487833333334,-178929,-2.98215,97.04820065700636
1656909187,588157,2533663,nan,nan,179,10,1,2022-07-04T07:33:07,-178,-2.95686405,-177310,-2.9551666666666665,96.87244244249304
1656909189,201729,2535277,nan,nan,195,10,1,2022-07-04T07:33:09,-176,-2.9299711833333335,-175696,-2.9282666666666666,96.21914535311971
1656909190,733217,2536808,0.00640869140625,7.78000020980835,211,10,1,2022-07-04T07:33:10,-175,-2.9044463833333336,-174165,-2.9027499999999997,97.12662123247075
1656909192,307956,2538383,nan,nan,227,10,1,2022-07-04T07:33:12,-173,-2.8782007333333337,-172590,-2.8765,96.92051843703308
1656909195,43131,2541118,nan,nan,243,10,1,2022-07-04T07:33:15,-170,-2.8326144833333333,-169855,-2.8309166666666665,97.0615371978271
1656909196,759608,2542835,0.00457763671875,7.952000141143799,3,10,1,2022-07-04T07:33:16,-169,-2.8040065333333337,-168138,-2.8023000000000002,96.44936595328717
1656909198,996595,2544503,0.00457763671875,7.952000141143799,16,10,1,2022-07-04T07:33:18,-167,-2.7667234166666663,-166470,-2.7745,96.96301865187931
1656909200,906184,2546413,0.00640869140625,7.771999835968018,29,10,1,2022-07-04T07:33:20,-165,-2.7348969333333333,-164560,-2.7426666666666666,97.117077618532
1656909202,596333,2548103,nan,nan,45,10,1,2022-07-04T07:33:22,-163,-2.7067277833333336,-162870,-2.7145,95.3432042074361
1656909204,226291,2549733,nan,nan,61,10,1,2022-07-04T07:33:24,-161,-2.679561816666667,-161240,-2.6873333333333336,95.12704801468948
1656909205,816338,2551323,nan,nan,71,10,1,2022-07-04T07:33:25,-160,-2.653061033333333,-159650,-2.6608333333333336,96.80373255162458
1656909207,531497,2553038,nan,nan,87,10,1,2022-07-04T07:33:27,-158,-2.62447505,-157935,-2.63225,96.47400323058908
1656909203,634277,2554709,0.00457763671875,7.952000141143799,103,10,1,2022-07-04T07:33:23,-162,-2.689428716666667,-156264,-2.6044,93.40125392333032
1656909205,643565,2556718,0.00457763671875,7.9120001792907715,119,10,1,2022-07-04T07:33:25,-160,-2.6559405833333334,-154255,-2.5709166666666667,96.58238903993096
1656909207,359636,2558435,0.00457763671875,7.952000141143799,129,10,1,2022-07-04T07:33:27,-158,-2.6273394,-152538,-2.5423,96.3710982251864
1656909208,828062,2559903,nan,nan,145,10,1,2022-07-04T07:33:28,-157,-2.6028656333333333,-151070,-2.5178333333333334,95.8879322104203
1656909210,481253,2561556,nan,nan,160,10,1,2022-07-04T07:33:30,-155,-2.5753124499999998,-149417,-2.490283333333333,96.41003337580172
1656909212,347501,2563422,nan,nan,171,10,1,2022-07-04T07:33:32,-153,-2.544208316666667,-147551,-2.4591833333333333,96.59381866455078
1656909214,140144,2565215,nan,nan,187,10,1,2022-07-04T07:33:34,-151,-2.5143309333333335,-145758,-2.4293,96.89622692021784
1656909221,861553,2566936,nan,nan,203,10,1,2022-07-04T07:33:41,-144,-2.3856407833333337,-144037,-2.4006166666666666,96.14613091962252
1656909223,485448,2568560,0.00457763671875,7.960000038146973,213,10,1,2022-07-04T07:33:43,-142,-2.358575866666667,-142413,-2.3735500000000003,96.053555056321
1656909225,8879,2570083,0.00640869140625,7.788000106811523,229,10,1,2022-07-04T07:33:45,-140,-2.33318535,-140890,-2.3481666666666663,96.35690884138705
1656909226,637356,2571712,nan,nan,245,10,1,2022-07-04T07:33:46,-139,-2.3060440666666664,-139261,-2.3210166666666665,96.9747251262055
1656909228,371214,2573445,0.00457763671875,7.776000022888184,255,10,1,2022-07-04T07:33:48,-137,-2.2771464333333333,-137528,-2.292133333333333,97.0600725267064
1656909230,152354,2575227,nan,nan,15,10,1,2022-07-04T07:33:50,-135,-2.247460766666667,-135746,-2.2624333333333335,96.70447234292888
1656909231,689009,2576763,nan,nan,31,10,1,2022-07-04T07:33:51,-134,-2.22184985,-134210,-2.2368333333333337,96.7515791727869
1656909233,460825,2578535,0.0054931640625,7.947999954223633,47,10,1,2022-07-04T07:33:53,-132,-2.1923195833333335,-132438,-2.2072999999999996,97.16229027944281
1656909235,459014,2580533,0.00640869140625,7.776000022888184,57,10,1,2022-07-04T07:33:55,-130,-2.1590164333333335,-130440,-2.174,97.67958799473962
1656909237,150705,2582225,0.00732421875,7.952000141143799,73,10,1,2022-07-04T07:33:57,-128,-2.1308215833333333,-128748,-2.1458,97.64559921708631
1656909238,858895,2583933,0.00457763671875,7.943999767303467,89,10,1,2022-07-04T07:33:58,-127,-2.10235175,-127040,-2.1173333333333333,97.12317689113878
1656909240,438758,2585513,nan,nan,99,10,1,2022-07-04T07:34:00,-125,-2.0760207,-125460,-2.0909999999999997,96.59381866455078
1656909242,68801,2587143,0.00732421875,7.783999919891357,115,10,1,2022-07-04T07:34:02,-123,-2.048853316666667,-123830,-2.063833333333333,97.9065805881837
1656909243,842415,2588917,nan,nan,131,10,1,2022-07-04T07:34:03,-122,-2.0192930833333333,-122056,-2.0342666666666664,98.26423457754558
1656909245,358944,2590433,nan,nan,141,10,1,2022-07-04T07:34:05,-120,-1.9940176,-120540,-2.009,97.66793131300385
1656909247,98820,2592173,nan,nan,157,10,1,2022-07-04T07:34:07,-118,-1.9650196666666666,-118800,-1.98,96.86600060638334
