time_s,time_us,time_steady,iTOW,fTOW,week,gpsFix,flags,ecefX,ecefY,ecefZ,pAcc,ecefVX,ecefVY,ecefVZ,sAcc,pDOP,reserved1,numSV,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,lat,lon,h,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909106,158000,2450976,102725000,-297478,2217,0,92,269233738,226324013,530301488,22063312,0,0,0,17646,9999,0,0,93,11,0,2022-07-04T07:31:46,-259,-4.314033333333333,56.622634773027386,40.05117370523658,140.74321997696632,-259997,-4.333283333333333,96.07768539663651
1656909107,126000,2451943,102726000,-293470,2217,0,92,269233738,226324013,530301488,22090342,0,0,0,17654,9999,0,0,120,11,0,2022-07-04T07:31:47,-258,-4.2979,56.622634773027386,40.05117370523658,140.74321997696632,-259030,-4.317166666666666,96.0117866683045
1656909108,143000,2452961,102727000,-289462,2217,0,92,269233738,226324013,530301488,22117382,0,0,0,17661,9999,0,0,148,11,0,2022-07-04T07:31:48,-257,-4.280950000000001,56.622634773027386,40.05117370523658,140.74321997696632,-258012,-4.3002,96.37123156077831
1656909109,161000,2453978,102728000,-285457,2217,0,92,269233738,226324013,530301488,22144432,0,0,0,17668,9999,0,0,176,11,0,2022-07-04T07:31:49,-256,-4.263983333333333,56.622634773027386,40.05117370523658,140.74321997696632,-256995,-4.28325,96.76412010151985
1656909110,179000,2454996,102729000,-281453,2217,0,92,269233738,226324013,530301488,22171492,0,0,0,17676,9999,0,0,205,11,0,2022-07-04T07:31:50,-255,-4.247016666666666,56.622634773027386,40.05117370523658,140.74321997696632,-255977,-4.266283333333333,96.85577659729593
1656909111,134000,2455952,102730000,-277446,2217,0,92,269233738,226324013,530301488,22198562,0,0,0,17683,9999,0,0,229,11,0,2022-07-04T07:31:51,-254,-4.2311000000000005,56.622634773027386,40.05117370523658,140.74321997696632,-255021,-4.25035,96.89176824369174
1656909112,152000,2456969,102731000,-273436,2217,0,92,269233738,226324013,530301488,22225646,0,0,0,17690,9999,0,0,2,11,0,2022-07-04T07:31:52,-253,-4.214133333333334,56.622634773027386,40.05117370523658,140.74321997696632,-254004,-4.2334,96.59904061986649
1656909113,119000,2457937,102732000,-269428,2217,0,92,269233738,226324013,530301488,22252738,0,0,0,17698,9999,0,0,30,11,0,2022-07-04T07:31:53,-252,-4.198016666666667,56.622634773027386,40.05117370523658,140.74321997696632,-253036,-4.217266666666666,96.31949811143464
1656909118,155000,2462972,102737000,-249366,2217,0,92,269233738,226324013,530301488,22388356,0,0,0,17734,9999,0,0,174,11,0,2022-07-04T07:31:58,-247,-4.114083333333333,56.622634773027386,40.05117370523658,140.74321997696632,-248001,-4.13335,94.23463361721596
1656909119,122000,2463940,102738000,-245343,2217,0,92,269233738,226324013,530301488,22415510,0,0,0,17741,9999,0,0,202,11,0,2022-07-04T07:31:59,-246,-4.097966666666666,56.622634773027386,40.05117370523658,140.74321997696632,-247033,-4.117216666666667,92.7689089159618
1656909120,194000,2465011,102739000,-240976,2217,3,93,269234265,226322879,530302771,6947,-24,-8,84,272,215,0,4,232,11,0,2022-07-04T07:32:00,-245,-4.0801,56.622722628304686,40.05097705979074,149.66201675709218,-245962,-4.099366666666667,94.83586646010485
1656909121,158000,2465976,102740000,-236950,2217,3,93,269234224,226322909,530302714,6296,-3,-21,73,338,215,0,4,4,11,0,2022-07-04T07:32:01,-244,-4.064033333333334,56.62272071814776,40.05098509833068,149.1195694033498,-244997,-4.083283333333333,96.41633719195255
1656909122,127000,2466944,102741000,-232921,2217,3,93,269234195,226322752,530302620,5477,-1,-10,43,269,215,0,4,32,11,0,2022-07-04T07:32:02,-243,-4.047883333333333,56.62272531472948,40.05096856093121,147.65669468028267,-244029,-4.06715,96.35053037059046
1656909123,199000,2468016,102742000,-228896,2217,3,93,269234118,226322752,530302418,4337,0,6,-9,216,215,0,4,62,11,0,2022-07-04T07:32:03,-242,-4.030016666666667,56.62271975504034,40.05097663217025,145.64559544105808,-242957,-4.049283333333333,96.13046340060764
1656909124,163000,2468981,102743000,-224882,2217,3,93,269234070,226322760,530302480,3719,-21,-4,-18,142,215,0,4,90,11,0,2022-07-04T07:32:04,-241,-4.0139499999999995,56.622725187465385,40.05098266115887,145.98951713023155,-241992,-4.0332,96.51327555548285
1656909125,182000,2469999,102744000,-220875,2217,3,93,269234084,226322754,530302454,3314,-15,-1,-32,135,215,0,4,119,11,0,2022-07-04T07:32:05,-240,-3.996966666666667,56.62272338881989,40.05098044548622,145.81011707517212,-240974,-4.016233333333333,96.95749689132009
1656909126,150000,2470967,102745000,-216865,2217,3,93,269234032,226322742,530302308,3101,2,20,-55,225,215,0,4,147,11,0,2022-07-04T07:32:06,-239,-3.9808333333333334,56.62271973975943,40.05098439984709,144.3294554607243,-240006,-4.0001,97.06484166164775
1656909127,169000,2471986,102746000,-212857,2217,3,93,269234017,226322752,530302312,2945,-29,-12,-18,211,215,0,4,176,11,0,2022-07-04T07:32:07,-238,-3.96385,56.622720315887015,40.05098721912426,144.3350898977231,-238987,-3.9831166666666666,97.18376095344529
1656909128,191000,2473008,102747000,-208854,2217,3,93,269234008,226322733,530302305,2804,-51,-19,7,204,215,0,4,205,11,0,2022-07-04T07:32:08,-237,-3.9468166666666664,56.62272140351743,40.0509857932981,144.17147328217837,-237965,-3.966083333333333,97.30548045801982
1656909129,156000,2473973,102748000,-204856,2217,3,93,269234006,226322727,530302255,2689,12,10,-47,223,215,0,4,233,11,0,2022-07-04T07:32:09,-236,-3.9307333333333334,56.62271933761278,40.050985254766566,143.72427749867725,-237000,-3.95,96.66577255710563
1656909130,174000,2474991,102749000,-200858,2217,3,93,269234088,226322964,530302141,2604,80,338,-177,215,215,0,4,6,11,0,2022-07-04T07:32:10,-235,-3.9137666666666666,56.62269756210574,40.05100621228568,143.95661474269042,-235982,-3.9330333333333334,96.04979648957222
1656909134,147000,2478965,102753000,-184883,2217,3,93,269234301,226323426,530302022,2566,36,-3,-20,208,215,0,4,120,11,0,2022-07-04T07:32:14,-231,-3.84755,56.62265716249946,40.05104149465955,145.49538454353572,-232008,-3.8668,96.69223474171582
1656909135,166000,2479984,102754000,-180894,2217,3,93,269234344,226323410,530302222,2568,0,3,113,226,215,0,4,149,11,0,2022-07-04T07:32:15,-230,-3.830566666666667,56.622665347186704,40.051034992219336,147.28995831382355,-230989,-3.849816666666667,96.73135699443922
1656909136,191000,2481008,102755000,-176900,2217,3,93,269234351,226323491,530302252,2587,44,117,46,235,215,0,4,178,11,0,2022-07-04T07:32:16,-229,-3.813483333333333,56.62266251890584,40.051044358793995,147.85670089276869,-229965,-3.83275,96.72868902837864
1656909137,158000,2481975,102756000,-172907,2217,3,93,269234365,226323546,530302300,2619,22,21,66,195,215,0,4,206,11,0,2022-07-04T07:32:17,-228,-3.797366666666667,56.62266143270066,40.05104974953897,148.51119266613807,-228998,-3.8166333333333333,96.59006270841527
1656909138,177000,2482995,102757000,-168914,2217,3,93,269234407,226323634,530302295,2667,66,83,6,291,215,0,4,235,11,0,2022-07-04T07:32:18,-227,-3.7803833333333334,56.62265452835504,40.05105632023157,148.9578363847197,-227978,-3.7996333333333334,96.30407512749566
1656909139,146000,2483963,102758000,-164917,2217,3,93,269234321,226323753,530302237,2709,-76,140,1,338,215,0,4,7,11,0,2022-07-04T07:32:19,-226,-3.7642333333333338,56.622650857293365,40.051080173593895,148.53259792928918,-227010,-3.7834999999999996,96.00577545166016
1656909140,114000,2484932,102759000,-160923,2217,0,92,269234245,226323892,530302238,2979,-76,140,1,618,9999,0,0,35,11,0,2022-07-04T07:32:20,-225,-3.7481,56.62264856199008,40.05110547264466,148.7129620114683,-226041,-3.76735,96.17548247196216
1656909141,133000,2485950,102760000,-156928,2217,0,92,269234169,226324032,530302239,3591,-76,140,1,807,9999,0,0,64,11,0,2022-07-04T07:32:21,-224,-3.7311166666666664,56.62264621842737,40.05113089638602,148.89686654026542,-225023,-3.750383333333333,97.13514647688851
1656909142,150000,2486968,102761000,-152933,2217,0,92,269234093,226324172,530302239,4584,-76,140,1,959,9999,0,0,93,11,0,2022-07-04T07:32:22,-223,-3.7141666666666664,56.622643825454794,40.051156320122764,149.07242080758394,-224005,-3.7334166666666664,97.36824168356813
1656909143,118000,2487935,102762000,-148938,2217,0,92,269234017,226324312,530302240,5908,-76,140,1,1090,9999,0,0,121,11,0,2022-07-04T07:32:23,-222,-3.6980333333333335,56.62264148188198,40.0511817438549,149.25632612011538,-223038,-3.7173000000000003,97.27745280860302
1656909144,136000,2488953,102763000,-144943,2217,0,92,269233941,226324452,530302241,7500,-76,140,1,1207,9999,0,0,150,11,0,2022-07-04T07:32:24,-221,-3.6810666666666667,56.622639138304095,40.05120716758241,149.44023182461115,-222020,-3.7003333333333335,97.18197442563351
1656909149,125000,2493942,102768000,-124938,2217,0,92,269233232,226322898,530302555,5978,-226,19,35,782,9999,0,0,37,11,0,2022-07-04T07:32:29,-216,-3.597916666666667,56.622770337792055,40.05108770960035,143.57532702958144,-217031,-3.6171833333333336,97.02368637045936
1656909150,144000,2494962,102769000,-120940,2217,0,92,269233006,226322917,530302590,6700,-226,19,35,931,9999,0,0,66,11,0,2022-07-04T07:32:30,-215,-3.5809333333333333,56.62278412329238,40.051113768539054,142.98312351100898,-216011,-3.6001833333333333,97.273403165214
1656909151,163000,2495980,102770000,-116942,2217,0,92,269232781,226322936,530302625,7741,-226,19,35,1059,9999,0,0,95,11,0,2022-07-04T07:32:31,-214,-3.5639499999999997,56.62279785138637,40.051139722679636,142.39513198521274,-214993,-3.5832166666666665,96.59741917666832
1656909152,131000,2496948,102771000,-112944,2217,0,92,269232555,226322955,530302660,9082,-226,19,35,1173,9999,0,0,123,11,0,2022-07-04T07:32:32,-213,-3.547816666666667,56.62281163688085,40.05116578166587,141.8029300001336,-214025,-3.5670833333333336,96.85947148717783
1656909153,149000,2497966,102772000,-108946,2217,0,92,269232329,226322973,530302694,10691,-226,19,35,1277,9999,0,0,152,11,0,2022-07-04T07:32:33,-212,-3.53085,56.622825421222394,40.05119171598021,141.19883806896274,-213007,-3.550116666666667,97.1350595575277
1656909154,118000,2498935,102773000,-104948,2217,0,92,269232103,226322992,530302729,12530,-226,19,35,1373,9999,0,0,179,11,0,2022-07-04T07:32:34,-211,-3.5147,56.62283920671108,40.05121777501409,140.60663762139274,-212038,-3.5339666666666667,96.87545626462976
1656909155,136000,2499953,102774000,-100950,2217,0,92,269231878,226323011,530302764,14570,-226,19,35,1463,9999,0,0,207,11,0,2022-07-04T07:32:35,-210,-3.4977333333333336,56.622852934793436,40.051243729249435,140.01864915552457,-211020,-3.5170000000000003,96.1626326430729
1656909156,155000,2500972,102775000,-96952,2217,0,92,269231652,226323030,530302799,16789,-226,19,35,1548,9999,0,0,235,11,0,2022-07-04T07:32:36,-209,-3.48075,56.62286672027628,40.05126978833085,139.42645024669164,-210001,-3.5000166666666668,96.09539603242953
1656909157,123000,2501940,102776000,-92954,2217,0,92,269231426,226323049,530302833,19168,-226,19,35,1628,9999,0,0,6,11,0,2022-07-04T07:32:37,-208,-3.4646166666666667,56.62288045635158,40.051295847436094,138.82590143062262,-209033,-3.483883333333333,96.16993226594164
1656909158,142000,2502959,102777000,-88965,2217,0,92,269231200,226323068,530302868,21693,0,0,0,1704,9999,0,0,34,11,0,2022-07-04T07:32:38,-207,-3.4476333333333335,56.62289424182857,40.05132190656515,138.23370405798192,-208014,-3.4669000000000003,96.56794571107582
1656909159,162000,2503979,102778000,-84981,2217,0,92,269231200,226323068,530302868,24353,0,0,0,1843,9999,0,0,62,11,0,2022-07-04T07:32:39,-206,-3.430633333333333,56.62289424182857,40.05132190656515,138.23370405798192,-206994,-3.4499,96.98288930454208
1656909160,131000,2504948,102779000,-81004,2217,0,92,269231200,226323068,530302868,27140,0,0,0,1916,9999,0,0,89,11,0,2022-07-04T07:32:40,-205,-3.4144833333333335,56.62289424182857,40.05132190656515,138.23370405798192,-206025,-3.4337500000000003,96.97354101829795
1656909161,149000,2505966,102780000,-77025,2217,0,92,269231200,226323068,530302868,30046,0,0,0,1985,9999,0,0,117,11,0,2022-07-04T07:32:41,-204,-3.3975166666666667,56.62289424182857,40.05132190656515,138.23370405798192,-205007,-3.4167833333333335,96.91820888286425
1656909162,117000,2506934,102781000,-73051,2217,0,92,269231200,226323068,530302868,33066,0,0,0,2053,9999,0,0,144,11,0,2022-07-04T07:32:42,-203,-3.3813833333333334,56.62289424182857,40.05132190656515,138.23370405798192,-204039,-3.4006499999999997,96.69257749076954
1656909163,136000,2507953,102782000,-69077,2217,0,92,269231200,226323068,530302868,36193,0,0,0,2118,9999,0,0,172,11,0,2022-07-04T07:32:43,-202,-3.3644000000000003,56.62289424182857,40.05132190656515,138.23370405798192,-203020,-3.383666666666667,96.44756263769011
1656909164,308000,2509125,102783000,-64480,2217,3,92,269206599,226322096,530290008,10092,-372,-54,-280,469,215,0,4,203,11,0,2022-07-04T07:32:44,-201,-3.344866666666667,56.62371798594642,40.05377958049047,-76.19428224875018,-201848,-3.3641333333333336,96.1844853115344
1656909165,175000,2509992,102784000,-60497,2217,0,92,269206227,226322043,530289729,10119,-372,-54,-280,479,9999,0,0,229,11,0,2022-07-04T07:32:45,-200,-3.3304166666666664,56.62372811385251,40.053811969693044,-80.27824763173261,-200981,-3.349683333333333,96.25124452068214
1656909166,132000,2510949,102785000,-56514,2217,0,92,269205856,226321989,530289449,12535,-372,-54,-280,548,9999,0,0,253,11,0,2022-07-04T07:32:46,-199,-3.3144666666666667,56.62373818321364,40.05384412942192,-84.36989216083128,-200024,-3.3337333333333334,96.48046763667125
1656909167,152000,2511969,102786000,-52531,2217,0,92,269205484,226321936,530289169,12840,-372,-54,-280,610,9999,0,0,26,11,0,2022-07-04T07:32:47,-198,-3.2974666666666668,56.623748261723584,40.053876518741724,-88.46220667601737,-199004,-3.316733333333333,96.89684097205306
1656909168,122000,2512939,102787000,-48548,2217,0,92,269205113,226321882,530288889,13355,-372,-54,-280,666,9999,0,0,54,11,0,2022-07-04T07:32:48,-197,-3.2813,56.62375833109384,40.05390867858739,-92.55384958993037,-198034,-3.3005666666666666,97.31162241450728
1656909169,140000,2513957,102788000,-44573,2217,0,92,269204741,226321828,530288609,14112,-372,-54,-280,717,9999,0,0,83,11,0,2022-07-04T07:32:49,-196,-3.2643333333333335,56.62376845787251,40.05394094332599,-96.64970263840054,-197016,-3.2836,97.29543974945635
1656909170,161000,2514978,102789000,-40590,2217,0,92,269204370,226321775,530288329,15125,-372,-54,-280,765,9999,0,0,112,11,0,2022-07-04T07:32:50,-195,-3.247316666666667,56.62377847899219,40.05397322798691,-100.73780377153527,-195995,-3.2665833333333336,97.10237397949012
1656909171,129000,2515946,102790000,-36609,2217,0,92,269203998,226321721,530288049,16394,-372,-54,-280,811,9999,0,0,140,11,0,2022-07-04T07:32:51,-194,-3.2311833333333335,56.62378860578002,40.054005492842634,-104.83365519560806,-195027,-3.25045,96.55246237678271
1656909172,147000,2516964,102791000,-32626,2217,0,92,269203627,226321668,530287769,17909,-372,-54,-280,854,9999,0,0,169,11,0,2022-07-04T07:32:52,-193,-3.2142166666666667,56.62379862690868,40.054037777620465,-108.921754707249,-194009,-3.233483333333333,96.17378997802734
1656909173,166000,2517983,102792000,-28642,2217,0,92,269203255,226321614,530287489,19651,-372,-54,-280,894,9999,0,0,198,11,0,2022-07-04T07:32:53,-192,-3.1972333333333336,56.62380875370567,40.054070042593324,-113.0176045090239,-192990,-3.2165000000000004,96.23154653555211
1656909174,135000,2518952,102793000,-24657,2217,0,92,269202883,226321561,530287209,21601,-372,-54,-280,933,9999,0,0,226,11,0,2022-07-04T07:32:54,-191,-3.1810833333333335,56.623818832247245,40.05410243232351,-117.10991332831325,-192021,-3.20035,96.42413464374722
1656909175,153000,2519970,102794000,-20675,2217,0,92,269202512,226321507,530286929,23742,0,0,0,971,9999,0,0,255,11,0,2022-07-04T07:32:55,-190,-3.1641166666666667,56.62382890164948,40.05413459257804,-121.20155057851836,-191003,-3.183383333333333,96.97838085796613
1656909176,120000,2520937,102795000,-16698,2217,0,92,269202512,226321507,530286929,26055,0,0,0,1769,9999,0,0,27,11,0,2022-07-04T07:32:56,-189,-3.148,56.62382890164948,40.05413459257804,-121.20155057851836,-190036,-3.167266666666667,97.50764164246469
1656909177,138000,2521955,102796000,-12733,2217,0,92,269202512,226321507,530286929,28525,0,0,0,1838,9999,0,0,56,11,0,2022-07-04T07:32:57,-188,-3.1310333333333333,56.62382890164948,40.05413459257804,-121.20155057851836,-189018,-3.1503,97.45113365760963
1656909178,107000,2522924,102797000,-8767,2217,0,92,269202512,226321507,530286929,31141,0,0,0,1905,9999,0,0,84,11,0,2022-07-04T07:32:58,-187,-3.1148833333333332,56.62382890164948,40.05413459257804,-121.20155057851836,-188049,-3.13415,97.27841736267206
1656909179,127000,2523943,102798000,-4802,2217,0,92,269202512,226321507,530286929,33891,0,0,0,1970,9999,0,0,113,11,0,2022-07-04T07:32:59,-186,-3.0978833333333333,56.62382890164948,40.05413459257804,-121.20155057851836,-187030,-3.117166666666667,96.74048354402728
