time_s,time_us,time_steady,rx_packet_start_cnt,rx_packet_done_cnt,rx_cmds_start_cnt,rx_cmds_done_cnt,rx_drops_start_cnt,rx_drops_done_cnt,tx_psize_start_cnt,tx_psize_done_cnt,tx_packet_start_cnt,tx_packet_done_cnt,tx_zeroes_start_cnt,tx_zeroes_done_cnt,tx_empty_buffer_cnt,tx_overruns_cnt,cmds_get_size_cnt,cmds_get_packet_cnt,cmds_set_packet_cnt,cmds_invalid_cnt,restarts_cnt,berr_cnt,arlo_cnt,ovf_cnt,af_cnt,btf_cnt,tx_wrong_size_cnt,rx_wrong_size_cnt,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude,baro_pressure
1656909106,58000,2450875,5,5,5630,5630,1680,1680,61798,61798,61794,61793,0,0,11419,12542,7683,61798,1685,0,78,12,0,0,11419,0,0,0,91,11,0,2022-07-04T07:31:46,-259,-4.3157000000000005,-260098,-4.334966666666667,96.08449311650553,100176.06296596435
1656909107,76000,2451893,5,5,5690,5690,1681,1681,61825,61825,61821,61820,0,0,11424,12542,7715,61825,1686,0,78,12,0,0,11424,0,0,0,119,11,0,2022-07-04T07:31:47,-258,-4.298733333333333,-259080,-4.318,96.01519052823899,100176.8879254457
1656909108,93000,2452911,5,5,5755,5755,1682,1682,61854,61854,61850,61849,0,0,11430,12542,7750,61854,1687,0,78,12,0,0,11430,0,0,0,147,11,0,2022-07-04T07:31:48,-257,-4.281783333333333,-258062,-4.301033333333334,96.35155587922787,100172.88388070578
1656909109,111000,2453928,5,5,5818,5818,1683,1683,61883,61883,61879,61877,0,0,11434,12542,7783,61883,1688,0,78,12,0,0,11434,0,0,0,175,11,0,2022-07-04T07:31:49,-256,-4.2648166666666665,-257045,-4.284083333333333,96.75215275559513,100168.11523447666
1656909110,129000,2454946,5,5,5877,5877,1684,1684,61909,61909,61905,61904,0,0,11440,12542,7815,61909,1689,0,78,12,0,0,11440,0,0,0,204,11,0,2022-07-04T07:31:50,-255,-4.247850000000001,-256027,-4.2671166666666664,96.85127480477254,100166.93526259379
1656909111,147000,2455964,5,5,5944,5944,1685,1685,61939,61939,61935,61934,0,0,11446,12542,7851,61939,1690,0,78,12,0,0,11446,0,0,0,234,11,0,2022-07-04T07:31:51,-254,-4.230883333333334,-255009,-4.25015,96.88803007167826,100166.49770171149
1656909112,164000,2456982,5,5,6006,6006,1686,1686,61967,61967,61963,61962,0,0,11451,12542,7884,61967,1691,0,78,12,0,0,11451,0,0,0,7,11,0,2022-07-04T07:31:52,-253,-4.213933333333333,-253991,-4.233183333333334,96.59558999954635,100169.97887530562
1656909113,182000,2457999,5,5,6041,6041,1686,1686,61983,61983,61979,61978,0,0,11454,12542,7903,61983,1691,0,78,12,0,0,11454,0,0,0,36,11,0,2022-07-04T07:31:53,-252,-4.1969666666666665,-252974,-4.216233333333333,96.30009449120513,100173.4964252979
1656909118,271000,2463088,5,5,6081,6081,1686,1686,62003,62003,61999,61998,0,0,11454,12768,7923,62003,1691,0,79,12,0,0,11454,0,0,0,181,11,0,2022-07-04T07:31:58,-247,-4.112150000000001,-247885,-4.1314166666666665,93.85619828603807,100202.58834951457
1656909119,289000,2464106,5,5,6157,6157,1687,1687,62038,62038,62034,62033,0,0,11459,12768,7963,62038,1692,0,79,12,0,0,11459,0,0,0,210,11,0,2022-07-04T07:31:59,-246,-4.095183333333334,-246867,-4.11445,93.09090696621539,100211.69828982899
1656909120,307000,2465124,5,5,6221,6221,1688,1688,62067,62067,62063,62062,0,0,11464,12768,7997,62067,1693,0,79,12,0,0,11464,0,0,0,239,11,0,2022-07-04T07:32:00,-245,-4.078216666666667,-245849,-4.097483333333333,95.05374538033635,100188.33285328533
1656909121,325000,2466142,5,5,6285,6285,1689,1689,62096,62096,62092,62091,0,0,11469,12768,8031,62096,1694,0,79,12,0,0,11469,0,0,0,12,11,0,2022-07-04T07:32:01,-244,-4.06125,-244831,-4.080516666666666,96.40499587186228,100172.2476960388
1656909122,343000,2467161,5,5,6352,6352,1689,1689,62127,62127,62123,62122,0,0,11474,12768,8067,62127,1694,0,79,12,0,0,11474,0,0,0,41,11,0,2022-07-04T07:32:02,-243,-4.0442833333333335,-243812,-4.063533333333334,96.32221817491319,100173.23306666667
1656909123,362000,2468179,5,5,6413,6413,1690,1690,62154,62154,62150,62148,0,0,11480,12768,8100,62154,1695,0,79,12,0,0,11480,0,0,0,70,11,0,2022-07-04T07:32:03,-242,-4.0273,-242794,-4.046566666666667,96.09394934895833,100175.9504
1656909124,380000,2469198,5,5,6480,6480,1691,1691,62184,62184,62180,62179,0,0,11486,12768,8136,62184,1696,0,79,12,0,0,11486,0,0,0,100,11,0,2022-07-04T07:32:04,-241,-4.0103333333333335,-241775,-4.029583333333333,96.63073203096684,100169.56056701031
1656909125,399000,2470216,5,5,6543,6543,1692,1692,62213,62213,62209,62208,0,0,11490,12768,8169,62213,1697,0,79,12,0,0,11490,0,0,0,129,11,0,2022-07-04T07:32:05,-240,-3.99335,-240757,-4.012616666666667,96.9815607499576,100165.38433106725
1656909126,417000,2471234,5,5,6607,6607,1693,1693,62242,62242,62238,62236,0,0,11495,12768,8203,62242,1698,0,79,12,0,0,11495,0,0,0,158,11,0,2022-07-04T07:32:06,-239,-3.976383333333333,-239739,-3.99565,97.09445018817408,100164.04052537786
1656909127,436000,2472253,5,5,6669,6669,1694,1694,62270,62270,62266,62265,0,0,11500,12768,8236,62270,1699,0,79,12,0,0,11500,0,0,0,187,11,0,2022-07-04T07:32:07,-238,-3.9594,-238720,-3.978666666666667,97.21556047176368,100162.59881852553
1656909128,454000,2473272,5,5,6738,6738,1695,1695,62301,62301,62297,62296,0,0,11506,12768,8273,62301,1700,0,79,12,0,0,11506,0,0,0,216,11,0,2022-07-04T07:32:08,-237,-3.9424333333333332,-237701,-3.9616833333333332,97.33680357906003,100161.15552930057
1656909129,473000,2474290,5,5,6798,6798,1696,1696,62328,62328,62324,62323,0,0,11511,12768,8305,62328,1701,0,79,12,0,0,11511,0,0,0,245,11,0,2022-07-04T07:32:09,-236,-3.9254499999999997,-236683,-3.9447166666666664,96.2996430604202,100173.50183318056
