time_s,time_us,time_steady,rx_packet_start_cnt,rx_packet_done_cnt,rx_cmds_start_cnt,rx_cmds_done_cnt,rx_drops_start_cnt,rx_drops_done_cnt,tx_psize_start_cnt,tx_psize_done_cnt,tx_packet_start_cnt,tx_packet_done_cnt,tx_zeroes_start_cnt,tx_zeroes_done_cnt,tx_empty_buffer_cnt,tx_overruns_cnt,cmds_get_size_cnt,cmds_get_packet_cnt,cmds_set_packet_cnt,cmds_invalid_cnt,restarts_cnt,berr_cnt,arlo_cnt,ovf_cnt,af_cnt,btf_cnt,tx_wrong_size_cnt,rx_wrong_size_cnt,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909104,154200,2450615,1684,1684,44129,44129,0,0,15527,15527,15521,15521,0,0,11393,700,26921,15524,1684,0,249,100,0,0,11324,0,0,0,94,13,0,2022-07-04T07:31:44,-261,-4.34743,-260358,-4.3393,96.7783112270933
1656909107,605400,2454326,1687,1687,44205,44205,0,0,15554,15554,15548,15548,0,0,11412,700,26967,15551,1687,0,249,100,0,0,11343,0,0,0,121,13,0,2022-07-04T07:31:47,-258,-4.289910000000001,-256647,-4.27745,96.15967863274781
1656909113,526600,2459863,1690,1690,44257,44257,0,0,15568,15568,15562,15562,0,0,11433,700,27002,15565,1690,0,250,100,0,0,11363,0,0,0,148,13,0,2022-07-04T07:31:53,-252,-4.191223333333333,-251110,-4.1851666666666665,96.19395976848935
1656909118,289100,2464625,1691,1691,44313,44313,0,0,15593,15593,15587,15587,0,0,11438,714,27032,15590,1691,0,251,100,0,0,11368,0,0,0,174,13,0,2022-07-04T07:31:58,-247,-4.1118483333333335,-246348,-4.1058,93.79714932488011
1656909122,735600,2469072,1695,1695,44394,44394,0,0,15620,15620,15614,15614,0,0,11461,714,27082,15617,1695,0,251,100,0,0,11391,0,0,0,201,13,0,2022-07-04T07:32:02,-243,-4.03774,-241901,-4.0316833333333335,96.23427083333333
1656909127,493700,2474154,1698,1698,44474,44474,0,0,15646,15646,15640,15640,0,0,11486,714,27133,15643,1698,0,253,101,0,0,11416,0,0,0,227,13,0,2022-07-04T07:32:07,-238,-3.9584383333333335,-236819,-3.9469833333333333,97.2224325025014
1656909136,963800,2483300,1702,1702,44589,44589,0,0,15690,15690,15684,15684,0,0,11509,724,27200,15687,1702,0,256,103,0,0,11438,0,0,0,25,13,0,2022-07-04T07:32:16,-229,-3.8006033333333336,-227673,-3.79455,96.61790265809147
1656909140,685000,2487021,1705,1705,44664,44664,0,0,15716,15716,15710,15710,0,0,11529,724,27246,15713,1705,0,256,103,0,0,11458,0,0,0,51,13,0,2022-07-04T07:32:20,-225,-3.738583333333333,-223952,-3.7325333333333335,96.71323335205336
1656909146,341200,2492677,1707,1707,44697,44697,0,0,15725,15725,15719,15719,0,0,11542,724,27268,15722,1707,0,257,103,0,0,11470,0,0,0,78,13,0,2022-07-04T07:32:26,-219,-3.6443133333333337,-218296,-3.6382666666666665,96.4755954604863
1656909150,272700,2496764,1709,1709,44779,44779,0,0,15760,15760,15754,15754,0,0,11552,733,27313,15757,1709,0,258,103,0,0,11480,0,0,0,104,13,0,2022-07-04T07:32:30,-215,-3.5787883333333337,-214209,-3.57015,97.18643635082071
1656909155,471100,2501807,1713,1713,44863,44863,0,0,15787,15787,15781,15781,0,0,11578,733,27366,15784,1713,0,259,103,0,0,11506,0,0,0,131,13,0,2022-07-04T07:32:35,-210,-3.492148333333333,-209166,-3.4861,96.13682986223621
1656909159,988100,2506324,1716,1716,44943,44943,0,0,15814,15814,15808,15808,0,0,11601,733,27416,15811,1716,0,259,103,0,0,11529,0,0,0,158,13,0,2022-07-04T07:32:39,-206,-3.416865,-204649,-3.410816666666667,96.9799916566155
1656909164,649100,2510985,1720,1720,45023,45023,0,0,15840,15840,15834,15834,0,0,11625,733,27466,15837,1720,0,259,103,0,0,11553,0,0,0,184,13,0,2022-07-04T07:32:44,-201,-3.3391816666666667,-199988,-3.3331333333333335,96.21075009381848
1656909169,148900,2515761,1723,1723,45096,45096,0,0,15863,15863,15857,15857,0,0,11649,733,27513,15860,1723,0,259,103,0,0,11577,0,0,0,211,13,0,2022-07-04T07:32:49,-196,-3.264185,-195212,-3.253533333333333,97.29375680591797
1656909173,355400,2519691,1726,1726,45180,45180,0,0,15893,15893,15887,15887,0,0,11670,733,27564,15890,1726,0,259,103,0,0,11598,0,0,0,237,13,0,2022-07-04T07:32:53,-192,-3.1940766666666667,-191282,-3.1880333333333337,96.26918966010541
1656909178,654300,2525144,1730,1730,45266,45266,0,0,15920,15920,15914,15914,0,0,11698,733,27619,15917,1730,0,260,104,0,0,11625,0,0,0,8,13,0,2022-07-04T07:32:58,-187,-3.1057616666666665,-185829,-3.09715,97.00201447443139
1656909182,486600,2528822,1733,1733,45339,45339,0,0,15948,15948,15942,15942,0,0,11712,733,27661,15945,1733,0,261,104,0,0,11639,0,0,0,36,13,0,2022-07-04T07:33:02,-183,-3.04189,-182151,-3.0358500000000004,96.26975599872696
1656909188,1700,2534337,1738,1738,45430,45430,0,0,15976,15976,15970,15970,0,0,11742,733,27719,15973,1738,0,262,104,0,0,11669,0,0,0,64,13,0,2022-07-04T07:33:08,-177,-2.949971666666667,-176636,-2.9439333333333333,96.59044077334637
1656909191,835300,2538585,1741,1741,45496,45496,0,0,15998,15998,15992,15992,0,0,11761,733,27760,15995,1741,0,263,104,0,0,11687,0,0,0,91,13,0,2022-07-04T07:33:11,-174,-2.8860783333333333,-172388,-2.8731333333333335,97.12093998539402
1656909196,921300,2543671,1741,1741,45545,45545,0,0,16022,16022,16016,16016,0,0,11762,740,27785,16019,1741,0,264,104,0,0,11688,0,0,0,117,13,0,2022-07-04T07:33:16,-169,-2.8013116666666664,-167302,-2.7883666666666667,96.39169946962781
1656909202,901200,2548668,1745,1745,45618,45618,0,0,16045,16045,16039,16039,0,0,11785,740,27831,16042,1745,0,265,104,0,0,11710,0,0,0,144,13,0,2022-07-04T07:33:22,-163,-2.701646666666667,-162305,-2.7050833333333335,94.77281066282822
1656909206,593200,2558092,1749,1749,45729,45729,0,0,16087,16087,16081,16081,0,0,11808,755,27896,16084,1749,0,267,105,0,0,11733,0,0,0,197,13,0,2022-07-04T07:33:26,-159,-2.6401133333333333,-152881,-2.548016666666667,96.58924524579356
1656909210,209200,2561544,1752,1752,45817,45817,0,0,16120,16120,16114,16114,0,0,11827,755,27948,16117,1752,0,267,105,0,0,11752,0,0,0,230,13,0,2022-07-04T07:33:30,-155,-2.5798466666666666,-149429,-2.490483333333333,96.32411603425679
1656909221,680500,2567059,1756,1756,45911,45911,0,0,16152,16152,16146,16146,0,0,11853,755,28006,16149,1756,0,267,105,0,0,11778,0,0,0,6,13,0,2022-07-04T07:33:41,-144,-2.3886583333333333,-143914,-2.3985666666666665,96.17120055158887
1656909225,130500,2570509,1758,1758,45996,45996,0,0,16185,16185,16179,16179,0,0,11870,755,28056,16182,1758,0,267,105,0,0,11795,0,0,0,39,13,0,2022-07-04T07:33:45,-140,-2.331158333333333,-140464,-2.341066666666667,96.46001376285444
1656909229,855700,2575414,1762,1762,46090,46090,0,0,16218,16218,16212,16212,0,0,11894,755,28113,16215,1762,0,267,105,0,0,11819,0,0,0,72,13,0,2022-07-04T07:33:49,-136,-2.252405,-135559,-2.2593166666666664,96.81639674385077
1656909233,535300,2578869,1764,1764,46173,46173,0,0,16250,16250,16244,16244,0,0,11911,755,28162,16247,1764,0,267,105,0,0,11836,0,0,0,104,13,0,2022-07-04T07:33:53,-132,-2.191078333333333,-132104,-2.2017333333333338,97.22600033326937
1656909238,847500,2584181,1768,1768,46265,46265,0,0,16281,16281,16275,16275,0,0,11937,755,28219,16278,1768,0,268,106,0,0,11862,0,0,0,135,13,0,2022-07-04T07:33:58,-127,-2.1025416666666668,-126792,-2.1132,97.13323690897049
1656909242,351900,2587871,1771,1771,46340,46340,0,0,16307,16307,16301,16301,0,0,11957,755,28265,16304,1771,0,268,106,0,0,11882,0,0,0,161,13,0,2022-07-04T07:34:02,-123,-2.044135,-123102,-2.0517,97.98980840822779
1656909252,557700,2597891,1775,1775,46456,46456,0,0,16351,16351,16345,16345,0,0,11981,765,28333,16348,1775,0,270,106,0,0,11905,0,0,0,215,13,0,2022-07-04T07:34:12,-113,-1.8740383333333335,-113082,-1.8846999999999998,97.82071273127556
1656909257,70700,2602404,1779,1779,46537,46537,0,0,16377,16377,16371,16371,0,0,12006,765,28384,16374,1779,0,271,106,0,0,11930,0,0,0,241,13,0,2022-07-04T07:34:17,-108,-1.7988216666666665,-108569,-1.8094833333333333,97.13481473004894
1656909261,823200,2607471,1783,1783,46622,46622,0,0,16404,16404,16398,16398,0,0,12033,765,28438,16401,1783,0,271,106,0,0,11957,0,0,0,12,13,0,2022-07-04T07:34:21,-104,-1.7196133333333334,-103502,-1.7250333333333332,98.40854177637134
1656909266,8700,2611342,1787,1787,46700,46700,0,0,16430,16430,16424,16424,0,0,12055,765,28486,16427,1787,0,271,106,0,0,11979,0,0,0,38,13,0,2022-07-04T07:34:26,-99,-1.6498549999999998,-99631,-1.6605166666666666,97.67263277545246
1656909271,470800,2617008,1792,1792,46788,46788,0,0,16457,16457,16451,16451,0,0,12084,765,28542,16454,1792,0,271,106,0,0,12008,0,0,0,65,13,0,2022-07-04T07:34:31,-94,-1.55882,-93965,-1.5660833333333335,97.88600793906782
1656909275,374900,2620708,1795,1795,46855,46855,0,0,16480,16480,16474,16474,0,0,12102,765,28583,16477,1795,0,272,106,0,0,12026,0,0,0,92,13,0,2022-07-04T07:34:35,-90,-1.4937516666666668,-90265,-1.5044166666666667,97.8579339995819
1656909280,536100,2625869,1800,1800,46949,46949,0,0,16510,16510,16504,16504,0,0,12131,765,28642,16507,1800,0,272,106,0,0,12055,0,0,0,118,13,0,2022-07-04T07:34:40,-85,-1.4077316666666666,-85104,-1.4183999999999999,97.93178823360968
1656909284,379100,2629712,1803,1803,47017,47017,0,0,16533,16533,16527,16527,0,0,12150,765,28684,16530,1803,0,273,106,0,0,12073,0,0,0,145,13,0,2022-07-04T07:34:44,-81,-1.3436816666666667,-81261,-1.35435,98.47908576549257
1656909289,693100,2635026,1803,1803,47058,47058,0,0,16553,16553,16547,16547,0,0,12151,771,28705,16550,1803,0,274,106,0,0,12074,0,0,0,171,13,0,2022-07-04T07:34:49,-76,-1.255115,-75947,-1.2657833333333335,97.55003464453331
1656909294,396100,2639729,1805,1805,47136,47136,0,0,16580,16580,16574,16574,0,0,12173,771,28754,16577,1805,0,275,107,0,0,12095,0,0,0,198,13,0,2022-07-04T07:34:54,-71,-1.1767316666666665,-71244,-1.1874,98.03300168373343
1656909298,801100,2644134,1805,1805,47179,47179,0,0,16601,16601,16595,16595,0,0,12174,781,28776,16598,1805,0,276,107,0,0,12096,0,0,0,225,13,0,2022-07-04T07:34:58,-67,-1.1033149999999998,-66839,-1.1139833333333333,97.4828012608513
1656909303,744400,2649451,1808,1808,47261,47261,0,0,16627,16627,16621,16621,0,0,12201,781,28829,16624,1808,0,276,107,0,0,12123,0,0,0,251,13,0,2022-07-04T07:35:03,-62,-1.0209266666666668,-61522,-1.0253666666666665,98.06943225426936
1656909307,830500,2653163,1812,1812,47339,47339,0,0,16654,16654,16648,16648,0,0,12221,781,28876,16651,1812,0,276,107,0,0,12143,0,0,0,22,13,0,2022-07-04T07:35:07,-58,-0.952825,-57810,-0.9635,97.931505353964
1656909313,66600,2658553,1816,1816,47424,47424,0,0,16680,16680,16674,16674,0,0,12250,781,28931,16677,1816,0,277,107,0,0,12172,0,0,0,48,13,0,2022-07-04T07:35:13,-52,-0.8655566666666666,-52420,-0.8736666666666667,98.0257693912782
1656909317,204600,2662537,1820,1820,47502,47502,0,0,16707,16707,16701,16701,0,0,12270,781,28978,16704,1820,0,278,107,0,0,12191,0,0,0,75,13,0,2022-07-04T07:35:17,-48,-0.79659,-48436,-0.8072666666666667,97.93918867686806
1656909326,356400,2671813,1824,1824,47610,47610,0,0,16750,16750,16744,16744,0,0,12288,791,29039,16747,1824,0,279,107,0,0,12209,0,0,0,128,13,0,2022-07-04T07:35:26,-39,-0.64406,-39160,-0.6526666666666666,98.74057336067997
1656909331,417000,2676749,1828,1828,47690,47690,0,0,16775,16775,16769,16769,0,0,12314,791,29090,16772,1828,0,279,107,0,0,12235,0,0,0,155,13,0,2022-07-04T07:35:31,-34,-0.5597166666666666,-34224,-0.5703999999999999,97.73259581777613
1656909336,451000,2681783,1831,1831,47769,47769,0,0,16800,16800,16794,16794,0,0,12340,791,29141,16797,1831,0,279,107,0,0,12261,0,0,0,181,13,0,2022-07-04T07:35:36,-29,-0.47581666666666667,-29190,-0.48650000000000004,98.29875053051373
1656909340,690000,2686022,1834,1834,47857,47857,0,0,16830,16830,16824,16824,0,0,12365,791,29196,16827,1834,0,280,107,0,0,12286,0,0,0,208,13,0,2022-07-04T07:35:40,-25,-0.4051666666666666,-24951,-0.41585,97.95313203387478
