time_s,time_us,time_steady,temperature,pressure,humidity,altitude,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude,baro_pressure
1656909104,542200,2451003,40.295166193862045,100145.99234859263,33.48502214214217,98.6106185913086,96,13,2,2022-07-04T07:31:44,-261,-4.340963333333334,-259970,-4.332833333333334,96.34107871849622,100173.00858522626
1656909105,757300,2452094,40.29867996357882,100148.47138376537,33.512312823827486,98.40257263183594,105,13,2,2022-07-04T07:31:45,-260,-4.320711666666667,-258879,-4.31465,96.08978271484375,100176.0
1656909106,991300,2453328,40.30123543255015,100148.01805889496,33.47947383913206,98.44063568115234,113,13,2,2022-07-04T07:31:46,-259,-4.300145,-257645,-4.294083333333333,96.02095666696805,100176.81928687196
1656909108,912800,2455249,40.308901839900706,100145.4446733802,33.50124274020129,98.65656280517578,123,13,2,2022-07-04T07:31:48,-257,-4.26812,-255724,-4.262066666666667,96.67415835392913,100169.04366834955
1656909110,778700,2457115,40.17633697170104,100125.7624725405,33.51940178387339,100.31009674072266,131,13,2,2022-07-04T07:31:50,-255,-4.237021666666667,-253858,-4.230966666666666,96.90977109682139,100166.2389067524
1656909112,823600,2459160,40.19678069764204,100127.54109539939,33.50819806814079,100.16096496582031,139,13,2,2022-07-04T07:31:52,-253,-4.20294,-251813,-4.196883333333333,96.40592090261595,100172.23667481662
1656909113,914600,2460251,40.30858240624802,100145.90109886188,33.506715555236205,98.61849212646484,150,13,2,2022-07-04T07:31:53,-252,-4.184756666666667,-250722,-4.1787,96.07445810739323,100176.18240146655
1656909118,573600,2465274,40.32838729486402,100147.75753655251,33.500982851475456,98.46229553222656,176,13,2,2022-07-04T07:31:58,-247,-4.107106666666667,-245699,-4.094983333333333,92.86900405143075,100214.33980582524
1656909120,795600,2467132,40.340845210909926,100148.05899301934,33.51722043124366,98.43669891357422,184,13,2,2022-07-04T07:32:00,-245,-4.070073333333333,-243841,-4.064016666666666,95.99583069383296,100177.11836183618
1656909122,32600,2468369,40.33701200578855,100147.59643206657,33.484464533568946,98.47607421875,193,13,2,2022-07-04T07:32:02,-243,-4.049456666666667,-242604,-4.0434,96.3569412724858,100172.81972514147
1656909123,157600,2469494,40.32902616231149,100145.42610107534,33.49003930302329,98.65787506103516,203,13,2,2022-07-04T07:32:03,-242,-4.030706666666666,-241479,-4.02465,96.13973752170139,100175.40533333333
1656909124,510600,2470847,39.920151925798564,100077.15392952322,33.48453304012159,104.39787292480469,211,13,2,2022-07-04T07:32:04,-241,-4.008156666666666,-240126,-4.0021,96.70142242588948,100168.71907216495
1656909125,955700,2472616,39.6607732976121,100035.80856198285,33.48794601281649,107.87530517578125,219,13,2,2022-07-04T07:32:05,-240,-3.9840716666666665,-238357,-3.9726166666666667,97.04329508223177,100164.64946208171
1656909128,74700,2474735,39.88341722230291,100071.35112419429,33.49048033041524,104.8860092163086,229,13,2,2022-07-04T07:32:08,-237,-3.948755,-236238,-3.9373,97.29162920715679,100161.69328922495
1656909129,431700,2476092,40.350428224429585,100146.84336734428,33.50068900748731,98.5390853881836,238,13,2,2022-07-04T07:32:09,-236,-3.9261383333333333,-234881,-3.9146833333333335,96.34734384342686,100172.93400549954
1656909130,522700,2477183,40.3529836948743,100145.34983916336,33.500655190876,98.66443634033203,246,13,2,2022-07-04T07:32:10,-235,-3.9079550000000003,-233790,-3.8965,96.02294650545478,100176.79560036663
1656909133,548700,2480209,39.57356858237074,100018.83142885374,33.494548156165365,109.30294036865234,8,13,2,2022-07-04T07:32:13,-232,-3.8575216666666665,-230764,-3.8460666666666667,96.62829940553856,100169.58955717119
1656909135,475800,2481812,40.363844445076055,100145.71169286454,33.478638912158246,98.63424682617188,16,13,2,2022-07-04T07:32:15,-230,-3.8254033333333335,-229161,-3.81935,96.7432510806941,100168.22119647183
1656909137,494800,2483831,40.370871990024554,100147.20298699096,33.50041840785929,98.50889587402344,27,13,2,2022-07-04T07:32:17,-228,-3.7917533333333333,-227142,-3.7857,96.54178003565036,100170.61945392491
1656909138,619800,2484956,40.36959425453845,100147.01222225661,33.478560563710786,98.52464294433594,35,13,2,2022-07-04T07:32:18,-227,-3.7730033333333335,-226017,-3.76695,96.10568657769097,100175.81066666667
1656909139,710800,2486047,40.36927482066976,100145.56179236129,33.51137589694405,98.64671325683594,43,13,2,2022-07-04T07:32:19,-226,-3.75482,-224926,-3.7487666666666666,96.00577545166016,100177.0
1656909140,964000,2487674,39.62819130617872,100026.34510954373,33.49929261943059,108.67091369628906,53,13,2,2022-07-04T07:32:20,-225,-3.7339333333333333,-223299,-3.72165,96.97598728470739,100165.45067264573
1656909143,644200,2489980,40.377580101625064,100145.36870638575,33.483921939905336,98.66312408447266,61,13,2,2022-07-04T07:32:23,-222,-3.6892633333333333,-220993,-3.6832166666666666,97.22810042636475,100162.4495720134
1656909145,638200,2491974,39.94762310519518,100076.7535388706,33.489635165836134,104.43203735351562,70,13,2,2022-07-04T07:32:25,-220,-3.65603,-218999,-3.649983333333333,96.59674136433966,100169.96519721577
1656909147,961200,2494297,40.38876028874004,100146.14076879452,33.48924173799642,98.59815216064453,88,13,2,2022-07-04T07:32:27,-218,-3.6173133333333336,-216676,-3.6112666666666664,96.3601166600133,100172.78192617734
1656909149,301200,2495637,40.3849270815723,100146.3717024397,33.4783567983432,98.57846069335938,96,13,2,2022-07-04T07:32:29,-216,-3.59498,-215336,-3.5889333333333338,97.15618408671426,100163.30562659846
