time_s,time_us,time_steady,state,pump_on,pump_on_time_steady,pump_off,pump_off_time_steady,valve_open,valve_open_time_steady,valve_close,valve_close_time_steady,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude,baro_pressure
1656909104,35000,2450372,0,2,1122784,2,1132839,2,1122784,2,1132791,92,13,0,2022-07-04T07:31:44,-261,-4.3494166666666665,-260601,-4.34335,96.91263626581693,100166.204793418
1656909105,14200,2451474,0,2,1122784,2,1132839,2,1122784,2,1132791,102,13,0,2022-07-04T07:31:45,-260,-4.333096666666666,-259499,-4.324983333333334,96.08978271484375,100176.0
1656909106,229300,2452565,0,2,1122784,2,1132839,2,1122784,2,1132791,110,13,0,2022-07-04T07:31:46,-259,-4.312844999999999,-258408,-4.3068,96.07283149236991,100176.20178282009
1656909107,374400,2454095,0,2,1122784,2,1132839,2,1122784,2,1132791,119,13,0,2022-07-04T07:31:47,-258,-4.293760000000001,-256878,-4.2813,96.06877698398472,100176.25003903607
1656909109,649600,2455985,0,2,1122784,2,1132839,2,1122784,2,1132791,128,13,0,2022-07-04T07:31:49,-256,-4.25584,-254988,-4.2498,96.80811161805835,100167.44908896035
1656909111,902000,2458238,0,2,1122784,2,1132839,2,1122784,2,1132791,136,13,0,2022-07-04T07:31:51,-254,-4.2183,-252735,-4.21225,96.67092854320275,100169.08205378974
1656909113,295600,2459632,0,2,1122784,2,1132839,2,1122784,2,1132791,146,13,0,2022-07-04T07:31:53,-252,-4.195073333333333,-251341,-4.189016666666666,96.2651063759976,100173.91292392301
1656909117,759600,2464096,0,2,1122784,2,1132839,2,1122784,2,1132791,172,13,0,2022-07-04T07:31:57,-248,-4.120673333333333,-246877,-4.114616666666667,95.52457611676557,100182.7281553398
1656909119,286600,2465986,0,2,1122784,2,1132839,2,1122784,2,1132791,181,13,0,2022-07-04T07:31:59,-246,-4.095223333333333,-244987,-4.083116666666666,93.08627944932552,100211.75337533753
1656909121,267600,2467603,0,2,1122784,2,1132839,2,1122784,2,1132791,190,13,0,2022-07-04T07:32:01,-244,-4.0622066666666665,-243370,-4.056166666666667,96.40889402619271,100172.2012934519
1656909122,504600,2468841,0,2,1122784,2,1132839,2,1122784,2,1132791,199,13,0,2022-07-04T07:32:02,-243,-4.04159,-242132,-4.035533333333333,96.28601774088541,100173.664
1656909123,629600,2469965,0,2,1122784,2,1132839,2,1122784,2,1132791,208,13,0,2022-07-04T07:32:03,-242,-4.0228399999999995,-241008,-4.0168,96.22455996090605,100174.39561855671
1656909125,181600,2471517,0,2,1122784,2,1132839,2,1122784,2,1132791,216,13,0,2022-07-04T07:32:05,-240,-3.9969733333333335,-239456,-3.990933333333333,96.95745253397698,100165.6713088245
1656909126,999700,2473660,0,2,1122784,2,1132839,2,1122784,2,1132791,225,13,0,2022-07-04T07:32:06,-239,-3.966671666666667,-237313,-3.9552166666666664,97.16359743864639,100163.21739130435
1656909128,812700,2475472,0,2,1122784,2,1132839,2,1122784,2,1132791,235,13,0,2022-07-04T07:32:08,-237,-3.936455,-235501,-3.9250166666666666,97.0622780972069,100164.42346471128
1656909129,903700,2476563,0,2,1122784,2,1132839,2,1122784,2,1132791,243,13,0,2022-07-04T07:32:09,-236,-3.918271666666667,-234410,-3.906833333333333,96.0706096547771,100176.22823098075
1656909134,266700,2480926,0,2,1122784,2,1132839,2,1122784,2,1132791,13,13,0,2022-07-04T07:32:14,-231,-3.845555,-230047,-3.8341166666666666,96.69683035864516,100168.77377633563
1656909136,473800,2482810,0,2,1122784,2,1132839,2,1122784,2,1132791,23,13,0,2022-07-04T07:32:16,-229,-3.80877,-228163,-3.802716666666667,96.68814763925181,100168.87713310581
