time_s,time_us,time_steady,count_tick,delta_time,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909104,9200,2450346,0,1141,97,13,0,2022-07-04T07:31:44,-261,-4.349846666666666,-260627,-4.3437833333333336,96.94170997386281
1656909104,888200,2451349,0,1003,106,13,0,2022-07-04T07:31:44,-261,-4.335196666666667,-259624,-4.327066666666667,96.08978271484375
1656909106,28300,2452365,0,1016,114,13,0,2022-07-04T07:31:46,-259,-4.316195,-258608,-4.310133333333334,96.08651500930662
1656909107,680400,2454401,0,1025,124,13,0,2022-07-04T07:31:47,-258,-4.288659999999999,-256572,-4.2762,96.18919215507351
1656909110,173800,2456510,0,1088,132,13,0,2022-07-04T07:31:50,-255,-4.2471033333333335,-254463,-4.2410499999999995,96.85530841087349
1656909112,502600,2458838,0,1138,140,13,0,2022-07-04T07:31:52,-253,-4.20829,-252135,-4.20225,96.49822499617972
1656909113,526700,2459863,0,1025,151,13,0,2022-07-04T07:31:53,-252,-4.191221666666666,-251110,-4.1851666666666665,96.19392896909216
1656909118,448600,2465149,0,1079,177,13,0,2022-07-04T07:31:58,-247,-4.10919,-245824,-4.097066666666667,93.27680074451042
1656909119,669800,2466370,0,1221,185,13,0,2022-07-04T07:31:59,-246,-4.0888366666666665,-244603,-4.076716666666667,93.82513964607521
1656909121,66600,2467403,0,1033,194,13,0,2022-07-04T07:32:01,-244,-4.065556666666667,-243570,-4.0595,96.42254435755885
1656909123,82600,2469419,0,1002,204,13,0,2022-07-04T07:32:03,-242,-4.031956666666667,-241554,-4.0259,96.1565384657118
1656909124,222800,2470559,0,1140,212,13,0,2022-07-04T07:32:04,-241,-4.012953333333333,-240414,-4.0069,96.54564374550102
1656909125,492800,2471829,0,1270,220,13,0,2022-07-04T07:32:05,-240,-3.991786666666667,-239144,-3.9857333333333336,96.99196254691702
1656909127,438600,2474098,0,1090,230,13,0,2022-07-04T07:32:07,-238,-3.9593566666666664,-236875,-3.9479166666666665,97.2158701299945
1656909128,538900,2475199,0,1101,239,13,0,2022-07-04T07:32:08,-237,-3.941018333333333,-235774,-3.9295666666666667,97.34691511128936
1656909129,554700,2476215,0,1016,247,13,0,2022-07-04T07:32:09,-236,-3.924088333333333,-234758,-3.9126333333333334,96.20528097878237
1656909132,698300,2479358,0,1109,9,13,0,2022-07-04T07:32:12,-233,-3.8716950000000003,-231615,-3.86025,96.43943234511109
1656909134,763700,2481424,0,1042,17,13,0,2022-07-04T07:32:14,-231,-3.8372716666666666,-229549,-3.825816666666667,96.71591157513538
1656909137,344800,2483681,0,1022,28,13,0,2022-07-04T07:32:17,-228,-3.7942533333333333,-227292,-3.7882000000000002,96.5632836013117
1656909138,356800,2484693,0,1012,36,13,0,2022-07-04T07:32:18,-227,-3.7773866666666667,-226280,-3.771333333333333,96.22351898193361
1656909139,372800,2485709,0,1016,44,13,0,2022-07-04T07:32:19,-226,-3.760453333333333,-225264,-3.7544,96.00577545166016
