time_s,time_us,time_steady,resets_count,reset_cause,active_oscillator,time_base,time_syncs_attempted,time_syncs_performed,last_time_sync_time_steady,last_time_sync_delta_s,last_time_sync_delta_us,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude,baro_pressure
1656909104,35000,2450371,1,2,0,3,1683,577,2434283,0,264254,91,13,0,2022-07-04T07:31:44,-261,-4.3494166666666665,-260602,-4.343366666666666,96.91263626581693,100166.204793418
1656909107,374400,2454094,1,2,0,3,1687,580,2454069,-1,616129,118,13,0,2022-07-04T07:31:47,-258,-4.293760000000001,-256879,-4.281316666666667,96.06877698398472,100176.25003903607
1656909113,295600,2459631,1,2,0,3,1690,581,2454932,0,384202,145,13,0,2022-07-04T07:31:53,-252,-4.195073333333333,-251342,-4.189033333333334,96.2651063759976,100173.91292392301
1656909117,759600,2464095,1,2,0,3,1690,581,2454932,0,384202,171,13,0,2022-07-04T07:31:57,-248,-4.120673333333333,-246878,-4.114633333333333,95.52457611676557,100182.7281553398
1656909122,504600,2468840,1,2,0,3,1695,583,2466626,0,364082,198,13,0,2022-07-04T07:32:02,-243,-4.04159,-242133,-4.03555,96.28601774088541,100173.664
1656909126,999700,2473659,1,2,0,3,1698,584,2472378,-1,676193,224,13,0,2022-07-04T07:32:06,-239,-3.966671666666667,-237314,-3.955233333333333,97.16359743864639,100163.21739130435
1656909130,994700,2477654,1,2,0,3,1699,584,2472378,-1,676193,251,13,0,2022-07-04T07:32:10,-235,-3.9000883333333336,-233319,-3.8886499999999997,96.06107636657836,100176.34170522142
1656909136,473800,2482809,1,2,0,3,1701,585,2481737,0,324190,22,13,0,2022-07-04T07:32:16,-229,-3.80877,-228164,-3.8027333333333333,96.68814763925181,100168.87713310581
1656909140,182800,2486518,1,2,0,3,1705,585,2481737,0,324190,48,13,0,2022-07-04T07:32:20,-225,-3.7469533333333334,-224455,-3.7409166666666667,96.24027627327611,100174.20852017937
1656909146,110200,2492445,1,2,0,3,1707,587,2488434,0,374211,75,13,0,2022-07-04T07:32:26,-219,-3.6481633333333336,-218528,-3.6421333333333332,96.49206188203523,100171.21128553245
1656909150,31200,2496366,1,2,0,3,1708,587,2488434,0,374211,101,13,0,2022-07-04T07:32:30,-215,-3.582813333333333,-214607,-3.576783333333333,97.34962582771259,100161.0029250457
1656909155,240100,2501575,1,2,0,3,1713,589,2497764,0,155474,128,13,0,2022-07-04T07:32:35,-210,-3.495998333333333,-209398,-3.4899666666666667,96.1546169179607,100175.22823098075
1656909159,757100,2506092,1,2,0,3,1716,589,2497764,0,155474,155,13,0,2022-07-04T07:32:39,-206,-3.420715,-204881,-3.4146833333333335,96.99041921050878,100165.27888232133
1656909164,418100,2510753,1,2,0,3,1720,589,2497764,0,155474,181,13,0,2022-07-04T07:32:44,-201,-3.3430316666666666,-200220,-3.337,96.19296303809399,100174.77176901925
1656909168,917900,2515529,1,2,0,3,1723,590,2512611,-1,723808,208,13,0,2022-07-04T07:32:48,-197,-3.268035,-195444,-3.2573999999999996,97.33743770000434,100161.14800225098
1656909173,124400,2519459,1,2,0,3,1726,591,2518120,0,276582,234,13,0,2022-07-04T07:32:53,-192,-3.1979266666666666,-191514,-3.1919,96.22327856310534,100174.41088328075
1656909178,426400,2524761,1,2,0,3,1729,591,2518120,0,276582,5,13,0,2022-07-04T07:32:58,-187,-3.10956,-186212,-3.103533333333333,97.12810480453314,100163.63992336247
1656909182,255600,2528590,1,2,0,3,1733,593,2526158,0,154332,33,13,0,2022-07-04T07:33:02,-183,-3.0457400000000003,-182383,-3.0397166666666666,96.14271536045105,100175.36988543371
1656909187,506600,2534105,1,2,0,3,1737,594,2529728,-1,736089,61,13,0,2022-07-04T07:33:07,-178,-2.9582233333333336,-176868,-2.9478,96.9280574816319,100166.02125304406
1656909191,604300,2538353,1,2,0,3,1741,596,2537797,-1,585686,88,13,0,2022-07-04T07:33:11,-174,-2.889928333333333,-172620,-2.8770000000000002,97.2188915139293,100162.55916993831
1656909196,690300,2543439,1,2,0,3,1741,596,2537797,-1,585686,114,13,0,2022-07-04T07:33:16,-169,-2.8051616666666663,-167534,-2.7922333333333333,96.47408423650131,100171.42531840988
1656909202,405200,2548171,1,2,0,3,1745,597,2544681,0,982916,141,13,0,2022-07-04T07:33:22,-163,-2.709913333333333,-162802,-2.7133666666666665,95.70080614323605,100180.63028953229
1656909206,98200,2557596,1,2,0,3,1749,599,2556137,-1,836195,194,13,0,2022-07-04T07:33:26,-159,-2.6483633333333336,-153377,-2.5562833333333335,96.75995875595777,100168.0222374273
1656909209,978200,2561312,1,2,0,3,1752,601,2559491,0,294595,227,13,0,2022-07-04T07:33:29,-156,-2.583696666666667,-149661,-2.49435,96.25116368343954,100174.07894736843
1656909221,449500,2566827,1,2,0,3,1756,602,2566442,5,956332,3,13,0,2022-07-04T07:33:41,-144,-2.3925083333333332,-144146,-2.402433333333333,96.20318613031016,100174.65005562958
1656909224,641500,2570019,1,2,0,3,1758,602,2566442,5,956332,36,13,0,2022-07-04T07:33:44,-141,-2.3393083333333333,-140954,-2.3492333333333333,96.04546112311662,100176.52755783264
1656909229,624700,2575182,1,2,0,3,1762,603,2571118,-1,820211,69,13,0,2022-07-04T07:33:49,-136,-2.2562550000000003,-135791,-2.263183333333333,96.90355058844062,100166.31297318106
1656909233,41300,2578374,1,2,0,3,1764,604,2575652,0,224610,101,13,0,2022-07-04T07:33:53,-132,-2.1993116666666666,-132599,-2.209983333333333,96.80340528002583,100167.5050916497
1656909238,616500,2583949,1,2,0,3,1768,606,2582432,0,314209,132,13,0,2022-07-04T07:33:58,-127,-2.1063916666666667,-127024,-2.1170666666666667,97.33717408484765,100161.15117219079
1656909242,121700,2587640,1,2,0,3,1771,607,2587098,-1,814499,158,13,0,2022-07-04T07:34:02,-123,-2.0479716666666667,-123333,-2.0555499999999998,97.9221322801802,100154.18788121188
1656909247,390900,2592909,1,2,0,3,1772,607,2587098,-1,814499,185,13,0,2022-07-04T07:34:07,-118,-1.9601516666666667,-118064,-1.9677333333333331,96.84583282470703,100167.0
