time_s,time_us,time_steady,gps_init_error,gps_config_error,lsm6ds3_error,lis3mdl_error,analog_sensor_init_error,gps_uart_init_error,mems_i2c_error,timers_error,rtc_error,mems_i2c_error_counter,lsm6ds3_error_counter,lis3mdl_error_counter,gps_reconfig_counter,osc_source,reset_counter,reset_cause,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909106,58000,2450875,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,90,11,0,2022-07-04T07:31:46,-259,-4.3157000000000005,-260098,-4.334966666666667,96.08449311650553
1656909107,76000,2451893,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,118,11,0,2022-07-04T07:31:47,-258,-4.298733333333333,-259080,-4.318,96.01519052823899
1656909108,93000,2452911,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,146,11,0,2022-07-04T07:31:48,-257,-4.281783333333333,-258062,-4.301033333333334,96.35155587922787
1656909109,111000,2453928,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,174,11,0,2022-07-04T07:31:49,-256,-4.2648166666666665,-257045,-4.284083333333333,96.75215275559513
1656909110,129000,2454946,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,203,11,0,2022-07-04T07:31:50,-255,-4.247850000000001,-256027,-4.2671166666666664,96.85127480477254
1656909111,147000,2455964,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,233,11,0,2022-07-04T07:31:51,-254,-4.230883333333334,-255009,-4.25015,96.88803007167826
1656909112,164000,2456982,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,6,11,0,2022-07-04T07:31:52,-253,-4.213933333333333,-253991,-4.233183333333334,96.59558999954635
1656909113,182000,2457999,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,35,11,0,2022-07-04T07:31:53,-252,-4.1969666666666665,-252974,-4.216233333333333,96.30009449120513
1656909118,271000,2463088,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,180,11,0,2022-07-04T07:31:58,-247,-4.112150000000001,-247885,-4.1314166666666665,93.85619828603807
1656909119,289000,2464106,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,209,11,0,2022-07-04T07:31:59,-246,-4.095183333333334,-246867,-4.11445,93.09090696621539
1656909120,307000,2465124,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,238,11,0,2022-07-04T07:32:00,-245,-4.078216666666667,-245849,-4.097483333333333,95.05374538033635
1656909121,325000,2466142,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,11,11,0,2022-07-04T07:32:01,-244,-4.06125,-244831,-4.080516666666666,96.40499587186228
1656909122,343000,2467161,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,40,11,0,2022-07-04T07:32:02,-243,-4.0442833333333335,-243812,-4.063533333333334,96.32221817491319
1656909123,362000,2468179,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,69,11,0,2022-07-04T07:32:03,-242,-4.0273,-242794,-4.046566666666667,96.09394934895833
1656909124,380000,2469198,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,99,11,0,2022-07-04T07:32:04,-241,-4.0103333333333335,-241775,-4.029583333333333,96.63073203096684
1656909125,398000,2470216,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,128,11,0,2022-07-04T07:32:05,-240,-3.9933666666666667,-240757,-4.012616666666667,96.98144985659981
1656909126,417000,2471234,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,157,11,0,2022-07-04T07:32:06,-239,-3.976383333333333,-239739,-3.99565,97.09445018817408
1656909127,436000,2472253,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,186,11,0,2022-07-04T07:32:07,-238,-3.9594,-238720,-3.978666666666667,97.21556047176368
1656909128,454000,2473272,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,215,11,0,2022-07-04T07:32:08,-237,-3.9424333333333332,-237701,-3.9616833333333332,97.33680357906003
1656909129,473000,2474290,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,244,11,0,2022-07-04T07:32:09,-236,-3.9254499999999997,-236683,-3.9447166666666664,96.2996430604202
1656909133,545000,2478363,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,104,11,0,2022-07-04T07:32:13,-232,-3.8575833333333334,-232610,-3.8768333333333334,96.62747766503576
1656909134,565000,2479382,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,133,11,0,2022-07-04T07:32:14,-231,-3.8405833333333335,-231591,-3.8598500000000002,96.70828292781826
1656909135,586000,2480403,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,162,11,0,2022-07-04T07:32:15,-230,-3.8235666666666663,-230570,-3.842833333333333,96.7474819661211
1656909136,606000,2481423,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,191,11,0,2022-07-04T07:32:16,-229,-3.806566666666667,-229550,-3.8258333333333336,96.66919583004896
1656909137,625000,2482442,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,220,11,0,2022-07-04T07:32:17,-228,-3.7895833333333333,-228531,-3.80885,96.52311494065633
1656909138,645000,2483462,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,249,11,0,2022-07-04T07:32:18,-227,-3.772583333333333,-227511,-3.7918499999999997,96.09439617241753
1656909139,663000,2484481,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,22,11,0,2022-07-04T07:32:19,-226,-3.7556166666666666,-226492,-3.7748666666666666,96.00577545166016
1656909140,682000,2485499,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,51,11,0,2022-07-04T07:32:20,-225,-3.7386333333333335,-225474,-3.7579,96.71040804094955
1656909141,700000,2486517,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,80,11,0,2022-07-04T07:32:21,-224,-3.7216666666666667,-224456,-3.740933333333333,97.41044725560769
1656909142,717000,2487535,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,109,11,0,2022-07-04T07:32:22,-223,-3.7047166666666667,-223438,-3.7239666666666666,97.31506266279827
1656909143,735000,2488552,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,138,11,0,2022-07-04T07:32:23,-222,-3.68775,-222421,-3.7070166666666666,97.21958427982877
1656909149,844000,2494661,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,57,11,0,2022-07-04T07:32:29,-216,-3.5859333333333336,-216312,-3.6052000000000004,97.47612301228469
1656909150,862000,2495679,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,86,11,0,2022-07-04T07:32:30,-215,-3.568966666666667,-215294,-3.5882333333333336,96.78822699789156
1656909151,880000,2496698,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,115,11,0,2022-07-04T07:32:31,-214,-3.552,-214275,-3.57125,96.79152197277918
1656909152,899000,2497716,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,145,11,0,2022-07-04T07:32:32,-213,-3.5350166666666665,-213257,-3.5542833333333332,97.06738075832585
1656909153,917000,2498734,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,173,11,0,2022-07-04T07:32:33,-212,-3.51805,-212239,-3.537316666666667,97.03698979298514
1656909154,936000,2499753,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,202,11,0,2022-07-04T07:32:34,-211,-3.5010666666666665,-211220,-3.5203333333333333,96.21807105968097
1656909155,953000,2500771,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,230,11,0,2022-07-04T07:32:35,-210,-3.4841166666666665,-210202,-3.5033666666666665,96.09972344598674
1656909156,973000,2501790,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,2,11,0,2022-07-04T07:32:36,-209,-3.4671166666666666,-209183,-3.4863833333333334,96.15838222975691
1656909157,992000,2502809,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,30,11,0,2022-07-04T07:32:37,-208,-3.4501333333333335,-208164,-3.4694,96.5069245943896
1656909159,11000,2503828,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,58,11,0,2022-07-04T07:32:39,-206,-3.43315,-207145,-3.4524166666666667,96.92146138041129
1656909160,31000,2504848,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,86,11,0,2022-07-04T07:32:40,-205,-3.41615,-206125,-3.435416666666667,96.97805511089246
1656909161,49000,2505866,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,114,11,0,2022-07-04T07:32:41,-204,-3.3991833333333332,-205107,-3.41845,96.93210164828047
1656909162,67000,2506884,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,142,11,0,2022-07-04T07:32:42,-203,-3.3822166666666664,-204089,-3.401483333333333,96.70423200482401
1656909163,85000,2507902,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,170,11,0,2022-07-04T07:32:43,-202,-3.36525,-203071,-3.384516666666667,96.46107769493801
1656909164,104000,2508921,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,198,11,0,2022-07-04T07:32:44,-201,-3.3482666666666665,-202052,-3.3675333333333333,96.19104155110259
1656909165,125000,2509942,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,227,11,0,2022-07-04T07:32:45,-200,-3.33125,-201031,-3.3505166666666666,96.24739450862056
1656909166,144000,2510961,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,1,11,0,2022-07-04T07:32:46,-199,-3.3142666666666667,-200012,-3.3335333333333335,96.483532259616
1656909167,164000,2511981,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,30,11,0,2022-07-04T07:32:47,-198,-3.297266666666667,-198992,-3.316533333333333,96.90197228886693
1656909168,184000,2513001,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,59,11,0,2022-07-04T07:32:48,-197,-3.280266666666667,-197972,-3.2995333333333337,97.3381342180456
1656909169,207000,2514024,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,88,11,0,2022-07-04T07:32:49,-196,-3.2632166666666667,-196949,-3.2824833333333334,97.28277039922351
1656909170,227000,2515044,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,117,11,0,2022-07-04T07:32:50,-195,-3.2462166666666668,-195929,-3.2654833333333335,97.07353408338427
1656909171,245000,2516062,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,146,11,0,2022-07-04T07:32:51,-194,-3.22925,-194911,-3.2485166666666667,96.48545093779624
1656909172,264000,2517080,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,175,11,0,2022-07-04T07:32:52,-193,-3.2122666666666664,-193893,-3.23155,96.17378997802734
1656909173,283000,2518100,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,204,11,0,2022-07-04T07:32:53,-192,-3.1952833333333337,-192873,-3.21455,96.25480020805864
1656909174,301000,2519118,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,233,11,0,2022-07-04T07:32:54,-191,-3.178316666666667,-191855,-3.197583333333333,96.51206215228592
1656909175,319000,2520136,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,7,11,0,2022-07-04T07:32:55,-190,-3.16135,-190837,-3.1806166666666664,97.06923638043435
1656909176,337000,2521154,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,36,11,0,2022-07-04T07:32:56,-189,-3.1443833333333333,-189819,-3.1636499999999996,97.59390533175308
1656909177,355000,2522171,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,65,11,0,2022-07-04T07:32:57,-188,-3.127416666666667,-188802,-3.1467,97.41245518908389
1656909178,373000,2523190,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,94,11,0,2022-07-04T07:32:58,-187,-3.11045,-187783,-3.1297166666666665,97.15764944528537
1656909179,394000,2524211,0,0,0,0,0,0,0,0,-88,0,0,0,2,0,1,2,123,11,0,2022-07-04T07:32:59,-186,-3.093433333333333,-186762,-3.1127,96.59276034026614
