time_s,time_us,time_steady,num_ch,svid_0,flags_0,quality_0,cno_0,svid_1,flags_1,quality_1,cno_1,svid_2,flags_2,quality_2,cno_2,svid_3,flags_3,quality_3,cno_3,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude,baro_pressure
1656909105,345000,2450162,15,32,16,4,31,22,4,4,27,24,12,3,27,25,4,4,22,70,11,0,2022-07-04T07:31:45,-260,-4.327583333333333,-260811,-4.34685,96.08978271484375,100176.0
1656909106,362000,2451180,16,32,16,4,32,3,4,4,27,24,12,3,26,25,4,4,25,98,11,0,2022-07-04T07:31:46,-259,-4.310633333333333,-259793,-4.329883333333333,96.06379764810373,100176.30931928687
1656909107,380000,2452197,16,32,16,5,34,3,4,4,27,24,12,3,26,25,4,4,26,126,11,0,2022-07-04T07:31:47,-258,-4.293666666666667,-258776,-4.3129333333333335,96.07098066031837,100176.22380679748
1656909108,347000,2453165,16,32,16,6,33,3,4,4,28,25,4,4,27,11,4,4,23,153,11,0,2022-07-04T07:31:48,-257,-4.277550000000001,-257808,-4.2968,96.45150834150418,100171.69406131265
1656909109,365000,2454182,16,32,16,5,33,3,4,4,26,22,4,4,26,24,12,3,25,181,11,0,2022-07-04T07:31:49,-256,-4.260583333333333,-256791,-4.27985,96.78248741501525,100167.75412647374
1656909110,383000,2455200,16,32,16,4,28,22,4,4,26,24,12,3,25,31,4,4,25,210,11,0,2022-07-04T07:31:50,-255,-4.243616666666666,-255773,-4.262883333333333,96.87414391079133,100166.66302250804
1656909111,351000,2456168,16,32,16,5,33,22,4,4,26,31,4,4,26,11,4,4,22,238,11,0,2022-07-04T07:31:51,-254,-4.227483333333334,-254805,-4.2467500000000005,96.82936952623587,100167.19599022005
1656909112,368000,2457186,16,32,16,5,31,31,4,4,27,22,4,4,26,25,4,4,23,11,11,0,2022-07-04T07:31:52,-253,-4.210533333333333,-253787,-4.229783333333334,96.53692945410396,100170.67716381418
1656909113,336000,2458153,16,32,16,5,30,24,12,4,29,31,4,4,26,11,4,4,22,39,11,0,2022-07-04T07:31:53,-252,-4.1944,-252820,-4.213666666666667,96.25266341953295,100174.06104491293
1656909118,371000,2463188,16,12,12,4,29,22,4,4,29,32,16,4,28,24,12,4,25,183,11,0,2022-07-04T07:31:58,-247,-4.110483333333333,-247785,-4.12975,93.52996093157425,100206.47184466019
