time_s,time_us,time_steady,num_vis,num_ch,satellites_total,satellites_with_ephs,satellites_with_alms,satellites_with_ephs_and_alms,sattelites_healthy,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,time_steady_from_launch,mins_steady_from_launch,baro_altitude,baro_pressure
1656909105,845000,2450663,15,71,71,3,26,3,71,81,11,0,2022-07-04T07:31:45,-260,-4.319249999999999,-260310,-4.3385,96.08978271484375,100176.0
1656909106,813000,2451630,15,71,71,3,26,3,71,108,11,0,2022-07-04T07:31:46,-259,-4.303116666666667,-259343,-4.322383333333334,96.0330948314945,100176.67479740681
1656909107,830000,2452648,15,71,71,3,26,3,71,136,11,0,2022-07-04T07:31:47,-258,-4.286166666666667,-258325,-4.305416666666667,96.24806179427246,100174.11585905377
1656909108,848000,2453666,15,71,71,3,26,3,71,164,11,0,2022-07-04T07:31:48,-257,-4.2692,-257307,-4.28845,96.64865867063975,100169.34721282465
1656909109,816000,2454633,15,71,71,3,26,3,71,191,11,0,2022-07-04T07:31:49,-256,-4.253066666666666,-256340,-4.272333333333333,96.82309358357617,100167.27073954984
1656909110,834000,2455651,15,71,71,3,26,3,71,220,11,0,2022-07-04T07:31:50,-255,-4.2360999999999995,-255322,-4.255366666666666,96.91475007935225,100166.17963558414
1656909111,851000,2456669,15,71,71,3,26,3,71,249,11,0,2022-07-04T07:31:51,-254,-4.21915,-254304,-4.2384,96.68559367956334,100168.9074816626
1656909112,819000,2457636,15,71,71,3,26,3,71,21,11,0,2022-07-04T07:31:52,-253,-4.203016666666667,-253337,-4.222283333333333,96.40724364040534,100172.22092909536
1656909118,822000,2463639,15,71,71,3,26,3,71,193,11,0,2022-07-04T07:31:58,-247,-4.102966666666666,-247334,-4.122233333333333,92.1904693047277,100222.41701170117
1656909119,840000,2464657,15,71,71,3,26,3,71,222,11,0,2022-07-04T07:31:59,-246,-4.086,-246316,-4.105266666666667,94.15330771884867,100199.05157515751
1656909120,908000,2465725,16,71,71,4,26,3,71,252,11,0,2022-07-04T07:32:00,-245,-4.0682,-245248,-4.087466666666667,96.21255273484195,100174.53852385239
1656909121,876000,2466693,16,71,71,4,26,3,71,24,11,0,2022-07-04T07:32:01,-244,-4.052066666666667,-244280,-4.0713333333333335,96.36757630677404,100172.69312853678
1656909122,844000,2467662,16,71,71,4,26,3,71,52,11,0,2022-07-04T07:32:02,-243,-4.035933333333333,-243311,-4.055183333333334,96.2099878689236,100174.56906666666
1656909123,863000,2468680,16,71,71,4,26,3,71,81,11,0,2022-07-04T07:32:03,-242,-4.01895,-242293,-4.038216666666667,96.35089333131141,100172.89175257731
1656909124,881000,2469698,16,71,71,4,26,3,71,110,11,0,2022-07-04T07:32:04,-241,-4.0019833333333334,-241275,-4.02125,96.90191034533314,100166.3324742268
1656909125,849000,2470667,16,71,71,4,26,3,71,138,11,0,2022-07-04T07:32:05,-240,-3.98585,-240306,-4.0051000000000005,97.03146276095701,100164.79031087057
1656909126,868000,2471685,16,71,71,4,26,3,70,167,11,0,2022-07-04T07:32:06,-239,-3.9688666666666665,-239288,-3.9881333333333333,97.14791205826238,100163.40411153118
1656909127,887000,2472704,16,71,71,4,26,3,70,196,11,0,2022-07-04T07:32:07,-238,-3.9518833333333334,-238269,-3.97115,97.26927426487828,100161.95940453686
1656909128,855000,2473672,16,71,71,4,26,3,70,224,11,0,2022-07-04T07:32:08,-237,-3.93575,-237301,-3.9550166666666664,97.01342233156089,100165.00504124656
1656909129,873000,2474691,16,71,71,4,26,3,70,253,11,0,2022-07-04T07:32:09,-236,-3.9187833333333333,-236282,-3.9380333333333337,96.07297356218291,100176.20009165903
1656909133,846000,2478664,16,71,71,4,26,3,70,111,11,0,2022-07-04T07:32:13,-232,-3.8525666666666667,-232309,-3.8718166666666667,96.68067851201047,100168.96604359947
1656909134,865000,2479683,16,71,71,4,26,3,70,140,11,0,2022-07-04T07:32:14,-231,-3.835583333333333,-231290,-3.854833333333333,96.71980076473389,100168.50034276313
1656909135,836000,2480654,16,71,71,4,26,3,70,168,11,0,2022-07-04T07:32:15,-230,-3.8194,-230319,-3.83865,96.75708016355078,100168.05657876696
