time_s,time_us,time_steady,seconds_steady,temperature,pressure,altitude,seq,srcSystem,srcComponent,time_gregorian
315964804,852200,7395,7.395,11.0600004196167,102839,-125.271476745605,76,13,1,1980-01-06T03:00:04
315964805,852200,8395,8.395,11.0799999237061,102845,-125.764953613281,88,13,1,1980-01-06T03:00:05
315964806,852200,9395,9.395,11.0699996948242,102838,-125.189231872559,101,13,1,1980-01-06T03:00:06
315964807,852200,10395,10.395,11.0799999237061,102839,-125.271476745605,112,13,1,1980-01-06T03:00:07
315964808,852200,11395,11.395,11.0900001525879,102847,-125.92945098877,123,13,1,1980-01-06T03:00:08
315964809,852200,12395,12.395,11.0900001525879,102847,-125.92945098877,136,13,1,1980-01-06T03:00:09
315964810,852200,13395,13.395,11.0900001525879,102846,-125.847198486328,148,13,1,1980-01-06T03:00:10
315964811,852200,14395,14.395,11.0900001525879,102838,-125.189231872559,159,13,1,1980-01-06T03:00:11
315964812,852200,15395,15.395,11.0900001525879,102836,-125.02473449707,172,13,1,1980-01-06T03:00:12
315964813,852200,16395,16.395,11.0900001525879,102836,-125.02473449707,183,13,1,1980-01-06T03:00:13
315964814,852200,17395,17.395,11.1000003814697,102837,-125.106986999512,194,13,1,1980-01-06T03:00:14
315964815,852200,18395,18.395,11.1199998855591,102845,-125.764953613281,208,13,1,1980-01-06T03:00:15
315964816,852200,19395,19.395,11.1199998855591,102846,-125.847198486328,219,13,1,1980-01-06T03:00:16
315964817,852200,20395,20.395,11.1199998855591,102838,-125.189231872559,230,13,1,1980-01-06T03:00:17
315964818,852200,21395,21.395,11.1300001144409,102843,-125.600463867188,243,13,1,1980-01-06T03:00:18
315964819,852200,22395,22.395,11.1300001144409,102842,-125.518218994141,254,13,1,1980-01-06T03:00:19
315964820,852200,23395,23.395,11.1400003433228,102843,-125.600463867188,10,13,1,1980-01-06T03:00:20
315964821,852200,24395,24.395,11.1499996185303,102847,-125.92945098877,23,13,1,1980-01-06T03:00:21
315964822,852200,25395,25.395,11.1599998474121,102847,-125.92945098877,34,13,1,1980-01-06T03:00:22
315964823,852200,26395,26.395,11.1800003051758,102846,-125.847198486328,45,13,1,1980-01-06T03:00:23
315964824,852200,27395,27.395,11.1800003051758,102843,-125.600463867188,58,13,1,1980-01-06T03:00:24
315964825,852200,28395,28.395,11.1899995803833,102844,-125.682708740234,70,13,1,1980-01-06T03:00:25
315964826,852200,29395,29.395,11.1999998092651,102847,-125.92945098877,81,13,1,1980-01-06T03:00:26
315964827,852200,30395,30.395,11.210000038147,102847,-125.92945098877,94,13,1,1980-01-06T03:00:27
315964828,852200,31395,31.395,11.2299995422363,102846,-125.847198486328,105,13,1,1980-01-06T03:00:28
315964829,852200,32395,32.395,11.2399997711182,102842,-125.518218994141,116,13,1,1980-01-06T03:00:29
315964830,852200,33395,33.395,11.2600002288818,102845,-125.764953613281,130,13,1,1980-01-06T03:00:30
315964831,852200,34395,34.395,11.2799997329712,102845,-125.764953613281,141,13,1,1980-01-06T03:00:31
315964832,852200,35395,35.395,11.2799997329712,102844,-125.682708740234,152,13,1,1980-01-06T03:00:32
315964833,852200,36395,36.395,11.2799997329712,102844,-125.682708740234,165,13,1,1980-01-06T03:00:33
315964834,852200,37395,37.395,11.289999961853,102846,-125.847198486328,176,13,1,1980-01-06T03:00:34
315964835,852200,38395,38.395,11.3000001907349,102841,-125.435966491699,188,13,1,1980-01-06T03:00:35
315964836,852200,39395,39.395,11.3199996948242,102844,-125.682708740234,201,13,1,1980-01-06T03:00:36
315964837,852200,40395,40.395,11.3199996948242,102842,-125.518218994141,212,13,1,1980-01-06T03:00:37
315964838,852200,41395,41.395,11.3199996948242,102843,-125.600463867188,223,13,1,1980-01-06T03:00:38
315964839,852200,42395,42.395,11.3199996948242,102846,-125.847198486328,236,13,1,1980-01-06T03:00:39
315964840,852200,43395,43.395,11.3299999237061,102846,-125.847198486328,248,13,1,1980-01-06T03:00:40
315964841,852200,44395,44.395,11.3400001525879,102847,-125.92945098877,3,13,1,1980-01-06T03:00:41
