seconds,state
1.148,0
377.351,1
388.551,0
519.351,1
530.551,0
665.351,1
676.551,0
813.351,1
824.551,0
877.551,1
878.551,0
956.351,1
967.551,0
1016.151,1
1017.551,0
1095.351,1
1106.551,0
1132.551,1
1133.551,0
1157.151,1
1158.551,0
1231.351,1
1301.751,0
1360.351,1
1430.751,0
1481.551,1
1551.951,0
1600.551,1
1670.951,0
1720.551,1
1790.951,0
1850.551,1
1920.951,0
1974.551,1
2044.951,0
2092.551,1
2162.951,0
2214.551,1
2284.951,0
2333.551,1
2403.951,0
2486.551,1
2556.951,0
2633.551,1
2703.951,0
2792.551,1
2862.951,0
2950.551,1
2960.751,0
3114.551,1
3124.751,0
3278.551,1
3288.751,0
3453.551,1
3463.751,0
3631.551,1
3641.751,0
