seconds,state
1.148,0
377.351,1
387.551,0
519.351,1
529.551,0
665.351,1
675.551,0
813.351,1
823.551,0
956.351,1
966.551,0
1095.351,1
1105.551,0
1231.351,1
1241.551,0
1360.351,1
1370.551,0
1481.551,1
1491.751,0
1600.551,1
1610.751,0
1720.551,1
1730.751,0
1850.551,1
1860.751,0
1974.551,1
1984.751,0
2092.551,1
2102.751,0
2214.551,1
2224.751,0
2333.551,1
2343.751,0
2486.551,1
2496.751,0
2633.551,1
2643.751,0
2792.551,1
2802.751,0
2950.551,1
2960.751,0
3114.551,1
3124.751,0
3278.551,1
3288.751,0
3453.551,1
3463.751,0
3631.551,1
3641.751,0
